Created as New Dataset,58 Modacrylic Eastman Fibers Verel Type CA USA White. Peanut X.S. Bright. 16dpf. Use: Floor Coverings
cm-1,%T
4000.00,102.41
3999.00,102.43
3998.00,102.44
3997.00,102.43
3996.00,102.41
3995.00,102.39
3994.00,102.38
3993.00,102.37
3992.00,102.36
3991.00,102.36
3990.00,102.38
3989.00,102.40
3988.00,102.42
3987.00,102.42
3986.00,102.40
3985.00,102.38
3984.00,102.36
3983.00,102.36
3982.00,102.37
3981.00,102.38
3980.00,102.37
3979.00,102.36
3978.00,102.35
3977.00,102.35
3976.00,102.36
3975.00,102.36
3974.00,102.36
3973.00,102.35
3972.00,102.35
3971.00,102.35
3970.00,102.36
3969.00,102.37
3968.00,102.36
3967.00,102.35
3966.00,102.34
3965.00,102.34
3964.00,102.34
3963.00,102.36
3962.00,102.37
3961.00,102.38
3960.00,102.38
3959.00,102.38
3958.00,102.37
3957.00,102.37
3956.00,102.36
3955.00,102.36
3954.00,102.37
3953.00,102.39
3952.00,102.40
3951.00,102.41
3950.00,102.39
3949.00,102.37
3948.00,102.35
3947.00,102.34
3946.00,102.33
3945.00,102.34
3944.00,102.36
3943.00,102.38
3942.00,102.40
3941.00,102.39
3940.00,102.36
3939.00,102.34
3938.00,102.34
3937.00,102.35
3936.00,102.36
3935.00,102.37
3934.00,102.37
3933.00,102.39
3932.00,102.39
3931.00,102.39
3930.00,102.36
3929.00,102.33
3928.00,102.31
3927.00,102.29
3926.00,102.29
3925.00,102.31
3924.00,102.33
3923.00,102.33
3922.00,102.32
3921.00,102.31
3920.00,102.32
3919.00,102.33
3918.00,102.35
3917.00,102.36
3916.00,102.37
3915.00,102.36
3914.00,102.35
3913.00,102.35
3912.00,102.35
3911.00,102.36
3910.00,102.36
3909.00,102.34
3908.00,102.31
3907.00,102.28
3906.00,102.27
3905.00,102.26
3904.00,102.26
3903.00,102.23
3902.00,102.19
3901.00,102.17
3900.00,102.20
3899.00,102.26
3898.00,102.32
3897.00,102.34
3896.00,102.33
3895.00,102.31
3894.00,102.29
3893.00,102.27
3892.00,102.27
3891.00,102.27
3890.00,102.25
3889.00,102.22
3888.00,102.18
3887.00,102.19
3886.00,102.23
3885.00,102.25
3884.00,102.20
3883.00,102.13
3882.00,102.08
3881.00,102.09
3880.00,102.14
3879.00,102.18
3878.00,102.21
3877.00,102.22
3876.00,102.24
3875.00,102.26
3874.00,102.27
3873.00,102.23
3872.00,102.18
3871.00,102.17
3870.00,102.21
3869.00,102.24
3868.00,102.22
3867.00,102.17
3866.00,102.16
3865.00,102.20
3864.00,102.24
3863.00,102.24
3862.00,102.22
3861.00,102.21
3860.00,102.22
3859.00,102.23
3858.00,102.24
3857.00,102.23
3856.00,102.21
3855.00,102.19
3854.00,102.20
3853.00,102.19
3852.00,102.15
3851.00,102.11
3850.00,102.10
3849.00,102.12
3848.00,102.17
3847.00,102.20
3846.00,102.22
3845.00,102.24
3844.00,102.26
3843.00,102.27
3842.00,102.26
3841.00,102.22
3840.00,102.19
3839.00,102.18
3838.00,102.17
3837.00,102.17
3836.00,102.15
3835.00,102.15
3834.00,102.15
3833.00,102.19
3832.00,102.23
3831.00,102.26
3830.00,102.26
3829.00,102.22
3828.00,102.20
3827.00,102.21
3826.00,102.23
3825.00,102.23
3824.00,102.20
3823.00,102.16
3822.00,102.15
3821.00,102.18
3820.00,102.17
3819.00,102.13
3818.00,102.08
3817.00,102.11
3816.00,102.19
3815.00,102.26
3814.00,102.28
3813.00,102.28
3812.00,102.29
3811.00,102.30
3810.00,102.27
3809.00,102.21
3808.00,102.17
3807.00,102.19
3806.00,102.21
3805.00,102.19
3804.00,102.14
3803.00,102.12
3802.00,102.16
3801.00,102.21
3800.00,102.21
3799.00,102.16
3798.00,102.12
3797.00,102.13
3796.00,102.16
3795.00,102.18
3794.00,102.18
3793.00,102.18
3792.00,102.21
3791.00,102.26
3790.00,102.30
3789.00,102.31
3788.00,102.31
3787.00,102.30
3786.00,102.28
3785.00,102.27
3784.00,102.27
3783.00,102.26
3782.00,102.24
3781.00,102.21
3780.00,102.20
3779.00,102.20
3778.00,102.21
3777.00,102.20
3776.00,102.21
3775.00,102.22
3774.00,102.22
3773.00,102.21
3772.00,102.20
3771.00,102.20
3770.00,102.22
3769.00,102.22
3768.00,102.19
3767.00,102.17
3766.00,102.18
3765.00,102.20
3764.00,102.21
3763.00,102.19
3762.00,102.16
3761.00,102.17
3760.00,102.20
3759.00,102.21
3758.00,102.19
3757.00,102.17
3756.00,102.16
3755.00,102.15
3754.00,102.14
3753.00,102.12
3752.00,102.10
3751.00,102.06
3750.00,102.05
3749.00,102.06
3748.00,102.04
3747.00,101.98
3746.00,101.92
3745.00,101.94
3744.00,102.00
3743.00,102.03
3742.00,102.01
3741.00,101.99
3740.00,102.00
3739.00,102.03
3738.00,102.02
3737.00,102.01
3736.00,102.00
3735.00,101.98
3734.00,101.95
3733.00,101.95
3732.00,102.00
3731.00,102.07
3730.00,102.12
3729.00,102.12
3728.00,102.12
3727.00,102.12
3726.00,102.12
3725.00,102.11
3724.00,102.10
3723.00,102.11
3722.00,102.13
3721.00,102.14
3720.00,102.13
3719.00,102.13
3718.00,102.15
3717.00,102.18
3716.00,102.18
3715.00,102.15
3714.00,102.12
3713.00,102.10
3712.00,102.09
3711.00,102.07
3710.00,102.05
3709.00,102.06
3708.00,102.09
3707.00,102.13
3706.00,102.15
3705.00,102.15
3704.00,102.14
3703.00,102.13
3702.00,102.14
3701.00,102.16
3700.00,102.15
3699.00,102.13
3698.00,102.10
3697.00,102.10
3696.00,102.10
3695.00,102.10
3694.00,102.09
3693.00,102.07
3692.00,102.07
3691.00,102.06
3690.00,102.05
3689.00,102.04
3688.00,102.04
3687.00,102.03
3686.00,102.02
3685.00,102.03
3684.00,102.05
3683.00,102.08
3682.00,102.09
3681.00,102.08
3680.00,102.06
3679.00,102.01
3678.00,101.93
3677.00,101.84
3676.00,101.81
3675.00,101.83
3674.00,101.84
3673.00,101.81
3672.00,101.79
3671.00,101.82
3670.00,101.86
3669.00,101.87
3668.00,101.86
3667.00,101.85
3666.00,101.86
3665.00,101.88
3664.00,101.90
3663.00,101.92
3662.00,101.93
3661.00,101.94
3660.00,101.93
3659.00,101.90
3658.00,101.88
3657.00,101.86
3656.00,101.86
3655.00,101.84
3654.00,101.78
3653.00,101.72
3652.00,101.68
3651.00,101.67
3650.00,101.66
3649.00,101.61
3648.00,101.56
3647.00,101.55
