Created as New Dataset,59 Modacrylic Hoechst Dolan 88 
cm-1,%T
4000.00,98.60
3999.00,98.59
3998.00,98.57
3997.00,98.55
3996.00,98.54
3995.00,98.54
3994.00,98.54
3993.00,98.54
3992.00,98.54
3991.00,98.54
3990.00,98.56
3989.00,98.58
3988.00,98.60
3987.00,98.60
3986.00,98.59
3985.00,98.57
3984.00,98.56
3983.00,98.55
3982.00,98.55
3981.00,98.55
3980.00,98.55
3979.00,98.54
3978.00,98.53
3977.00,98.53
3976.00,98.53
3975.00,98.53
3974.00,98.54
3973.00,98.54
3972.00,98.56
3971.00,98.57
3970.00,98.58
3969.00,98.59
3968.00,98.59
3967.00,98.59
3966.00,98.60
3965.00,98.62
3964.00,98.63
3963.00,98.64
3962.00,98.65
3961.00,98.65
3960.00,98.63
3959.00,98.60
3958.00,98.58
3957.00,98.56
3956.00,98.56
3955.00,98.57
3954.00,98.57
3953.00,98.57
3952.00,98.57
3951.00,98.57
3950.00,98.56
3949.00,98.56
3948.00,98.56
3947.00,98.55
3946.00,98.55
3945.00,98.54
3944.00,98.55
3943.00,98.56
3942.00,98.56
3941.00,98.54
3940.00,98.51
3939.00,98.50
3938.00,98.51
3937.00,98.54
3936.00,98.56
3935.00,98.56
3934.00,98.55
3933.00,98.53
3932.00,98.52
3931.00,98.51
3930.00,98.50
3929.00,98.48
3928.00,98.47
3927.00,98.46
3926.00,98.48
3925.00,98.51
3924.00,98.54
3923.00,98.56
3922.00,98.57
3921.00,98.57
3920.00,98.57
3919.00,98.57
3918.00,98.56
3917.00,98.55
3916.00,98.56
3915.00,98.58
3914.00,98.60
3913.00,98.60
3912.00,98.61
3911.00,98.61
3910.00,98.61
3909.00,98.60
3908.00,98.60
3907.00,98.58
3906.00,98.57
3905.00,98.56
3904.00,98.57
3903.00,98.57
3902.00,98.55
3901.00,98.52
3900.00,98.50
3899.00,98.50
3898.00,98.51
3897.00,98.52
3896.00,98.53
3895.00,98.53
3894.00,98.52
3893.00,98.52
3892.00,98.52
3891.00,98.55
3890.00,98.57
3889.00,98.55
3888.00,98.50
3887.00,98.47
3886.00,98.50
3885.00,98.55
3884.00,98.57
3883.00,98.54
3882.00,98.50
3881.00,98.49
3880.00,98.49
3879.00,98.48
3878.00,98.46
3877.00,98.43
3876.00,98.43
3875.00,98.47
3874.00,98.53
3873.00,98.54
3872.00,98.50
3871.00,98.47
3870.00,98.50
3869.00,98.55
3868.00,98.55
3867.00,98.49
3866.00,98.46
3865.00,98.47
3864.00,98.50
3863.00,98.50
3862.00,98.48
3861.00,98.47
3860.00,98.48
3859.00,98.52
3858.00,98.55
3857.00,98.58
3856.00,98.60
3855.00,98.60
3854.00,98.60
3853.00,98.59
3852.00,98.54
3851.00,98.48
3850.00,98.45
3849.00,98.46
3848.00,98.50
3847.00,98.54
3846.00,98.55
3845.00,98.55
3844.00,98.54
3843.00,98.54
3842.00,98.53
3841.00,98.50
3840.00,98.47
3839.00,98.45
3838.00,98.45
3837.00,98.45
3836.00,98.44
3835.00,98.42
3834.00,98.40
3833.00,98.39
3832.00,98.41
3831.00,98.43
3830.00,98.44
3829.00,98.43
3828.00,98.42
3827.00,98.44
3826.00,98.47
3825.00,98.49
3824.00,98.47
3823.00,98.44
3822.00,98.45
3821.00,98.51
3820.00,98.54
3819.00,98.50
3818.00,98.41
3817.00,98.38
3816.00,98.42
3815.00,98.49
3814.00,98.51
3813.00,98.50
3812.00,98.51
3811.00,98.52
3810.00,98.50
3809.00,98.46
3808.00,98.42
3807.00,98.44
3806.00,98.47
3805.00,98.46
3804.00,98.41
3803.00,98.38
3802.00,98.41
3801.00,98.47
3800.00,98.48
3799.00,98.42
3798.00,98.37
3797.00,98.38
3796.00,98.43
3795.00,98.46
3794.00,98.44
3793.00,98.41
3792.00,98.39
3791.00,98.41
3790.00,98.43
3789.00,98.45
3788.00,98.46
3787.00,98.45
3786.00,98.43
3785.00,98.43
3784.00,98.43
3783.00,98.43
3782.00,98.41
3781.00,98.39
3780.00,98.38
3779.00,98.39
3778.00,98.40
3777.00,98.40
3776.00,98.41
3775.00,98.43
3774.00,98.45
3773.00,98.45
3772.00,98.43
3771.00,98.42
3770.00,98.42
3769.00,98.43
3768.00,98.41
3767.00,98.39
3766.00,98.38
3765.00,98.40
3764.00,98.42
3763.00,98.41
3762.00,98.38
3761.00,98.38
3760.00,98.41
3759.00,98.44
3758.00,98.45
3757.00,98.46
3756.00,98.46
3755.00,98.45
3754.00,98.43
3753.00,98.43
3752.00,98.43
3751.00,98.40
3750.00,98.37
3749.00,98.36
3748.00,98.35
3747.00,98.32
3746.00,98.30
3745.00,98.33
3744.00,98.39
3743.00,98.38
3742.00,98.33
3741.00,98.29
3740.00,98.31
3739.00,98.37
3738.00,98.40
3737.00,98.42
3736.00,98.42
3735.00,98.41
3734.00,98.38
3733.00,98.36
3732.00,98.38
3731.00,98.41
3730.00,98.41
3729.00,98.38
3728.00,98.35
3727.00,98.35
3726.00,98.36
3725.00,98.35
3724.00,98.31
3723.00,98.27
3722.00,98.24
3721.00,98.23
3720.00,98.23
3719.00,98.23
3718.00,98.24
3717.00,98.27
3716.00,98.29
3715.00,98.31
3714.00,98.32
3713.00,98.34
3712.00,98.35
3711.00,98.35
3710.00,98.32
3709.00,98.30
3708.00,98.29
3707.00,98.31
3706.00,98.33
3705.00,98.33
3704.00,98.32
3703.00,98.30
3702.00,98.31
3701.00,98.33
3700.00,98.34
3699.00,98.32
3698.00,98.30
3697.00,98.31
3696.00,98.34
3695.00,98.38
3694.00,98.41
3693.00,98.42
3692.00,98.40
3691.00,98.35
3690.00,98.30
3689.00,98.27
3688.00,98.27
3687.00,98.28
3686.00,98.28
3685.00,98.28
3684.00,98.28
3683.00,98.27
3682.00,98.25
3681.00,98.23
3680.00,98.23
3679.00,98.24
3678.00,98.22
3677.00,98.20
3676.00,98.21
3675.00,98.25
3674.00,98.26
3673.00,98.20
3672.00,98.12
3671.00,98.11
3670.00,98.14
3669.00,98.15
3668.00,98.13
3667.00,98.10
3666.00,98.10
3665.00,98.13
3664.00,98.17
3663.00,98.19
3662.00,98.19
3661.00,98.19
3660.00,98.19
3659.00,98.17
3658.00,98.15
3657.00,98.14
3656.00,98.16
3655.00,98.18
3654.00,98.16
3653.00,98.12
3652.00,98.07
3651.00,98.05
3650.00,98.03
3649.00,98.00
3648.00,97.98
3647.00,97.99
3646.00,98.01
3645.00,98.02
3644.00,98.02
3643.00,98.02
3642.00,98.02
3641.00,98.02
3640.00,98.02
3639.00,98.03
3638.00,98.05
3637.00,98.07
3636.00,98.08
3635.00,98.10
