Created as New Dataset,60 Lenzing
cm-1,%T
4000.00,98.24
3999.00,98.23
3998.00,98.22
3997.00,98.22
3996.00,98.21
3995.00,98.20
3994.00,98.19
3993.00,98.18
3992.00,98.19
3991.00,98.21
3990.00,98.21
3989.00,98.21
3988.00,98.20
3987.00,98.19
3986.00,98.19
3985.00,98.18
3984.00,98.18
3983.00,98.17
3982.00,98.17
3981.00,98.16
3980.00,98.16
3979.00,98.17
3978.00,98.17
3977.00,98.17
3976.00,98.17
3975.00,98.17
3974.00,98.16
3973.00,98.16
3972.00,98.16
3971.00,98.17
3970.00,98.17
3969.00,98.17
3968.00,98.18
3967.00,98.20
3966.00,98.22
3965.00,98.23
3964.00,98.24
3963.00,98.25
3962.00,98.26
3961.00,98.25
3960.00,98.24
3959.00,98.22
3958.00,98.20
3957.00,98.20
3956.00,98.21
3955.00,98.22
3954.00,98.23
3953.00,98.24
3952.00,98.25
3951.00,98.26
3950.00,98.26
3949.00,98.25
3948.00,98.23
3947.00,98.21
3946.00,98.19
3945.00,98.17
3944.00,98.16
3943.00,98.16
3942.00,98.17
3941.00,98.18
3940.00,98.19
3939.00,98.18
3938.00,98.16
3937.00,98.14
3936.00,98.13
3935.00,98.12
3934.00,98.12
3933.00,98.12
3932.00,98.11
3931.00,98.11
3930.00,98.11
3929.00,98.12
3928.00,98.13
3927.00,98.14
3926.00,98.15
3925.00,98.15
3924.00,98.15
3923.00,98.16
3922.00,98.17
3921.00,98.17
3920.00,98.17
3919.00,98.16
3918.00,98.14
3917.00,98.13
3916.00,98.14
3915.00,98.16
3914.00,98.18
3913.00,98.20
3912.00,98.21
3911.00,98.21
3910.00,98.19
3909.00,98.16
3908.00,98.13
3907.00,98.10
3906.00,98.10
3905.00,98.12
3904.00,98.13
3903.00,98.14
3902.00,98.13
3901.00,98.13
3900.00,98.13
3899.00,98.14
3898.00,98.15
3897.00,98.15
3896.00,98.15
3895.00,98.15
3894.00,98.16
3893.00,98.17
3892.00,98.17
3891.00,98.17
3890.00,98.17
3889.00,98.18
3888.00,98.21
3887.00,98.23
3886.00,98.23
3885.00,98.20
3884.00,98.17
3883.00,98.15
3882.00,98.15
3881.00,98.16
3880.00,98.17
3879.00,98.15
3878.00,98.14
3877.00,98.14
3876.00,98.15
3875.00,98.16
3874.00,98.16
3873.00,98.14
3872.00,98.13
3871.00,98.13
3870.00,98.14
3869.00,98.15
3868.00,98.15
3867.00,98.14
3866.00,98.14
3865.00,98.14
3864.00,98.15
3863.00,98.16
3862.00,98.18
3861.00,98.18
3860.00,98.18
3859.00,98.17
3858.00,98.14
3857.00,98.12
3856.00,98.12
3855.00,98.15
3854.00,98.17
3853.00,98.17
3852.00,98.14
3851.00,98.11
3850.00,98.10
3849.00,98.10
3848.00,98.11
3847.00,98.13
3846.00,98.15
3845.00,98.16
3844.00,98.18
3843.00,98.18
3842.00,98.19
3841.00,98.18
3840.00,98.17
3839.00,98.16
3838.00,98.14
3837.00,98.14
3836.00,98.14
3835.00,98.16
3834.00,98.18
3833.00,98.19
3832.00,98.20
3831.00,98.19
3830.00,98.18
3829.00,98.17
3828.00,98.16
3827.00,98.16
3826.00,98.16
3825.00,98.16
3824.00,98.15
3823.00,98.15
3822.00,98.14
3821.00,98.12
3820.00,98.12
3819.00,98.12
3818.00,98.13
3817.00,98.12
3816.00,98.11
3815.00,98.10
3814.00,98.10
3813.00,98.11
3812.00,98.13
3811.00,98.13
3810.00,98.14
3809.00,98.14
3808.00,98.13
3807.00,98.12
3806.00,98.10
3805.00,98.09
3804.00,98.10
3803.00,98.13
3802.00,98.15
3801.00,98.15
3800.00,98.14
3799.00,98.14
3798.00,98.15
3797.00,98.17
3796.00,98.19
3795.00,98.19
3794.00,98.18
3793.00,98.17
3792.00,98.16
3791.00,98.15
3790.00,98.14
3789.00,98.13
3788.00,98.13
3787.00,98.12
3786.00,98.12
3785.00,98.13
3784.00,98.14
3783.00,98.15
3782.00,98.16
3781.00,98.16
3780.00,98.15
3779.00,98.13
3778.00,98.13
3777.00,98.14
3776.00,98.15
3775.00,98.16
3774.00,98.17
3773.00,98.17
3772.00,98.17
3771.00,98.17
3770.00,98.15
3769.00,98.13
3768.00,98.11
3767.00,98.10
3766.00,98.09
3765.00,98.08
3764.00,98.07
3763.00,98.06
3762.00,98.06
3761.00,98.06
3760.00,98.06
3759.00,98.05
3758.00,98.04
3757.00,98.02
3756.00,98.00
3755.00,97.98
3754.00,97.96
3753.00,97.94
3752.00,97.93
3751.00,97.92
3750.00,97.91
3749.00,97.91
3748.00,97.91
3747.00,97.92
3746.00,97.94
3745.00,97.95
3744.00,97.95
3743.00,97.96
3742.00,97.98
3741.00,97.99
3740.00,97.99
3739.00,97.97
3738.00,97.96
3737.00,97.94
3736.00,97.94
3735.00,97.95
3734.00,97.97
3733.00,97.99
3732.00,98.00
3731.00,98.02
3730.00,98.04
3729.00,98.07
3728.00,98.09
3727.00,98.09
3726.00,98.08
3725.00,98.05
3724.00,98.03
3723.00,98.01
3722.00,97.98
3721.00,97.96
3720.00,97.95
3719.00,97.95
3718.00,97.96
3717.00,97.96
3716.00,97.96
3715.00,97.96
3714.00,97.96
3713.00,97.97
3712.00,97.97
3711.00,97.97
3710.00,97.98
3709.00,97.98
3708.00,98.00
3707.00,98.01
3706.00,98.02
3705.00,98.03
3704.00,98.04
3703.00,98.04
3702.00,98.04
3701.00,98.03
3700.00,98.02
3699.00,98.02
3698.00,98.02
3697.00,98.02
3696.00,98.01
3695.00,98.00
3694.00,97.97
3693.00,97.94
3692.00,97.92
3691.00,97.93
3690.00,97.96
3689.00,97.99
3688.00,98.00
3687.00,98.00
3686.00,98.00
3685.00,98.01
3684.00,98.02
3683.00,98.01
3682.00,97.99
3681.00,97.96
3680.00,97.94
3679.00,97.94
3678.00,97.96
3677.00,97.98
3676.00,97.96
3675.00,97.90
3674.00,97.85
3673.00,97.83
3672.00,97.84
3671.00,97.85
3670.00,97.85
3669.00,97.83
3668.00,97.81
3667.00,97.81
3666.00,97.82
3665.00,97.83
3664.00,97.84
