Created as New Dataset,60 Lenzing Lenzing Modal
cm-1,%T
4000.00,97.26
3999.00,97.28
3998.00,97.29
3997.00,97.27
3996.00,97.25
3995.00,97.23
3994.00,97.22
3993.00,97.24
3992.00,97.26
3991.00,97.27
3990.00,97.27
3989.00,97.26
3988.00,97.25
3987.00,97.25
3986.00,97.26
3985.00,97.27
3984.00,97.27
3983.00,97.26
3982.00,97.24
3981.00,97.23
3980.00,97.24
3979.00,97.25
3978.00,97.27
3977.00,97.28
3976.00,97.29
3975.00,97.27
3974.00,97.25
3973.00,97.23
3972.00,97.22
3971.00,97.23
3970.00,97.24
3969.00,97.24
3968.00,97.25
3967.00,97.25
3966.00,97.25
3965.00,97.24
3964.00,97.24
3963.00,97.23
3962.00,97.23
3961.00,97.24
3960.00,97.25
3959.00,97.26
3958.00,97.26
3957.00,97.27
3956.00,97.27
3955.00,97.26
3954.00,97.26
3953.00,97.26
3952.00,97.26
3951.00,97.27
3950.00,97.27
3949.00,97.27
3948.00,97.25
3947.00,97.23
3946.00,97.21
3945.00,97.20
3944.00,97.20
3943.00,97.20
3942.00,97.20
3941.00,97.19
3940.00,97.17
3939.00,97.16
3938.00,97.15
3937.00,97.16
3936.00,97.16
3935.00,97.16
3934.00,97.16
3933.00,97.16
3932.00,97.16
3931.00,97.17
3930.00,97.18
3929.00,97.19
3928.00,97.20
3927.00,97.21
3926.00,97.22
3925.00,97.24
3924.00,97.25
3923.00,97.26
3922.00,97.25
3921.00,97.25
3920.00,97.25
3919.00,97.25
3918.00,97.25
3917.00,97.24
3916.00,97.24
3915.00,97.25
3914.00,97.26
3913.00,97.29
3912.00,97.31
3911.00,97.32
3910.00,97.31
3909.00,97.28
3908.00,97.24
3907.00,97.20
3906.00,97.17
3905.00,97.16
3904.00,97.16
3903.00,97.14
3902.00,97.13
3901.00,97.13
3900.00,97.16
3899.00,97.20
3898.00,97.21
3897.00,97.21
3896.00,97.21
3895.00,97.20
3894.00,97.20
3893.00,97.22
3892.00,97.24
3891.00,97.25
3890.00,97.24
3889.00,97.20
3888.00,97.16
3887.00,97.15
3886.00,97.16
3885.00,97.15
3884.00,97.11
3883.00,97.07
3882.00,97.07
3881.00,97.10
3880.00,97.14
3879.00,97.17
3878.00,97.17
3877.00,97.17
3876.00,97.19
3875.00,97.21
3874.00,97.21
3873.00,97.17
3872.00,97.12
3871.00,97.10
3870.00,97.13
3869.00,97.15
3868.00,97.15
3867.00,97.14
3866.00,97.15
3865.00,97.18
3864.00,97.20
3863.00,97.20
3862.00,97.19
3861.00,97.19
3860.00,97.18
3859.00,97.17
3858.00,97.16
3857.00,97.12
3856.00,97.09
3855.00,97.08
3854.00,97.09
3853.00,97.09
3852.00,97.07
3851.00,97.08
3850.00,97.10
3849.00,97.14
3848.00,97.18
3847.00,97.20
3846.00,97.20
3845.00,97.20
3844.00,97.20
3843.00,97.19
3842.00,97.17
3841.00,97.15
3840.00,97.13
3839.00,97.13
3838.00,97.12
3837.00,97.10
3836.00,97.07
3835.00,97.05
3834.00,97.05
3833.00,97.08
3832.00,97.13
3831.00,97.16
3830.00,97.15
3829.00,97.12
3828.00,97.09
3827.00,97.10
3826.00,97.11
3825.00,97.12
3824.00,97.11
3823.00,97.10
3822.00,97.12
3821.00,97.13
3820.00,97.11
3819.00,97.07
3818.00,97.04
3817.00,97.06
3816.00,97.11
3815.00,97.13
3814.00,97.13
3813.00,97.13
3812.00,97.15
3811.00,97.17
3810.00,97.17
3809.00,97.16
3808.00,97.15
3807.00,97.14
3806.00,97.11
3805.00,97.05
3804.00,96.99
3803.00,96.98
3802.00,97.03
3801.00,97.07
3800.00,97.08
3799.00,97.07
3798.00,97.08
3797.00,97.10
3796.00,97.13
3795.00,97.12
3794.00,97.11
3793.00,97.11
3792.00,97.13
3791.00,97.16
3790.00,97.17
3789.00,97.17
3788.00,97.17
3787.00,97.16
3786.00,97.16
3785.00,97.17
3784.00,97.18
3783.00,97.18
3782.00,97.17
3781.00,97.16
3780.00,97.17
3779.00,97.17
3778.00,97.16
3777.00,97.15
3776.00,97.14
3775.00,97.14
3774.00,97.14
3773.00,97.13
3772.00,97.14
3771.00,97.16
3770.00,97.20
3769.00,97.20
3768.00,97.18
3767.00,97.16
3766.00,97.15
3765.00,97.16
3764.00,97.15
3763.00,97.13
3762.00,97.10
3761.00,97.08
3760.00,97.07
3759.00,97.06
3758.00,97.05
3757.00,97.05
3756.00,97.05
3755.00,97.04
3754.00,97.03
3753.00,97.01
3752.00,96.98
3751.00,96.96
3750.00,96.93
3749.00,96.91
3748.00,96.88
3747.00,96.85
3746.00,96.87
3745.00,96.95
3744.00,97.02
3743.00,97.04
3742.00,97.03
3741.00,97.03
3740.00,97.04
3739.00,97.03
3738.00,97.00
3737.00,96.97
3736.00,96.95
3735.00,96.93
3734.00,96.92
3733.00,96.92
3732.00,96.95
3731.00,96.99
3730.00,97.03
3729.00,97.08
3728.00,97.15
3727.00,97.20
3726.00,97.21
3725.00,97.19
3724.00,97.14
3723.00,97.09
3722.00,97.05
3721.00,97.02
3720.00,97.01
3719.00,97.02
3718.00,97.03
3717.00,97.04
3716.00,97.04
3715.00,97.02
3714.00,97.01
3713.00,97.01
3712.00,97.01
3711.00,97.01
3710.00,96.99
3709.00,96.98
3708.00,96.98
3707.00,96.99
3706.00,97.00
3705.00,97.01
3704.00,97.01
3703.00,97.02
3702.00,97.02
3701.00,97.03
3700.00,97.03
3699.00,97.03
3698.00,97.03
3697.00,97.05
3696.00,97.06
3695.00,97.07
3694.00,97.05
3693.00,97.02
3692.00,96.97
3691.00,96.94
3690.00,96.93
3689.00,96.95
3688.00,96.97
3687.00,96.99
3686.00,96.99
3685.00,96.98
3684.00,96.98
3683.00,96.97
3682.00,96.95
3681.00,96.94
3680.00,96.93
3679.00,96.90
3678.00,96.86
3677.00,96.82
3676.00,96.81
3675.00,96.80
3674.00,96.78
3673.00,96.76
3672.00,96.75
3671.00,96.78
3670.00,96.81
3669.00,96.82
3668.00,96.81
3667.00,96.82
3666.00,96.85
3665.00,96.87
3664.00,96.87
3663.00,96.86
3662.00,96.84
3661.00,96.84
3660.00,96.83
3659.00,96.82
3658.00,96.81
3657.00,96.80
3656.00,96.79
3655.00,96.76
3654.00,96.70
3653.00,96.64
3652.00,96.60
3651.00,96.58
3650.00,96.57
3649.00,96.55
3648.00,96.54
3647.00,96.55
3646.00,96.56
3645.00,96.58
3644.00,96.59
3643.00,96.61
3642.00,96.63
3641.00,96.63
3640.00,96.63
3639.00,96.62
3638.00,96.59
3637.00,96.57
3636.00,96.55
3635.00,96.55
3634.00,96.55
3633.00,96.53
3632.00,96.48
3631.00,96.41
3630.00,96.34
3629.00,96.30
3628.00,96.26
3627.00,96.24
3626.00,96.25
3625.00,96.26
3624.00,96.25
3623.00,96.22
3622.00,96.16
3621.00,96.12
3620.00,96.09
3619.00,96.08
3618.00,96.05
3617.00,96.02
3616.00,96.00
3615.00,95.98
3614.00,95.97
3613.00,95.95
3612.00,95.93
3611.00,95.90
3610.00,95.87
3609.00,95.86
3608.00,95.85
3607.00,95.84
3606.00,95.83
3605.00,95.81
3604.00,95.80
3603.00,95.77
3602.00,95.74
3601.00,95.71
3600.00,95.67
3599.00,95.63
3598.00,95.59
3597.00,95.55
3596.00,95.51
3595.00,95.48
3594.00,95.47
3593.00,95.48
3592.00,95.48
3591.00,95.47
3590.00,95.44
3589.00,95.40
3588.00,95.34
3587.00,95.28
3586.00,95.21
3585.00,95.17
3584.00,95.16
3583.00,95.17
3582.00,95.19
3581.00,95.18
3580.00,95.15
3579.00,95.09
3578.00,95.03
3577.00,94.97
3576.00,94.92
3575.00,94.88
3574.00,94.86
3573.00,94.84
3572.00,94.82
3571.00,94.78
3570.00,94.74
3569.00,94.69
3568.00,94.65
3567.00,94.61
3566.00,94.57
3565.00,94.53
3564.00,94.50
3563.00,94.46
3562.00,94.42
3561.00,94.38
3560.00,94.36
3559.00,94.33
3558.00,94.30
3557.00,94.27
3556.00,94.23
3555.00,94.20
3554.00,94.16
3553.00,94.11
3552.00,94.06
3551.00,94.01
3550.00,93.97
3549.00,93.92
3548.00,93.87
3547.00,93.84
3546.00,93.81
3545.00,93.78
3544.00,93.75
3543.00,93.71
3542.00,93.66
3541.00,93.62
3540.00,93.59
3539.00,93.57
3538.00,93.55
3537.00,93.53
3536.00,93.49
3535.00,93.45
3534.00,93.39
3533.00,93.34
3532.00,93.28
3531.00,93.23
3530.00,93.20
3529.00,93.18
3528.00,93.17
3527.00,93.16
3526.00,93.14
3525.00,93.10
3524.00,93.03
3523.00,92.95
3522.00,92.88
3521.00,92.81
3520.00,92.75
3519.00,92.69
3518.00,92.62
3517.00,92.56
3516.00,92.51
3515.00,92.49
3514.00,92.48
3513.00,92.46
3512.00,92.43
3511.00,92.37
3510.00,92.31
3509.00,92.25
3508.00,92.22
3507.00,92.19
3506.00,92.16
3505.00,92.12
3504.00,92.07
3503.00,92.01
3502.00,91.96
3501.00,91.91
3500.00,91.85
3499.00,91.79
3498.00,91.74
3497.00,91.68
3496.00,91.63
3495.00,91.56
3494.00,91.49
3493.00,91.44
3492.00,91.40
3491.00,91.36
3490.00,91.32
3489.00,91.26
3488.00,91.21
3487.00,91.17
3486.00,91.14
3485.00,91.13
3484.00,91.10
3483.00,91.06
3482.00,91.00
3481.00,90.93
3480.00,90.86
3479.00,90.80
3478.00,90.76
3477.00,90.75
3476.00,90.73
3475.00,90.71
3474.00,90.68
3473.00,90.63
3472.00,90.58
3471.00,90.54
3470.00,90.50
3469.00,90.47
3468.00,90.45
3467.00,90.41
3466.00,90.37
3465.00,90.32
3464.00,90.28
3463.00,90.24
3462.00,90.20
3461.00,90.14
3460.00,90.09
3459.00,90.05
3458.00,90.02
3457.00,89.99
3456.00,89.94
3455.00,89.90
3454.00,89.86
3453.00,89.82
3452.00,89.78
3451.00,89.73
3450.00,89.67
3449.00,89.61
3448.00,89.55
3447.00,89.51
3446.00,89.47
3445.00,89.44
3444.00,89.41
3443.00,89.37
3442.00,89.33
3441.00,89.30
3440.00,89.29
3439.00,89.29
3438.00,89.27
3437.00,89.23
3436.00,89.20
3435.00,89.17
3434.00,89.14
3433.00,89.11
3432.00,89.08
3431.00,89.06
3430.00,89.03
3429.00,89.00
3428.00,88.98
3427.00,88.94
3426.00,88.91
3425.00,88.88
3424.00,88.87
3423.00,88.85
3422.00,88.84
3421.00,88.83
3420.00,88.81
3419.00,88.80
3418.00,88.77
3417.00,88.74
3416.00,88.70
3415.00,88.67
3414.00,88.65
3413.00,88.64
3412.00,88.63
3411.00,88.62
3410.00,88.60
3409.00,88.58
3408.00,88.55
3407.00,88.52
3406.00,88.50
3405.00,88.47
3404.00,88.44
3403.00,88.43
3402.00,88.42
3401.00,88.41
3400.00,88.41
3399.00,88.41
3398.00,88.41
3397.00,88.41
3396.00,88.39
3395.00,88.35
3394.00,88.29
3393.00,88.24
3392.00,88.20
3391.00,88.17
3390.00,88.16
3389.00,88.16
3388.00,88.15
3387.00,88.14
3386.00,88.12
3385.00,88.11
3384.00,88.09
3383.00,88.07
3382.00,88.05
3381.00,88.03
3380.00,88.01
3379.00,87.99
3378.00,87.99
3377.00,87.98
3376.00,87.98
3375.00,87.98
3374.00,87.97
3373.00,87.96
3372.00,87.96
3371.00,87.95
3370.00,87.94
3369.00,87.90
3368.00,87.86
3367.00,87.81
3366.00,87.79
3365.00,87.78
3364.00,87.80
3363.00,87.83
3362.00,87.85
3361.00,87.85
3360.00,87.84
3359.00,87.81
3358.00,87.78
3357.00,87.76
3356.00,87.74
3355.00,87.74
3354.00,87.74
3353.00,87.74
3352.00,87.73
3351.00,87.73
3350.00,87.72
3349.00,87.71
3348.00,87.71
3347.00,87.70
3346.00,87.70
3345.00,87.69
3344.00,87.68
3343.00,87.66
3342.00,87.64
3341.00,87.63
3340.00,87.63
3339.00,87.65
3338.00,87.67
3337.00,87.67
3336.00,87.67
3335.00,87.66
3334.00,87.66
3333.00,87.67
3332.00,87.67
3331.00,87.67
3330.00,87.66
3329.00,87.66
3328.00,87.66
3327.00,87.65
3326.00,87.65
3325.00,87.65
3324.00,87.65
3323.00,87.66
3322.00,87.67
3321.00,87.69
3320.00,87.69
3319.00,87.68
3318.00,87.67
3317.00,87.65
3316.00,87.63
3315.00,87.63
3314.00,87.63
3313.00,87.66
3312.00,87.70
3311.00,87.74
3310.00,87.76
3309.00,87.74
3308.00,87.71
3307.00,87.68
3306.00,87.66
3305.00,87.67
3304.00,87.69
3303.00,87.72
3302.00,87.74
3301.00,87.76
3300.00,87.76
3299.00,87.76
3298.00,87.76
3297.00,87.75
3296.00,87.74
3295.00,87.73
3294.00,87.73
3293.00,87.74
3292.00,87.76
3291.00,87.78
3290.00,87.80
3289.00,87.81
3288.00,87.81
3287.00,87.81
3286.00,87.82
3285.00,87.83
3284.00,87.83
3283.00,87.82
3282.00,87.81
3281.00,87.80
3280.00,87.79
3279.00,87.80
3278.00,87.80
3277.00,87.82
3276.00,87.85
3275.00,87.88
3274.00,87.91
3273.00,87.93
3272.00,87.93
3271.00,87.92
3270.00,87.91
3269.00,87.90
3268.00,87.91
3267.00,87.93
3266.00,87.96
3265.00,87.99
3264.00,88.01
3263.00,88.03
3262.00,88.04
3261.00,88.04
3260.00,88.03
3259.00,88.03
3258.00,88.04
3257.00,88.05
3256.00,88.07
3255.00,88.09
3254.00,88.11
3253.00,88.12
3252.00,88.13
3251.00,88.14
3250.00,88.14
3249.00,88.14
3248.00,88.14
3247.00,88.16
3246.00,88.18
3245.00,88.21
3244.00,88.24
3243.00,88.25
3242.00,88.26
3241.00,88.26
3240.00,88.26
3239.00,88.27
