Created as New Dataset,91 Du Pont
cm-1,%T
4000.00,99.65
3999.00,99.63
3998.00,99.61
3997.00,99.60
3996.00,99.60
3995.00,99.61
3994.00,99.62
3993.00,99.64
3992.00,99.65
3991.00,99.66
3990.00,99.66
3989.00,99.65
3988.00,99.63
3987.00,99.62
3986.00,99.60
3985.00,99.59
3984.00,99.59
3983.00,99.59
3982.00,99.60
3981.00,99.62
3980.00,99.63
3979.00,99.64
3978.00,99.63
3977.00,99.61
3976.00,99.59
3975.00,99.58
3974.00,99.58
3973.00,99.59
3972.00,99.60
3971.00,99.61
3970.00,99.61
3969.00,99.60
3968.00,99.60
3967.00,99.61
3966.00,99.61
3965.00,99.62
3964.00,99.63
3963.00,99.65
3962.00,99.65
3961.00,99.66
3960.00,99.66
3959.00,99.66
3958.00,99.67
3957.00,99.68
3956.00,99.69
3955.00,99.70
3954.00,99.71
3953.00,99.71
3952.00,99.71
3951.00,99.70
3950.00,99.69
3949.00,99.68
3948.00,99.68
3947.00,99.69
3946.00,99.70
3945.00,99.72
3944.00,99.72
3943.00,99.70
3942.00,99.68
3941.00,99.65
3940.00,99.64
3939.00,99.64
3938.00,99.64
3937.00,99.64
3936.00,99.63
3935.00,99.63
3934.00,99.62
3933.00,99.62
3932.00,99.62
3931.00,99.62
3930.00,99.62
3929.00,99.62
3928.00,99.61
3927.00,99.61
3926.00,99.62
3925.00,99.63
3924.00,99.64
3923.00,99.65
3922.00,99.64
3921.00,99.61
3920.00,99.58
3919.00,99.55
3918.00,99.54
3917.00,99.55
3916.00,99.57
3915.00,99.60
3914.00,99.61
3913.00,99.61
3912.00,99.61
3911.00,99.60
3910.00,99.60
3909.00,99.59
3908.00,99.60
3907.00,99.61
3906.00,99.63
3905.00,99.66
3904.00,99.68
3903.00,99.69
3902.00,99.68
3901.00,99.66
3900.00,99.63
3899.00,99.62
3898.00,99.61
3897.00,99.62
3896.00,99.63
3895.00,99.64
3894.00,99.64
3893.00,99.63
3892.00,99.62
3891.00,99.60
3890.00,99.58
3889.00,99.57
3888.00,99.58
3887.00,99.59
3886.00,99.58
3885.00,99.56
3884.00,99.54
3883.00,99.55
3882.00,99.58
3881.00,99.62
3880.00,99.65
3879.00,99.66
3878.00,99.66
3877.00,99.64
3876.00,99.62
3875.00,99.58
3874.00,99.55
3873.00,99.52
3872.00,99.50
3871.00,99.48
3870.00,99.47
3869.00,99.46
3868.00,99.45
3867.00,99.46
3866.00,99.49
3865.00,99.52
3864.00,99.54
3863.00,99.55
