Created as New Dataset,97. Du Pont (Bright Yellow)
cm-1,%T
4000.00,97.10
3999.00,97.08
3998.00,97.07
3997.00,97.05
3996.00,97.03
3995.00,97.03
3994.00,97.03
3993.00,97.03
3992.00,97.03
3991.00,97.04
3990.00,97.05
3989.00,97.06
3988.00,97.06
3987.00,97.07
3986.00,97.06
3985.00,97.05
3984.00,97.03
3983.00,97.01
3982.00,96.99
3981.00,96.98
3980.00,96.98
3979.00,96.99
3978.00,97.01
3977.00,97.01
3976.00,97.02
3975.00,97.02
3974.00,97.03
3973.00,97.05
3972.00,97.05
3971.00,97.05
3970.00,97.05
3969.00,97.04
3968.00,97.04
3967.00,97.05
3966.00,97.06
3965.00,97.06
3964.00,97.06
3963.00,97.05
3962.00,97.05
3961.00,97.05
3960.00,97.06
3959.00,97.07
3958.00,97.08
3957.00,97.08
3956.00,97.08
3955.00,97.06
3954.00,97.05
3953.00,97.05
3952.00,97.06
3951.00,97.08
3950.00,97.10
3949.00,97.10
3948.00,97.09
3947.00,97.07
3946.00,97.06
3945.00,97.04
3944.00,97.03
3943.00,97.02
3942.00,97.02
3941.00,97.02
3940.00,97.03
3939.00,97.03
3938.00,97.03
3937.00,97.02
3936.00,97.01
3935.00,97.00
3934.00,97.00
3933.00,97.00
3932.00,97.00
3931.00,96.99
3930.00,96.98
3929.00,96.98
3928.00,96.98
3927.00,96.98
3926.00,96.99
3925.00,96.99
3924.00,96.99
3923.00,96.99
3922.00,97.01
3921.00,97.01
3920.00,97.01
3919.00,97.00
3918.00,96.98
3917.00,96.97
3916.00,96.97
3915.00,96.97
3914.00,96.98
3913.00,96.98
3912.00,96.98
3911.00,96.98
3910.00,96.99
3909.00,97.00
3908.00,97.01
3907.00,97.02
3906.00,97.02
3905.00,97.02
3904.00,97.03
3903.00,97.03
3902.00,97.03
3901.00,97.03
3900.00,97.01
3899.00,97.00
3898.00,97.01
3897.00,97.01
3896.00,97.02
3895.00,97.03
3894.00,97.01
3893.00,96.99
3892.00,96.97
3891.00,96.97
3890.00,96.99
3889.00,97.02
3888.00,97.03
3887.00,97.04
3886.00,97.03
3885.00,97.03
3884.00,97.03
3883.00,97.01
3882.00,96.99
3881.00,96.96
3880.00,96.94
3879.00,96.94
3878.00,96.95
3877.00,96.96
3876.00,96.97
3875.00,97.01
3874.00,97.06
3873.00,97.09
3872.00,97.09
3871.00,97.04
3870.00,96.98
3869.00,96.96
3868.00,96.97
3867.00,96.99
3866.00,97.00
3865.00,97.01
3864.00,97.03
3863.00,97.05
3862.00,97.04
3861.00,97.03
3860.00,97.01
3859.00,97.01
3858.00,97.02
3857.00,97.03
3856.00,97.05
3855.00,97.04
3854.00,97.01
3853.00,96.99
3852.00,97.00
3851.00,97.00
3850.00,96.98
3849.00,96.95
3848.00,96.93
3847.00,96.92
3846.00,96.94
3845.00,96.95
3844.00,96.96
3843.00,96.95
3842.00,96.95
3841.00,96.95
3840.00,96.96
3839.00,96.97
3838.00,96.98
3837.00,96.99
3836.00,96.98
3835.00,96.98
3834.00,96.97
3833.00,96.97
3832.00,96.97
3831.00,96.98
3830.00,96.98
3829.00,96.97
3828.00,96.95
3827.00,96.93
3826.00,96.92
3825.00,96.92
3824.00,96.92
3823.00,96.92
3822.00,96.91
3821.00,96.90
3820.00,96.91
3819.00,96.93
3818.00,96.93
3817.00,96.91
3816.00,96.89
3815.00,96.89
3814.00,96.91
3813.00,96.91
3812.00,96.91
3811.00,96.90
3810.00,96.91
3809.00,96.93
3808.00,96.95
3807.00,96.94
3806.00,96.93
3805.00,96.91
3804.00,96.89
3803.00,96.86
3802.00,96.84
3801.00,96.86
3800.00,96.91
3799.00,96.94
3798.00,96.93
3797.00,96.91
3796.00,96.89
3795.00,96.90
3794.00,96.91
3793.00,96.92
3792.00,96.91
3791.00,96.89
3790.00,96.86
3789.00,96.83
3788.00,96.81
3787.00,96.80
3786.00,96.80
3785.00,96.81
3784.00,96.82
3783.00,96.82
3782.00,96.82
3781.00,96.81
3780.00,96.81
3779.00,96.81
3778.00,96.81
3777.00,96.80
3776.00,96.79
3775.00,96.80
3774.00,96.81
3773.00,96.84
3772.00,96.84
3771.00,96.82
3770.00,96.80
3769.00,96.79
3768.00,96.80
3767.00,96.80
3766.00,96.78
3765.00,96.77
3764.00,96.76
3763.00,96.75
3762.00,96.75
3761.00,96.74
3760.00,96.72
3759.00,96.72
3758.00,96.72
3757.00,96.73
3756.00,96.75
3755.00,96.77
3754.00,96.79
3753.00,96.79
3752.00,96.79
3751.00,96.78
3750.00,96.77
