Created as New Dataset,80. Nylon Allied Signal Fibers Dyed
cm-1,%T
4000.00,100.06
3999.00,100.05
3998.00,100.04
3997.00,100.03
3996.00,100.01
3995.00,100.00
3994.00,99.99
3993.00,100.00
3992.00,100.02
3991.00,100.04
3990.00,100.05
3989.00,100.05
3988.00,100.04
3987.00,100.04
3986.00,100.04
3985.00,100.05
3984.00,100.06
3983.00,100.06
3982.00,100.07
3981.00,100.07
3980.00,100.07
3979.00,100.05
3978.00,100.04
3977.00,100.02
3976.00,100.01
3975.00,100.01
3974.00,100.03
3973.00,100.05
3972.00,100.07
3971.00,100.07
3970.00,100.05
3969.00,100.03
3968.00,100.02
3967.00,100.03
3966.00,100.05
3965.00,100.08
3964.00,100.09
3963.00,100.09
3962.00,100.08
3961.00,100.07
3960.00,100.06
3959.00,100.06
3958.00,100.07
3957.00,100.07
3956.00,100.07
3955.00,100.07
3954.00,100.06
3953.00,100.05
3952.00,100.04
3951.00,100.03
3950.00,100.03
3949.00,100.04
3948.00,100.06
3947.00,100.07
3946.00,100.07
3945.00,100.06
3944.00,100.06
3943.00,100.06
3942.00,100.05
3941.00,100.05
3940.00,100.04
3939.00,100.02
3938.00,100.02
3937.00,100.03
3936.00,100.03
3935.00,100.05
3934.00,100.06
3933.00,100.08
3932.00,100.07
3931.00,100.06
3930.00,100.05
3929.00,100.05
3928.00,100.05
3927.00,100.06
3926.00,100.06
3925.00,100.05
3924.00,100.02
3923.00,99.98
3922.00,99.95
3921.00,99.94
3920.00,99.96
3919.00,99.99
3918.00,100.00
3917.00,99.99
3916.00,99.98
3915.00,99.97
3914.00,99.96
3913.00,99.98
3912.00,100.01
3911.00,100.04
3910.00,100.07
3909.00,100.09
3908.00,100.10
3907.00,100.10
3906.00,100.08
3905.00,100.05
3904.00,100.01
3903.00,99.97
3902.00,99.93
3901.00,99.92
3900.00,99.93
3899.00,99.94
3898.00,99.94
3897.00,99.94
3896.00,99.93
3895.00,99.92
3894.00,99.92
3893.00,99.92
3892.00,99.94
3891.00,99.96
3890.00,99.96
3889.00,99.94
3888.00,99.92
3887.00,99.93
3886.00,99.95
3885.00,99.96
3884.00,99.94
3883.00,99.92
3882.00,99.92
3881.00,99.95
3880.00,99.98
3879.00,99.99
3878.00,99.99
3877.00,99.99
3876.00,100.01
3875.00,100.04
3874.00,100.04
3873.00,100.01
3872.00,99.97
3871.00,99.97
3870.00,99.98
3869.00,99.97
3868.00,99.92
3867.00,99.88
3866.00,99.87
3865.00,99.90
3864.00,99.92
3863.00,99.92
3862.00,99.91
3861.00,99.91
3860.00,99.93
3859.00,99.94
3858.00,99.94
3857.00,99.91
3856.00,99.88
3855.00,99.85
3854.00,99.83
3853.00,99.80
3852.00,99.77
3851.00,99.78
3850.00,99.82
3849.00,99.88
3848.00,99.93
3847.00,99.97
3846.00,99.99
3845.00,100.01
3844.00,100.02
3843.00,100.02
3842.00,100.00
3841.00,99.97
3840.00,99.94
3839.00,99.92
3838.00,99.89
3837.00,99.87
3836.00,99.85
3835.00,99.85
3834.00,99.86
3833.00,99.88
3832.00,99.91
3831.00,99.93
3830.00,99.93
3829.00,99.94
3828.00,99.95
3827.00,99.96
3826.00,99.96
3825.00,99.94
3824.00,99.91
3823.00,99.88
3822.00,99.88
3821.00,99.87
3820.00,99.84
3819.00,99.80
3818.00,99.78
3817.00,99.80
3816.00,99.84
3815.00,99.85
3814.00,99.85
3813.00,99.87
3812.00,99.91
3811.00,99.94
3810.00,99.95
3809.00,99.94
3808.00,99.94
3807.00,99.95
3806.00,99.95
3805.00,99.93
3804.00,99.89
3803.00,99.89
3802.00,99.91
3801.00,99.92
3800.00,99.89
3799.00,99.85
3798.00,99.86
3797.00,99.90
3796.00,99.96
3795.00,99.99
3794.00,99.99
3793.00,99.98
3792.00,99.96
3791.00,99.96
3790.00,99.95
3789.00,99.95
3788.00,99.95
3787.00,99.97
3786.00,99.99
3785.00,100.00
3784.00,100.00
3783.00,99.99
3782.00,99.97
3781.00,99.96
3780.00,99.96
3779.00,99.97
3778.00,99.96
3777.00,99.95
3776.00,99.95
3775.00,99.97
3774.00,99.98
3773.00,99.98
3772.00,99.97
3771.00,99.96
3770.00,99.96
3769.00,99.95
3768.00,99.94
3767.00,99.94
3766.00,99.95
3765.00,99.96
3764.00,99.94
3763.00,99.91
3762.00,99.89
3761.00,99.91
3760.00,99.93
3759.00,99.95
3758.00,99.94
3757.00,99.92
3756.00,99.89
3755.00,99.86
3754.00,99.84
3753.00,99.85
3752.00,99.87
3751.00,99.87
3750.00,99.86
3749.00,99.83
3748.00,99.77
3747.00,99.70
3746.00,99.66
3745.00,99.68
3744.00,99.71
3743.00,99.72
3742.00,99.72
3741.00,99.74
3740.00,99.78
3739.00,99.82
3738.00,99.84
3737.00,99.84
3736.00,99.82
3735.00,99.79
3734.00,99.76
3733.00,99.76
3732.00,99.80
3731.00,99.84
3730.00,99.86
3729.00,99.86
3728.00,99.86
3727.00,99.87
3726.00,99.89
3725.00,99.89
3724.00,99.88
3723.00,99.88
3722.00,99.89
3721.00,99.92
3720.00,99.95
3719.00,99.97
3718.00,99.97
3717.00,99.95
3716.00,99.91
3715.00,99.86
3714.00,99.83
3713.00,99.83
3712.00,99.84
3711.00,99.83
3710.00,99.81
3709.00,99.80
3708.00,99.81
3707.00,99.82
3706.00,99.84
3705.00,99.86
3704.00,99.88
3703.00,99.90
3702.00,99.91
3701.00,99.92
3700.00,99.92
3699.00,99.91
3698.00,99.92
3697.00,99.94
3696.00,99.95
