Created as New Dataset,81. Nylon Allied Signal Fibers
cm-1,%T
4000.00,99.02
3999.00,99.02
3998.00,99.02
3997.00,99.02
3996.00,99.01
3995.00,99.02
3994.00,99.03
3993.00,99.05
3992.00,99.06
3991.00,99.06
3990.00,99.05
3989.00,99.04
3988.00,99.03
3987.00,99.02
3986.00,99.02
3985.00,99.02
3984.00,99.02
3983.00,99.02
3982.00,99.03
3981.00,99.03
3980.00,99.04
3979.00,99.05
3978.00,99.06
3977.00,99.06
3976.00,99.04
3975.00,99.02
3974.00,99.00
3973.00,99.00
3972.00,99.02
3971.00,99.04
3970.00,99.06
3969.00,99.07
3968.00,99.08
3967.00,99.08
3966.00,99.09
3965.00,99.10
3964.00,99.10
3963.00,99.09
3962.00,99.08
3961.00,99.07
3960.00,99.08
3959.00,99.08
3958.00,99.07
3957.00,99.05
3956.00,99.04
3955.00,99.04
3954.00,99.06
3953.00,99.08
3952.00,99.09
3951.00,99.09
3950.00,99.07
3949.00,99.05
3948.00,99.04
3947.00,99.04
3946.00,99.05
3945.00,99.07
3944.00,99.08
3943.00,99.07
3942.00,99.06
3941.00,99.06
3940.00,99.07
3939.00,99.08
3938.00,99.09
3937.00,99.10
3936.00,99.11
3935.00,99.12
3934.00,99.13
3933.00,99.13
3932.00,99.13
3931.00,99.12
3930.00,99.12
3929.00,99.12
3928.00,99.12
3927.00,99.12
3926.00,99.12
3925.00,99.12
3924.00,99.12
3923.00,99.13
3922.00,99.14
3921.00,99.15
3920.00,99.15
3919.00,99.15
3918.00,99.14
3917.00,99.12
3916.00,99.09
3915.00,99.07
3914.00,99.06
3913.00,99.06
3912.00,99.07
3911.00,99.08
3910.00,99.09
3909.00,99.09
3908.00,99.10
3907.00,99.10
3906.00,99.09
3905.00,99.08
3904.00,99.07
3903.00,99.07
3902.00,99.08
3901.00,99.07
3900.00,99.03
3899.00,98.99
3898.00,98.96
3897.00,98.96
3896.00,98.98
3895.00,99.01
3894.00,99.03
3893.00,99.05
3892.00,99.05
3891.00,99.05
3890.00,99.07
3889.00,99.09
3888.00,99.11
3887.00,99.10
3886.00,99.07
3885.00,99.06
3884.00,99.09
3883.00,99.11
3882.00,99.12
3881.00,99.10
3880.00,99.08
3879.00,99.09
3878.00,99.10
3877.00,99.10
3876.00,99.08
3875.00,99.07
3874.00,99.08
3873.00,99.11
3872.00,99.12
3871.00,99.10
3870.00,99.05
3869.00,99.04
3868.00,99.06
3867.00,99.09
3866.00,99.09
3865.00,99.06
3864.00,99.04
3863.00,99.04
3862.00,99.06
3861.00,99.06
3860.00,99.06
3859.00,99.07
3858.00,99.10
3857.00,99.14
3856.00,99.18
3855.00,99.19
3854.00,99.18
3853.00,99.18
3852.00,99.22
3851.00,99.25
3850.00,99.21
3849.00,99.13
3848.00,99.08
3847.00,99.07
3846.00,99.09
3845.00,99.11
3844.00,99.12
3843.00,99.13
3842.00,99.15
3841.00,99.17
3840.00,99.19
3839.00,99.20
3838.00,99.19
3837.00,99.18
3836.00,99.18
3835.00,99.17
3834.00,99.15
3833.00,99.13
3832.00,99.10
3831.00,99.09
3830.00,99.08
3829.00,99.07
3828.00,99.05
3827.00,99.04
3826.00,99.04
3825.00,99.07
3824.00,99.09
3823.00,99.10
3822.00,99.09
3821.00,99.07
3820.00,99.08
3819.00,99.11
3818.00,99.12
3817.00,99.08
3816.00,99.03
3815.00,99.02
3814.00,99.03
3813.00,99.03
3812.00,98.99
3811.00,98.97
3810.00,98.98
3809.00,99.01
3808.00,99.04
3807.00,99.04
3806.00,99.05
3805.00,99.07
3804.00,99.09
3803.00,99.07
3802.00,99.04
3801.00,99.03
3800.00,99.06
3799.00,99.10
3798.00,99.10
3797.00,99.06
3796.00,99.01
3795.00,98.99
3794.00,98.99
3793.00,98.98
3792.00,98.97
3791.00,98.95
3790.00,98.94
3789.00,98.94
3788.00,98.95
3787.00,98.97
3786.00,98.99
3785.00,99.00
3784.00,99.00
3783.00,99.01
3782.00,99.01
3781.00,99.01
3780.00,99.00
3779.00,98.99
3778.00,98.99
3777.00,98.98
3776.00,98.95
3775.00,98.93
3774.00,98.93
3773.00,98.96
3772.00,98.99
3771.00,99.00
3770.00,98.99
3769.00,98.99
3768.00,99.00
3767.00,99.00
3766.00,99.00
3765.00,98.99
3764.00,99.00
3763.00,99.01
3762.00,99.00
3761.00,98.99
3760.00,98.97
3759.00,98.97
3758.00,98.98
3757.00,98.99
3756.00,99.00
3755.00,99.03
3754.00,99.06
3753.00,99.11
3752.00,99.12
3751.00,99.11
3750.00,99.08
3749.00,99.08
3748.00,99.11
3747.00,99.12
3746.00,99.10
3745.00,99.05
3744.00,99.02
3743.00,99.05
3742.00,99.09
3741.00,99.09
3740.00,99.05
3739.00,99.05
3738.00,99.09
3737.00,99.11
3736.00,99.09
3735.00,99.06
3734.00,99.04
3733.00,99.02
3732.00,99.00
3731.00,98.97
3730.00,98.96
3729.00,98.95
3728.00,98.94
3727.00,98.93
3726.00,98.96
3725.00,98.99
3724.00,99.02
3723.00,99.01
3722.00,98.99
3721.00,98.97
3720.00,98.97
3719.00,98.97
3718.00,98.97
3717.00,98.96
3716.00,98.96
3715.00,98.97
3714.00,98.99
3713.00,99.02
3712.00,99.04
3711.00,99.04
3710.00,99.02
3709.00,98.99
3708.00,98.94
3707.00,98.89
3706.00,98.86
3705.00,98.86
3704.00,98.88
3703.00,98.90
3702.00,98.92
3701.00,98.92
3700.00,98.92
3699.00,98.91
3698.00,98.90
3697.00,98.88
3696.00,98.88
3695.00,98.90
3694.00,98.92
3693.00,98.94
3692.00,98.96
3691.00,98.97
3690.00,98.96
3689.00,98.93
3688.00,98.92
3687.00,98.93
3686.00,98.93
3685.00,98.90
3684.00,98.85
3683.00,98.82
3682.00,98.82
3681.00,98.84
3680.00,98.87
3679.00,98.91
3678.00,98.94
3677.00,98.95
3676.00,98.93
3675.00,98.91
3674.00,98.94
3673.00,98.99
3672.00,99.00
3671.00,98.97
3670.00,98.94
3669.00,98.92
3668.00,98.90
3667.00,98.87
3666.00,98.82
3665.00,98.80
3664.00,98.82
3663.00,98.85
3662.00,98.86
3661.00,98.84
3660.00,98.82
3659.00,98.80
3658.00,98.80
3657.00,98.81
3656.00,98.82
3655.00,98.84
3654.00,98.86
3653.00,98.86
3652.00,98.85
3651.00,98.85
3650.00,98.87
3649.00,98.90
3648.00,98.91
3647.00,98.89
3646.00,98.84
3645.00,98.79
3644.00,98.75
3643.00,98.74
3642.00,98.74
3641.00,98.74
3640.00,98.74
3639.00,98.73
3638.00,98.74
3637.00,98.75
3636.00,98.76
3635.00,98.77
3634.00,98.78
3633.00,98.82
3632.00,98.87
3631.00,98.92
3630.00,98.94
3629.00,98.93
3628.00,98.92
3627.00,98.90
3626.00,98.87
3625.00,98.80
3624.00,98.76
3623.00,98.77
3622.00,98.78
3621.00,98.79
3620.00,98.77
3619.00,98.77
3618.00,98.79
3617.00,98.83
3616.00,98.85
3615.00,98.84
3614.00,98.81
3613.00,98.79
3612.00,98.79
3611.00,98.79
3610.00,98.77
3609.00,98.73
3608.00,98.69
3607.00,98.67
3606.00,98.66
3605.00,98.65
3604.00,98.64
3603.00,98.63
3602.00,98.63
3601.00,98.65
3600.00,98.67
3599.00,98.68
3598.00,98.69
3597.00,98.68
3596.00,98.65
3595.00,98.63
3594.00,98.61
3593.00,98.61
3592.00,98.62
3591.00,98.63
3590.00,98.64
3589.00,98.64
3588.00,98.64
3587.00,98.63
3586.00,98.61
3585.00,98.58
3584.00,98.54
3583.00,98.51
3582.00,98.50
3581.00,98.51
3580.00,98.53
3579.00,98.55
3578.00,98.56
3577.00,98.55
3576.00,98.54
3575.00,98.54
3574.00,98.54
3573.00,98.55
3572.00,98.56
3571.00,98.58
3570.00,98.59
3569.00,98.59
3568.00,98.57
3567.00,98.55
3566.00,98.53
3565.00,98.53
3564.00,98.51
3563.00,98.48
3562.00,98.44
3561.00,98.42
3560.00,98.41
