Created as New Dataset,87. BASF
cm-1,%T
4000.00,101.47
3999.00,101.48
3998.00,101.49
3997.00,101.50
3996.00,101.51
3995.00,101.52
3994.00,101.52
3993.00,101.53
3992.00,101.53
3991.00,101.54
3990.00,101.54
3989.00,101.53
3988.00,101.51
3987.00,101.51
3986.00,101.51
3985.00,101.51
3984.00,101.52
3983.00,101.51
3982.00,101.51
3981.00,101.50
3980.00,101.49
3979.00,101.48
3978.00,101.48
3977.00,101.48
3976.00,101.50
3975.00,101.52
3974.00,101.52
3973.00,101.51
3972.00,101.51
3971.00,101.51
3970.00,101.52
3969.00,101.53
3968.00,101.54
3967.00,101.54
3966.00,101.55
3965.00,101.55
3964.00,101.54
3963.00,101.53
3962.00,101.52
3961.00,101.52
3960.00,101.53
3959.00,101.54
3958.00,101.54
3957.00,101.53
3956.00,101.51
3955.00,101.49
3954.00,101.49
3953.00,101.50
3952.00,101.52
3951.00,101.54
3950.00,101.56
3949.00,101.56
3948.00,101.56
3947.00,101.55
3946.00,101.55
3945.00,101.55
3944.00,101.55
3943.00,101.55
3942.00,101.56
3941.00,101.58
3940.00,101.60
3939.00,101.61
3938.00,101.61
3937.00,101.60
3936.00,101.58
3935.00,101.55
3934.00,101.53
3933.00,101.51
3932.00,101.51
3931.00,101.51
3930.00,101.53
3929.00,101.56
3928.00,101.57
3927.00,101.57
3926.00,101.57
3925.00,101.57
3924.00,101.56
3923.00,101.55
3922.00,101.53
3921.00,101.52
3920.00,101.51
3919.00,101.51
3918.00,101.50
3917.00,101.50
3916.00,101.50
3915.00,101.51
3914.00,101.52
3913.00,101.52
3912.00,101.51
3911.00,101.50
3910.00,101.48
3909.00,101.49
3908.00,101.51
3907.00,101.54
3906.00,101.57
3905.00,101.59
3904.00,101.60
3903.00,101.60
3902.00,101.61
3901.00,101.62
3900.00,101.62
3899.00,101.62
3898.00,101.62
3897.00,101.61
3896.00,101.61
3895.00,101.61
3894.00,101.59
3893.00,101.57
3892.00,101.53
3891.00,101.51
3890.00,101.52
3889.00,101.55
3888.00,101.60
3887.00,101.64
3886.00,101.64
3885.00,101.61
3884.00,101.57
3883.00,101.55
3882.00,101.55
3881.00,101.57
3880.00,101.58
3879.00,101.57
3878.00,101.56
3877.00,101.57
3876.00,101.58
3875.00,101.58
3874.00,101.57
3873.00,101.55
3872.00,101.55
3871.00,101.56
3870.00,101.58
3869.00,101.59
3868.00,101.60
3867.00,101.60
3866.00,101.61
3865.00,101.62
3864.00,101.61
3863.00,101.59
3862.00,101.58
3861.00,101.57
3860.00,101.56
3859.00,101.55
3858.00,101.55
3857.00,101.56
3856.00,101.59
3855.00,101.61
3854.00,101.61
3853.00,101.62
3852.00,101.64
3851.00,101.66
3850.00,101.67
3849.00,101.67
3848.00,101.64
3847.00,101.60
3846.00,101.56
3845.00,101.54
3844.00,101.54
3843.00,101.54
3842.00,101.55
3841.00,101.55
3840.00,101.55
3839.00,101.54
3838.00,101.53
3837.00,101.53
3836.00,101.53
3835.00,101.53
3834.00,101.52
3833.00,101.52
3832.00,101.51
3831.00,101.51
3830.00,101.51
3829.00,101.51
3828.00,101.50
3827.00,101.49
3826.00,101.47
3825.00,101.46
3824.00,101.47
3823.00,101.49
3822.00,101.50
3821.00,101.50
3820.00,101.48
3819.00,101.47
3818.00,101.47
3817.00,101.49
3816.00,101.50
3815.00,101.49
3814.00,101.46
3813.00,101.44
3812.00,101.43
3811.00,101.43
3810.00,101.43
3809.00,101.44
3808.00,101.45
3807.00,101.47
3806.00,101.49
3805.00,101.50
3804.00,101.50
3803.00,101.47
3802.00,101.43
3801.00,101.40
3800.00,101.39
3799.00,101.40
3798.00,101.42
3797.00,101.45
3796.00,101.47
3795.00,101.46
3794.00,101.45
3793.00,101.43
3792.00,101.43
3791.00,101.43
3790.00,101.42
3789.00,101.41
3788.00,101.40
3787.00,101.39
3786.00,101.39
3785.00,101.40
3784.00,101.39
3783.00,101.38
3782.00,101.36
3781.00,101.34
3780.00,101.34
3779.00,101.33
3778.00,101.33
3777.00,101.33
3776.00,101.33
3775.00,101.33
3774.00,101.33
3773.00,101.32
3772.00,101.32
3771.00,101.33
3770.00,101.34
3769.00,101.36
3768.00,101.38
3767.00,101.39
3766.00,101.39
3765.00,101.38
3764.00,101.37
3763.00,101.36
3762.00,101.38
3761.00,101.41
3760.00,101.45
3759.00,101.47
3758.00,101.46
3757.00,101.44
3756.00,101.41
3755.00,101.39
3754.00,101.37
3753.00,101.37
3752.00,101.38
3751.00,101.41
3750.00,101.44
3749.00,101.46
3748.00,101.48
3747.00,101.48
3746.00,101.49
3745.00,101.48
3744.00,101.47
3743.00,101.45
3742.00,101.44
3741.00,101.44
3740.00,101.46
3739.00,101.46
3738.00,101.46
3737.00,101.46
3736.00,101.46
3735.00,101.47
3734.00,101.46
3733.00,101.44
3732.00,101.41
3731.00,101.38
3730.00,101.35
3729.00,101.34
3728.00,101.35
3727.00,101.35
3726.00,101.35
3725.00,101.34
3724.00,101.35
3723.00,101.37
3722.00,101.38
3721.00,101.37
3720.00,101.35
3719.00,101.33
3718.00,101.31
3717.00,101.30
3716.00,101.29
3715.00,101.29
3714.00,101.29
3713.00,101.30
3712.00,101.31
3711.00,101.32
3710.00,101.32
3709.00,101.32
3708.00,101.31
3707.00,101.31
3706.00,101.30
3705.00,101.31
