Created as New Dataset,91 Du Pont
cm-1,%T
4000.00,99.43
3999.00,99.43
3998.00,99.41
3997.00,99.39
3996.00,99.38
3995.00,99.37
3994.00,99.38
3993.00,99.38
3992.00,99.39
3991.00,99.41
3990.00,99.42
3989.00,99.43
3988.00,99.43
3987.00,99.43
3986.00,99.42
3985.00,99.41
3984.00,99.40
3983.00,99.38
3982.00,99.37
3981.00,99.36
3980.00,99.35
3979.00,99.36
3978.00,99.37
3977.00,99.39
3976.00,99.41
3975.00,99.44
3974.00,99.45
3973.00,99.45
3972.00,99.45
3971.00,99.44
3970.00,99.44
3969.00,99.44
3968.00,99.44
3967.00,99.44
3966.00,99.44
3965.00,99.44
3964.00,99.44
3963.00,99.44
3962.00,99.44
3961.00,99.44
3960.00,99.45
3959.00,99.47
3958.00,99.48
3957.00,99.49
3956.00,99.48
3955.00,99.47
3954.00,99.45
3953.00,99.44
3952.00,99.45
3951.00,99.46
3950.00,99.47
3949.00,99.47
3948.00,99.46
3947.00,99.44
3946.00,99.42
3945.00,99.41
3944.00,99.40
3943.00,99.40
3942.00,99.40
3941.00,99.40
3940.00,99.41
3939.00,99.43
3938.00,99.44
3937.00,99.45
3936.00,99.44
3935.00,99.42
3934.00,99.40
3933.00,99.40
3932.00,99.41
3931.00,99.41
3930.00,99.42
3929.00,99.42
3928.00,99.41
3927.00,99.40
3926.00,99.40
3925.00,99.41
3924.00,99.41
3923.00,99.41
3922.00,99.43
3921.00,99.45
3920.00,99.46
3919.00,99.45
3918.00,99.45
3917.00,99.45
3916.00,99.44
3915.00,99.44
3914.00,99.44
3913.00,99.43
3912.00,99.43
3911.00,99.43
3910.00,99.44
3909.00,99.43
3908.00,99.43
3907.00,99.42
3906.00,99.43
3905.00,99.43
3904.00,99.43
3903.00,99.40
3902.00,99.37
3901.00,99.35
3900.00,99.36
3899.00,99.39
3898.00,99.42
3897.00,99.44
3896.00,99.46
3895.00,99.45
3894.00,99.42
3893.00,99.39
3892.00,99.39
3891.00,99.41
3890.00,99.42
3889.00,99.40
3888.00,99.38
3887.00,99.38
3886.00,99.40
3885.00,99.40
3884.00,99.38
3883.00,99.34
3882.00,99.33
3881.00,99.35
3880.00,99.38
3879.00,99.39
3878.00,99.39
3877.00,99.38
3876.00,99.41
3875.00,99.46
3874.00,99.49
3873.00,99.48
3872.00,99.46
3871.00,99.45
3870.00,99.46
3869.00,99.45
3868.00,99.40
3867.00,99.35
3866.00,99.33
3865.00,99.35
3864.00,99.37
3863.00,99.38
3862.00,99.40
3861.00,99.42
3860.00,99.46
3859.00,99.50
3858.00,99.52
3857.00,99.52
3856.00,99.48
3855.00,99.46
3854.00,99.46
3853.00,99.44
3852.00,99.40
3851.00,99.37
3850.00,99.35
3849.00,99.35
3848.00,99.36
3847.00,99.39
3846.00,99.41
3845.00,99.44
3844.00,99.45
3843.00,99.44
3842.00,99.41
3841.00,99.40
3840.00,99.39
3839.00,99.40
3838.00,99.39
3837.00,99.36
3836.00,99.33
3835.00,99.31
3834.00,99.30
3833.00,99.31
3832.00,99.32
3831.00,99.33
3830.00,99.32
3829.00,99.33
3828.00,99.36
3827.00,99.41
3826.00,99.44
3825.00,99.43
3824.00,99.38
3823.00,99.35
3822.00,99.35
3821.00,99.35
3820.00,99.33
3819.00,99.29
3818.00,99.26
3817.00,99.28
3816.00,99.29
3815.00,99.28
3814.00,99.26
3813.00,99.27
3812.00,99.29
3811.00,99.32
3810.00,99.33
3809.00,99.33
3808.00,99.36
3807.00,99.40
3806.00,99.41
3805.00,99.37
3804.00,99.31
3803.00,99.29
3802.00,99.29
3801.00,99.29
3800.00,99.26
3799.00,99.23
3798.00,99.22
3797.00,99.26
3796.00,99.30
3795.00,99.33
3794.00,99.34
3793.00,99.34
3792.00,99.33
3791.00,99.32
3790.00,99.31
3789.00,99.29
3788.00,99.27
3787.00,99.26
3786.00,99.25
3785.00,99.24
3784.00,99.24
3783.00,99.22
3782.00,99.21
3781.00,99.21
3780.00,99.23
3779.00,99.24
3778.00,99.23
3777.00,99.22
3776.00,99.22
3775.00,99.23
3774.00,99.26
3773.00,99.28
3772.00,99.30
3771.00,99.31
3770.00,99.32
3769.00,99.29
3768.00,99.25
3767.00,99.21
3766.00,99.20
3765.00,99.20
3764.00,99.20
3763.00,99.19
3762.00,99.19
3761.00,99.19
3760.00,99.20
3759.00,99.21
3758.00,99.22
3757.00,99.23
3756.00,99.24
3755.00,99.25
3754.00,99.25
3753.00,99.25
3752.00,99.25
3751.00,99.25
3750.00,99.26
3749.00,99.25
3748.00,99.20
3747.00,99.13
3746.00,99.10
3745.00,99.13
3744.00,99.16
3743.00,99.16
3742.00,99.14
3741.00,99.13
3740.00,99.14
3739.00,99.14
3738.00,99.14
3737.00,99.14
3736.00,99.14
3735.00,99.13
3734.00,99.12
3733.00,99.14
3732.00,99.17
3731.00,99.19
3730.00,99.19
3729.00,99.17
3728.00,99.15
3727.00,99.13
3726.00,99.08
3725.00,99.04
3724.00,99.02
3723.00,99.04
3722.00,99.07
3721.00,99.09
3720.00,99.11
3719.00,99.12
3718.00,99.14
3717.00,99.15
3716.00,99.15
3715.00,99.14
3714.00,99.13
3713.00,99.12
3712.00,99.12
3711.00,99.10
3710.00,99.06
3709.00,99.03
3708.00,99.02
3707.00,99.03
3706.00,99.04
3705.00,99.03
3704.00,99.02
3703.00,99.00
3702.00,99.02
3701.00,99.05
3700.00,99.09
3699.00,99.12
3698.00,99.14
3697.00,99.15
3696.00,99.13
3695.00,99.12
3694.00,99.10
3693.00,99.10
3692.00,99.08
3691.00,99.05
3690.00,99.01
3689.00,99.00
3688.00,98.99
3687.00,99.00
3686.00,99.00
3685.00,99.01
3684.00,99.02
3683.00,99.01
3682.00,98.99
3681.00,98.99
3680.00,99.00
3679.00,98.98
3678.00,98.93
3677.00,98.90
3676.00,98.91
3675.00,98.94
3674.00,98.96
3673.00,98.96
3672.00,98.95
3671.00,98.95
3670.00,98.95
3669.00,98.94
3668.00,98.93
3667.00,98.94
3666.00,98.94
3665.00,98.94
3664.00,98.92
3663.00,98.91
3662.00,98.90
3661.00,98.91
3660.00,98.91
3659.00,98.90
3658.00,98.90
