Created as New Dataset,94. Du Pont
cm-1,%T
4000.00,99.82
3999.00,99.81
3998.00,99.79
3997.00,99.78
3996.00,99.78
3995.00,99.78
3994.00,99.78
3993.00,99.77
3992.00,99.76
3991.00,99.76
3990.00,99.78
3989.00,99.80
3988.00,99.81
3987.00,99.82
3986.00,99.81
3985.00,99.80
3984.00,99.78
3983.00,99.75
3982.00,99.74
3981.00,99.74
3980.00,99.76
3979.00,99.78
3978.00,99.80
3977.00,99.81
3976.00,99.82
3975.00,99.82
3974.00,99.82
3973.00,99.81
3972.00,99.80
3971.00,99.80
3970.00,99.79
3969.00,99.80
3968.00,99.81
3967.00,99.82
3966.00,99.82
3965.00,99.83
3964.00,99.83
3963.00,99.83
3962.00,99.82
3961.00,99.80
3960.00,99.78
3959.00,99.78
3958.00,99.79
3957.00,99.80
3956.00,99.81
3955.00,99.81
3954.00,99.81
3953.00,99.82
3952.00,99.84
3951.00,99.86
3950.00,99.87
3949.00,99.88
3948.00,99.87
3947.00,99.86
3946.00,99.84
3945.00,99.84
3944.00,99.84
3943.00,99.83
3942.00,99.82
3941.00,99.81
3940.00,99.81
3939.00,99.81
3938.00,99.82
3937.00,99.82
3936.00,99.82
3935.00,99.82
3934.00,99.81
3933.00,99.81
3932.00,99.82
3931.00,99.83
3930.00,99.83
3929.00,99.83
3928.00,99.82
3927.00,99.81
3926.00,99.82
3925.00,99.84
3924.00,99.86
3923.00,99.88
3922.00,99.88
3921.00,99.88
3920.00,99.86
3919.00,99.85
3918.00,99.83
3917.00,99.82
3916.00,99.82
3915.00,99.82
3914.00,99.81
3913.00,99.80
3912.00,99.79
3911.00,99.78
3910.00,99.77
3909.00,99.76
3908.00,99.75
3907.00,99.76
3906.00,99.77
3905.00,99.80
3904.00,99.83
3903.00,99.86
3902.00,99.87
3901.00,99.88
3900.00,99.88
3899.00,99.87
3898.00,99.87
3897.00,99.86
3896.00,99.86
3895.00,99.86
3894.00,99.85
3893.00,99.84
3892.00,99.82
3891.00,99.81
3890.00,99.80
3889.00,99.80
3888.00,99.79
3887.00,99.78
3886.00,99.77
3885.00,99.77
3884.00,99.77
3883.00,99.76
3882.00,99.76
3881.00,99.76
3880.00,99.77
3879.00,99.78
3878.00,99.79
3877.00,99.79
3876.00,99.79
3875.00,99.80
3874.00,99.80
3873.00,99.80
3872.00,99.79
3871.00,99.78
3870.00,99.77
3869.00,99.78
3868.00,99.79
3867.00,99.79
3866.00,99.79
3865.00,99.79
3864.00,99.79
3863.00,99.79
3862.00,99.80
3861.00,99.80
3860.00,99.81
3859.00,99.81
3858.00,99.81
3857.00,99.81
3856.00,99.81
3855.00,99.80
3854.00,99.78
3853.00,99.77
3852.00,99.76
3851.00,99.74
3850.00,99.73
3849.00,99.73
3848.00,99.75
3847.00,99.77
3846.00,99.80
3845.00,99.81
3844.00,99.79
3843.00,99.77
3842.00,99.74
3841.00,99.73
3840.00,99.72
3839.00,99.72
3838.00,99.74
3837.00,99.75
3836.00,99.75
3835.00,99.75
3834.00,99.73
3833.00,99.73
3832.00,99.72
3831.00,99.73
3830.00,99.74
3829.00,99.75
3828.00,99.76
3827.00,99.77
3826.00,99.77
3825.00,99.77
3824.00,99.76
3823.00,99.75
3822.00,99.74
3821.00,99.74
3820.00,99.75
3819.00,99.75
3818.00,99.75
3817.00,99.74
3816.00,99.72
3815.00,99.69
3814.00,99.68
3813.00,99.68
3812.00,99.68
3811.00,99.69
3810.00,99.70
3809.00,99.71
3808.00,99.72
3807.00,99.72
3806.00,99.72
3805.00,99.72
3804.00,99.71
3803.00,99.67
3802.00,99.64
3801.00,99.62
3800.00,99.63
3799.00,99.66
3798.00,99.68
3797.00,99.69
3796.00,99.71
3795.00,99.73
3794.00,99.73
3793.00,99.72
3792.00,99.69
3791.00,99.67
3790.00,99.65
3789.00,99.65
3788.00,99.66
3787.00,99.66
3786.00,99.66
3785.00,99.66
3784.00,99.65
3783.00,99.64
3782.00,99.64
3781.00,99.64
3780.00,99.64
3779.00,99.65
3778.00,99.65
3777.00,99.65
3776.00,99.64
3775.00,99.64
3774.00,99.65
3773.00,99.67
3772.00,99.69
3771.00,99.69
3770.00,99.68
3769.00,99.67
3768.00,99.66
3767.00,99.65
3766.00,99.65
3765.00,99.65
3764.00,99.65
3763.00,99.64
3762.00,99.63
3761.00,99.62
3760.00,99.62
3759.00,99.63
3758.00,99.63
3757.00,99.64
3756.00,99.64
3755.00,99.63
3754.00,99.64
3753.00,99.65
3752.00,99.65
3751.00,99.65
3750.00,99.62
3749.00,99.58
3748.00,99.53
3747.00,99.49
3746.00,99.47
3745.00,99.47
3744.00,99.49
3743.00,99.51
3742.00,99.52
3741.00,99.54
3740.00,99.58
3739.00,99.62
3738.00,99.65
3737.00,99.67
3736.00,99.67
3735.00,99.66
3734.00,99.67
3733.00,99.66
3732.00,99.65
3731.00,99.62
3730.00,99.60
3729.00,99.58
3728.00,99.58
3727.00,99.58
3726.00,99.58
3725.00,99.60
3724.00,99.61
3723.00,99.63
3722.00,99.64
3721.00,99.65
3720.00,99.65
3719.00,99.63
