Created as New Dataset,83. Allied Signal Fibers
cm-1,%T
4000.00,97.88
3999.00,97.87
3998.00,97.87
3997.00,97.86
3996.00,97.86
3995.00,97.86
3994.00,97.87
3993.00,97.88
3992.00,97.89
3991.00,97.89
3990.00,97.87
3989.00,97.84
3988.00,97.83
3987.00,97.84
3986.00,97.84
3985.00,97.85
3984.00,97.84
3983.00,97.84
3982.00,97.83
3981.00,97.85
3980.00,97.87
3979.00,97.89
3978.00,97.91
3977.00,97.92
3976.00,97.92
3975.00,97.93
3974.00,97.93
3973.00,97.92
3972.00,97.90
3971.00,97.88
3970.00,97.86
3969.00,97.85
3968.00,97.86
3967.00,97.86
3966.00,97.86
3965.00,97.85
3964.00,97.85
3963.00,97.87
3962.00,97.89
3961.00,97.92
3960.00,97.93
3959.00,97.92
3958.00,97.91
3957.00,97.90
3956.00,97.90
3955.00,97.91
3954.00,97.94
3953.00,97.96
3952.00,97.96
3951.00,97.94
3950.00,97.90
3949.00,97.87
3948.00,97.85
3947.00,97.86
3946.00,97.88
3945.00,97.90
3944.00,97.91
3943.00,97.91
3942.00,97.90
3941.00,97.90
3940.00,97.90
3939.00,97.89
3938.00,97.88
3937.00,97.87
3936.00,97.87
3935.00,97.89
3934.00,97.92
3933.00,97.95
3932.00,97.96
3931.00,97.94
3930.00,97.92
3929.00,97.90
3928.00,97.88
3927.00,97.87
3926.00,97.87
3925.00,97.87
3924.00,97.89
3923.00,97.92
3922.00,97.93
3921.00,97.93
3920.00,97.92
3919.00,97.89
3918.00,97.87
3917.00,97.86
3916.00,97.87
3915.00,97.89
3914.00,97.92
3913.00,97.94
3912.00,97.96
3911.00,97.97
3910.00,97.97
3909.00,97.96
3908.00,97.95
3907.00,97.94
3906.00,97.94
3905.00,97.94
3904.00,97.97
3903.00,98.01
3902.00,98.04
3901.00,98.05
3900.00,98.04
3899.00,98.00
3898.00,97.96
3897.00,97.92
3896.00,97.88
3895.00,97.86
3894.00,97.85
3893.00,97.86
3892.00,97.89
3891.00,97.92
3890.00,97.95
3889.00,97.98
3888.00,97.99
3887.00,97.99
3886.00,97.98
3885.00,97.97
3884.00,97.96
3883.00,97.95
3882.00,97.93
3881.00,97.92
3880.00,97.91
3879.00,97.92
3878.00,97.93
3877.00,97.94
3876.00,97.95
3875.00,97.95
3874.00,97.94
3873.00,97.95
3872.00,97.95
3871.00,97.95
3870.00,97.95
3869.00,97.94
3868.00,97.92
3867.00,97.92
3866.00,97.93
3865.00,97.94
3864.00,97.97
3863.00,97.98
3862.00,97.98
3861.00,97.96
3860.00,97.94
3859.00,97.93
3858.00,97.92
3857.00,97.92
3856.00,97.93
3855.00,97.94
3854.00,97.94
3853.00,97.94
3852.00,97.95
3851.00,97.95
3850.00,97.93
3849.00,97.90
3848.00,97.89
3847.00,97.89
3846.00,97.92
3845.00,97.95
