Created as New Dataset,103. Du Pont (Red thread)
cm-1,%T
4000.00,99.22
3999.00,99.24
3998.00,99.24
3997.00,99.23
3996.00,99.19
3995.00,99.16
3994.00,99.14
3993.00,99.13
3992.00,99.15
3991.00,99.17
3990.00,99.19
3989.00,99.20
3988.00,99.20
3987.00,99.19
3986.00,99.17
3985.00,99.14
3984.00,99.12
3983.00,99.11
3982.00,99.12
3981.00,99.14
3980.00,99.15
3979.00,99.16
3978.00,99.16
3977.00,99.15
3976.00,99.14
3975.00,99.13
3974.00,99.13
3973.00,99.13
3972.00,99.14
3971.00,99.15
3970.00,99.18
3969.00,99.19
3968.00,99.20
3967.00,99.20
3966.00,99.19
3965.00,99.19
3964.00,99.20
3963.00,99.21
3962.00,99.22
3961.00,99.21
3960.00,99.20
3959.00,99.19
3958.00,99.18
3957.00,99.19
3956.00,99.19
3955.00,99.19
3954.00,99.18
3953.00,99.17
3952.00,99.17
3951.00,99.18
3950.00,99.19
3949.00,99.19
3948.00,99.19
3947.00,99.19
3946.00,99.19
3945.00,99.19
3944.00,99.20
3943.00,99.20
3942.00,99.20
3941.00,99.19
3940.00,99.18
3939.00,99.17
3938.00,99.17
3937.00,99.17
3936.00,99.17
3935.00,99.16
3934.00,99.15
3933.00,99.14
3932.00,99.13
3931.00,99.13
3930.00,99.15
3929.00,99.17
3928.00,99.19
3927.00,99.19
3926.00,99.19
3925.00,99.19
3924.00,99.19
3923.00,99.18
3922.00,99.16
3921.00,99.15
3920.00,99.15
3919.00,99.15
3918.00,99.16
3917.00,99.16
3916.00,99.16
3915.00,99.16
3914.00,99.17
3913.00,99.18
3912.00,99.18
3911.00,99.18
3910.00,99.18
3909.00,99.18
3908.00,99.17
3907.00,99.16
3906.00,99.15
3905.00,99.15
3904.00,99.14
3903.00,99.12
3902.00,99.08
3901.00,99.05
3900.00,99.04
3899.00,99.05
3898.00,99.08
3897.00,99.11
3896.00,99.11
3895.00,99.10
3894.00,99.09
3893.00,99.09
3892.00,99.10
3891.00,99.13
3890.00,99.14
3889.00,99.13
3888.00,99.11
