Created as New Dataset,77 Nylon Allied Signal Fibers USA PA-6. Superba heat set 1190d. carpet yarn. No after-treatment. 4 of 7 in a series of fiber processing techniques
cm-1,%T
4000.00,103.11
3999.00,103.11
3998.00,103.12
3997.00,103.12
3996.00,103.11
3995.00,103.09
3994.00,103.08
3993.00,103.07
3992.00,103.07
3991.00,103.06
3990.00,103.05
3989.00,103.04
3988.00,103.04
3987.00,103.03
3986.00,103.03
3985.00,103.03
3984.00,103.03
3983.00,103.04
3982.00,103.05
3981.00,103.05
3980.00,103.06
3979.00,103.07
3978.00,103.07
3977.00,103.08
3976.00,103.08
3975.00,103.08
3974.00,103.08
3973.00,103.09
3972.00,103.09
3971.00,103.09
3970.00,103.08
3969.00,103.07
3968.00,103.06
3967.00,103.07
3966.00,103.09
3965.00,103.09
3964.00,103.09
3963.00,103.09
3962.00,103.07
3961.00,103.06
3960.00,103.05
3959.00,103.06
3958.00,103.07
3957.00,103.11
3956.00,103.14
3955.00,103.17
3954.00,103.18
3953.00,103.18
3952.00,103.17
3951.00,103.16
3950.00,103.13
3949.00,103.10
3948.00,103.08
3947.00,103.06
3946.00,103.07
3945.00,103.10
3944.00,103.12
3943.00,103.14
3942.00,103.15
3941.00,103.16
3940.00,103.17
3939.00,103.16
3938.00,103.14
3937.00,103.13
3936.00,103.12
3935.00,103.14
3934.00,103.16
3933.00,103.17
3932.00,103.17
3931.00,103.16
3930.00,103.15
3929.00,103.17
3928.00,103.19
3927.00,103.21
3926.00,103.20
3925.00,103.18
3924.00,103.15
3923.00,103.15
3922.00,103.16
3921.00,103.17
3920.00,103.18
3919.00,103.18
3918.00,103.16
3917.00,103.14
3916.00,103.13
3915.00,103.13
3914.00,103.13
3913.00,103.12
3912.00,103.09
3911.00,103.06
3910.00,103.04
3909.00,103.05
3908.00,103.08
3907.00,103.14
3906.00,103.21
3905.00,103.28
3904.00,103.34
3903.00,103.38
3902.00,103.40
3901.00,103.38
3900.00,103.31
3899.00,103.23
3898.00,103.18
3897.00,103.16
3896.00,103.16
3895.00,103.17
3894.00,103.18
3893.00,103.17
3892.00,103.13
3891.00,103.11
3890.00,103.13
3889.00,103.19
3888.00,103.25
3887.00,103.26
3886.00,103.23
3885.00,103.20
3884.00,103.22
3883.00,103.25
3882.00,103.25
3881.00,103.22
3880.00,103.18
3879.00,103.17
3878.00,103.19
3877.00,103.20
3876.00,103.19
3875.00,103.17
3874.00,103.20
3873.00,103.26
3872.00,103.33
3871.00,103.33
3870.00,103.28
3869.00,103.26
3868.00,103.29
3867.00,103.33
3866.00,103.34
3865.00,103.30
3864.00,103.26
3863.00,103.25
3862.00,103.24
3861.00,103.22
3860.00,103.21
3859.00,103.24
3858.00,103.31
3857.00,103.44
3856.00,103.59
3855.00,103.66
3854.00,103.61
3853.00,103.52
3852.00,103.53
3851.00,103.56
3850.00,103.50
3849.00,103.37
3848.00,103.25
3847.00,103.19
3846.00,103.17
3845.00,103.17
3844.00,103.20
3843.00,103.24
3842.00,103.30
3841.00,103.36
3840.00,103.41
3839.00,103.42
3838.00,103.40
3837.00,103.39
3836.00,103.38
3835.00,103.37
3834.00,103.33
3833.00,103.27
3832.00,103.21
3831.00,103.18
3830.00,103.18
3829.00,103.20
3828.00,103.20
3827.00,103.19
3826.00,103.19
3825.00,103.22
3824.00,103.28
3823.00,103.31
3822.00,103.30
3821.00,103.26
3820.00,103.28
3819.00,103.34
3818.00,103.37
3817.00,103.32
3816.00,103.22
3815.00,103.15
3814.00,103.15
3813.00,103.16
3812.00,103.14
3811.00,103.13
3810.00,103.14
3809.00,103.17
3808.00,103.17
3807.00,103.16
3806.00,103.19
3805.00,103.25
3804.00,103.30
3803.00,103.29
3802.00,103.23
3801.00,103.18
3800.00,103.22
3799.00,103.27
3798.00,103.27
3797.00,103.18
3796.00,103.09
3795.00,103.04
3794.00,103.03
3793.00,103.03
