Created as New Dataset,74 Nylon Allied Signal Fibers 
cm-1,%T
4000.00,102.37
3999.00,102.36
3998.00,102.32
3997.00,102.28
3996.00,102.25
3995.00,102.24
3994.00,102.25
3993.00,102.26
3992.00,102.27
3991.00,102.26
3990.00,102.24
3989.00,102.23
3988.00,102.21
3987.00,102.21
3986.00,102.23
3985.00,102.26
3984.00,102.29
3983.00,102.33
3982.00,102.35
3981.00,102.36
3980.00,102.35
3979.00,102.33
3978.00,102.30
3977.00,102.27
3976.00,102.26
3975.00,102.26
3974.00,102.27
3973.00,102.28
3972.00,102.28
3971.00,102.27
3970.00,102.26
3969.00,102.25
3968.00,102.26
3967.00,102.27
3966.00,102.27
3965.00,102.27
3964.00,102.27
3963.00,102.26
3962.00,102.25
3961.00,102.24
3960.00,102.24
3959.00,102.24
3958.00,102.25
3957.00,102.25
3956.00,102.25
3955.00,102.25
3954.00,102.26
3953.00,102.27
3952.00,102.28
3951.00,102.28
3950.00,102.28
3949.00,102.28
3948.00,102.28
3947.00,102.29
3946.00,102.30
3945.00,102.31
3944.00,102.31
3943.00,102.31
3942.00,102.29
3941.00,102.27
3940.00,102.24
3939.00,102.23
3938.00,102.22
3937.00,102.23
3936.00,102.25
3935.00,102.27
3934.00,102.28
3933.00,102.27
3932.00,102.24
3931.00,102.21
3930.00,102.20
3929.00,102.20
3928.00,102.22
3927.00,102.24
3926.00,102.25
3925.00,102.24
3924.00,102.23
3923.00,102.21
3922.00,102.20
3921.00,102.20
3920.00,102.22
3919.00,102.25
3918.00,102.28
3917.00,102.30
3916.00,102.29
3915.00,102.27
3914.00,102.24
3913.00,102.21
3912.00,102.18
3911.00,102.17
3910.00,102.17
3909.00,102.17
3908.00,102.17
3907.00,102.17
3906.00,102.17
3905.00,102.17
3904.00,102.16
3903.00,102.13
3902.00,102.10
3901.00,102.09
3900.00,102.11
3899.00,102.14
3898.00,102.16
3897.00,102.17
3896.00,102.17
3895.00,102.16
3894.00,102.15
3893.00,102.16
3892.00,102.18
3891.00,102.19
3890.00,102.18
3889.00,102.15
3888.00,102.14
3887.00,102.13
3886.00,102.14
3885.00,102.15
3884.00,102.14
3883.00,102.12
3882.00,102.12
3881.00,102.13
3880.00,102.13
3879.00,102.13
3878.00,102.12
3877.00,102.12
3876.00,102.13
3875.00,102.15
3874.00,102.16
3873.00,102.16
3872.00,102.14
3871.00,102.13
3870.00,102.12
3869.00,102.11
3868.00,102.10
3867.00,102.11
3866.00,102.13
3865.00,102.15
3864.00,102.16
3863.00,102.16
3862.00,102.14
3861.00,102.11
3860.00,102.09
3859.00,102.07
3858.00,102.05
3857.00,102.02
3856.00,102.00
3855.00,101.99
3854.00,102.00
3853.00,102.01
3852.00,102.03
3851.00,102.06
3850.00,102.09
3849.00,102.12
3848.00,102.14
3847.00,102.15
3846.00,102.15
3845.00,102.16
3844.00,102.16
3843.00,102.15
3842.00,102.12
3841.00,102.10
3840.00,102.08
3839.00,102.07
3838.00,102.06
3837.00,102.06
3836.00,102.05
3835.00,102.05
3834.00,102.07
3833.00,102.09
3832.00,102.12
3831.00,102.13
3830.00,102.13
3829.00,102.12
3828.00,102.11
3827.00,102.12
3826.00,102.11
3825.00,102.10
3824.00,102.07
3823.00,102.05
3822.00,102.04
3821.00,102.02
3820.00,102.00
3819.00,101.99
3818.00,102.01
3817.00,102.05
3816.00,102.10
3815.00,102.12
3814.00,102.13
3813.00,102.12
3812.00,102.12
3811.00,102.11
3810.00,102.10
3809.00,102.09
3808.00,102.08
3807.00,102.06
3806.00,102.02
