Created as New Dataset,75 Nylon Allied Signal Fibers
cm-1,%T
4000.00,101.37
3999.00,101.38
3998.00,101.40
3997.00,101.41
3996.00,101.41
3995.00,101.39
3994.00,101.37
3993.00,101.36
3992.00,101.36
3991.00,101.36
3990.00,101.37
3989.00,101.38
3988.00,101.39
3987.00,101.41
3986.00,101.41
3985.00,101.40
3984.00,101.38
3983.00,101.36
3982.00,101.34
3981.00,101.34
3980.00,101.35
3979.00,101.35
3978.00,101.35
3977.00,101.35
3976.00,101.35
3975.00,101.36
3974.00,101.37
3973.00,101.37
3972.00,101.35
3971.00,101.33
3970.00,101.31
3969.00,101.30
3968.00,101.32
3967.00,101.34
3966.00,101.36
3965.00,101.39
3964.00,101.41
3963.00,101.42
3962.00,101.42
3961.00,101.41
3960.00,101.40
3959.00,101.39
3958.00,101.40
3957.00,101.41
3956.00,101.43
3955.00,101.44
3954.00,101.45
3953.00,101.45
3952.00,101.44
3951.00,101.43
3950.00,101.42
3949.00,101.42
3948.00,101.43
3947.00,101.45
3946.00,101.47
3945.00,101.47
3944.00,101.46
3943.00,101.45
3942.00,101.44
3941.00,101.44
3940.00,101.44
3939.00,101.44
3938.00,101.45
3937.00,101.46
3936.00,101.46
3935.00,101.47
3934.00,101.46
3933.00,101.45
3932.00,101.43
3931.00,101.43
3930.00,101.43
3929.00,101.44
3928.00,101.44
3927.00,101.44
3926.00,101.44
3925.00,101.43
3924.00,101.43
3923.00,101.44
3922.00,101.46
3921.00,101.47
3920.00,101.47
3919.00,101.46
3918.00,101.46
3917.00,101.45
3916.00,101.45
3915.00,101.45
3914.00,101.44
3913.00,101.44
3912.00,101.43
3911.00,101.43
3910.00,101.42
3909.00,101.40
3908.00,101.39
3907.00,101.38
3906.00,101.39
3905.00,101.41
3904.00,101.43
3903.00,101.46
3902.00,101.48
3901.00,101.49
3900.00,101.46
3899.00,101.44
3898.00,101.42
3897.00,101.43
3896.00,101.43
3895.00,101.42
3894.00,101.41
3893.00,101.40
3892.00,101.40
3891.00,101.42
3890.00,101.44
3889.00,101.47
3888.00,101.47
3887.00,101.45
3886.00,101.43
3885.00,101.42
3884.00,101.44
3883.00,101.46
3882.00,101.45
3881.00,101.40
3880.00,101.35
3879.00,101.33
3878.00,101.33
3877.00,101.35
3876.00,101.38
3875.00,101.40
3874.00,101.43
3873.00,101.45
3872.00,101.47
3871.00,101.45
3870.00,101.42
3869.00,101.41
3868.00,101.42
3867.00,101.43
3866.00,101.42
3865.00,101.39
3864.00,101.36
3863.00,101.35
3862.00,101.36
3861.00,101.37
3860.00,101.39
3859.00,101.42
3858.00,101.48
3857.00,101.55
3856.00,101.62
3855.00,101.66
3854.00,101.64
3853.00,101.60
3852.00,101.58
3851.00,101.57
3850.00,101.53
3849.00,101.46
3848.00,101.41
3847.00,101.38
3846.00,101.36
3845.00,101.36
3844.00,101.37
3843.00,101.39
3842.00,101.41
3841.00,101.42
3840.00,101.41
3839.00,101.39
3838.00,101.39
3837.00,101.40
3836.00,101.42
3835.00,101.43
3834.00,101.42
3833.00,101.40
3832.00,101.38
3831.00,101.37
3830.00,101.36
3829.00,101.36
3828.00,101.37
3827.00,101.39
3826.00,101.41
3825.00,101.44
3824.00,101.48
3823.00,101.50
3822.00,101.50
3821.00,101.49
3820.00,101.47
3819.00,101.47
3818.00,101.45
3817.00,101.42
3816.00,101.39
3815.00,101.38
3814.00,101.37
3813.00,101.36
3812.00,101.33
3811.00,101.31
3810.00,101.33
3809.00,101.36
3808.00,101.39
3807.00,101.39
3806.00,101.39
3805.00,101.40
3804.00,101.40
3803.00,101.39
3802.00,101.39
3801.00,101.40
3800.00,101.43
3799.00,101.44
3798.00,101.41
3797.00,101.36
3796.00,101.33
3795.00,101.33
3794.00,101.35
3793.00,101.36
3792.00,101.36
3791.00,101.35
3790.00,101.36
3789.00,101.37
3788.00,101.38
3787.00,101.37
3786.00,101.36
3785.00,101.35
3784.00,101.35
3783.00,101.35
3782.00,101.35
3781.00,101.34
3780.00,101.32
3779.00,101.30
3778.00,101.30
3777.00,101.29
3776.00,101.28
3775.00,101.28
3774.00,101.28
3773.00,101.29
3772.00,101.30
3771.00,101.30
3770.00,101.31
3769.00,101.32
3768.00,101.35
3767.00,101.37
3766.00,101.36
3765.00,101.34
3764.00,101.32
3763.00,101.31
3762.00,101.32
3761.00,101.33
3760.00,101.34
3759.00,101.35
3758.00,101.36
3757.00,101.37
3756.00,101.39
3755.00,101.41
3754.00,101.43
3753.00,101.43
3752.00,101.42
3751.00,101.40
3750.00,101.39
3749.00,101.39
3748.00,101.38
3747.00,101.37
3746.00,101.35
3745.00,101.33
3744.00,101.32
3743.00,101.34
3742.00,101.37
3741.00,101.37
3740.00,101.37
3739.00,101.39
3738.00,101.43
3737.00,101.45
3736.00,101.45
3735.00,101.45
3734.00,101.45
3733.00,101.44
3732.00,101.43
3731.00,101.40
3730.00,101.38
3729.00,101.36
3728.00,101.34
3727.00,101.31
3726.00,101.30
3725.00,101.29
3724.00,101.29
3723.00,101.27
3722.00,101.26
3721.00,101.25
3720.00,101.26
3719.00,101.27
3718.00,101.27
3717.00,101.26
3716.00,101.27
3715.00,101.30
3714.00,101.34
3713.00,101.37
3712.00,101.38
3711.00,101.38
3710.00,101.37
3709.00,101.35
3708.00,101.32
3707.00,101.30
3706.00,101.28
3705.00,101.27
3704.00,101.26
3703.00,101.25
3702.00,101.25
3701.00,101.25
3700.00,101.27
3699.00,101.28
3698.00,101.29
3697.00,101.29
3696.00,101.28
3695.00,101.26
3694.00,101.26
3693.00,101.26
3692.00,101.29
3691.00,101.33
3690.00,101.37
3689.00,101.38
3688.00,101.38
3687.00,101.37
3686.00,101.34
3685.00,101.30
3684.00,101.27
3683.00,101.26
3682.00,101.27
3681.00,101.29
