Created as New Dataset,76 Nylon Allied Signal Fibers USA PA-6. 2-ply cabled and autoclave heat set yarn. 3 of 7 in a series of fiber processing techniques
cm-1,%T
4000.00,102.88
3999.00,102.88
3998.00,102.88
3997.00,102.88
3996.00,102.88
3995.00,102.87
3994.00,102.86
3993.00,102.84
3992.00,102.83
3991.00,102.83
3990.00,102.85
3989.00,102.88
3988.00,102.91
3987.00,102.92
3986.00,102.90
3985.00,102.87
3984.00,102.84
3983.00,102.82
3982.00,102.82
3981.00,102.83
3980.00,102.84
3979.00,102.86
3978.00,102.87
3977.00,102.88
3976.00,102.89
3975.00,102.90
3974.00,102.90
3973.00,102.89
3972.00,102.87
3971.00,102.85
3970.00,102.84
3969.00,102.86
3968.00,102.89
3967.00,102.92
3966.00,102.93
3965.00,102.92
3964.00,102.89
3963.00,102.86
3962.00,102.83
3961.00,102.83
3960.00,102.83
3959.00,102.84
3958.00,102.83
3957.00,102.82
3956.00,102.81
3955.00,102.81
3954.00,102.83
3953.00,102.85
3952.00,102.88
3951.00,102.89
3950.00,102.89
3949.00,102.88
3948.00,102.88
3947.00,102.87
3946.00,102.86
3945.00,102.85
3944.00,102.85
3943.00,102.85
3942.00,102.87
3941.00,102.89
3940.00,102.91
3939.00,102.93
3938.00,102.95
3937.00,102.94
3936.00,102.92
3935.00,102.89
3934.00,102.88
3933.00,102.89
3932.00,102.91
3931.00,102.91
3930.00,102.90
3929.00,102.88
3928.00,102.85
3927.00,102.84
3926.00,102.84
3925.00,102.85
3924.00,102.87
3923.00,102.87
3922.00,102.85
3921.00,102.82
3920.00,102.81
3919.00,102.82
3918.00,102.84
3917.00,102.85
3916.00,102.86
3915.00,102.86
3914.00,102.87
3913.00,102.88
3912.00,102.90
3911.00,102.90
3910.00,102.89
3909.00,102.86
3908.00,102.83
3907.00,102.80
3906.00,102.79
3905.00,102.80
3904.00,102.81
3903.00,102.81
3902.00,102.79
3901.00,102.77
3900.00,102.76
3899.00,102.77
3898.00,102.78
3897.00,102.79
3896.00,102.79
3895.00,102.79
3894.00,102.79
3893.00,102.80
3892.00,102.84
3891.00,102.87
3890.00,102.86
3889.00,102.81
3888.00,102.76
3887.00,102.74
3886.00,102.78
3885.00,102.83
3884.00,102.83
3883.00,102.81
3882.00,102.79
3881.00,102.80
3880.00,102.82
3879.00,102.83
3878.00,102.82
3877.00,102.80
3876.00,102.80
3875.00,102.80
3874.00,102.79
3873.00,102.73
3872.00,102.67
3871.00,102.66
3870.00,102.71
3869.00,102.75
3868.00,102.76
3867.00,102.73
3866.00,102.73
3865.00,102.76
3864.00,102.80
3863.00,102.82
3862.00,102.82
3861.00,102.81
3860.00,102.82
3859.00,102.82
3858.00,102.81
3857.00,102.79
3856.00,102.76
3855.00,102.73
3854.00,102.71
3853.00,102.69
3852.00,102.67
3851.00,102.67
3850.00,102.70
3849.00,102.75
3848.00,102.80
3847.00,102.83
3846.00,102.85
3845.00,102.86
3844.00,102.87
3843.00,102.85
3842.00,102.81
3841.00,102.75
3840.00,102.71
3839.00,102.70
3838.00,102.70
3837.00,102.71
3836.00,102.70
3835.00,102.69
3834.00,102.70
3833.00,102.73
3832.00,102.77
3831.00,102.80
3830.00,102.79
3829.00,102.77
3828.00,102.76
3827.00,102.78
3826.00,102.80
3825.00,102.80
3824.00,102.76
3823.00,102.72
3822.00,102.72
3821.00,102.75
3820.00,102.76
3819.00,102.74
3818.00,102.71
3817.00,102.72
3816.00,102.77
3815.00,102.81
3814.00,102.81
3813.00,102.81
3812.00,102.82
3811.00,102.84
3810.00,102.82
3809.00,102.80
3808.00,102.79
3807.00,102.82
3806.00,102.84
3805.00,102.82
3804.00,102.78
3803.00,102.75
3802.00,102.76
3801.00,102.77
3800.00,102.75
3799.00,102.72
3798.00,102.72
3797.00,102.75
3796.00,102.80
3795.00,102.82
3794.00,102.83
3793.00,102.84
3792.00,102.87
3791.00,102.90
3790.00,102.90
3789.00,102.89
3788.00,102.85
3787.00,102.81
3786.00,102.78
3785.00,102.75
3784.00,102.75
3783.00,102.75
3782.00,102.76
3781.00,102.78
3780.00,102.81
3779.00,102.83
3778.00,102.85
3777.00,102.85
3776.00,102.86
3775.00,102.88
3774.00,102.87
3773.00,102.84
3772.00,102.80
3771.00,102.78
3770.00,102.78
3769.00,102.79
3768.00,102.80
3767.00,102.80
3766.00,102.81
3765.00,102.82
3764.00,102.81
3763.00,102.78
3762.00,102.77
3761.00,102.78
3760.00,102.80
3759.00,102.81
3758.00,102.82
3757.00,102.82
3756.00,102.81
3755.00,102.79
3754.00,102.77
3753.00,102.76
3752.00,102.74
3751.00,102.71
3750.00,102.68
3749.00,102.67
3748.00,102.65
3747.00,102.61
3746.00,102.60
3745.00,102.63
3744.00,102.67
3743.00,102.67
3742.00,102.64
3741.00,102.63
3740.00,102.65
3739.00,102.68
3738.00,102.71
