Created as New Dataset,93 Du Pont
cm-1,%T
4000.00,98.71
3999.00,98.71
3998.00,98.71
3997.00,98.72
3996.00,98.71
3995.00,98.71
3994.00,98.70
3993.00,98.69
3992.00,98.70
3991.00,98.72
3990.00,98.73
3989.00,98.73
3988.00,98.72
3987.00,98.71
3986.00,98.69
3985.00,98.69
3984.00,98.68
3983.00,98.68
3982.00,98.68
3981.00,98.68
3980.00,98.69
3979.00,98.71
3978.00,98.72
3977.00,98.74
3976.00,98.75
3975.00,98.76
3974.00,98.76
3973.00,98.75
3972.00,98.74
3971.00,98.73
3970.00,98.73
3969.00,98.73
3968.00,98.73
3967.00,98.73
3966.00,98.73
3965.00,98.72
3964.00,98.71
3963.00,98.69
3962.00,98.68
3961.00,98.68
3960.00,98.68
3959.00,98.68
3958.00,98.70
3957.00,98.71
3956.00,98.71
3955.00,98.71
3954.00,98.72
3953.00,98.73
3952.00,98.75
3951.00,98.78
3950.00,98.79
3949.00,98.79
3948.00,98.78
3947.00,98.77
3946.00,98.77
3945.00,98.77
3944.00,98.76
3943.00,98.74
3942.00,98.72
3941.00,98.71
3940.00,98.71
3939.00,98.71
3938.00,98.73
3937.00,98.75
3936.00,98.77
3935.00,98.78
3934.00,98.79
3933.00,98.78
3932.00,98.76
3931.00,98.74
3930.00,98.73
3929.00,98.73
3928.00,98.73
3927.00,98.73
3926.00,98.73
3925.00,98.74
3924.00,98.76
3923.00,98.78
3922.00,98.81
3921.00,98.81
3920.00,98.79
3919.00,98.76
3918.00,98.74
3917.00,98.74
3916.00,98.75
3915.00,98.75
3914.00,98.75
3913.00,98.74
3912.00,98.73
3911.00,98.73
3910.00,98.74
3909.00,98.75
3908.00,98.76
3907.00,98.76
3906.00,98.76
3905.00,98.75
3904.00,98.75
3903.00,98.76
3902.00,98.77
3901.00,98.77
3900.00,98.78
3899.00,98.78
3898.00,98.78
3897.00,98.79
3896.00,98.80
3895.00,98.80
3894.00,98.79
3893.00,98.77
3892.00,98.76
3891.00,98.77
3890.00,98.79
3889.00,98.80
3888.00,98.80
3887.00,98.78
3886.00,98.75
3885.00,98.73
3884.00,98.73
3883.00,98.74
3882.00,98.75
3881.00,98.75
3880.00,98.73
3879.00,98.72
3878.00,98.72
3877.00,98.74
3876.00,98.75
3875.00,98.77
3874.00,98.79
3873.00,98.80
3872.00,98.81
3871.00,98.81
3870.00,98.81
3869.00,98.82
3868.00,98.82
3867.00,98.83
3866.00,98.83
3865.00,98.82
3864.00,98.81
3863.00,98.81
3862.00,98.82
3861.00,98.82
3860.00,98.81
3859.00,98.80
3858.00,98.79
3857.00,98.79
3856.00,98.80
3855.00,98.81
3854.00,98.79
3853.00,98.78
3852.00,98.79
3851.00,98.81
3850.00,98.81
3849.00,98.80
3848.00,98.77
3847.00,98.74
3846.00,98.73
3845.00,98.73
3844.00,98.74
3843.00,98.75
3842.00,98.76
3841.00,98.77
3840.00,98.76
3839.00,98.75
3838.00,98.74
3837.00,98.74
3836.00,98.76
3835.00,98.78
3834.00,98.79
3833.00,98.78
3832.00,98.77
3831.00,98.76
3830.00,98.75
3829.00,98.75
3828.00,98.74
3827.00,98.73
3826.00,98.71
3825.00,98.71
3824.00,98.71
3823.00,98.73
3822.00,98.76
3821.00,98.77
3820.00,98.79
3819.00,98.81
3818.00,98.81
3817.00,98.78
3816.00,98.72
3815.00,98.67
3814.00,98.63
3813.00,98.62
3812.00,98.62
3811.00,98.61
3810.00,98.60
3809.00,98.61
3808.00,98.63
3807.00,98.65
3806.00,98.67
3805.00,98.67
3804.00,98.67
3803.00,98.67
3802.00,98.66
3801.00,98.67
3800.00,98.69
3799.00,98.71
3798.00,98.71
3797.00,98.70
3796.00,98.68
3795.00,98.67
3794.00,98.67
3793.00,98.67
3792.00,98.67
3791.00,98.64
3790.00,98.61
3789.00,98.58
3788.00,98.56
3787.00,98.55
3786.00,98.56
3785.00,98.56
3784.00,98.56
3783.00,98.55
3782.00,98.54
3781.00,98.54
3780.00,98.54
3779.00,98.54
3778.00,98.54
3777.00,98.54
3776.00,98.53
3775.00,98.54
3774.00,98.55
3773.00,98.57
3772.00,98.59
3771.00,98.59
3770.00,98.59
3769.00,98.58
3768.00,98.57
3767.00,98.55
3766.00,98.53
3765.00,98.50
3764.00,98.49
3763.00,98.49
3762.00,98.49
3761.00,98.50
3760.00,98.51
3759.00,98.52
3758.00,98.55
3757.00,98.57
3756.00,98.58
3755.00,98.60
3754.00,98.61
3753.00,98.62
3752.00,98.62
3751.00,98.62
3750.00,98.61
3749.00,98.61
3748.00,98.61
3747.00,98.60
3746.00,98.59
3745.00,98.57
3744.00,98.57
3743.00,98.56
3742.00,98.56
3741.00,98.56
3740.00,98.55
3739.00,98.55
3738.00,98.57
3737.00,98.59
3736.00,98.62
3735.00,98.64
3734.00,98.65
3733.00,98.65
3732.00,98.62
3731.00,98.59
3730.00,98.57
3729.00,98.56
3728.00,98.56
3727.00,98.54
3726.00,98.51
3725.00,98.48
3724.00,98.47
3723.00,98.47
3722.00,98.45
3721.00,98.43
3720.00,98.41
3719.00,98.40
3718.00,98.40
3717.00,98.41
3716.00,98.43
3715.00,98.45
3714.00,98.46
3713.00,98.48
3712.00,98.48
3711.00,98.47
3710.00,98.45
3709.00,98.43
3708.00,98.40
3707.00,98.37
3706.00,98.33
3705.00,98.31
3704.00,98.31
3703.00,98.33
3702.00,98.36
3701.00,98.40
3700.00,98.42
3699.00,98.42
3698.00,98.40
3697.00,98.36
3696.00,98.32
3695.00,98.30
3694.00,98.30
3693.00,98.31
3692.00,98.33
3691.00,98.35
3690.00,98.37
3689.00,98.37
3688.00,98.38
3687.00,98.37
3686.00,98.36
3685.00,98.33
3684.00,98.30
3683.00,98.26
3682.00,98.24
3681.00,98.23
3680.00,98.24
3679.00,98.25
3678.00,98.26
3677.00,98.26
3676.00,98.26
3675.00,98.28
3674.00,98.33
3673.00,98.39
3672.00,98.42
3671.00,98.40
3670.00,98.35
3669.00,98.30
3668.00,98.27
3667.00,98.26
3666.00,98.23
3665.00,98.20
3664.00,98.17
3663.00,98.14
3662.00,98.11
3661.00,98.10
3660.00,98.09
3659.00,98.09
3658.00,98.10
3657.00,98.10
3656.00,98.11
3655.00,98.12
3654.00,98.15
3653.00,98.19
3652.00,98.23
3651.00,98.25
3650.00,98.25
3649.00,98.25
3648.00,98.25
3647.00,98.25
3646.00,98.23
3645.00,98.19
3644.00,98.13
3643.00,98.07
3642.00,98.04
3641.00,98.02
3640.00,98.02
3639.00,98.02
3638.00,98.03
3637.00,98.05
3636.00,98.06
3635.00,98.07
3634.00,98.07
3633.00,98.08
3632.00,98.09
3631.00,98.11
3630.00,98.10
3629.00,98.06
3628.00,98.02
3627.00,97.98
3626.00,97.96
3625.00,97.95
3624.00,97.95
3623.00,97.94
3622.00,97.93
3621.00,97.91
3620.00,97.89
3619.00,97.87
3618.00,97.87
3617.00,97.90
3616.00,97.93
3615.00,97.94
3614.00,97.93
3613.00,97.90
3612.00,97.88
3611.00,97.86
3610.00,97.84
3609.00,97.82
3608.00,97.80
3607.00,97.79
3606.00,97.79
3605.00,97.79
3604.00,97.77
3603.00,97.74
3602.00,97.73
3601.00,97.73
3600.00,97.75
3599.00,97.76
