Created as New Dataset,121 Hercules Inc.
cm-1,%T
4000.00,100.72
3999.00,100.70
3998.00,100.66
3997.00,100.64
3996.00,100.63
3995.00,100.65
3994.00,100.67
3993.00,100.69
3992.00,100.69
3991.00,100.68
3990.00,100.66
3989.00,100.64
3988.00,100.63
3987.00,100.63
3986.00,100.64
3985.00,100.66
3984.00,100.69
3983.00,100.70
3982.00,100.69
3981.00,100.68
3980.00,100.66
3979.00,100.65
3978.00,100.64
3977.00,100.64
3976.00,100.65
3975.00,100.65
3974.00,100.65
3973.00,100.65
3972.00,100.65
3971.00,100.64
3970.00,100.64
3969.00,100.63
3968.00,100.63
3967.00,100.62
3966.00,100.63
3965.00,100.65
3964.00,100.66
3963.00,100.68
3962.00,100.69
3961.00,100.70
3960.00,100.72
3959.00,100.73
3958.00,100.74
3957.00,100.73
3956.00,100.72
3955.00,100.72
3954.00,100.72
3953.00,100.72
3952.00,100.71
3951.00,100.69
3950.00,100.68
3949.00,100.68
3948.00,100.69
3947.00,100.69
3946.00,100.68
3945.00,100.67
3944.00,100.66
3943.00,100.67
3942.00,100.69
3941.00,100.70
3940.00,100.71
3939.00,100.71
3938.00,100.70
3937.00,100.69
3936.00,100.67
3935.00,100.66
3934.00,100.66
3933.00,100.66
3932.00,100.66
3931.00,100.66
3930.00,100.66
3929.00,100.66
3928.00,100.66
3927.00,100.67
3926.00,100.66
3925.00,100.66
3924.00,100.64
3923.00,100.63
3922.00,100.63
3921.00,100.64
3920.00,100.66
3919.00,100.66
3918.00,100.65
3917.00,100.62
3916.00,100.61
3915.00,100.60
3914.00,100.61
3913.00,100.63
3912.00,100.64
3911.00,100.66
3910.00,100.67
3909.00,100.68
3908.00,100.68
3907.00,100.67
3906.00,100.65
3905.00,100.64
3904.00,100.64
3903.00,100.64
3902.00,100.63
3901.00,100.62
3900.00,100.61
3899.00,100.61
3898.00,100.61
3897.00,100.61
3896.00,100.60
3895.00,100.60
3894.00,100.60
3893.00,100.61
3892.00,100.63
3891.00,100.65
3890.00,100.65
3889.00,100.64
3888.00,100.63
3887.00,100.64
3886.00,100.66
3885.00,100.65
3884.00,100.62
3883.00,100.60
3882.00,100.60
3881.00,100.62
3880.00,100.63
3879.00,100.63
3878.00,100.60
3877.00,100.57
3876.00,100.55
3875.00,100.54
3874.00,100.55
3873.00,100.56
3872.00,100.58
3871.00,100.63
3870.00,100.66
3869.00,100.66
3868.00,100.61
3867.00,100.56
3866.00,100.54
3865.00,100.54
3864.00,100.55
3863.00,100.54
3862.00,100.53
3861.00,100.53
3860.00,100.54
3859.00,100.56
3858.00,100.58
3857.00,100.58
3856.00,100.57
3855.00,100.58
3854.00,100.60
3853.00,100.61
3852.00,100.59
3851.00,100.57
3850.00,100.56
3849.00,100.56
3848.00,100.56
3847.00,100.55
3846.00,100.52
3845.00,100.49
3844.00,100.49
3843.00,100.51
3842.00,100.54
3841.00,100.56
3840.00,100.56
3839.00,100.54
3838.00,100.52
3837.00,100.51
3836.00,100.51
3835.00,100.53
3834.00,100.54
3833.00,100.55
3832.00,100.56
3831.00,100.56
3830.00,100.56
3829.00,100.55
3828.00,100.55
3827.00,100.54
3826.00,100.53
3825.00,100.49
3824.00,100.45
3823.00,100.44
3822.00,100.47
3821.00,100.50
3820.00,100.50
3819.00,100.46
3818.00,100.42
3817.00,100.41
3816.00,100.43
3815.00,100.44
3814.00,100.43
3813.00,100.42
3812.00,100.43
3811.00,100.45
3810.00,100.47
3809.00,100.48
3808.00,100.50
3807.00,100.52
3806.00,100.51
3805.00,100.47
3804.00,100.43
3803.00,100.42
3802.00,100.44
3801.00,100.46
3800.00,100.45
3799.00,100.42
3798.00,100.41
3797.00,100.41
3796.00,100.42
3795.00,100.41
3794.00,100.40
3793.00,100.40
3792.00,100.40
3791.00,100.42
3790.00,100.43
3789.00,100.44
3788.00,100.45
3787.00,100.46
3786.00,100.45
3785.00,100.44
3784.00,100.41
3783.00,100.38
3782.00,100.35
3781.00,100.35
3780.00,100.37
3779.00,100.39
3778.00,100.39
3777.00,100.39
3776.00,100.40
3775.00,100.41
3774.00,100.41
3773.00,100.40
3772.00,100.39
3771.00,100.37
3770.00,100.36
3769.00,100.34
3768.00,100.31
3767.00,100.29
3766.00,100.29
3765.00,100.31
3764.00,100.33
3763.00,100.33
3762.00,100.33
3761.00,100.32
3760.00,100.31
3759.00,100.31
3758.00,100.32
3757.00,100.33
3756.00,100.34
3755.00,100.33
3754.00,100.32
3753.00,100.33
3752.00,100.35
3751.00,100.35
3750.00,100.35
