Created as New Dataset,122 Hoechst Celanese
cm-1,%T
4000.00,99.48
3999.00,99.46
3998.00,99.44
3997.00,99.43
3996.00,99.44
3995.00,99.45
3994.00,99.46
3993.00,99.45
3992.00,99.43
3991.00,99.41
3990.00,99.40
3989.00,99.39
3988.00,99.39
3987.00,99.40
3986.00,99.40
3985.00,99.41
3984.00,99.41
3983.00,99.41
3982.00,99.40
3981.00,99.41
3980.00,99.41
3979.00,99.42
3978.00,99.41
3977.00,99.40
3976.00,99.38
3975.00,99.36
3974.00,99.34
3973.00,99.34
3972.00,99.34
3971.00,99.34
3970.00,99.35
3969.00,99.36
3968.00,99.36
3967.00,99.36
3966.00,99.37
3965.00,99.38
3964.00,99.40
3963.00,99.40
3962.00,99.41
3961.00,99.42
3960.00,99.44
3959.00,99.44
3958.00,99.44
3957.00,99.42
3956.00,99.39
3955.00,99.38
3954.00,99.38
3953.00,99.38
3952.00,99.38
3951.00,99.37
3950.00,99.37
3949.00,99.38
3948.00,99.40
3947.00,99.41
3946.00,99.42
3945.00,99.41
3944.00,99.40
3943.00,99.39
3942.00,99.39
3941.00,99.38
3940.00,99.37
3939.00,99.37
3938.00,99.37
3937.00,99.37
3936.00,99.36
3935.00,99.34
3934.00,99.31
3933.00,99.29
3932.00,99.27
3931.00,99.27
3930.00,99.28
3929.00,99.29
3928.00,99.30
3927.00,99.29
3926.00,99.28
3925.00,99.27
3924.00,99.27
3923.00,99.28
3922.00,99.29
3921.00,99.30
3920.00,99.30
3919.00,99.28
3918.00,99.25
3917.00,99.22
3916.00,99.21
3915.00,99.22
3914.00,99.24
3913.00,99.26
3912.00,99.29
3911.00,99.31
3910.00,99.33
3909.00,99.35
3908.00,99.36
3907.00,99.35
3906.00,99.33
3905.00,99.31
3904.00,99.30
3903.00,99.30
3902.00,99.29
3901.00,99.29
3900.00,99.28
3899.00,99.27
3898.00,99.26
3897.00,99.24
3896.00,99.23
3895.00,99.23
3894.00,99.23
3893.00,99.24
3892.00,99.25
3891.00,99.25
3890.00,99.25
3889.00,99.26
3888.00,99.27
3887.00,99.29
3886.00,99.29
3885.00,99.26
3884.00,99.22
3883.00,99.19
3882.00,99.19
3881.00,99.21
3880.00,99.22
3879.00,99.21
3878.00,99.20
3877.00,99.18
3876.00,99.17
3875.00,99.16
3874.00,99.15
3873.00,99.15
3872.00,99.17
3871.00,99.21
3870.00,99.24
3869.00,99.24
3868.00,99.20
3867.00,99.15
3866.00,99.13
3865.00,99.12
3864.00,99.12
3863.00,99.13
3862.00,99.12
3861.00,99.12
3860.00,99.13
3859.00,99.14
3858.00,99.15
3857.00,99.15
3856.00,99.16
3855.00,99.18
3854.00,99.20
3853.00,99.20
3852.00,99.19
3851.00,99.18
3850.00,99.18
3849.00,99.17
3848.00,99.16
3847.00,99.13
3846.00,99.10
3845.00,99.08
3844.00,99.08
3843.00,99.10
3842.00,99.13
3841.00,99.14
3840.00,99.15
3839.00,99.14
3838.00,99.12
3837.00,99.11
3836.00,99.11
3835.00,99.12
3834.00,99.15
3833.00,99.16
3832.00,99.16
3831.00,99.14
3830.00,99.13
3829.00,99.13
3828.00,99.14
3827.00,99.14
3826.00,99.11
3825.00,99.05
3824.00,99.00
3823.00,98.98
3822.00,99.01
3821.00,99.05
3820.00,99.07
3819.00,99.05
3818.00,99.04
3817.00,99.06
3816.00,99.09
3815.00,99.10
3814.00,99.09
3813.00,99.07
3812.00,99.05
3811.00,99.03
3810.00,99.01
3809.00,99.01
3808.00,99.02
3807.00,99.03
3806.00,99.01
3805.00,98.99
3804.00,98.99
3803.00,99.03
3802.00,99.07
3801.00,99.09
