Created as New Dataset,124 Philips (Green)
cm-1,%T
4000.00,100.64
3999.00,100.64
3998.00,100.64
3997.00,100.64
3996.00,100.65
3995.00,100.65
3994.00,100.64
3993.00,100.61
3992.00,100.57
3991.00,100.54
3990.00,100.54
3989.00,100.56
3988.00,100.59
3987.00,100.62
3986.00,100.63
3985.00,100.63
3984.00,100.64
3983.00,100.64
3982.00,100.65
3981.00,100.65
3980.00,100.65
3979.00,100.65
3978.00,100.65
3977.00,100.64
3976.00,100.62
3975.00,100.61
3974.00,100.60
3973.00,100.60
3972.00,100.60
3971.00,100.61
3970.00,100.61
3969.00,100.61
3968.00,100.59
3967.00,100.58
3966.00,100.57
3965.00,100.57
3964.00,100.58
3963.00,100.59
3962.00,100.61
3961.00,100.64
3960.00,100.67
3959.00,100.69
3958.00,100.69
3957.00,100.69
3956.00,100.68
3955.00,100.67
3954.00,100.66
3953.00,100.65
3952.00,100.63
3951.00,100.62
3950.00,100.63
3949.00,100.64
3948.00,100.66
3947.00,100.67
3946.00,100.67
3945.00,100.66
3944.00,100.65
3943.00,100.65
3942.00,100.65
3941.00,100.65
3940.00,100.64
3939.00,100.62
3938.00,100.62
3937.00,100.62
3936.00,100.62
3935.00,100.62
3934.00,100.62
3933.00,100.61
3932.00,100.61
3931.00,100.61
3930.00,100.61
3929.00,100.61
3928.00,100.61
3927.00,100.58
3926.00,100.55
3925.00,100.52
3924.00,100.52
3923.00,100.53
3922.00,100.56
3921.00,100.59
3920.00,100.61
3919.00,100.61
3918.00,100.60
3917.00,100.59
3916.00,100.59
3915.00,100.60
3914.00,100.60
3913.00,100.61
3912.00,100.61
3911.00,100.62
3910.00,100.64
3909.00,100.66
3908.00,100.67
3907.00,100.66
3906.00,100.63
3905.00,100.60
3904.00,100.59
3903.00,100.59
3902.00,100.61
3901.00,100.61
3900.00,100.61
3899.00,100.60
3898.00,100.60
3897.00,100.60
3896.00,100.59
3895.00,100.58
3894.00,100.57
3893.00,100.56
3892.00,100.55
3891.00,100.54
3890.00,100.54
3889.00,100.54
3888.00,100.54
3887.00,100.54
3886.00,100.54
3885.00,100.55
3884.00,100.55
3883.00,100.54
3882.00,100.53
3881.00,100.54
3880.00,100.57
3879.00,100.59
3878.00,100.61
3877.00,100.59
3876.00,100.55
3875.00,100.51
3874.00,100.49
3873.00,100.50
3872.00,100.51
3871.00,100.53
3870.00,100.55
3869.00,100.56
3868.00,100.57
3867.00,100.54
3866.00,100.51
3865.00,100.49
3864.00,100.49
3863.00,100.51
3862.00,100.52
3861.00,100.52
3860.00,100.51
3859.00,100.51
3858.00,100.51
3857.00,100.52
3856.00,100.54
3855.00,100.55
3854.00,100.55
3853.00,100.55
3852.00,100.56
3851.00,100.55
3850.00,100.54
3849.00,100.53
3848.00,100.53
3847.00,100.53
3846.00,100.53
3845.00,100.51
3844.00,100.49
3843.00,100.49
3842.00,100.51
3841.00,100.52
3840.00,100.51
3839.00,100.49
3838.00,100.47
3837.00,100.48
3836.00,100.49
3835.00,100.50
3834.00,100.50
3833.00,100.49
3832.00,100.48
3831.00,100.48
3830.00,100.49
3829.00,100.49
3828.00,100.47
3827.00,100.46
3826.00,100.47
3825.00,100.48
3824.00,100.49
3823.00,100.48
3822.00,100.46
3821.00,100.46
3820.00,100.48
3819.00,100.49
3818.00,100.46
3817.00,100.43
3816.00,100.42
3815.00,100.43
3814.00,100.45
3813.00,100.44
3812.00,100.42
3811.00,100.42
3810.00,100.43
3809.00,100.45
3808.00,100.45
3807.00,100.45
3806.00,100.46
3805.00,100.48
3804.00,100.49
3803.00,100.49
3802.00,100.49
3801.00,100.49
3800.00,100.49
3799.00,100.46
3798.00,100.42
3797.00,100.38
3796.00,100.37
3795.00,100.38
3794.00,100.39
3793.00,100.40
3792.00,100.41
3791.00,100.43
3790.00,100.43
3789.00,100.42
3788.00,100.41
3787.00,100.41
3786.00,100.41
3785.00,100.41
3784.00,100.41
3783.00,100.41
3782.00,100.38
3781.00,100.35
3780.00,100.33
3779.00,100.33
3778.00,100.35
3777.00,100.39
3776.00,100.41
3775.00,100.42
3774.00,100.41
3773.00,100.38
3772.00,100.34
3771.00,100.30
3770.00,100.27
3769.00,100.27
3768.00,100.26
3767.00,100.25
3766.00,100.24
3765.00,100.24
3764.00,100.26
3763.00,100.28
3762.00,100.29
3761.00,100.29
3760.00,100.29
3759.00,100.30
3758.00,100.31
3757.00,100.32
3756.00,100.31
3755.00,100.29
3754.00,100.29
3753.00,100.29
3752.00,100.32
3751.00,100.34
3750.00,100.35
3749.00,100.35
3748.00,100.35
3747.00,100.32
3746.00,100.27
3745.00,100.22
