Created as New Dataset,125 Philips
cm-1,%T
4000.00,103.15
3999.00,103.13
3998.00,103.12
3997.00,103.11
3996.00,103.10
3995.00,103.09
3994.00,103.08
3993.00,103.07
3992.00,103.06
3991.00,103.06
3990.00,103.07
3989.00,103.09
3988.00,103.10
3987.00,103.11
3986.00,103.11
3985.00,103.10
3984.00,103.08
3983.00,103.07
3982.00,103.07
3981.00,103.07
3980.00,103.06
3979.00,103.04
3978.00,103.03
3977.00,103.01
3976.00,103.01
3975.00,103.02
3974.00,103.04
3973.00,103.06
3972.00,103.07
3971.00,103.07
3970.00,103.06
3969.00,103.05
3968.00,103.05
3967.00,103.07
3966.00,103.09
3965.00,103.12
3964.00,103.14
3963.00,103.14
3962.00,103.14
3961.00,103.13
3960.00,103.13
3959.00,103.13
3958.00,103.14
3957.00,103.13
3956.00,103.12
3955.00,103.11
3954.00,103.11
3953.00,103.12
3952.00,103.13
3951.00,103.13
3950.00,103.13
3949.00,103.12
3948.00,103.13
3947.00,103.14
3946.00,103.14
3945.00,103.13
3944.00,103.11
3943.00,103.09
3942.00,103.09
3941.00,103.10
3940.00,103.13
3939.00,103.15
3938.00,103.15
3937.00,103.14
3936.00,103.11
3935.00,103.08
3934.00,103.06
3933.00,103.05
3932.00,103.03
3931.00,103.01
3930.00,103.00
3929.00,103.00
3928.00,103.01
3927.00,103.02
3926.00,103.03
3925.00,103.04
3924.00,103.05
3923.00,103.06
3922.00,103.07
3921.00,103.07
3920.00,103.06
3919.00,103.06
3918.00,103.06
3917.00,103.08
3916.00,103.10
3915.00,103.11
3914.00,103.11
3913.00,103.10
3912.00,103.09
3911.00,103.09
3910.00,103.09
3909.00,103.09
3908.00,103.09
3907.00,103.10
3906.00,103.11
3905.00,103.11
3904.00,103.11
3903.00,103.11
3902.00,103.10
3901.00,103.11
3900.00,103.13
3899.00,103.14
3898.00,103.15
3897.00,103.14
3896.00,103.13
3895.00,103.11
3894.00,103.09
3893.00,103.08
3892.00,103.08
3891.00,103.10
3890.00,103.13
3889.00,103.15
3888.00,103.14
3887.00,103.11
3886.00,103.08
3885.00,103.06
3884.00,103.06
3883.00,103.08
3882.00,103.10
3881.00,103.10
3880.00,103.10
3879.00,103.10
3878.00,103.09
3877.00,103.09
3876.00,103.07
3875.00,103.05
3874.00,103.04
3873.00,103.03
3872.00,103.03
3871.00,103.04
3870.00,103.06
3869.00,103.08
3868.00,103.10
3867.00,103.12
3866.00,103.11
3865.00,103.11
3864.00,103.09
3863.00,103.07
3862.00,103.07
3861.00,103.08
3860.00,103.09
3859.00,103.10
3858.00,103.11
3857.00,103.13
3856.00,103.15
3855.00,103.17
3854.00,103.16
3853.00,103.14
3852.00,103.13
3851.00,103.12
3850.00,103.11
3849.00,103.08
3848.00,103.07
3847.00,103.06
3846.00,103.06
3845.00,103.07
3844.00,103.08
3843.00,103.10
3842.00,103.12
3841.00,103.13
3840.00,103.13
3839.00,103.13
3838.00,103.13
3837.00,103.13
3836.00,103.14
3835.00,103.16
3834.00,103.17
3833.00,103.17
3832.00,103.15
3831.00,103.13
3830.00,103.12
3829.00,103.11
3828.00,103.10
3827.00,103.10
3826.00,103.08
3825.00,103.07
3824.00,103.07
3823.00,103.09
3822.00,103.11
3821.00,103.13
3820.00,103.14
3819.00,103.15
3818.00,103.14
3817.00,103.11
3816.00,103.06
3815.00,103.02
3814.00,102.98
3813.00,102.95
3812.00,102.92
3811.00,102.90
3810.00,102.89
3809.00,102.89
3808.00,102.90
3807.00,102.94
3806.00,102.99
3805.00,103.05
3804.00,103.08
3803.00,103.09
3802.00,103.08
3801.00,103.07
3800.00,103.07
3799.00,103.08
3798.00,103.08
3797.00,103.06
3796.00,103.04
3795.00,103.01
3794.00,103.00
3793.00,102.98
3792.00,102.95
3791.00,102.92
3790.00,102.89
3789.00,102.88
3788.00,102.88
3787.00,102.88
3786.00,102.88
3785.00,102.88
3784.00,102.88
3783.00,102.89
3782.00,102.91
3781.00,102.94
3780.00,102.96
3779.00,102.96
3778.00,102.95
3777.00,102.93
3776.00,102.91
3775.00,102.89
3774.00,102.89
3773.00,102.89
3772.00,102.89
3771.00,102.90
3770.00,102.91
3769.00,102.93
3768.00,102.95
3767.00,102.95
3766.00,102.94
3765.00,102.92
3764.00,102.90
3763.00,102.89
3762.00,102.87
3761.00,102.86
3760.00,102.85
3759.00,102.85
3758.00,102.87
3757.00,102.90
3756.00,102.94
3755.00,102.96
3754.00,102.99
3753.00,103.01
3752.00,103.03
3751.00,103.02
3750.00,102.99
3749.00,102.98
3748.00,102.99
3747.00,103.00
3746.00,103.01
3745.00,103.00
3744.00,103.00
3743.00,102.99
3742.00,102.99
3741.00,102.98
3740.00,102.98
3739.00,102.98
3738.00,102.97
3737.00,102.95
3736.00,102.93
3735.00,102.92
3734.00,102.93
3733.00,102.94
3732.00,102.95
3731.00,102.95
3730.00,102.95
3729.00,102.95
3728.00,102.95
3727.00,102.94
3726.00,102.92
3725.00,102.90
3724.00,102.87
3723.00,102.83
3722.00,102.80
3721.00,102.78
3720.00,102.77
3719.00,102.78
3718.00,102.79
3717.00,102.80
3716.00,102.80
3715.00,102.81
3714.00,102.84
3713.00,102.88
3712.00,102.93
3711.00,102.96
3710.00,102.96
3709.00,102.94
3708.00,102.90
3707.00,102.87
3706.00,102.85
3705.00,102.85
3704.00,102.87
3703.00,102.87
3702.00,102.86
3701.00,102.86
3700.00,102.86
3699.00,102.87
3698.00,102.87
3697.00,102.86
3696.00,102.83
3695.00,102.79
3694.00,102.77
3693.00,102.76
3692.00,102.76
3691.00,102.76
3690.00,102.79
3689.00,102.83
3688.00,102.88
3687.00,102.91
3686.00,102.91
3685.00,102.89
3684.00,102.85
3683.00,102.82
3682.00,102.78
3681.00,102.75
3680.00,102.74
3679.00,102.76
3678.00,102.81
3677.00,102.86
3676.00,102.88
