Created as New Dataset,126 Shaw Industries (Green)
cm-1,%T
4000.00,101.16
3999.00,101.14
3998.00,101.12
3997.00,101.09
3996.00,101.08
3995.00,101.08
3994.00,101.08
3993.00,101.08
3992.00,101.07
3991.00,101.05
3990.00,101.03
3989.00,101.03
3988.00,101.05
3987.00,101.08
3986.00,101.10
3985.00,101.11
3984.00,101.12
3983.00,101.12
3982.00,101.12
3981.00,101.10
3980.00,101.07
3979.00,101.05
3978.00,101.04
3977.00,101.04
3976.00,101.06
3975.00,101.08
3974.00,101.09
3973.00,101.10
3972.00,101.09
3971.00,101.06
3970.00,101.04
3969.00,101.03
3968.00,101.04
3967.00,101.08
3966.00,101.12
3965.00,101.15
3964.00,101.16
3963.00,101.15
3962.00,101.14
3961.00,101.12
3960.00,101.12
3959.00,101.13
3958.00,101.14
3957.00,101.15
3956.00,101.14
3955.00,101.14
3954.00,101.13
3953.00,101.12
3952.00,101.12
3951.00,101.11
3950.00,101.11
3949.00,101.10
3948.00,101.10
3947.00,101.10
3946.00,101.09
3945.00,101.09
3944.00,101.08
3943.00,101.07
3942.00,101.07
3941.00,101.08
3940.00,101.10
3939.00,101.11
3938.00,101.11
3937.00,101.11
3936.00,101.10
3935.00,101.09
3934.00,101.07
3933.00,101.05
3932.00,101.03
3931.00,101.01
3930.00,101.01
3929.00,101.02
3928.00,101.03
3927.00,101.03
3926.00,101.02
3925.00,101.02
3924.00,101.01
3923.00,101.01
3922.00,101.01
3921.00,101.01
3920.00,101.02
3919.00,101.03
3918.00,101.04
3917.00,101.05
3916.00,101.05
3915.00,101.05
3914.00,101.05
3913.00,101.05
3912.00,101.06
3911.00,101.07
3910.00,101.08
3909.00,101.07
3908.00,101.07
3907.00,101.06
3906.00,101.05
3905.00,101.05
3904.00,101.05
3903.00,101.05
3902.00,101.05
3901.00,101.06
3900.00,101.08
3899.00,101.10
3898.00,101.10
3897.00,101.10
3896.00,101.08
3895.00,101.06
3894.00,101.04
3893.00,101.05
3892.00,101.06
3891.00,101.08
3890.00,101.10
3889.00,101.12
3888.00,101.13
3887.00,101.11
3886.00,101.08
3885.00,101.06
3884.00,101.05
3883.00,101.05
3882.00,101.05
3881.00,101.05
3880.00,101.05
3879.00,101.06
3878.00,101.05
3877.00,101.04
3876.00,101.03
3875.00,101.02
3874.00,101.02
3873.00,101.03
3872.00,101.04
3871.00,101.03
3870.00,101.03
3869.00,101.03
3868.00,101.04
3867.00,101.04
3866.00,101.04
3865.00,101.03
3864.00,101.03
3863.00,101.04
3862.00,101.04
3861.00,101.05
3860.00,101.06
3859.00,101.09
3858.00,101.12
3857.00,101.16
3856.00,101.17
3855.00,101.15
3854.00,101.08
3853.00,101.02
3852.00,101.00
3851.00,100.99
3850.00,100.98
3849.00,100.99
3848.00,101.01
3847.00,101.05
3846.00,101.09
3845.00,101.12
3844.00,101.16
3843.00,101.18
3842.00,101.20
3841.00,101.19
3840.00,101.16
3839.00,101.12
3838.00,101.09
3837.00,101.08
3836.00,101.09
3835.00,101.10
3834.00,101.12
3833.00,101.12
3832.00,101.12
3831.00,101.11
3830.00,101.11
3829.00,101.11
3828.00,101.11
3827.00,101.10
3826.00,101.08
3825.00,101.07
3824.00,101.06
3823.00,101.06
3822.00,101.07
3821.00,101.07
3820.00,101.07
3819.00,101.06
3818.00,101.02
3817.00,100.99
3816.00,100.96
3815.00,100.94
3814.00,100.93
3813.00,100.92
3812.00,100.90
3811.00,100.90
3810.00,100.90
3809.00,100.92
3808.00,100.96
3807.00,101.01
3806.00,101.05
3805.00,101.07
3804.00,101.06
3803.00,101.01
3802.00,100.95
3801.00,100.92
3800.00,100.91
3799.00,100.92
3798.00,100.92
3797.00,100.90
3796.00,100.89
3795.00,100.90
3794.00,100.92
3793.00,100.94
3792.00,100.95
3791.00,100.96
3790.00,100.96
3789.00,100.95
3788.00,100.94
3787.00,100.93
3786.00,100.92
3785.00,100.91
3784.00,100.92
3783.00,100.94
3782.00,100.95
3781.00,100.96
3780.00,100.94
3779.00,100.92
3778.00,100.91
3777.00,100.90
3776.00,100.89
3775.00,100.90
3774.00,100.90
3773.00,100.91
3772.00,100.90
3771.00,100.89
3770.00,100.87
3769.00,100.87
3768.00,100.87
3767.00,100.88
3766.00,100.88
3765.00,100.88
3764.00,100.87
3763.00,100.86
3762.00,100.85
3761.00,100.84
3760.00,100.85
3759.00,100.85
