Created as New Dataset,127 Shaw Industries
cm-1,%T
4000.00,101.30
3999.00,101.29
3998.00,101.29
3997.00,101.29
3996.00,101.28
3995.00,101.26
3994.00,101.25
3993.00,101.24
3992.00,101.24
3991.00,101.24
3990.00,101.25
3989.00,101.26
3988.00,101.27
3987.00,101.28
3986.00,101.29
3985.00,101.30
3984.00,101.30
3983.00,101.29
3982.00,101.27
3981.00,101.26
3980.00,101.25
3979.00,101.26
3978.00,101.27
3977.00,101.27
3976.00,101.27
3975.00,101.27
3974.00,101.25
3973.00,101.25
3972.00,101.24
3971.00,101.24
3970.00,101.23
3969.00,101.22
3968.00,101.21
3967.00,101.20
3966.00,101.20
3965.00,101.22
3964.00,101.25
3963.00,101.28
3962.00,101.29
3961.00,101.29
3960.00,101.29
3959.00,101.29
3958.00,101.30
3957.00,101.31
3956.00,101.31
3955.00,101.31
3954.00,101.30
3953.00,101.30
3952.00,101.30
3951.00,101.31
3950.00,101.31
3949.00,101.32
3948.00,101.33
3947.00,101.35
3946.00,101.37
3945.00,101.37
3944.00,101.36
3943.00,101.34
3942.00,101.31
3941.00,101.29
3940.00,101.28
3939.00,101.27
3938.00,101.28
3937.00,101.29
3936.00,101.30
3935.00,101.30
3934.00,101.29
3933.00,101.27
3932.00,101.25
3931.00,101.25
3930.00,101.25
3929.00,101.26
3928.00,101.27
3927.00,101.27
3926.00,101.25
3925.00,101.22
3924.00,101.20
3923.00,101.20
3922.00,101.20
3921.00,101.21
3920.00,101.21
3919.00,101.20
3918.00,101.19
3917.00,101.20
3916.00,101.22
3915.00,101.27
3914.00,101.30
3913.00,101.32
3912.00,101.33
3911.00,101.32
3910.00,101.31
3909.00,101.30
3908.00,101.30
3907.00,101.29
3906.00,101.28
3905.00,101.27
3904.00,101.27
3903.00,101.28
3902.00,101.28
3901.00,101.25
3900.00,101.22
3899.00,101.21
3898.00,101.22
3897.00,101.24
3896.00,101.26
3895.00,101.29
3894.00,101.32
3893.00,101.33
3892.00,101.32
3891.00,101.30
3890.00,101.28
3889.00,101.25
3888.00,101.21
3887.00,101.17
3886.00,101.16
3885.00,101.19
3884.00,101.23
3883.00,101.24
3882.00,101.22
3881.00,101.22
3880.00,101.24
3879.00,101.27
3878.00,101.27
3877.00,101.25
3876.00,101.22
3875.00,101.21
3874.00,101.24
3873.00,101.27
3872.00,101.26
3871.00,101.22
3870.00,101.18
3869.00,101.18
3868.00,101.21
3867.00,101.22
3866.00,101.20
3865.00,101.19
3864.00,101.19
3863.00,101.19
3862.00,101.19
3861.00,101.20
3860.00,101.22
3859.00,101.24
3858.00,101.25
3857.00,101.25
3856.00,101.24
3855.00,101.21
3854.00,101.18
3853.00,101.19
3852.00,101.24
3851.00,101.25
3850.00,101.22
3849.00,101.20
3848.00,101.21
3847.00,101.24
3846.00,101.27
3845.00,101.29
3844.00,101.31
3843.00,101.32
3842.00,101.33
3841.00,101.33
3840.00,101.30
3839.00,101.25
3838.00,101.22
3837.00,101.20
3836.00,101.20
3835.00,101.18
3834.00,101.17
3833.00,101.16
3832.00,101.17
3831.00,101.19
3830.00,101.22
3829.00,101.23
3828.00,101.23
3827.00,101.21
3826.00,101.21
3825.00,101.22
3824.00,101.20
3823.00,101.17
3822.00,101.13
3821.00,101.14
3820.00,101.19
3819.00,101.22
3818.00,101.18
3817.00,101.11
3816.00,101.06
3815.00,101.06
3814.00,101.08
3813.00,101.08
3812.00,101.08
3811.00,101.10
3810.00,101.13
3809.00,101.14
3808.00,101.14
3807.00,101.15
3806.00,101.18
3805.00,101.19
3804.00,101.16
3803.00,101.11
3802.00,101.08
3801.00,101.10
3800.00,101.14
3799.00,101.14
3798.00,101.11
3797.00,101.10
3796.00,101.12
3795.00,101.15
3794.00,101.16
3793.00,101.15
3792.00,101.14
3791.00,101.15
3790.00,101.17
3789.00,101.17
3788.00,101.17
3787.00,101.15
3786.00,101.14
3785.00,101.12
3784.00,101.11
3783.00,101.11
3782.00,101.12
3781.00,101.13
3780.00,101.15
3779.00,101.17
3778.00,101.18
3777.00,101.16
3776.00,101.11
3775.00,101.07
3774.00,101.05
3773.00,101.06
3772.00,101.07
3771.00,101.08
3770.00,101.09
3769.00,101.10
3768.00,101.10
3767.00,101.08
3766.00,101.07
3765.00,101.07
3764.00,101.07
3763.00,101.08
3762.00,101.06
3761.00,101.06
3760.00,101.07
3759.00,101.08
3758.00,101.08
3757.00,101.08
3756.00,101.09
3755.00,101.11
3754.00,101.13
3753.00,101.15
3752.00,101.14
3751.00,101.08
3750.00,101.02
3749.00,100.99
3748.00,100.98
3747.00,100.98
3746.00,100.95
3745.00,100.90
3744.00,100.89
3743.00,100.92
3742.00,100.94
3741.00,100.93
3740.00,100.95
3739.00,101.01
3738.00,101.05
3737.00,101.06
3736.00,101.06
