Created as New Dataset,128 Shaw Industries (Dark blue/Black)
cm-1,%T
4000.00,101.07
3999.00,101.07
3998.00,101.05
3997.00,101.04
3996.00,101.02
3995.00,101.01
3994.00,101.01
3993.00,101.01
3992.00,101.02
3991.00,101.04
3990.00,101.06
3989.00,101.08
3988.00,101.09
3987.00,101.09
3986.00,101.08
3985.00,101.07
3984.00,101.06
3983.00,101.04
3982.00,101.02
3981.00,101.00
3980.00,100.99
3979.00,100.99
3978.00,101.00
3977.00,101.01
3976.00,101.01
3975.00,101.01
3974.00,101.00
3973.00,101.00
3972.00,101.01
3971.00,101.02
3970.00,101.03
3969.00,101.03
3968.00,101.03
3967.00,101.02
3966.00,101.02
3965.00,101.03
3964.00,101.04
3963.00,101.06
3962.00,101.08
3961.00,101.09
3960.00,101.10
3959.00,101.09
3958.00,101.08
3957.00,101.06
3956.00,101.04
3955.00,101.03
3954.00,101.03
3953.00,101.02
3952.00,101.03
3951.00,101.04
3950.00,101.05
3949.00,101.07
3948.00,101.09
3947.00,101.09
3946.00,101.08
3945.00,101.06
3944.00,101.05
3943.00,101.04
3942.00,101.03
3941.00,101.03
3940.00,101.02
3939.00,101.02
3938.00,101.02
3937.00,101.03
3936.00,101.04
3935.00,101.05
3934.00,101.06
3933.00,101.08
3932.00,101.08
3931.00,101.08
3930.00,101.08
3929.00,101.07
3928.00,101.07
3927.00,101.07
3926.00,101.08
3925.00,101.08
3924.00,101.07
3923.00,101.05
3922.00,101.03
3921.00,101.03
3920.00,101.04
3919.00,101.04
3918.00,101.04
3917.00,101.05
3916.00,101.05
3915.00,101.06
3914.00,101.07
3913.00,101.07
3912.00,101.08
3911.00,101.08
3910.00,101.08
3909.00,101.07
3908.00,101.07
3907.00,101.07
3906.00,101.09
3905.00,101.12
3904.00,101.16
3903.00,101.16
3902.00,101.13
3901.00,101.09
3900.00,101.05
3899.00,101.03
3898.00,101.01
3897.00,101.00
3896.00,101.01
3895.00,101.01
3894.00,101.02
3893.00,101.04
3892.00,101.07
3891.00,101.09
3890.00,101.09
3889.00,101.06
3888.00,101.03
3887.00,101.02
3886.00,101.05
3885.00,101.07
3884.00,101.07
3883.00,101.04
3882.00,101.03
3881.00,101.03
3880.00,101.03
3879.00,101.02
3878.00,100.99
3877.00,100.96
3876.00,100.97
3875.00,101.01
3874.00,101.05
3873.00,101.05
3872.00,101.04
3871.00,101.04
3870.00,101.06
3869.00,101.07
3868.00,101.04
3867.00,101.00
3866.00,100.99
3865.00,100.99
3864.00,100.99
3863.00,100.98
3862.00,100.99
3861.00,101.02
3860.00,101.04
3859.00,101.07
3858.00,101.07
3857.00,101.05
3856.00,101.01
3855.00,101.01
3854.00,101.03
3853.00,101.04
3852.00,101.03
3851.00,101.00
3850.00,100.99
3849.00,101.00
3848.00,101.01
3847.00,101.02
3846.00,101.01
3845.00,101.00
3844.00,100.99
3843.00,100.98
3842.00,100.98
3841.00,100.98
3840.00,100.99
3839.00,100.99
3838.00,100.99
3837.00,100.97
3836.00,100.95
3835.00,100.94
3834.00,100.94
3833.00,100.95
3832.00,100.96
3831.00,100.97
3830.00,100.95
3829.00,100.93
3828.00,100.93
3827.00,100.94
3826.00,100.97
3825.00,100.97
3824.00,100.94
3823.00,100.92
3822.00,100.95
3821.00,100.99
3820.00,101.00
3819.00,100.96
3818.00,100.90
3817.00,100.88
3816.00,100.88
3815.00,100.87
3814.00,100.85
3813.00,100.85
3812.00,100.86
3811.00,100.88
3810.00,100.87
3809.00,100.86
3808.00,100.87
3807.00,100.90
3806.00,100.92
3805.00,100.90
3804.00,100.86
3803.00,100.85
3802.00,100.88
3801.00,100.91
3800.00,100.89
3799.00,100.84
3798.00,100.81
3797.00,100.82
3796.00,100.85
3795.00,100.87
3794.00,100.88
3793.00,100.89
3792.00,100.91
3791.00,100.92
3790.00,100.93
3789.00,100.93
3788.00,100.92
3787.00,100.91
3786.00,100.90
3785.00,100.88
3784.00,100.86
3783.00,100.84
3782.00,100.82
3781.00,100.83
3780.00,100.87
3779.00,100.90
3778.00,100.90
3777.00,100.87
3776.00,100.85
3775.00,100.83
3774.00,100.82
3773.00,100.81
3772.00,100.81
3771.00,100.83
3770.00,100.84
3769.00,100.82
3768.00,100.78
3767.00,100.76
3766.00,100.77
3765.00,100.79
3764.00,100.81
3763.00,100.79
3762.00,100.76
3761.00,100.74
3760.00,100.73
3759.00,100.73
3758.00,100.74
3757.00,100.77
3756.00,100.80
3755.00,100.82
3754.00,100.84
3753.00,100.86
3752.00,100.86
3751.00,100.85
3750.00,100.84
3749.00,100.84
3748.00,100.82
3747.00,100.78
3746.00,100.75
3745.00,100.76
3744.00,100.77
3743.00,100.76
3742.00,100.75
3741.00,100.76
3740.00,100.79
3739.00,100.82
3738.00,100.83
3737.00,100.84
3736.00,100.85
3735.00,100.85
3734.00,100.85
3733.00,100.84
3732.00,100.84
3731.00,100.82
3730.00,100.79
3729.00,100.76
3728.00,100.77
3727.00,100.80
3726.00,100.83
3725.00,100.84
3724.00,100.83
3723.00,100.80
3722.00,100.77
3721.00,100.73
3720.00,100.71
3719.00,100.70
3718.00,100.73
3717.00,100.76
3716.00,100.79
3715.00,100.80
3714.00,100.80
3713.00,100.79
3712.00,100.78
3711.00,100.75
3710.00,100.73
3709.00,100.71
3708.00,100.70
3707.00,100.71
3706.00,100.71
