Created as New Dataset,141 Du Pont
cm-1,%T
4000.00,101.29
3999.00,101.29
3998.00,101.30
3997.00,101.30
3996.00,101.31
3995.00,101.31
3994.00,101.31
3993.00,101.31
3992.00,101.31
3991.00,101.32
3990.00,101.32
3989.00,101.31
3988.00,101.31
3987.00,101.30
3986.00,101.29
3985.00,101.28
3984.00,101.26
3983.00,101.25
3982.00,101.24
3981.00,101.24
3980.00,101.24
3979.00,101.25
3978.00,101.25
3977.00,101.25
3976.00,101.25
3975.00,101.26
3974.00,101.27
3973.00,101.29
3972.00,101.32
3971.00,101.34
3970.00,101.35
3969.00,101.34
3968.00,101.34
3967.00,101.33
3966.00,101.33
3965.00,101.32
3964.00,101.32
3963.00,101.31
3962.00,101.30
3961.00,101.28
3960.00,101.26
3959.00,101.25
3958.00,101.24
3957.00,101.25
3956.00,101.27
3955.00,101.30
3954.00,101.33
3953.00,101.35
3952.00,101.35
3951.00,101.34
3950.00,101.33
3949.00,101.31
3948.00,101.29
3947.00,101.28
3946.00,101.27
3945.00,101.27
3944.00,101.27
3943.00,101.29
3942.00,101.31
3941.00,101.32
3940.00,101.32
3939.00,101.30
3938.00,101.28
3937.00,101.26
3936.00,101.26
3935.00,101.27
3934.00,101.28
3933.00,101.29
3932.00,101.28
3931.00,101.27
3930.00,101.26
3929.00,101.26
3928.00,101.26
3927.00,101.27
3926.00,101.29
3925.00,101.31
3924.00,101.32
3923.00,101.33
3922.00,101.32
3921.00,101.31
3920.00,101.28
3919.00,101.26
3918.00,101.24
3917.00,101.23
3916.00,101.23
3915.00,101.24
3914.00,101.23
3913.00,101.22
3912.00,101.21
3911.00,101.21
3910.00,101.22
3909.00,101.23
3908.00,101.24
3907.00,101.25
3906.00,101.27
3905.00,101.29
3904.00,101.31
3903.00,101.31
3902.00,101.30
3901.00,101.29
3900.00,101.28
3899.00,101.27
3898.00,101.25
3897.00,101.24
3896.00,101.24
3895.00,101.25
3894.00,101.27
3893.00,101.30
3892.00,101.30
3891.00,101.30
3890.00,101.29
3889.00,101.30
3888.00,101.30
3887.00,101.29
3886.00,101.27
3885.00,101.27
3884.00,101.28
3883.00,101.28
3882.00,101.27
3881.00,101.26
3880.00,101.27
3879.00,101.29
3878.00,101.30
3877.00,101.30
3876.00,101.30
3875.00,101.30
3874.00,101.31
3873.00,101.32
3872.00,101.31
3871.00,101.28
3870.00,101.24
3869.00,101.24
3868.00,101.25
3867.00,101.27
3866.00,101.28
3865.00,101.29
3864.00,101.30
3863.00,101.32
3862.00,101.32
3861.00,101.30
3860.00,101.28
3859.00,101.26
3858.00,101.26
3857.00,101.29
3856.00,101.32
3855.00,101.33
3854.00,101.33
3853.00,101.32
3852.00,101.33
3851.00,101.33
3850.00,101.30
3849.00,101.27
3848.00,101.25
3847.00,101.24
3846.00,101.23
3845.00,101.22
3844.00,101.21
3843.00,101.21
3842.00,101.22
3841.00,101.23
3840.00,101.24
3839.00,101.24
3838.00,101.25
3837.00,101.27
3836.00,101.28
3835.00,101.28
3834.00,101.27
3833.00,101.26
3832.00,101.26
3831.00,101.26
3830.00,101.26
3829.00,101.25
3828.00,101.22
3827.00,101.19
3826.00,101.17
3825.00,101.18
3824.00,101.20
3823.00,101.20
3822.00,101.19
3821.00,101.18
3820.00,101.21
3819.00,101.24
3818.00,101.25
3817.00,101.22
3816.00,101.18
3815.00,101.16
3814.00,101.16
3813.00,101.16
3812.00,101.15
3811.00,101.14
3810.00,101.16
3809.00,101.17
3808.00,101.18
3807.00,101.18
3806.00,101.19
3805.00,101.22
3804.00,101.24
3803.00,101.25
3802.00,101.26
3801.00,101.26
3800.00,101.26
3799.00,101.26
3798.00,101.23
3797.00,101.21
3796.00,101.19
3795.00,101.18
3794.00,101.17
3793.00,101.14
3792.00,101.12
3791.00,101.10
3790.00,101.09
3789.00,101.07
3788.00,101.06
3787.00,101.06
3786.00,101.08
3785.00,101.12
3784.00,101.15
3783.00,101.16
3782.00,101.15
3781.00,101.12
3780.00,101.09
3779.00,101.09
3778.00,101.10
3777.00,101.10
3776.00,101.09
3775.00,101.07
3774.00,101.07
3773.00,101.07
3772.00,101.08
3771.00,101.07
3770.00,101.07
3769.00,101.08
3768.00,101.08
3767.00,101.07
3766.00,101.06
3765.00,101.05
3764.00,101.05
3763.00,101.07
3762.00,101.09
3761.00,101.10
3760.00,101.11
3759.00,101.12
3758.00,101.13
3757.00,101.14
3756.00,101.15
3755.00,101.15
3754.00,101.13
3753.00,101.09
3752.00,101.06
3751.00,101.04
3750.00,101.04
3749.00,101.06
3748.00,101.08
3747.00,101.08
3746.00,101.07
3745.00,101.06
3744.00,101.06
3743.00,101.08
3742.00,101.08
3741.00,101.06
3740.00,101.04
3739.00,101.03
3738.00,101.04
3737.00,101.04
3736.00,101.03
3735.00,101.02
