Created as New Dataset,157. Hoechst (Red cloth)
cm-1,%T
4000.00,99.55
3999.00,99.54
3998.00,99.53
3997.00,99.51
3996.00,99.50
3995.00,99.50
3994.00,99.49
3993.00,99.48
3992.00,99.46
3991.00,99.45
3990.00,99.45
3989.00,99.47
3988.00,99.48
3987.00,99.49
3986.00,99.50
3985.00,99.51
3984.00,99.52
3983.00,99.52
3982.00,99.51
3981.00,99.50
3980.00,99.48
3979.00,99.47
3978.00,99.47
3977.00,99.47
3976.00,99.47
3975.00,99.46
3974.00,99.46
3973.00,99.46
3972.00,99.47
3971.00,99.49
3970.00,99.51
3969.00,99.52
3968.00,99.51
3967.00,99.51
3966.00,99.50
3965.00,99.49
3964.00,99.49
3963.00,99.48
3962.00,99.47
3961.00,99.47
3960.00,99.47
3959.00,99.47
3958.00,99.48
3957.00,99.50
3956.00,99.52
3955.00,99.52
3954.00,99.51
3953.00,99.49
3952.00,99.48
3951.00,99.48
3950.00,99.49
3949.00,99.50
3948.00,99.50
3947.00,99.49
3946.00,99.48
3945.00,99.47
3944.00,99.46
3943.00,99.45
3942.00,99.43
3941.00,99.43
3940.00,99.43
3939.00,99.44
3938.00,99.45
3937.00,99.45
3936.00,99.44
3935.00,99.43
3934.00,99.41
3933.00,99.40
3932.00,99.40
3931.00,99.39
3930.00,99.38
3929.00,99.38
3928.00,99.38
3927.00,99.39
3926.00,99.41
3925.00,99.42
3924.00,99.43
3923.00,99.44
3922.00,99.44
3921.00,99.44
3920.00,99.43
3919.00,99.41
3918.00,99.40
3917.00,99.38
3916.00,99.36
3915.00,99.36
3914.00,99.36
3913.00,99.37
3912.00,99.38
3911.00,99.40
3910.00,99.40
3909.00,99.40
3908.00,99.38
3907.00,99.36
3906.00,99.34
3905.00,99.34
3904.00,99.34
3903.00,99.35
3902.00,99.36
3901.00,99.37
3900.00,99.37
3899.00,99.37
3898.00,99.37
3897.00,99.37
3896.00,99.37
3895.00,99.38
3894.00,99.38
3893.00,99.39
3892.00,99.38
3891.00,99.36
3890.00,99.35
3889.00,99.34
3888.00,99.35
3887.00,99.37
3886.00,99.38
3885.00,99.38
3884.00,99.37
3883.00,99.37
3882.00,99.38
3881.00,99.38
3880.00,99.38
3879.00,99.37
3878.00,99.36
3877.00,99.37
3876.00,99.38
3875.00,99.38
3874.00,99.37
3873.00,99.35
3872.00,99.33
3871.00,99.31
3870.00,99.28
3869.00,99.26
3868.00,99.24
3867.00,99.26
3866.00,99.30
3865.00,99.35
3864.00,99.38
3863.00,99.38
3862.00,99.38
3861.00,99.36
3860.00,99.35
3859.00,99.34
3858.00,99.32
3857.00,99.29
3856.00,99.29
3855.00,99.30
3854.00,99.31
3853.00,99.31
3852.00,99.31
3851.00,99.33
3850.00,99.36
3849.00,99.38
3848.00,99.39
3847.00,99.40
3846.00,99.40
3845.00,99.40
3844.00,99.41
3843.00,99.41
3842.00,99.40
3841.00,99.38
3840.00,99.35
3839.00,99.32
3838.00,99.30
3837.00,99.29
3836.00,99.30
3835.00,99.33
3834.00,99.36
3833.00,99.38
3832.00,99.37
3831.00,99.34
3830.00,99.32
3829.00,99.31
3828.00,99.31
3827.00,99.32
3826.00,99.31
3825.00,99.31
3824.00,99.31
3823.00,99.32
3822.00,99.34
3821.00,99.33
3820.00,99.29
3819.00,99.25
3818.00,99.21
3817.00,99.19
3816.00,99.20
3815.00,99.23
3814.00,99.26
3813.00,99.28
3812.00,99.28
3811.00,99.27
3810.00,99.25
3809.00,99.24
3808.00,99.24
3807.00,99.24
3806.00,99.23
3805.00,99.22
3804.00,99.22
3803.00,99.24
3802.00,99.27
3801.00,99.27
3800.00,99.26
3799.00,99.23
3798.00,99.22
3797.00,99.21
3796.00,99.22
3795.00,99.24
3794.00,99.25
3793.00,99.25
3792.00,99.24
3791.00,99.23
3790.00,99.23
3789.00,99.24
3788.00,99.24
3787.00,99.24
3786.00,99.22
3785.00,99.20
3784.00,99.19
3783.00,99.20
3782.00,99.21
3781.00,99.22
