Created as New Dataset,132. Polyester Albany International
cm-1,%T
4000.00,99.00
3999.00,99.01
3998.00,99.01
3997.00,99.00
3996.00,98.98
3995.00,98.97
3994.00,98.97
3993.00,98.97
3992.00,98.96
3991.00,98.94
3990.00,98.92
3989.00,98.91
3988.00,98.92
3987.00,98.95
3986.00,98.98
3985.00,99.00
3984.00,99.01
3983.00,99.01
3982.00,98.99
3981.00,98.97
3980.00,98.96
3979.00,98.96
3978.00,98.96
3977.00,98.97
3976.00,98.97
3975.00,98.97
3974.00,98.97
3973.00,98.98
3972.00,99.00
3971.00,99.00
3970.00,98.99
3969.00,98.97
3968.00,98.95
3967.00,98.92
3966.00,98.90
3965.00,98.90
3964.00,98.92
3963.00,98.95
3962.00,99.00
3961.00,99.04
3960.00,99.06
3959.00,99.06
3958.00,99.06
3957.00,99.06
3956.00,99.06
3955.00,99.06
3954.00,99.05
3953.00,99.06
3952.00,99.07
3951.00,99.09
3950.00,99.09
3949.00,99.08
3948.00,99.06
3947.00,99.04
3946.00,99.03
3945.00,99.03
3944.00,99.02
3943.00,99.01
3942.00,98.99
3941.00,98.98
3940.00,98.97
3939.00,98.95
3938.00,98.94
3937.00,98.94
3936.00,98.94
3935.00,98.95
3934.00,98.96
3933.00,98.95
3932.00,98.95
3931.00,98.95
3930.00,98.96
3929.00,98.97
3928.00,98.99
3927.00,99.01
3926.00,99.03
3925.00,99.05
3924.00,99.06
3923.00,99.06
3922.00,99.05
3921.00,99.01
3920.00,98.97
3919.00,98.95
3918.00,98.95
3917.00,98.98
3916.00,99.01
3915.00,99.02
3914.00,99.01
3913.00,98.99
3912.00,98.97
3911.00,98.96
3910.00,98.98
3909.00,99.02
3908.00,99.04
3907.00,99.06
3906.00,99.06
3905.00,99.05
3904.00,99.05
3903.00,99.06
3902.00,99.06
3901.00,99.06
3900.00,99.05
3899.00,99.04
3898.00,99.03
3897.00,99.03
3896.00,99.02
3895.00,99.01
3894.00,99.00
3893.00,99.01
3892.00,99.00
3891.00,99.00
3890.00,99.00
3889.00,99.02
3888.00,99.04
3887.00,99.06
3886.00,99.08
