Created as New Dataset,138. Polyester Du Pont
cm-1,%T
4000.00,99.91
3999.00,99.91
3998.00,99.91
3997.00,99.90
3996.00,99.90
3995.00,99.89
3994.00,99.88
3993.00,99.88
3992.00,99.87
3991.00,99.86
3990.00,99.86
3989.00,99.85
3988.00,99.84
3987.00,99.82
3986.00,99.82
3985.00,99.82
3984.00,99.83
3983.00,99.83
3982.00,99.82
3981.00,99.81
3980.00,99.80
3979.00,99.80
3978.00,99.82
3977.00,99.84
3976.00,99.85
3975.00,99.85
3974.00,99.84
3973.00,99.84
3972.00,99.84
3971.00,99.84
3970.00,99.83
3969.00,99.82
3968.00,99.82
3967.00,99.82
3966.00,99.83
3965.00,99.85
3964.00,99.86
3963.00,99.87
3962.00,99.86
3961.00,99.85
3960.00,99.85
3959.00,99.84
3958.00,99.85
3957.00,99.86
3956.00,99.87
3955.00,99.88
3954.00,99.89
3953.00,99.90
3952.00,99.92
3951.00,99.93
3950.00,99.92
3949.00,99.91
3948.00,99.89
3947.00,99.88
3946.00,99.88
3945.00,99.88
3944.00,99.87
3943.00,99.86
3942.00,99.85
3941.00,99.85
3940.00,99.86
3939.00,99.87
3938.00,99.88
3937.00,99.88
3936.00,99.89
3935.00,99.91
3934.00,99.93
3933.00,99.94
3932.00,99.94
3931.00,99.93
3930.00,99.93
3929.00,99.92
3928.00,99.91
3927.00,99.89
3926.00,99.87
3925.00,99.85
3924.00,99.84
3923.00,99.85
3922.00,99.87
3921.00,99.89
3920.00,99.91
3919.00,99.91
3918.00,99.90
3917.00,99.88
3916.00,99.86
3915.00,99.86
3914.00,99.86
3913.00,99.86
3912.00,99.86
3911.00,99.84
3910.00,99.84
3909.00,99.87
3908.00,99.92
3907.00,99.99
3906.00,100.05
3905.00,100.09
3904.00,100.10
3903.00,100.11
3902.00,100.12
3901.00,100.11
3900.00,100.08
3899.00,100.04
3898.00,100.00
3897.00,99.98
3896.00,99.95
3895.00,99.94
3894.00,99.92
3893.00,99.90
3892.00,99.88
3891.00,99.88
3890.00,99.92
3889.00,100.00
3888.00,100.06
3887.00,100.07
3886.00,100.04
3885.00,100.00
3884.00,100.00
3883.00,100.03
3882.00,100.04
3881.00,100.01
3880.00,99.95
3879.00,99.91
3878.00,99.92
3877.00,99.94
3876.00,99.96
3875.00,99.97
3874.00,100.00
3873.00,100.05
3872.00,100.10
3871.00,100.12
3870.00,100.10
3869.00,100.07
3868.00,100.07
3867.00,100.09
3866.00,100.09
3865.00,100.06
3864.00,100.02
3863.00,99.98
3862.00,99.96
3861.00,99.95
3860.00,99.94
3859.00,99.95
3858.00,100.01
3857.00,100.12
3856.00,100.26
3855.00,100.38
3854.00,100.38
3853.00,100.32
3852.00,100.32
3851.00,100.33
3850.00,100.27
3849.00,100.13
3848.00,99.99
3847.00,99.92
3846.00,99.91
3845.00,99.94
3844.00,99.98
3843.00,100.03
3842.00,100.09
3841.00,100.14
3840.00,100.17
3839.00,100.18
3838.00,100.16
3837.00,100.15
3836.00,100.16
3835.00,100.16
3834.00,100.12
3833.00,100.06
3832.00,99.99
3831.00,99.94
3830.00,99.93
3829.00,99.94
3828.00,99.94
3827.00,99.91
3826.00,99.89
3825.00,99.91
