Created as New Dataset,146. Fiber Extrusion
cm-1,%T
4000.00,100.04
3999.00,100.05
3998.00,100.05
3997.00,100.05
3996.00,100.04
3995.00,100.01
3994.00,99.97
3993.00,99.95
3992.00,99.94
3991.00,99.96
3990.00,99.99
3989.00,100.01
3988.00,100.03
3987.00,100.03
3986.00,100.02
3985.00,100.00
3984.00,99.98
3983.00,99.96
3982.00,99.95
3981.00,99.94
3980.00,99.93
3979.00,99.92
3978.00,99.91
3977.00,99.91
3976.00,99.93
3975.00,99.95
3974.00,99.98
3973.00,100.00
3972.00,100.01
3971.00,100.00
3970.00,99.98
3969.00,99.96
3968.00,99.94
3967.00,99.93
3966.00,99.93
3965.00,99.94
3964.00,99.96
3963.00,99.98
3962.00,100.00
3961.00,100.01
3960.00,100.02
3959.00,100.02
3958.00,100.02
3957.00,100.03
3956.00,100.03
3955.00,100.03
3954.00,100.03
3953.00,100.02
3952.00,100.00
3951.00,99.99
3950.00,99.98
3949.00,99.99
3948.00,100.00
3947.00,100.02
3946.00,100.03
3945.00,100.02
3944.00,99.99
3943.00,99.97
3942.00,99.95
3941.00,99.94
3940.00,99.95
3939.00,99.96
3938.00,99.97
3937.00,99.98
3936.00,99.98
3935.00,99.97
3934.00,99.93
3933.00,99.90
3932.00,99.88
3931.00,99.89
3930.00,99.91
3929.00,99.92
3928.00,99.92
3927.00,99.91
3926.00,99.89
3925.00,99.88
3924.00,99.88
3923.00,99.90
3922.00,99.91
3921.00,99.92
3920.00,99.92
3919.00,99.91
3918.00,99.90
3917.00,99.90
3916.00,99.90
3915.00,99.92
3914.00,99.92
3913.00,99.93
3912.00,99.93
3911.00,99.92
3910.00,99.93
3909.00,99.93
3908.00,99.92
3907.00,99.92
3906.00,99.92
3905.00,99.92
3904.00,99.93
3903.00,99.94
3902.00,99.94
3901.00,99.93
3900.00,99.92
3899.00,99.92
3898.00,99.94
3897.00,99.95
3896.00,99.96
3895.00,99.97
3894.00,99.96
3893.00,99.95
3892.00,99.94
3891.00,99.95
3890.00,99.96
3889.00,99.97
3888.00,99.96
3887.00,99.94
3886.00,99.93
3885.00,99.92
3884.00,99.93
3883.00,99.93
3882.00,99.93
3881.00,99.92
3880.00,99.93
3879.00,99.94
3878.00,99.95
3877.00,99.95
3876.00,99.93
3875.00,99.92
3874.00,99.91
3873.00,99.93
3872.00,99.94
3871.00,99.93
3870.00,99.91
3869.00,99.89
3868.00,99.89
3867.00,99.88
3866.00,99.87
3865.00,99.87
3864.00,99.87
3863.00,99.87
3862.00,99.88
3861.00,99.88
3860.00,99.89
3859.00,99.90
3858.00,99.89
3857.00,99.88
3856.00,99.87
3855.00,99.85
3854.00,99.84
3853.00,99.84
3852.00,99.84
3851.00,99.82
3850.00,99.79
3849.00,99.78
3848.00,99.80
3847.00,99.84
3846.00,99.87
3845.00,99.90
3844.00,99.91
3843.00,99.91
3842.00,99.90
3841.00,99.90
3840.00,99.89
3839.00,99.88
3838.00,99.87
3837.00,99.85
3836.00,99.82
3835.00,99.80
3834.00,99.79
3833.00,99.80
3832.00,99.82
3831.00,99.84
3830.00,99.85
3829.00,99.85
3828.00,99.85
3827.00,99.84
3826.00,99.84
3825.00,99.84
3824.00,99.84
3823.00,99.82
3822.00,99.79
3821.00,99.77
3820.00,99.76
3819.00,99.76
3818.00,99.74
3817.00,99.73
3816.00,99.73
3815.00,99.75
3814.00,99.77
3813.00,99.78
3812.00,99.79
3811.00,99.80
3810.00,99.82
3809.00,99.82
3808.00,99.81
3807.00,99.81
3806.00,99.81
3805.00,99.83
3804.00,99.84
3803.00,99.81
3802.00,99.77
3801.00,99.72
3800.00,99.71
3799.00,99.71
3798.00,99.73
3797.00,99.75
3796.00,99.79
3795.00,99.81
3794.00,99.81
3793.00,99.80
3792.00,99.80
3791.00,99.82
3790.00,99.83
3789.00,99.84
3788.00,99.84
3787.00,99.83
3786.00,99.82
3785.00,99.80
3784.00,99.80
3783.00,99.81
3782.00,99.82
3781.00,99.82
3780.00,99.83
3779.00,99.82
3778.00,99.80
3777.00,99.78
3776.00,99.76
3775.00,99.74
3774.00,99.73
3773.00,99.74
3772.00,99.74
3771.00,99.73
3770.00,99.73
3769.00,99.73
3768.00,99.74
3767.00,99.74
3766.00,99.75
3765.00,99.76
3764.00,99.75
3763.00,99.73
3762.00,99.71
3761.00,99.70
3760.00,99.71
3759.00,99.73
3758.00,99.73
3757.00,99.73
3756.00,99.73
3755.00,99.73
3754.00,99.73
3753.00,99.72
3752.00,99.71
3751.00,99.70
3750.00,99.70
3749.00,99.71
3748.00,99.72
3747.00,99.73
3746.00,99.72
3745.00,99.68
3744.00,99.66
3743.00,99.69
3742.00,99.72
3741.00,99.74
3740.00,99.76
3739.00,99.78
3738.00,99.79
3737.00,99.79
3736.00,99.76
3735.00,99.73
3734.00,99.71
3733.00,99.69
3732.00,99.66
3731.00,99.65
3730.00,99.65
3729.00,99.66
3728.00,99.68
3727.00,99.70
3726.00,99.71
3725.00,99.70
3724.00,99.69
3723.00,99.69
3722.00,99.69
3721.00,99.70
3720.00,99.69
3719.00,99.68
3718.00,99.67
3717.00,99.66
3716.00,99.65
3715.00,99.65
3714.00,99.65
3713.00,99.65
3712.00,99.63
3711.00,99.61
3710.00,99.59
3709.00,99.56
3708.00,99.56
3707.00,99.56
3706.00,99.57
3705.00,99.59
3704.00,99.60
3703.00,99.61
3702.00,99.62
3701.00,99.63
3700.00,99.65
3699.00,99.66
3698.00,99.66
3697.00,99.65
3696.00,99.65
3695.00,99.65
3694.00,99.65
3693.00,99.65
3692.00,99.64
3691.00,99.61
3690.00,99.57
3689.00,99.52
3688.00,99.50
3687.00,99.50
3686.00,99.52
3685.00,99.54
3684.00,99.56
3683.00,99.57
3682.00,99.59
3681.00,99.60
3680.00,99.62
3679.00,99.64
3678.00,99.65
3677.00,99.61
3676.00,99.54
3675.00,99.48
3674.00,99.45
3673.00,99.45
3672.00,99.44
3671.00,99.41
3670.00,99.40
3669.00,99.40
3668.00,99.42
3667.00,99.44
3666.00,99.45
3665.00,99.46
3664.00,99.47
3663.00,99.47
3662.00,99.47
3661.00,99.48
3660.00,99.48
3659.00,99.49
3658.00,99.49
3657.00,99.49
3656.00,99.47
3655.00,99.45
3654.00,99.43
3653.00,99.41
3652.00,99.39
3651.00,99.38
3650.00,99.36
3649.00,99.32
3648.00,99.28
3647.00,99.26
3646.00,99.26
3645.00,99.28
3644.00,99.30
3643.00,99.30
3642.00,99.30
3641.00,99.29
3640.00,99.29
3639.00,99.29
3638.00,99.29
3637.00,99.29
3636.00,99.29
3635.00,99.28
3634.00,99.29
3633.00,99.31
3632.00,99.33
3631.00,99.34
3630.00,99.33
3629.00,99.32
3628.00,99.32
3627.00,99.33
3626.00,99.33
3625.00,99.33
3624.00,99.32
3623.00,99.32
3622.00,99.32
3621.00,99.34
3620.00,99.36
3619.00,99.39
3618.00,99.41
3617.00,99.41
3616.00,99.40
3615.00,99.38
3614.00,99.36
3613.00,99.34
3612.00,99.31
3611.00,99.28
3610.00,99.25
3609.00,99.25
3608.00,99.28
3607.00,99.32
3606.00,99.35
3605.00,99.36
3604.00,99.37
3603.00,99.37
3602.00,99.36
3601.00,99.35
3600.00,99.33
3599.00,99.32
3598.00,99.30
3597.00,99.29
3596.00,99.29
3595.00,99.30
3594.00,99.31
3593.00,99.33
3592.00,99.36
3591.00,99.38
3590.00,99.41
3589.00,99.43
3588.00,99.44
3587.00,99.43
3586.00,99.41
3585.00,99.39
3584.00,99.36
3583.00,99.33
3582.00,99.31
3581.00,99.30
3580.00,99.30
3579.00,99.32
3578.00,99.33
3577.00,99.33
3576.00,99.34
3575.00,99.34
3574.00,99.33
3573.00,99.32
3572.00,99.31
3571.00,99.30
3570.00,99.28
3569.00,99.27
3568.00,99.26
3567.00,99.26
3566.00,99.26
3565.00,99.25
3564.00,99.24
3563.00,99.22
3562.00,99.21
3561.00,99.20
3560.00,99.19
3559.00,99.19
3558.00,99.20
3557.00,99.20
3556.00,99.20
3555.00,99.19
3554.00,99.17
3553.00,99.17
3552.00,99.17
3551.00,99.18
3550.00,99.20
3549.00,99.21
3548.00,99.22
3547.00,99.22
3546.00,99.21
3545.00,99.20
3544.00,99.20
3543.00,99.22
3542.00,99.23
3541.00,99.23
3540.00,99.22
3539.00,99.21
3538.00,99.19
3537.00,99.19
3536.00,99.19
3535.00,99.21
3534.00,99.23
