Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
4000.00,96.97
3999.00,96.96
3998.00,96.96
3997.00,96.95
3996.00,96.94
3995.00,96.92
3994.00,96.90
3993.00,96.89
3992.00,96.89
3991.00,96.91
3990.00,96.94
3989.00,96.95
3988.00,96.96
3987.00,96.95
3986.00,96.95
3985.00,96.93
3984.00,96.92
3983.00,96.91
3982.00,96.91
3981.00,96.92
3980.00,96.93
3979.00,96.93
3978.00,96.93
3977.00,96.91
3976.00,96.90
3975.00,96.90
3974.00,96.90
3973.00,96.91
3972.00,96.91
3971.00,96.90
3970.00,96.89
3969.00,96.89
3968.00,96.89
3967.00,96.90
3966.00,96.90
3965.00,96.89
3964.00,96.88
3963.00,96.87
3962.00,96.87
3961.00,96.88
3960.00,96.88
3959.00,96.88
3958.00,96.88
3957.00,96.88
3956.00,96.90
3955.00,96.92
3954.00,96.93
3953.00,96.93
3952.00,96.91
3951.00,96.89
3950.00,96.88
3949.00,96.89
3948.00,96.91
3947.00,96.92
3946.00,96.91
3945.00,96.89
3944.00,96.86
3943.00,96.84
3942.00,96.84
3941.00,96.84
3940.00,96.85
3939.00,96.86
3938.00,96.87
3937.00,96.87
3936.00,96.87
3935.00,96.86
3934.00,96.84
3933.00,96.83
3932.00,96.83
3931.00,96.85
3930.00,96.87
3929.00,96.87
3928.00,96.87
3927.00,96.85
3926.00,96.83
3925.00,96.81
3924.00,96.80
3923.00,96.81
3922.00,96.82
3921.00,96.83
3920.00,96.84
3919.00,96.83
3918.00,96.83
3917.00,96.83
3916.00,96.83
3915.00,96.84
3914.00,96.85
3913.00,96.85
3912.00,96.86
3911.00,96.87
3910.00,96.88
3909.00,96.89
3908.00,96.89
3907.00,96.87
3906.00,96.84
3905.00,96.82
3904.00,96.82
3903.00,96.84
3902.00,96.85
3901.00,96.85
3900.00,96.84
3899.00,96.82
3898.00,96.81
3897.00,96.81
3896.00,96.82
3895.00,96.84
3894.00,96.84
3893.00,96.85
3892.00,96.85
3891.00,96.85
3890.00,96.86
3889.00,96.87
3888.00,96.88
3887.00,96.89
3886.00,96.89
3885.00,96.87
3884.00,96.86
3883.00,96.85
3882.00,96.87
3881.00,96.88
3880.00,96.89
3879.00,96.88
3878.00,96.86
3877.00,96.84
3876.00,96.82
3875.00,96.81
3874.00,96.80
3873.00,96.80
3872.00,96.80
3871.00,96.80
3870.00,96.80
3869.00,96.82
3868.00,96.85
3867.00,96.86
3866.00,96.84
3865.00,96.82
3864.00,96.79
3863.00,96.78
3862.00,96.78
3861.00,96.80
3860.00,96.83
3859.00,96.85
3858.00,96.87
3857.00,96.88
3856.00,96.88
3855.00,96.87
3854.00,96.85
3853.00,96.83
