Created as New Dataset,170. ICI (Pink)
cm-1,%T
4000.00,93.67
3999.00,93.65
3998.00,93.63
3997.00,93.61
3996.00,93.60
3995.00,93.58
3994.00,93.57
3993.00,93.58
3992.00,93.60
3991.00,93.63
3990.00,93.64
3989.00,93.64
3988.00,93.63
3987.00,93.61
3986.00,93.60
3985.00,93.59
3984.00,93.58
3983.00,93.57
3982.00,93.56
3981.00,93.55
3980.00,93.54
3979.00,93.53
3978.00,93.53
3977.00,93.53
3976.00,93.54
3975.00,93.56
3974.00,93.57
3973.00,93.57
3972.00,93.56
3971.00,93.55
3970.00,93.54
3969.00,93.54
3968.00,93.54
3967.00,93.55
3966.00,93.55
3965.00,93.56
3964.00,93.58
3963.00,93.59
3962.00,93.60
3961.00,93.61
3960.00,93.61
3959.00,93.60
3958.00,93.60
3957.00,93.60
3956.00,93.61
3955.00,93.61
3954.00,93.61
3953.00,93.60
3952.00,93.59
3951.00,93.57
3950.00,93.57
3949.00,93.57
3948.00,93.58
3947.00,93.59
3946.00,93.58
3945.00,93.57
3944.00,93.56
3943.00,93.56
3942.00,93.57
3941.00,93.58
3940.00,93.58
3939.00,93.59
3938.00,93.59
3937.00,93.58
3936.00,93.57
3935.00,93.55
3934.00,93.54
3933.00,93.55
3932.00,93.56
3931.00,93.58
3930.00,93.58
3929.00,93.56
3928.00,93.53
3927.00,93.50
3926.00,93.49
3925.00,93.50
3924.00,93.53
3923.00,93.55
3922.00,93.56
3921.00,93.55
3920.00,93.53
3919.00,93.52
3918.00,93.52
3917.00,93.53
3916.00,93.55
3915.00,93.57
3914.00,93.57
3913.00,93.57
3912.00,93.57
3911.00,93.57
3910.00,93.57
3909.00,93.57
3908.00,93.56
3907.00,93.56
3906.00,93.55
3905.00,93.56
3904.00,93.58
3903.00,93.60
3902.00,93.61
3901.00,93.60
3900.00,93.60
3899.00,93.59
3898.00,93.60
3897.00,93.60
3896.00,93.61
3895.00,93.61
3894.00,93.60
3893.00,93.60
3892.00,93.61
3891.00,93.61
3890.00,93.60
3889.00,93.59
3888.00,93.58
3887.00,93.58
3886.00,93.58
3885.00,93.58
3884.00,93.57
3883.00,93.56
3882.00,93.56
3881.00,93.58
3880.00,93.59
3879.00,93.59
3878.00,93.58
3877.00,93.57
3876.00,93.56
3875.00,93.55
3874.00,93.55
3873.00,93.56
3872.00,93.58
3871.00,93.60
3870.00,93.62
3869.00,93.62
3868.00,93.61
3867.00,93.59
3866.00,93.57
3865.00,93.56
3864.00,93.57
3863.00,93.58
3862.00,93.58
3861.00,93.58
3860.00,93.57
3859.00,93.56
3858.00,93.56
3857.00,93.58
3856.00,93.60
3855.00,93.63
3854.00,93.63
3853.00,93.62
3852.00,93.61
3851.00,93.60
3850.00,93.59
3849.00,93.57
3848.00,93.55
3847.00,93.53
3846.00,93.52
3845.00,93.52
3844.00,93.51
3843.00,93.51
3842.00,93.50
3841.00,93.50
3840.00,93.50
3839.00,93.50
3838.00,93.50
3837.00,93.50
3836.00,93.50
3835.00,93.50
3834.00,93.51
3833.00,93.51
3832.00,93.51
3831.00,93.50
3830.00,93.49
3829.00,93.49
3828.00,93.49
3827.00,93.48
3826.00,93.48
3825.00,93.48
3824.00,93.48
3823.00,93.48
3822.00,93.48
3821.00,93.48
3820.00,93.48
3819.00,93.48
3818.00,93.48
3817.00,93.48
3816.00,93.47
3815.00,93.45
3814.00,93.43
3813.00,93.42
3812.00,93.42
3811.00,93.43
3810.00,93.44
3809.00,93.43
3808.00,93.41
3807.00,93.40
3806.00,93.40
3805.00,93.43
3804.00,93.46
3803.00,93.47
3802.00,93.45
3801.00,93.43
3800.00,93.41
3799.00,93.40
3798.00,93.41
3797.00,93.42
3796.00,93.42
3795.00,93.41
3794.00,93.41
3793.00,93.41
3792.00,93.42
3791.00,93.43
3790.00,93.44
3789.00,93.44
3788.00,93.43
3787.00,93.40
3786.00,93.37
3785.00,93.34
3784.00,93.33
3783.00,93.33
3782.00,93.36
3781.00,93.38
3780.00,93.40
3779.00,93.40
3778.00,93.38
3777.00,93.36
3776.00,93.34
3775.00,93.33
3774.00,93.33
3773.00,93.33
3772.00,93.33
3771.00,93.32
3770.00,93.31
3769.00,93.32
3768.00,93.33
3767.00,93.35
3766.00,93.36
3765.00,93.35
3764.00,93.33
3763.00,93.31
3762.00,93.29
3761.00,93.29
3760.00,93.30
3759.00,93.30
3758.00,93.31
3757.00,93.31
3756.00,93.31
3755.00,93.31
3754.00,93.31
3753.00,93.30
3752.00,93.29
3751.00,93.30
3750.00,93.33
3749.00,93.36
3748.00,93.38
3747.00,93.38
3746.00,93.37
3745.00,93.36
3744.00,93.35
3743.00,93.33
3742.00,93.32
3741.00,93.31
3740.00,93.32
3739.00,93.34
3738.00,93.36
3737.00,93.37
3736.00,93.37
3735.00,93.35
3734.00,93.34
3733.00,93.32
3732.00,93.31
3731.00,93.29
3730.00,93.28
3729.00,93.28
3728.00,93.29
3727.00,93.30
3726.00,93.30
3725.00,93.29
3724.00,93.29
3723.00,93.30
3722.00,93.30
3721.00,93.29
3720.00,93.27
3719.00,93.26
3718.00,93.25
3717.00,93.24
3716.00,93.23
3715.00,93.22
3714.00,93.22
3713.00,93.22
3712.00,93.21
3711.00,93.19
3710.00,93.17
3709.00,93.14
3708.00,93.13
