Created as New Dataset,176. Shaw industries (Beige)
cm-1,%T
4000.00,98.60
3999.00,98.59
3998.00,98.59
3997.00,98.58
3996.00,98.56
3995.00,98.53
3994.00,98.50
3993.00,98.48
3992.00,98.49
3991.00,98.51
3990.00,98.53
3989.00,98.55
3988.00,98.54
3987.00,98.53
3986.00,98.53
3985.00,98.53
3984.00,98.52
3983.00,98.51
3982.00,98.50
3981.00,98.48
3980.00,98.47
3979.00,98.46
3978.00,98.45
3977.00,98.43
3976.00,98.43
3975.00,98.44
3974.00,98.47
3973.00,98.50
3972.00,98.52
3971.00,98.52
3970.00,98.50
3969.00,98.48
3968.00,98.46
3967.00,98.46
3966.00,98.46
3965.00,98.47
3964.00,98.48
3963.00,98.50
3962.00,98.52
3961.00,98.55
3960.00,98.56
3959.00,98.56
3958.00,98.55
3957.00,98.54
3956.00,98.54
3955.00,98.55
3954.00,98.56
3953.00,98.57
3952.00,98.56
3951.00,98.54
3950.00,98.52
3949.00,98.51
3948.00,98.52
3947.00,98.53
3946.00,98.53
3945.00,98.51
3944.00,98.49
3943.00,98.48
3942.00,98.48
3941.00,98.49
3940.00,98.50
3939.00,98.52
3938.00,98.53
3937.00,98.54
3936.00,98.53
3935.00,98.50
3934.00,98.46
3933.00,98.43
3932.00,98.41
3931.00,98.41
3930.00,98.42
3929.00,98.42
3928.00,98.42
3927.00,98.42
3926.00,98.43
3925.00,98.45
3924.00,98.47
3923.00,98.49
3922.00,98.50
3921.00,98.49
3920.00,98.48
3919.00,98.46
3918.00,98.44
3917.00,98.43
3916.00,98.43
3915.00,98.44
3914.00,98.45
3913.00,98.47
3912.00,98.49
3911.00,98.50
3910.00,98.51
3909.00,98.50
3908.00,98.49
3907.00,98.46
3906.00,98.44
3905.00,98.44
3904.00,98.45
3903.00,98.46
3902.00,98.44
3901.00,98.40
3900.00,98.38
3899.00,98.39
3898.00,98.43
3897.00,98.48
3896.00,98.51
3895.00,98.52
3894.00,98.52
3893.00,98.51
3892.00,98.51
3891.00,98.52
3890.00,98.52
3889.00,98.51
3888.00,98.50
3887.00,98.51
3886.00,98.53
3885.00,98.53
3884.00,98.52
3883.00,98.50
3882.00,98.50
3881.00,98.51
3880.00,98.52
3879.00,98.52
3878.00,98.50
3877.00,98.48
3876.00,98.47
3875.00,98.47
3874.00,98.47
3873.00,98.45
3872.00,98.42
3871.00,98.40
3870.00,98.40
3869.00,98.41
3868.00,98.41
3867.00,98.40
3866.00,98.40
3865.00,98.41
3864.00,98.44
3863.00,98.45
3862.00,98.46
3861.00,98.47
3860.00,98.48
3859.00,98.48
3858.00,98.46
3857.00,98.43
3856.00,98.40
3855.00,98.37
3854.00,98.38
3853.00,98.43
3852.00,98.45
3851.00,98.44
3850.00,98.43
3849.00,98.43
3848.00,98.45
3847.00,98.48
3846.00,98.50
3845.00,98.50
3844.00,98.49
3843.00,98.46
3842.00,98.42
3841.00,98.40
3840.00,98.39
3839.00,98.39
3838.00,98.41
3837.00,98.42
3836.00,98.41
3835.00,98.40
3834.00,98.40
3833.00,98.40
3832.00,98.40
3831.00,98.40
3830.00,98.39
3829.00,98.38
3828.00,98.37
3827.00,98.39
3826.00,98.41
3825.00,98.42
3824.00,98.42
3823.00,98.41
3822.00,98.41
3821.00,98.42
3820.00,98.42
3819.00,98.38
3818.00,98.35
3817.00,98.34
3816.00,98.35
3815.00,98.37
3814.00,98.37
3813.00,98.36
3812.00,98.37
3811.00,98.38
3810.00,98.38
3809.00,98.37
3808.00,98.36
3807.00,98.37
3806.00,98.38
3805.00,98.38
3804.00,98.37
3803.00,98.36
3802.00,98.36
3801.00,98.37
3800.00,98.36
3799.00,98.35
3798.00,98.34
3797.00,98.34
3796.00,98.35
3795.00,98.36
3794.00,98.36
3793.00,98.38
3792.00,98.40
3791.00,98.42
3790.00,98.42
3789.00,98.40
3788.00,98.37
3787.00,98.35
3786.00,98.34
3785.00,98.35
3784.00,98.37
3783.00,98.39
3782.00,98.39
3781.00,98.39
3780.00,98.38
3779.00,98.36
3778.00,98.34
3777.00,98.31
3776.00,98.30
3775.00,98.29
3774.00,98.30
3773.00,98.29
3772.00,98.29
3771.00,98.27
3770.00,98.26
3769.00,98.24
3768.00,98.23
3767.00,98.23
3766.00,98.23
3765.00,98.24
3764.00,98.24
3763.00,98.24
3762.00,98.24
3761.00,98.25
3760.00,98.27
3759.00,98.27
3758.00,98.27
3757.00,98.27
3756.00,98.28
3755.00,98.29
3754.00,98.29
3753.00,98.27
3752.00,98.24
3751.00,98.23
3750.00,98.25
3749.00,98.27
3748.00,98.27
3747.00,98.24
3746.00,98.21
3745.00,98.19
3744.00,98.19
3743.00,98.19
3742.00,98.18
3741.00,98.19
3740.00,98.22
3739.00,98.25
3738.00,98.26
3737.00,98.26
3736.00,98.24
3735.00,98.22
3734.00,98.21
3733.00,98.19
3732.00,98.18
3731.00,98.17
3730.00,98.16
3729.00,98.15
3728.00,98.16
3727.00,98.17
3726.00,98.17
3725.00,98.15
3724.00,98.13
3723.00,98.12
3722.00,98.13
3721.00,98.15
3720.00,98.17
3719.00,98.19
3718.00,98.21
3717.00,98.21
3716.00,98.19
3715.00,98.17
3714.00,98.14
3713.00,98.14
3712.00,98.14
3711.00,98.14
3710.00,98.12
3709.00,98.10
3708.00,98.09
3707.00,98.10
3706.00,98.11
3705.00,98.12
3704.00,98.13
3703.00,98.14
3702.00,98.15
3701.00,98.16
3700.00,98.17
3699.00,98.16
3698.00,98.14
3697.00,98.14
3696.00,98.14
3695.00,98.15
3694.00,98.15
3693.00,98.16
3692.00,98.15
3691.00,98.12
3690.00,98.08
3689.00,98.04
3688.00,98.02
3687.00,98.01
3686.00,98.02
3685.00,98.04
3684.00,98.07
3683.00,98.09
3682.00,98.09
3681.00,98.08
3680.00,98.07
3679.00,98.06
3678.00,98.05
3677.00,98.02
3676.00,98.00
3675.00,97.98
3674.00,97.97
3673.00,97.94
3672.00,97.93
3671.00,97.93
3670.00,97.94
3669.00,97.93
3668.00,97.91
3667.00,97.89
3666.00,97.89
3665.00,97.91
3664.00,97.93
3663.00,97.95
3662.00,97.96
3661.00,97.96
3660.00,97.95
3659.00,97.93
3658.00,97.89
3657.00,97.85
3656.00,97.82
3655.00,97.80
3654.00,97.77
3653.00,97.75
3652.00,97.74
3651.00,97.73
3650.00,97.73
3649.00,97.72
3648.00,97.72
3647.00,97.71
3646.00,97.71
3645.00,97.71
3644.00,97.72
3643.00,97.73
3642.00,97.75
3641.00,97.77
3640.00,97.78
3639.00,97.78
3638.00,97.77
3637.00,97.75
3636.00,97.73
3635.00,97.71
3634.00,97.70
