Created as New Dataset,144 Enka
cm-1,%T
4000.00,100.71
3999.00,100.69
3998.00,100.66
3997.00,100.62
3996.00,100.60
3995.00,100.59
3994.00,100.60
3993.00,100.62
3992.00,100.63
3991.00,100.64
3990.00,100.65
3989.00,100.66
3988.00,100.67
3987.00,100.66
3986.00,100.65
3985.00,100.62
3984.00,100.59
3983.00,100.57
3982.00,100.57
3981.00,100.60
3980.00,100.62
3979.00,100.64
3978.00,100.64
3977.00,100.64
3976.00,100.63
3975.00,100.63
3974.00,100.62
3973.00,100.60
3972.00,100.59
3971.00,100.58
3970.00,100.57
3969.00,100.57
3968.00,100.58
3967.00,100.60
3966.00,100.61
3965.00,100.63
3964.00,100.64
3963.00,100.64
3962.00,100.64
3961.00,100.65
3960.00,100.65
3959.00,100.65
3958.00,100.65
3957.00,100.65
3956.00,100.64
3955.00,100.64
3954.00,100.64
3953.00,100.65
3952.00,100.66
3951.00,100.66
3950.00,100.66
3949.00,100.65
3948.00,100.63
3947.00,100.62
3946.00,100.60
3945.00,100.59
3944.00,100.59
3943.00,100.61
3942.00,100.63
3941.00,100.65
3940.00,100.66
3939.00,100.66
3938.00,100.65
3937.00,100.63
3936.00,100.62
3935.00,100.62
3934.00,100.62
3933.00,100.61
3932.00,100.61
3931.00,100.60
3930.00,100.60
3929.00,100.60
3928.00,100.59
3927.00,100.57
3926.00,100.55
3925.00,100.54
3924.00,100.53
3923.00,100.52
3922.00,100.51
3921.00,100.52
3920.00,100.53
3919.00,100.54
3918.00,100.56
3917.00,100.57
3916.00,100.57
3915.00,100.56
3914.00,100.56
3913.00,100.56
3912.00,100.57
3911.00,100.58
3910.00,100.60
3909.00,100.62
3908.00,100.63
3907.00,100.63
3906.00,100.61
3905.00,100.59
3904.00,100.56
3903.00,100.53
3902.00,100.49
3901.00,100.46
3900.00,100.45
3899.00,100.45
3898.00,100.48
3897.00,100.50
3896.00,100.52
3895.00,100.52
3894.00,100.52
3893.00,100.52
3892.00,100.53
3891.00,100.54
3890.00,100.52
3889.00,100.50
3888.00,100.48
3887.00,100.48
3886.00,100.51
3885.00,100.53
3884.00,100.52
3883.00,100.51
3882.00,100.51
3881.00,100.52
3880.00,100.52
3879.00,100.51
3878.00,100.48
3877.00,100.46
3876.00,100.44
3875.00,100.44
3874.00,100.44
3873.00,100.43
3872.00,100.43
3871.00,100.44
3870.00,100.47
3869.00,100.48
3868.00,100.46
3867.00,100.45
3866.00,100.45
3865.00,100.46
3864.00,100.46
3863.00,100.46
3862.00,100.47
3861.00,100.50
3860.00,100.52
3859.00,100.54
3858.00,100.53
3857.00,100.50
3856.00,100.47
3855.00,100.49
3854.00,100.52
3853.00,100.52
3852.00,100.49
3851.00,100.46
3850.00,100.46
3849.00,100.47
3848.00,100.48
3847.00,100.49
3846.00,100.49
3845.00,100.50
3844.00,100.51
3843.00,100.52
3842.00,100.52
3841.00,100.51
3840.00,100.49
3839.00,100.47
3838.00,100.44
3837.00,100.40
3836.00,100.38
3835.00,100.37
3834.00,100.38
3833.00,100.40
3832.00,100.43
3831.00,100.43
3830.00,100.41
3829.00,100.37
3828.00,100.35
3827.00,100.36
3826.00,100.37
3825.00,100.36
3824.00,100.35
3823.00,100.34
3822.00,100.36
3821.00,100.39
3820.00,100.39
3819.00,100.38
3818.00,100.37
3817.00,100.38
3816.00,100.41
3815.00,100.42
3814.00,100.42
3813.00,100.42
3812.00,100.43
3811.00,100.42
3810.00,100.40
3809.00,100.38
3808.00,100.38
3807.00,100.38
3806.00,100.37
3805.00,100.34
3804.00,100.31
3803.00,100.33
3802.00,100.37
3801.00,100.39
3800.00,100.37
3799.00,100.34
3798.00,100.32
3797.00,100.34
3796.00,100.37
3795.00,100.40
3794.00,100.41
3793.00,100.42
3792.00,100.42
