Created as New Dataset,135 Bayer
cm-1,%T
4000.00,101.92
3999.00,101.92
3998.00,101.92
3997.00,101.92
3996.00,101.93
3995.00,101.93
3994.00,101.94
3993.00,101.95
3992.00,101.96
3991.00,101.97
3990.00,101.98
3989.00,101.99
3988.00,102.00
3987.00,101.99
3986.00,101.98
3985.00,101.95
3984.00,101.94
3983.00,101.93
3982.00,101.92
3981.00,101.93
3980.00,101.93
3979.00,101.93
3978.00,101.93
3977.00,101.93
3976.00,101.92
3975.00,101.93
3974.00,101.94
3973.00,101.95
3972.00,101.95
3971.00,101.93
3970.00,101.91
3969.00,101.90
3968.00,101.89
3967.00,101.90
3966.00,101.90
3965.00,101.91
3964.00,101.91
3963.00,101.92
3962.00,101.93
3961.00,101.94
3960.00,101.95
3959.00,101.95
3958.00,101.95
3957.00,101.95
3956.00,101.94
3955.00,101.93
3954.00,101.90
3953.00,101.87
3952.00,101.86
3951.00,101.86
3950.00,101.88
3949.00,101.90
3948.00,101.91
3947.00,101.90
3946.00,101.87
3945.00,101.86
3944.00,101.86
3943.00,101.87
3942.00,101.89
3941.00,101.91
3940.00,101.91
3939.00,101.90
3938.00,101.89
3937.00,101.88
3936.00,101.87
3935.00,101.86
3934.00,101.86
3933.00,101.87
3932.00,101.87
3931.00,101.87
3930.00,101.86
3929.00,101.85
3928.00,101.84
3927.00,101.84
3926.00,101.85
3925.00,101.86
3924.00,101.85
3923.00,101.84
3922.00,101.81
3921.00,101.79
3920.00,101.78
3919.00,101.78
3918.00,101.79
3917.00,101.80
3916.00,101.82
3915.00,101.85
3914.00,101.87
3913.00,101.89
3912.00,101.88
3911.00,101.86
3910.00,101.83
3909.00,101.81
3908.00,101.79
3907.00,101.78
3906.00,101.78
3905.00,101.79
3904.00,101.80
3903.00,101.78
3902.00,101.75
3901.00,101.72
3900.00,101.72
3899.00,101.74
3898.00,101.79
3897.00,101.84
3896.00,101.88
3895.00,101.88
3894.00,101.86
3893.00,101.83
3892.00,101.81
3891.00,101.81
3890.00,101.82
3889.00,101.82
3888.00,101.82
3887.00,101.82
3886.00,101.83
3885.00,101.83
3884.00,101.82
3883.00,101.81
3882.00,101.82
3881.00,101.82
3880.00,101.83
3879.00,101.83
3878.00,101.82
3877.00,101.82
3876.00,101.81
3875.00,101.81
3874.00,101.79
3873.00,101.75
3872.00,101.72
3871.00,101.70
3870.00,101.70
3869.00,101.69
3868.00,101.69
3867.00,101.69
3866.00,101.71
3865.00,101.74
3864.00,101.78
3863.00,101.81
3862.00,101.84
3861.00,101.85
3860.00,101.83
3859.00,101.81
3858.00,101.76
3857.00,101.72
3856.00,101.68
3855.00,101.68
3854.00,101.68
3853.00,101.68
3852.00,101.67
3851.00,101.68
3850.00,101.70
3849.00,101.73
3848.00,101.74
3847.00,101.75
3846.00,101.75
3845.00,101.74
3844.00,101.74
3843.00,101.73
3842.00,101.70
3841.00,101.67
3840.00,101.65
3839.00,101.64
3838.00,101.64
3837.00,101.65
3836.00,101.66
3835.00,101.69
3834.00,101.72
3833.00,101.75
3832.00,101.77
3831.00,101.79
3830.00,101.79
3829.00,101.78
3828.00,101.77
3827.00,101.75
3826.00,101.71
3825.00,101.67
3824.00,101.63
3823.00,101.62
3822.00,101.63
3821.00,101.64
3820.00,101.65
3819.00,101.65
3818.00,101.67
3817.00,101.70
3816.00,101.72
3815.00,101.71
3814.00,101.69
3813.00,101.67
3812.00,101.67
3811.00,101.66
3810.00,101.65
3809.00,101.64
3808.00,101.65
3807.00,101.66
3806.00,101.65
3805.00,101.62
3804.00,101.59
3803.00,101.57
3802.00,101.57
3801.00,101.58
3800.00,101.61
3799.00,101.63
3798.00,101.66
3797.00,101.68
3796.00,101.69
3795.00,101.69
3794.00,101.70
3793.00,101.73
3792.00,101.74
3791.00,101.74
3790.00,101.73
3789.00,101.72
3788.00,101.72
3787.00,101.72
3786.00,101.73
3785.00,101.72
3784.00,101.72
3783.00,101.70
3782.00,101.69
3781.00,101.68
3780.00,101.67
3779.00,101.67
3778.00,101.68
3777.00,101.68
3776.00,101.70
3775.00,101.71
3774.00,101.71
3773.00,101.72
3772.00,101.72
3771.00,101.72
3770.00,101.71
3769.00,101.68
3768.00,101.64
3767.00,101.61
3766.00,101.59
3765.00,101.58
3764.00,101.58
3763.00,101.57
3762.00,101.57
3761.00,101.57
3760.00,101.57
3759.00,101.57
3758.00,101.56
3757.00,101.55
3756.00,101.54
3755.00,101.55
3754.00,101.56
3753.00,101.57
3752.00,101.55
3751.00,101.51
3750.00,101.48
3749.00,101.46
3748.00,101.45
3747.00,101.44
3746.00,101.44
3745.00,101.43
3744.00,101.42
3743.00,101.42
3742.00,101.45
3741.00,101.49
3740.00,101.53
3739.00,101.55
3738.00,101.55
3737.00,101.54
3736.00,101.55
3735.00,101.54
3734.00,101.53
3733.00,101.52
3732.00,101.50
3731.00,101.48
3730.00,101.47
3729.00,101.47
3728.00,101.48
3727.00,101.48
3726.00,101.49
3725.00,101.49
3724.00,101.49
3723.00,101.50
3722.00,101.50
3721.00,101.50
3720.00,101.51
3719.00,101.52
3718.00,101.53
3717.00,101.53
3716.00,101.54
3715.00,101.54
3714.00,101.55
3713.00,101.56
3712.00,101.58
3711.00,101.59
3710.00,101.60
3709.00,101.60
3708.00,101.60
3707.00,101.60
3706.00,101.60
3705.00,101.60
3704.00,101.61
3703.00,101.60
3702.00,101.58
3701.00,101.55
3700.00,101.53
3699.00,101.53
3698.00,101.54
3697.00,101.56
3696.00,101.57
3695.00,101.56
3694.00,101.55
3693.00,101.53
3692.00,101.51
3691.00,101.50
3690.00,101.50
3689.00,101.50
3688.00,101.50
3687.00,101.51
3686.00,101.51
3685.00,101.52
3684.00,101.52
3683.00,101.52
3682.00,101.52
3681.00,101.51
3680.00,101.49
3679.00,101.46
3678.00,101.42
3677.00,101.39
3676.00,101.38
3675.00,101.37
3674.00,101.36
3673.00,101.34
3672.00,101.35
3671.00,101.37
3670.00,101.40
3669.00,101.41
3668.00,101.42
3667.00,101.43
3666.00,101.44
3665.00,101.46
3664.00,101.47
3663.00,101.47
3662.00,101.46
3661.00,101.45
3660.00,101.44
3659.00,101.44
3658.00,101.45
3657.00,101.47
3656.00,101.48
3655.00,101.46
3654.00,101.44
3653.00,101.41
3652.00,101.39
3651.00,101.38
3650.00,101.37
3649.00,101.36
3648.00,101.35
3647.00,101.34
3646.00,101.34
3645.00,101.36
3644.00,101.38
3643.00,101.39
3642.00,101.41
3641.00,101.41
3640.00,101.41
3639.00,101.42
3638.00,101.43
3637.00,101.44
3636.00,101.44
3635.00,101.44
3634.00,101.43
3633.00,101.40
3632.00,101.35
3631.00,101.31
3630.00,101.29
3629.00,101.28
3628.00,101.29
3627.00,101.30
3626.00,101.33
3625.00,101.35
3624.00,101.36
3623.00,101.34
3622.00,101.32
3621.00,101.29
3620.00,101.29
3619.00,101.29
3618.00,101.29
3617.00,101.29
3616.00,101.29
3615.00,101.31
3614.00,101.32
3613.00,101.34
3612.00,101.35
3611.00,101.35
3610.00,101.36
3609.00,101.38
3608.00,101.39
3607.00,101.40
3606.00,101.42
3605.00,101.43
3604.00,101.43
3603.00,101.41
3602.00,101.38
3601.00,101.37
3600.00,101.38
3599.00,101.39
3598.00,101.40
3597.00,101.39
3596.00,101.37
3595.00,101.36
3594.00,101.34
3593.00,101.33
3592.00,101.32
3591.00,101.32
3590.00,101.33
3589.00,101.34
3588.00,101.35
3587.00,101.34
3586.00,101.34
3585.00,101.34
3584.00,101.34
3583.00,101.34
3582.00,101.34
3581.00,101.34
3580.00,101.34
3579.00,101.34
3578.00,101.35
3577.00,101.35
3576.00,101.35
3575.00,101.35
3574.00,101.35
3573.00,101.33
3572.00,101.36
3571.00,101.36
3570.00,101.38
3569.00,101.22
3568.00,101.18
3567.00,101.21
3566.00,101.22
3565.00,101.24
3564.00,101.23
3563.00,101.23
3562.00,101.23
3561.00,101.24
3560.00,101.25
3559.00,101.26
3558.00,101.26
3557.00,101.26
3556.00,101.25
3555.00,101.24
3554.00,101.23
3553.00,101.22
3552.00,101.20
3551.00,101.20
3550.00,101.20
3549.00,101.20
3548.00,101.20
3547.00,101.19
3546.00,101.19
3545.00,101.20
3544.00,101.22
3543.00,101.26
3542.00,101.29
3541.00,101.32
3540.00,101.32
3539.00,101.30
3538.00,101.28
3537.00,101.26
3536.00,101.26
3535.00,101.27
3534.00,101.28
3533.00,101.29
3532.00,101.28
3531.00,101.27
3530.00,101.26
3529.00,101.26
3528.00,101.27
3527.00,101.28
3526.00,101.27
3525.00,101.25
3524.00,101.22
3523.00,101.18
3522.00,101.15
3521.00,101.14
3520.00,101.16
3519.00,101.19
3518.00,101.22
3517.00,101.24
3516.00,101.24
3515.00,101.23
3514.00,101.22
3513.00,101.22
3512.00,101.22
3511.00,101.24
3510.00,101.27
3509.00,101.29
3508.00,101.31
3507.00,101.30
3506.00,101.29
3505.00,101.28
3504.00,101.27
3503.00,101.27
3502.00,101.27
3501.00,101.26
3500.00,101.24
3499.00,101.22
3498.00,101.21
3497.00,101.21
