Created as New Dataset,Spun Polyester (Black)
cm-1,%T
4000.00,99.68
3999.00,99.68
3998.00,99.68
3997.00,99.68
3996.00,99.68
3995.00,99.68
3994.00,99.68
3993.00,99.67
3992.00,99.68
3991.00,99.68
3990.00,99.68
3989.00,99.68
3988.00,99.67
3987.00,99.67
3986.00,99.69
3985.00,99.71
3984.00,99.73
3983.00,99.73
3982.00,99.71
3981.00,99.69
3980.00,99.67
3979.00,99.66
3978.00,99.66
3977.00,99.66
3976.00,99.67
3975.00,99.66
3974.00,99.67
3973.00,99.68
3972.00,99.69
3971.00,99.70
3970.00,99.70
3969.00,99.70
3968.00,99.68
3967.00,99.67
3966.00,99.67
3965.00,99.67
3964.00,99.68
3963.00,99.69
3962.00,99.71
3961.00,99.72
3960.00,99.72
3959.00,99.72
3958.00,99.71
3957.00,99.70
3956.00,99.67
3955.00,99.64
3954.00,99.61
3953.00,99.59
3952.00,99.59
3951.00,99.61
3950.00,99.63
3949.00,99.64
3948.00,99.65
3947.00,99.64
3946.00,99.63
3945.00,99.61
3944.00,99.59
3943.00,99.58
3942.00,99.58
3941.00,99.60
3940.00,99.63
3939.00,99.67
3938.00,99.69
3937.00,99.69
3936.00,99.68
3935.00,99.67
3934.00,99.66
3933.00,99.65
3932.00,99.63
3931.00,99.62
3930.00,99.62
3929.00,99.64
3928.00,99.65
3927.00,99.66
3926.00,99.65
3925.00,99.62
3924.00,99.61
3923.00,99.60
3922.00,99.62
3921.00,99.64
3920.00,99.66
3919.00,99.67
3918.00,99.67
3917.00,99.64
3916.00,99.61
3915.00,99.59
3914.00,99.58
3913.00,99.59
3912.00,99.60
3911.00,99.61
3910.00,99.60
3909.00,99.59
3908.00,99.59
3907.00,99.59
3906.00,99.60
3905.00,99.60
3904.00,99.60
3903.00,99.60
3902.00,99.62
3901.00,99.65
3900.00,99.67
3899.00,99.67
3898.00,99.65
3897.00,99.63
3896.00,99.61
3895.00,99.60
3894.00,99.61
3893.00,99.62
3892.00,99.63
3891.00,99.63
3890.00,99.62
3889.00,99.61
3888.00,99.62
3887.00,99.64
3886.00,99.65
3885.00,99.63
3884.00,99.61
3883.00,99.59
3882.00,99.59
3881.00,99.59
3880.00,99.59
3879.00,99.58
3878.00,99.58
3877.00,99.59
3876.00,99.61
3875.00,99.62
3874.00,99.62
3873.00,99.61
3872.00,99.59
3871.00,99.58
3870.00,99.57
3869.00,99.56
3868.00,99.55
3867.00,99.54
3866.00,99.54
3865.00,99.55
3864.00,99.56
3863.00,99.56
3862.00,99.57
3861.00,99.57
3860.00,99.56
3859.00,99.56
3858.00,99.56
3857.00,99.57
3856.00,99.58
3855.00,99.60
3854.00,99.61
3853.00,99.59
3852.00,99.58
3851.00,99.58
3850.00,99.59
3849.00,99.59
3848.00,99.59
3847.00,99.59
3846.00,99.57
3845.00,99.55
3844.00,99.53
3843.00,99.50
3842.00,99.48
3841.00,99.47
3840.00,99.47
3839.00,99.47
3838.00,99.46
3837.00,99.46
3836.00,99.48
3835.00,99.51
3834.00,99.53
3833.00,99.54
3832.00,99.52
3831.00,99.50
3830.00,99.48
3829.00,99.47
3828.00,99.48
3827.00,99.48
3826.00,99.49
3825.00,99.48
3824.00,99.47
3823.00,99.47
3822.00,99.47
3821.00,99.47
3820.00,99.45
3819.00,99.43
3818.00,99.42
3817.00,99.43
3816.00,99.45
3815.00,99.48
3814.00,99.50
3813.00,99.51
3812.00,99.51
3811.00,99.49
3810.00,99.47
3809.00,99.45
3808.00,99.42
3807.00,99.40
3806.00,99.38
3805.00,99.36
3804.00,99.36
3803.00,99.37
3802.00,99.38
3801.00,99.38
3800.00,99.38
3799.00,99.38
3798.00,99.40
3797.00,99.42
3796.00,99.43
3795.00,99.44
3794.00,99.45
3793.00,99.45
3792.00,99.46
3791.00,99.46
3790.00,99.46
3789.00,99.45
3788.00,99.45
3787.00,99.45
3786.00,99.46
3785.00,99.45
3784.00,99.43
3783.00,99.41
3782.00,99.39
3781.00,99.37
3780.00,99.36
3779.00,99.36
3778.00,99.35
3777.00,99.35
3776.00,99.36
3775.00,99.36
3774.00,99.36
3773.00,99.36
3772.00,99.35
3771.00,99.33
3770.00,99.31
3769.00,99.29
3768.00,99.30
3767.00,99.31
3766.00,99.33
3765.00,99.34
3764.00,99.33
3763.00,99.32
3762.00,99.31
3761.00,99.30
3760.00,99.29
3759.00,99.28
3758.00,99.26
3757.00,99.24
3756.00,99.21
3755.00,99.17
3754.00,99.12
3753.00,99.09
3752.00,99.09
3751.00,99.13
3750.00,99.17
3749.00,99.21
3748.00,99.22
3747.00,99.23
3746.00,99.25
3745.00,99.28
3744.00,99.29
3743.00,99.29
3742.00,99.28
3741.00,99.27
3740.00,99.26
3739.00,99.27
3738.00,99.29
3737.00,99.31
3736.00,99.34
3735.00,99.35
3734.00,99.35
3733.00,99.35
3732.00,99.35
3731.00,99.34
3730.00,99.33
3729.00,99.30
3728.00,99.28
3727.00,99.27
3726.00,99.26
3725.00,99.26
3724.00,99.26
3723.00,99.25
3722.00,99.24
3721.00,99.24
3720.00,99.27
3719.00,99.30
3718.00,99.34
3717.00,99.35
3716.00,99.35
3715.00,99.32
3714.00,99.29
3713.00,99.26
3712.00,99.24
3711.00,99.23
3710.00,99.24
3709.00,99.25
3708.00,99.25
3707.00,99.24
3706.00,99.21
3705.00,99.18
3704.00,99.17
3703.00,99.17
3702.00,99.18
3701.00,99.18
3700.00,99.19
3699.00,99.21
3698.00,99.22
3697.00,99.22
3696.00,99.19
3695.00,99.14
3694.00,99.09
3693.00,99.05
3692.00,99.02
3691.00,99.01
3690.00,99.02
3689.00,99.04
3688.00,99.06
3687.00,99.08
3686.00,99.10
3685.00,99.11
3684.00,99.11
3683.00,99.09
3682.00,99.06
3681.00,99.03
3680.00,99.01
3679.00,99.00
3678.00,98.98
3677.00,98.95
3676.00,98.91
3675.00,98.88
3674.00,98.87
3673.00,98.89
3672.00,98.92
3671.00,98.95
3670.00,98.95
3669.00,98.93
3668.00,98.90
3667.00,98.89
3666.00,98.88
3665.00,98.88
3664.00,98.89
3663.00,98.91
3662.00,98.92
3661.00,98.93
3660.00,98.92
3659.00,98.89
3658.00,98.85
3657.00,98.83
3656.00,98.81
3655.00,98.81
3654.00,98.80
3653.00,98.81
3652.00,98.81
3651.00,98.80
3650.00,98.76
3649.00,98.71
3648.00,98.67
3647.00,98.66
3646.00,98.67
3645.00,98.67
3644.00,98.68
3643.00,98.68
3642.00,98.69
3641.00,98.69
3640.00,98.70
3639.00,98.71
3638.00,98.70
3637.00,98.69
3636.00,98.68
3635.00,98.67
3634.00,98.66
3633.00,98.64
3632.00,98.63
3631.00,98.61
3630.00,98.60
3629.00,98.60
3628.00,98.59
3627.00,98.59
3626.00,98.62
3625.00,98.64
3624.00,98.67
3623.00,98.67
3622.00,98.66
3621.00,98.65
3620.00,98.65
3619.00,98.67
3618.00,98.68
3617.00,98.68
3616.00,98.67
3615.00,98.65
3614.00,98.64
3613.00,98.63
3612.00,98.65
3611.00,98.69
3610.00,98.72
3609.00,98.72
3608.00,98.69
3607.00,98.65
3606.00,98.64
3605.00,98.66
3604.00,98.69
3603.00,98.70
3602.00,98.69
3601.00,98.65
3600.00,98.62
3599.00,98.61
3598.00,98.63
3597.00,98.66
3596.00,98.68
3595.00,98.69
3594.00,98.68
3593.00,98.67
3592.00,98.68
3591.00,98.69
3590.00,98.71
3589.00,98.72
3588.00,98.72
3587.00,98.71
3586.00,98.70
3585.00,98.70
3584.00,98.71
3583.00,98.72
3582.00,98.72
3581.00,98.72
3580.00,98.72
3579.00,98.70
3578.00,98.68
3577.00,98.67
3576.00,98.66
3575.00,98.67
3574.00,98.69
3573.00,98.71
3572.00,98.72
3571.00,98.72
3570.00,98.70
3569.00,98.65
3568.00,98.59
3567.00,98.52
3566.00,98.47
3565.00,98.45
3564.00,98.46
3563.00,98.48
3562.00,98.50
3561.00,98.51
3560.00,98.51
3559.00,98.50
3558.00,98.50
3557.00,98.50
3556.00,98.51
3555.00,98.50
3554.00,98.48
3553.00,98.47
3552.00,98.46
3551.00,98.46
3550.00,98.46
3549.00,98.46
3548.00,98.46
3547.00,98.46
3546.00,98.46
3545.00,98.47
3544.00,98.49
3543.00,98.51
3542.00,98.51
3541.00,98.49
3540.00,98.47
3539.00,98.45
3538.00,98.45
3537.00,98.47
3536.00,98.50
3535.00,98.52
3534.00,98.50
3533.00,98.47
3532.00,98.42
3531.00,98.40
3530.00,98.39
3529.00,98.40
3528.00,98.43
3527.00,98.47
3526.00,98.50
3525.00,98.51
3524.00,98.52
3523.00,98.52
3522.00,98.53
3521.00,98.54
3520.00,98.54
3519.00,98.55
3518.00,98.55
3517.00,98.56
3516.00,98.57
3515.00,98.58
3514.00,98.57
3513.00,98.55
3512.00,98.52
3511.00,98.50
3510.00,98.50
3509.00,98.52
3508.00,98.55
3507.00,98.59
3506.00,98.62
3505.00,98.63
3504.00,98.62
3503.00,98.60
3502.00,98.59
3501.00,98.58
3500.00,98.58
3499.00,98.58
3498.00,98.57
3497.00,98.56
3496.00,98.55
3495.00,98.56
3494.00,98.57
3493.00,98.60
3492.00,98.61
3491.00,98.62
3490.00,98.61
3489.00,98.60
3488.00,98.59
3487.00,98.58
3486.00,98.57
3485.00,98.55
3484.00,98.53
3483.00,98.53
3482.00,98.54
3481.00,98.55
3480.00,98.55
