Created as New Dataset,133. Allied Signal Fibers
cm-1,%T
4000.00,92.29
3999.00,92.27
3998.00,92.27
3997.00,92.28
3996.00,92.30
3995.00,92.30
3994.00,92.30
3993.00,92.29
3992.00,92.28
3991.00,92.27
3990.00,92.27
3989.00,92.28
3988.00,92.27
3987.00,92.27
3986.00,92.27
3985.00,92.27
3984.00,92.28
3983.00,92.29
3982.00,92.31
3981.00,92.31
3980.00,92.31
3979.00,92.30
3978.00,92.29
3977.00,92.29
3976.00,92.31
3975.00,92.32
3974.00,92.34
3973.00,92.36
3972.00,92.37
3971.00,92.38
3970.00,92.38
3969.00,92.37
3968.00,92.37
3967.00,92.36
3966.00,92.36
3965.00,92.35
3964.00,92.35
3963.00,92.35
3962.00,92.34
3961.00,92.33
3960.00,92.32
3959.00,92.34
3958.00,92.36
3957.00,92.39
3956.00,92.40
3955.00,92.40
3954.00,92.39
3953.00,92.39
3952.00,92.39
3951.00,92.40
3950.00,92.40
3949.00,92.40
3948.00,92.39
3947.00,92.36
3946.00,92.34
3945.00,92.32
3944.00,92.32
3943.00,92.32
3942.00,92.33
3941.00,92.33
3940.00,92.32
3939.00,92.32
3938.00,92.33
3937.00,92.34
3936.00,92.34
3935.00,92.33
3934.00,92.32
3933.00,92.33
3932.00,92.34
3931.00,92.36
3930.00,92.36
3929.00,92.35
3928.00,92.33
3927.00,92.32
3926.00,92.32
3925.00,92.32
3924.00,92.30
3923.00,92.27
3922.00,92.26
3921.00,92.26
3920.00,92.27
3919.00,92.27
3918.00,92.27
3917.00,92.27
3916.00,92.26
3915.00,92.25
3914.00,92.24
3913.00,92.24
3912.00,92.25
3911.00,92.27
3910.00,92.28
3909.00,92.29
3908.00,92.29
3907.00,92.28
3906.00,92.27
3905.00,92.27
3904.00,92.26
3903.00,92.25
3902.00,92.24
3901.00,92.24
3900.00,92.26
3899.00,92.27
3898.00,92.28
3897.00,92.28
3896.00,92.27
3895.00,92.25
3894.00,92.25
3893.00,92.26
3892.00,92.28
3891.00,92.30
3890.00,92.30
3889.00,92.28
3888.00,92.24
3887.00,92.23
3886.00,92.24
3885.00,92.25
3884.00,92.25
3883.00,92.23
3882.00,92.23
3881.00,92.25
3880.00,92.27
3879.00,92.27
3878.00,92.26
3877.00,92.24
3876.00,92.24
3875.00,92.25
3874.00,92.24
3873.00,92.19
3872.00,92.14
3871.00,92.13
3870.00,92.17
3869.00,92.20
3868.00,92.19
3867.00,92.16
3866.00,92.15
3865.00,92.15
3864.00,92.15
3863.00,92.16
3862.00,92.17
3861.00,92.19
3860.00,92.22
3859.00,92.24
3858.00,92.25
3857.00,92.23
3856.00,92.20
3855.00,92.18
3854.00,92.19
3853.00,92.17
3852.00,92.14
3851.00,92.12
3850.00,92.13
3849.00,92.16
3848.00,92.20
3847.00,92.22
3846.00,92.23
3845.00,92.24
3844.00,92.25
3843.00,92.25
3842.00,92.24
3841.00,92.22
3840.00,92.21
3839.00,92.19
3838.00,92.18
3837.00,92.17
3836.00,92.17
3835.00,92.18
3834.00,92.20
3833.00,92.23
3832.00,92.25
3831.00,92.25
3830.00,92.22
3829.00,92.18
3828.00,92.16
3827.00,92.17
3826.00,92.19
3825.00,92.18
3824.00,92.14
3823.00,92.11
3822.00,92.09
3821.00,92.09
3820.00,92.06
3819.00,92.02
3818.00,92.00
3817.00,92.02
3816.00,92.06
3815.00,92.07
3814.00,92.05
3813.00,92.06
3812.00,92.10
3811.00,92.14
3810.00,92.15
3809.00,92.13
3808.00,92.13
3807.00,92.14
3806.00,92.13
3805.00,92.09
3804.00,92.04
3803.00,92.03
3802.00,92.06
3801.00,92.08
3800.00,92.07
3799.00,92.05
3798.00,92.03
3797.00,92.05
3796.00,92.07
3795.00,92.09
3794.00,92.11
3793.00,92.13
3792.00,92.16
3791.00,92.18
3790.00,92.17
3789.00,92.15
3788.00,92.13
3787.00,92.11
3786.00,92.10
3785.00,92.09
3784.00,92.07
3783.00,92.05
3782.00,92.04
3781.00,92.04
3780.00,92.06
3779.00,92.08
3778.00,92.09
3777.00,92.08
3776.00,92.08
3775.00,92.10
3774.00,92.11
3773.00,92.10
3772.00,92.10
3771.00,92.09
3770.00,92.09
3769.00,92.07
3768.00,92.03
3767.00,92.01
3766.00,92.00
3765.00,92.01
3764.00,92.02
3763.00,92.01
3762.00,92.00
3761.00,91.99
3760.00,91.99
3759.00,91.97
3758.00,91.96
3757.00,91.94
3756.00,91.93
3755.00,91.91
3754.00,91.89
3753.00,91.89
3752.00,91.88
3751.00,91.87
3750.00,91.87
3749.00,91.89
3748.00,91.90
3747.00,91.89
3746.00,91.90
3745.00,91.94
3744.00,91.97
3743.00,91.96
3742.00,91.94
3741.00,91.94
3740.00,91.96
3739.00,91.97
3738.00,91.96
3737.00,91.94
3736.00,91.91
3735.00,91.87
3734.00,91.83
3733.00,91.81
3732.00,91.83
3731.00,91.86
3730.00,91.88
3729.00,91.88
3728.00,91.89
3727.00,91.89
3726.00,91.88
3725.00,91.86
3724.00,91.84
3723.00,91.81
3722.00,91.79
3721.00,91.77
3720.00,91.74
3719.00,91.73
3718.00,91.72
3717.00,91.72
3716.00,91.73
3715.00,91.75
3714.00,91.79
