Created as New Dataset,141. Du Pont
cm-1,%T
4000.00,99.37
3999.00,99.36
3998.00,99.36
3997.00,99.36
3996.00,99.38
3995.00,99.40
3994.00,99.42
3993.00,99.42
3992.00,99.42
3991.00,99.40
3990.00,99.37
3989.00,99.35
3988.00,99.34
3987.00,99.35
3986.00,99.37
3985.00,99.39
3984.00,99.39
3983.00,99.39
3982.00,99.38
3981.00,99.37
3980.00,99.36
3979.00,99.34
3978.00,99.32
3977.00,99.30
3976.00,99.29
3975.00,99.29
3974.00,99.29
3973.00,99.30
3972.00,99.32
3971.00,99.34
3970.00,99.36
3969.00,99.37
3968.00,99.38
3967.00,99.38
3966.00,99.38
3965.00,99.39
3964.00,99.41
3963.00,99.42
3962.00,99.41
3961.00,99.39
3960.00,99.38
3959.00,99.36
3958.00,99.36
3957.00,99.36
3956.00,99.37
3955.00,99.37
3954.00,99.38
3953.00,99.39
3952.00,99.39
3951.00,99.38
3950.00,99.36
3949.00,99.35
3948.00,99.34
3947.00,99.35
3946.00,99.36
3945.00,99.38
3944.00,99.38
3943.00,99.37
3942.00,99.34
3941.00,99.32
3940.00,99.30
3939.00,99.31
3938.00,99.34
3937.00,99.38
3936.00,99.41
3935.00,99.41
3934.00,99.39
3933.00,99.36
3932.00,99.33
3931.00,99.31
3930.00,99.31
3929.00,99.32
3928.00,99.33
3927.00,99.35
3926.00,99.36
3925.00,99.37
3924.00,99.37
3923.00,99.36
3922.00,99.35
3921.00,99.33
3920.00,99.32
3919.00,99.30
3918.00,99.29
3917.00,99.29
3916.00,99.30
3915.00,99.31
3914.00,99.31
3913.00,99.32
3912.00,99.33
3911.00,99.33
3910.00,99.34
3909.00,99.35
3908.00,99.35
3907.00,99.36
3906.00,99.37
3905.00,99.38
3904.00,99.40
3903.00,99.41
3902.00,99.41
3901.00,99.40
3900.00,99.39
3899.00,99.38
3898.00,99.37
3897.00,99.36
3896.00,99.35
3895.00,99.35
3894.00,99.34
3893.00,99.33
3892.00,99.33
3891.00,99.33
3890.00,99.34
3889.00,99.33
3888.00,99.32
3887.00,99.32
3886.00,99.33
3885.00,99.34
3884.00,99.33
3883.00,99.32
3882.00,99.31
3881.00,99.32
3880.00,99.34
3879.00,99.36
3878.00,99.36
3877.00,99.34
3876.00,99.33
3875.00,99.32
3874.00,99.31
3873.00,99.29
3872.00,99.26
3871.00,99.26
3870.00,99.27
3869.00,99.28
3868.00,99.27
3867.00,99.25
3866.00,99.25
3865.00,99.27
3864.00,99.29
3863.00,99.32
3862.00,99.34
3861.00,99.34
3860.00,99.34
3859.00,99.34
3858.00,99.32
3857.00,99.30
3856.00,99.27
3855.00,99.27
3854.00,99.29
3853.00,99.32
3852.00,99.33
3851.00,99.34
3850.00,99.36
3849.00,99.37
3848.00,99.37
3847.00,99.35
3846.00,99.32
3845.00,99.29
3844.00,99.28
3843.00,99.28
3842.00,99.28
3841.00,99.27
3840.00,99.26
3839.00,99.24
3838.00,99.24
3837.00,99.25
3836.00,99.26
3835.00,99.26
3834.00,99.26
3833.00,99.25
3832.00,99.26
3831.00,99.26
3830.00,99.26
3829.00,99.26
3828.00,99.26
3827.00,99.27
3826.00,99.28
3825.00,99.28
3824.00,99.25
3823.00,99.23
3822.00,99.23
3821.00,99.24
3820.00,99.25
3819.00,99.25
3818.00,99.24
3817.00,99.26
3816.00,99.27
3815.00,99.26
3814.00,99.23
3813.00,99.21
3812.00,99.21
3811.00,99.21
3810.00,99.21
3809.00,99.21
3808.00,99.22
3807.00,99.23
3806.00,99.22
3805.00,99.19
3804.00,99.17
3803.00,99.18
3802.00,99.22
3801.00,99.24
3800.00,99.25
3799.00,99.23
3798.00,99.22
3797.00,99.22
3796.00,99.23
3795.00,99.23
3794.00,99.22
3793.00,99.22
3792.00,99.22
3791.00,99.21
3790.00,99.19
3789.00,99.18
3788.00,99.17
3787.00,99.16
3786.00,99.17
3785.00,99.19
3784.00,99.19
3783.00,99.18
3782.00,99.16
3781.00,99.15
3780.00,99.17
3779.00,99.19
3778.00,99.20
3777.00,99.20
3776.00,99.20
3775.00,99.19
3774.00,99.17
3773.00,99.15
3772.00,99.14
3771.00,99.13
3770.00,99.12
3769.00,99.11
3768.00,99.08
3767.00,99.07
3766.00,99.07
