Created as New Dataset,188 Courtaulds
cm-1,%T
4000.00,101.72
3999.00,101.72
3998.00,101.72
3997.00,101.72
3996.00,101.72
3995.00,101.72
3994.00,101.72
3993.00,101.73
3992.00,101.73
3991.00,101.73
3990.00,101.73
3989.00,101.72
3988.00,101.70
3987.00,101.69
3986.00,101.68
3985.00,101.68
3984.00,101.70
3983.00,101.70
3982.00,101.70
3981.00,101.69
3980.00,101.69
3979.00,101.69
3978.00,101.71
3977.00,101.73
3976.00,101.75
3975.00,101.77
3974.00,101.77
3973.00,101.75
3972.00,101.73
3971.00,101.70
3970.00,101.69
3969.00,101.68
3968.00,101.68
3967.00,101.68
3966.00,101.70
3965.00,101.71
3964.00,101.72
3963.00,101.72
3962.00,101.72
3961.00,101.72
3960.00,101.72
3959.00,101.73
3958.00,101.73
3957.00,101.74
3956.00,101.74
3955.00,101.73
3954.00,101.73
3953.00,101.73
3952.00,101.73
3951.00,101.74
3950.00,101.74
3949.00,101.75
3948.00,101.76
3947.00,101.76
3946.00,101.75
3945.00,101.74
3944.00,101.73
3943.00,101.73
3942.00,101.73
3941.00,101.73
3940.00,101.74
3939.00,101.74
3938.00,101.73
3937.00,101.71
3936.00,101.69
3935.00,101.68
3934.00,101.66
3933.00,101.65
3932.00,101.63
3931.00,101.63
3930.00,101.64
3929.00,101.66
3928.00,101.68
3927.00,101.69
3926.00,101.70
3925.00,101.70
3924.00,101.70
3923.00,101.71
3922.00,101.73
3921.00,101.76
3920.00,101.79
3919.00,101.78
3918.00,101.76
3917.00,101.73
3916.00,101.71
3915.00,101.70
3914.00,101.71
3913.00,101.71
3912.00,101.71
3911.00,101.70
3910.00,101.69
3909.00,101.69
3908.00,101.72
3907.00,101.75
3906.00,101.76
3905.00,101.77
3904.00,101.76
3903.00,101.76
3902.00,101.76
3901.00,101.78
3900.00,101.79
3899.00,101.79
3898.00,101.78
3897.00,101.77
3896.00,101.76
3895.00,101.75
3894.00,101.76
3893.00,101.76
3892.00,101.75
3891.00,101.73
3890.00,101.69
3889.00,101.67
3888.00,101.67
3887.00,101.68
3886.00,101.70
3885.00,101.71
3884.00,101.73
3883.00,101.74
3882.00,101.75
3881.00,101.76
3880.00,101.76
3879.00,101.75
3878.00,101.74
3877.00,101.73
3876.00,101.73
3875.00,101.71
3874.00,101.70
3873.00,101.70
3872.00,101.72
3871.00,101.73
3870.00,101.74
3869.00,101.72
3868.00,101.71
3867.00,101.72
3866.00,101.73
3865.00,101.75
3864.00,101.76
3863.00,101.76
3862.00,101.76
3861.00,101.76
3860.00,101.75
3859.00,101.74
3858.00,101.73
3857.00,101.74
3856.00,101.75
3855.00,101.76
3854.00,101.76
3853.00,101.75
3852.00,101.75
3851.00,101.76
3850.00,101.76
3849.00,101.75
3848.00,101.73
3847.00,101.72
3846.00,101.72
3845.00,101.73
3844.00,101.75
3843.00,101.77
3842.00,101.79
3841.00,101.81
3840.00,101.83
3839.00,101.84
3838.00,101.85
3837.00,101.84
3836.00,101.84
3835.00,101.82
3834.00,101.79
3833.00,101.76
3832.00,101.73
3831.00,101.72
3830.00,101.72
3829.00,101.73
3828.00,101.74
3827.00,101.74
3826.00,101.73
3825.00,101.73
3824.00,101.73
3823.00,101.73
3822.00,101.72
3821.00,101.72
3820.00,101.74
3819.00,101.76
3818.00,101.78
3817.00,101.78
3816.00,101.75
3815.00,101.72
3814.00,101.70
3813.00,101.70
3812.00,101.71
3811.00,101.72
3810.00,101.73
3809.00,101.73
3808.00,101.72
3807.00,101.70
3806.00,101.70
3805.00,101.73
3804.00,101.77
3803.00,101.80
3802.00,101.79
3801.00,101.75
3800.00,101.73
3799.00,101.73
3798.00,101.75
3797.00,101.76
3796.00,101.75
3795.00,101.72
3794.00,101.70
3793.00,101.69
3792.00,101.69
3791.00,101.68
3790.00,101.66
3789.00,101.63
3788.00,101.62
3787.00,101.63
3786.00,101.64
3785.00,101.66
3784.00,101.67
3783.00,101.67
3782.00,101.68
3781.00,101.70
3780.00,101.71
3779.00,101.70
3778.00,101.69
3777.00,101.67
3776.00,101.66
3775.00,101.65
3774.00,101.64
3773.00,101.64
3772.00,101.63
3771.00,101.63
3770.00,101.63
3769.00,101.65
3768.00,101.68
3767.00,101.69
3766.00,101.69
3765.00,101.66
3764.00,101.63
3763.00,101.60
3762.00,101.58
3761.00,101.58
3760.00,101.60
3759.00,101.61
3758.00,101.63
3757.00,101.63
3756.00,101.64
3755.00,101.65
3754.00,101.68
3753.00,101.72
3752.00,101.75
3751.00,101.76
3750.00,101.75
3749.00,101.75
3748.00,101.75
3747.00,101.75
3746.00,101.74
3745.00,101.73
3744.00,101.74
3743.00,101.75
3742.00,101.77
3741.00,101.76
3740.00,101.74
3739.00,101.71
3738.00,101.68
3737.00,101.68
3736.00,101.70
3735.00,101.71
3734.00,101.72
3733.00,101.71
3732.00,101.71
3731.00,101.71
3730.00,101.72
3729.00,101.74
3728.00,101.75
3727.00,101.74
3726.00,101.71
3725.00,101.67
3724.00,101.64
3723.00,101.61
3722.00,101.60
3721.00,101.61
3720.00,101.63
3719.00,101.65
3718.00,101.66
3717.00,101.67
3716.00,101.68
3715.00,101.68
3714.00,101.68
3713.00,101.66
3712.00,101.64
3711.00,101.62
3710.00,101.61
3709.00,101.60
3708.00,101.60
3707.00,101.59
3706.00,101.60
3705.00,101.61
3704.00,101.62
3703.00,101.62
3702.00,101.61
3701.00,101.59
3700.00,101.57
3699.00,101.55
3698.00,101.54
3697.00,101.53
3696.00,101.53
3695.00,101.53
3694.00,101.54
3693.00,101.56
3692.00,101.58
3691.00,101.59
3690.00,101.58
3689.00,101.56
3688.00,101.55
3687.00,101.57
3686.00,101.58
3685.00,101.59
3684.00,101.59
3683.00,101.58
3682.00,101.57
3681.00,101.54
3680.00,101.52
3679.00,101.49
3678.00,101.49
3677.00,101.51
3676.00,101.53
3675.00,101.55
3674.00,101.56
3673.00,101.57
3672.00,101.57
3671.00,101.56
3670.00,101.52
3669.00,101.47
3668.00,101.45
3667.00,101.45
3666.00,101.46
3665.00,101.46
3664.00,101.44
3663.00,101.40
3662.00,101.35
3661.00,101.32
3660.00,101.31
3659.00,101.32
3658.00,101.35
3657.00,101.38
3656.00,101.39
3655.00,101.40
3654.00,101.41
3653.00,101.42
3652.00,101.42
3651.00,101.41
3650.00,101.40
3649.00,101.39
3648.00,101.39
3647.00,101.37
3646.00,101.35
3645.00,101.33
3644.00,101.30
3643.00,101.28
3642.00,101.26
3641.00,101.25
3640.00,101.23
3639.00,101.21
3638.00,101.19
3637.00,101.18
3636.00,101.18
3635.00,101.18
3634.00,101.19
3633.00,101.19
3632.00,101.20
3631.00,101.19
3630.00,101.17
3629.00,101.13
3628.00,101.11
3627.00,101.10
3626.00,101.11
3625.00,101.11
3624.00,101.12
3623.00,101.13
3622.00,101.13
3621.00,101.12
3620.00,101.08
3619.00,101.02
3618.00,100.96
3617.00,100.94
3616.00,100.93
3615.00,100.94
3614.00,100.93
3613.00,100.92
3612.00,100.89
3611.00,100.87
3610.00,100.85
3609.00,100.84
3608.00,100.81
3607.00,100.77
3606.00,100.73
3605.00,100.70
3604.00,100.68
3603.00,100.66
3602.00,100.66
3601.00,100.66
3600.00,100.67
3599.00,100.67
3598.00,100.66
3597.00,100.63
3596.00,100.57
3595.00,100.51
3594.00,100.46
3593.00,100.43
3592.00,100.42
3591.00,100.42
3590.00,100.40
3589.00,100.38
3588.00,100.36
3587.00,100.34
3586.00,100.33
3585.00,100.31
3584.00,100.30
3583.00,100.28
3582.00,100.25
3581.00,100.23
3580.00,100.21
3579.00,100.20
3578.00,100.18
3577.00,100.16
3576.00,100.12
3575.00,100.08
3574.00,100.03
3573.00,99.99
3572.00,99.97
3571.00,99.97
3570.00,99.97
3569.00,99.96
3568.00,99.94
3567.00,99.90
3566.00,99.85
3565.00,99.81
3564.00,99.78
3563.00,99.77
3562.00,99.75
3561.00,99.72
3560.00,99.69
3559.00,99.66
3558.00,99.64
3557.00,99.63
3556.00,99.61
3555.00,99.58
3554.00,99.54
3553.00,99.49
3552.00,99.45
3551.00,99.42
3550.00,99.40
3549.00,99.39
3548.00,99.36
3547.00,99.33
3546.00,99.28
3545.00,99.23
3544.00,99.20
3543.00,99.19
3542.00,99.17
3541.00,99.15
3540.00,99.13
3539.00,99.11
3538.00,99.09
3537.00,99.07
3536.00,99.04
3535.00,98.99
3534.00,98.95
3533.00,98.91
3532.00,98.89
3531.00,98.87
3530.00,98.86
3529.00,98.84
3528.00,98.81
3527.00,98.78
