Created as New Dataset,197 Hoechst AG
cm-1,%T
4000.00,100.92
3999.00,100.91
3998.00,100.90
3997.00,100.90
3996.00,100.88
3995.00,100.85
3994.00,100.84
3993.00,100.83
3992.00,100.84
3991.00,100.84
3990.00,100.83
3989.00,100.82
3988.00,100.82
3987.00,100.82
3986.00,100.84
3985.00,100.87
3984.00,100.89
3983.00,100.90
3982.00,100.90
3981.00,100.89
3980.00,100.88
3979.00,100.89
3978.00,100.91
3977.00,100.93
3976.00,100.95
3975.00,100.94
3974.00,100.92
3973.00,100.90
3972.00,100.88
3971.00,100.87
3970.00,100.86
3969.00,100.86
3968.00,100.86
3967.00,100.86
3966.00,100.86
3965.00,100.85
3964.00,100.83
3963.00,100.81
3962.00,100.79
3961.00,100.79
3960.00,100.80
3959.00,100.83
3958.00,100.86
3957.00,100.89
3956.00,100.89
3955.00,100.89
3954.00,100.89
3953.00,100.89
3952.00,100.89
3951.00,100.88
3950.00,100.86
3949.00,100.84
3948.00,100.82
3947.00,100.82
3946.00,100.82
3945.00,100.83
3944.00,100.84
3943.00,100.84
3942.00,100.84
3941.00,100.84
3940.00,100.84
3939.00,100.84
3938.00,100.85
3937.00,100.85
3936.00,100.86
3935.00,100.87
3934.00,100.88
3933.00,100.89
3932.00,100.90
3931.00,100.90
3930.00,100.89
3929.00,100.88
3928.00,100.87
3927.00,100.87
3926.00,100.86
3925.00,100.86
3924.00,100.86
3923.00,100.86
3922.00,100.87
3921.00,100.87
3920.00,100.87
3919.00,100.85
3918.00,100.84
3917.00,100.83
3916.00,100.83
3915.00,100.84
3914.00,100.85
3913.00,100.87
3912.00,100.88
3911.00,100.89
3910.00,100.89
3909.00,100.89
3908.00,100.88
3907.00,100.87
3906.00,100.86
3905.00,100.85
3904.00,100.83
3903.00,100.83
3902.00,100.84
3901.00,100.85
3900.00,100.86
3899.00,100.86
3898.00,100.86
3897.00,100.86
3896.00,100.85
3895.00,100.86
3894.00,100.86
3893.00,100.86
3892.00,100.86
3891.00,100.86
3890.00,100.86
3889.00,100.87
3888.00,100.88
3887.00,100.88
3886.00,100.88
3885.00,100.87
3884.00,100.88
3883.00,100.91
3882.00,100.95
3881.00,100.98
3880.00,100.98
3879.00,100.95
3878.00,100.92
3877.00,100.88
3876.00,100.85
3875.00,100.84
3874.00,100.83
3873.00,100.83
3872.00,100.84
3871.00,100.85
3870.00,100.85
3869.00,100.85
3868.00,100.85
3867.00,100.86
3866.00,100.87
3865.00,100.89
3864.00,100.89
3863.00,100.87
3862.00,100.85
3861.00,100.83
3860.00,100.83
