Created as New Dataset,198 Lenzing AG
cm-1,%T
4000.00,101.40
3999.00,101.40
3998.00,101.40
3997.00,101.41
3996.00,101.41
3995.00,101.41
3994.00,101.41
3993.00,101.41
3992.00,101.41
3991.00,101.40
3990.00,101.39
3989.00,101.36
3988.00,101.33
3987.00,101.30
3986.00,101.29
3985.00,101.30
3984.00,101.32
3983.00,101.35
3982.00,101.36
3981.00,101.36
3980.00,101.35
3979.00,101.34
3978.00,101.33
3977.00,101.32
3976.00,101.32
3975.00,101.32
3974.00,101.33
3973.00,101.35
3972.00,101.36
3971.00,101.36
3970.00,101.35
3969.00,101.33
3968.00,101.32
3967.00,101.33
3966.00,101.34
3965.00,101.36
3964.00,101.38
3963.00,101.39
3962.00,101.40
3961.00,101.41
3960.00,101.41
3959.00,101.41
3958.00,101.41
3957.00,101.40
3956.00,101.40
3955.00,101.40
3954.00,101.39
3953.00,101.38
3952.00,101.37
3951.00,101.37
3950.00,101.36
3949.00,101.37
3948.00,101.38
3947.00,101.39
3946.00,101.41
3945.00,101.41
3944.00,101.42
3943.00,101.42
3942.00,101.42
3941.00,101.42
3940.00,101.42
3939.00,101.42
3938.00,101.43
3937.00,101.42
3936.00,101.41
3935.00,101.39
3934.00,101.37
3933.00,101.36
3932.00,101.36
3931.00,101.37
3930.00,101.37
3929.00,101.37
3928.00,101.38
3927.00,101.38
3926.00,101.40
3925.00,101.41
3924.00,101.42
3923.00,101.41
3922.00,101.40
3921.00,101.40
3920.00,101.41
3919.00,101.41
3918.00,101.42
3917.00,101.41
3916.00,101.41
3915.00,101.40
3914.00,101.39
3913.00,101.38
3912.00,101.37
3911.00,101.38
3910.00,101.39
3909.00,101.41
3908.00,101.43
3907.00,101.44
3906.00,101.43
3905.00,101.42
3904.00,101.41
3903.00,101.42
3902.00,101.43
3901.00,101.45
3900.00,101.47
3899.00,101.47
3898.00,101.47
3897.00,101.45
3896.00,101.44
3895.00,101.43
3894.00,101.43
3893.00,101.42
3892.00,101.41
3891.00,101.40
3890.00,101.40
3889.00,101.40
3888.00,101.42
3887.00,101.43
3886.00,101.44
3885.00,101.45
3884.00,101.45
3883.00,101.44
3882.00,101.42
3881.00,101.40
3880.00,101.39
3879.00,101.38
3878.00,101.38
3877.00,101.38
3876.00,101.39
3875.00,101.39
3874.00,101.40
3873.00,101.40
3872.00,101.41
3871.00,101.41
3870.00,101.41
3869.00,101.41
3868.00,101.41
3867.00,101.42
3866.00,101.43
3865.00,101.44
3864.00,101.45
3863.00,101.44
3862.00,101.43
3861.00,101.43
3860.00,101.43
3859.00,101.43
3858.00,101.43
3857.00,101.43
3856.00,101.41
3855.00,101.39
3854.00,101.39
3853.00,101.41
3852.00,101.44
3851.00,101.45
3850.00,101.46
3849.00,101.47
3848.00,101.48
3847.00,101.48
3846.00,101.48
3845.00,101.47
3844.00,101.47
3843.00,101.47
3842.00,101.47
3841.00,101.47
3840.00,101.45
3839.00,101.42
3838.00,101.41
3837.00,101.42
3836.00,101.44
3835.00,101.45
3834.00,101.45
3833.00,101.44
3832.00,101.43
3831.00,101.43
3830.00,101.44
3829.00,101.43
3828.00,101.42
3827.00,101.41
3826.00,101.40
3825.00,101.39
3824.00,101.38
3823.00,101.38
3822.00,101.37
3821.00,101.38
3820.00,101.39
3819.00,101.40
3818.00,101.42
3817.00,101.41
3816.00,101.40
3815.00,101.39
3814.00,101.38
3813.00,101.37
3812.00,101.36
3811.00,101.35
3810.00,101.35
3809.00,101.35
3808.00,101.36
3807.00,101.38
3806.00,101.39
3805.00,101.40
3804.00,101.41
3803.00,101.42
3802.00,101.43
3801.00,101.44
3800.00,101.44
3799.00,101.44
3798.00,101.43
3797.00,101.41
3796.00,101.39
3795.00,101.38
3794.00,101.39
3793.00,101.41
3792.00,101.42
3791.00,101.43
3790.00,101.42
3789.00,101.40
3788.00,101.38
3787.00,101.36
3786.00,101.36
3785.00,101.38
3784.00,101.39
3783.00,101.41
3782.00,101.41
3781.00,101.41
3780.00,101.42
3779.00,101.42
3778.00,101.43
3777.00,101.42
3776.00,101.41
3775.00,101.39
3774.00,101.37
3773.00,101.37
3772.00,101.37
3771.00,101.38
3770.00,101.39
3769.00,101.39
3768.00,101.39
3767.00,101.38
3766.00,101.38
3765.00,101.39
3764.00,101.40
3763.00,101.42
3762.00,101.42
3761.00,101.39
3760.00,101.36
3759.00,101.33
3758.00,101.31
3757.00,101.31
3756.00,101.32
3755.00,101.33
3754.00,101.36
3753.00,101.38
3752.00,101.41
3751.00,101.42
3750.00,101.43
3749.00,101.44
3748.00,101.45
3747.00,101.46
3746.00,101.47
3745.00,101.47
3744.00,101.47
3743.00,101.48
3742.00,101.47
3741.00,101.46
3740.00,101.45
3739.00,101.43
3738.00,101.42
3737.00,101.40
3736.00,101.39
3735.00,101.39
3734.00,101.41
3733.00,101.42
3732.00,101.44
3731.00,101.45
3730.00,101.44
3729.00,101.43
3728.00,101.43
3727.00,101.43
3726.00,101.45
3725.00,101.46
3724.00,101.45
3723.00,101.44
3722.00,101.44
3721.00,101.43
3720.00,101.43
3719.00,101.42
3718.00,101.40
3717.00,101.38
3716.00,101.36
3715.00,101.37
3714.00,101.39
3713.00,101.42
3712.00,101.44
3711.00,101.45
3710.00,101.44
3709.00,101.41
3708.00,101.39
3707.00,101.37
3706.00,101.37
3705.00,101.37
3704.00,101.36
3703.00,101.32
3702.00,101.28
3701.00,101.25
3700.00,101.25
3699.00,101.27
3698.00,101.30
3697.00,101.33
3696.00,101.35
3695.00,101.35
3694.00,101.35
3693.00,101.36
3692.00,101.36
3691.00,101.36
3690.00,101.34
3689.00,101.32
3688.00,101.31
3687.00,101.31
3686.00,101.31
3685.00,101.32
3684.00,101.33
3683.00,101.34
3682.00,101.34
3681.00,101.34
3680.00,101.34
3679.00,101.35
3678.00,101.36
3677.00,101.37
3676.00,101.37
3675.00,101.37
3674.00,101.37
3673.00,101.37
3672.00,101.37
3671.00,101.37
3670.00,101.37
3669.00,101.38
3668.00,101.39
3667.00,101.39
3666.00,101.37
3665.00,101.34
3664.00,101.30
3663.00,101.27
3662.00,101.25
3661.00,101.25
3660.00,101.25
3659.00,101.25
3658.00,101.25
3657.00,101.25
3656.00,101.24
3655.00,101.24
3654.00,101.24
3653.00,101.25
3652.00,101.27
3651.00,101.27
3650.00,101.25
3649.00,101.22
3648.00,101.21
3647.00,101.20
3646.00,101.20
3645.00,101.18
3644.00,101.15
3643.00,101.14
3642.00,101.14
3641.00,101.16
3640.00,101.16
3639.00,101.14
3638.00,101.12
3637.00,101.09
3636.00,101.09
3635.00,101.09
3634.00,101.11
3633.00,101.12
3632.00,101.14
3631.00,101.16
3630.00,101.16
