Created as New Dataset,186 Acordis Fibres
cm-1,%T
4000.00,96.00
3999.00,96.01
3998.00,96.01
3997.00,96.00
3996.00,95.99
3995.00,95.98
3994.00,95.98
3993.00,95.99
3992.00,96.00
3991.00,96.00
3990.00,95.99
3989.00,95.98
3988.00,95.96
3987.00,95.94
3986.00,95.93
3985.00,95.93
3984.00,95.95
3983.00,95.97
3982.00,95.99
3981.00,96.01
3980.00,96.01
3979.00,96.00
3978.00,95.99
3977.00,95.98
3976.00,95.98
3975.00,95.99
3974.00,96.01
3973.00,96.02
3972.00,96.03
3971.00,96.02
3970.00,96.01
3969.00,96.00
3968.00,96.00
3967.00,96.01
3966.00,96.02
3965.00,96.03
3964.00,96.03
3963.00,96.01
3962.00,96.00
3961.00,95.99
3960.00,95.98
3959.00,95.98
3958.00,95.99
3957.00,95.99
3956.00,95.99
3955.00,95.98
3954.00,95.98
3953.00,95.98
3952.00,95.99
3951.00,95.98
3950.00,95.98
3949.00,95.97
3948.00,95.98
3947.00,95.99
3946.00,95.99
3945.00,95.99
3944.00,95.98
3943.00,95.97
3942.00,95.97
3941.00,95.96
3940.00,95.96
3939.00,95.96
3938.00,95.97
3937.00,95.97
3936.00,95.98
3935.00,95.99
3934.00,96.01
3933.00,96.02
3932.00,96.02
3931.00,96.01
3930.00,95.99
3929.00,95.98
3928.00,95.96
3927.00,95.96
3926.00,95.97
3925.00,95.99
3924.00,96.02
3923.00,96.04
3922.00,96.03
3921.00,96.01
3920.00,95.98
3919.00,95.95
3918.00,95.94
3917.00,95.96
3916.00,95.98
3915.00,96.01
3914.00,96.03
3913.00,96.04
3912.00,96.05
3911.00,96.05
3910.00,96.05
3909.00,96.04
3908.00,96.01
3907.00,95.97
3906.00,95.92
3905.00,95.88
3904.00,95.86
3903.00,95.86
3902.00,95.88
3901.00,95.92
3900.00,95.96
3899.00,95.99
3898.00,96.01
3897.00,96.02
3896.00,96.03
3895.00,96.04
3894.00,96.04
3893.00,96.04
3892.00,96.03
3891.00,96.01
3890.00,95.98
3889.00,95.94
3888.00,95.91
3887.00,95.92
3886.00,95.94
3885.00,95.96
3884.00,95.95
3883.00,95.94
3882.00,95.94
3881.00,95.95
3880.00,95.98
3879.00,96.01
3878.00,96.03
3877.00,96.03
3876.00,96.03
3875.00,96.03
3874.00,96.02
3873.00,96.01
