Created as New Dataset,191 FMC American Viscose
cm-1,%T
4000.00,98.27
3999.00,98.25
3998.00,98.23
3997.00,98.22
3996.00,98.22
3995.00,98.23
3994.00,98.23
3993.00,98.23
3992.00,98.22
3991.00,98.21
3990.00,98.20
3989.00,98.20
3988.00,98.21
3987.00,98.23
3986.00,98.25
3985.00,98.25
3984.00,98.24
3983.00,98.24
3982.00,98.25
3981.00,98.26
3980.00,98.26
3979.00,98.25
3978.00,98.23
3977.00,98.21
3976.00,98.21
3975.00,98.22
3974.00,98.23
3973.00,98.22
3972.00,98.22
3971.00,98.22
3970.00,98.22
3969.00,98.22
3968.00,98.22
3967.00,98.22
3966.00,98.22
3965.00,98.23
3964.00,98.25
3963.00,98.28
3962.00,98.29
3961.00,98.29
3960.00,98.28
3959.00,98.27
3958.00,98.25
3957.00,98.25
3956.00,98.24
3955.00,98.23
3954.00,98.24
3953.00,98.25
3952.00,98.27
3951.00,98.29
3950.00,98.29
3949.00,98.29
3948.00,98.28
3947.00,98.26
3946.00,98.25
3945.00,98.25
3944.00,98.25
3943.00,98.25
3942.00,98.25
3941.00,98.25
3940.00,98.25
3939.00,98.24
3938.00,98.24
3937.00,98.24
3936.00,98.24
3935.00,98.24
3934.00,98.24
3933.00,98.24
3932.00,98.23
3931.00,98.22
3930.00,98.22
3929.00,98.22
3928.00,98.23
3927.00,98.25
3926.00,98.26
3925.00,98.27
3924.00,98.26
3923.00,98.25
3922.00,98.26
3921.00,98.26
3920.00,98.26
3919.00,98.24
3918.00,98.22
3917.00,98.22
3916.00,98.23
3915.00,98.25
3914.00,98.26
3913.00,98.26
3912.00,98.26
3911.00,98.26
3910.00,98.26
3909.00,98.25
3908.00,98.23
3907.00,98.20
3906.00,98.18
3905.00,98.18
3904.00,98.18
3903.00,98.19
3902.00,98.19
3901.00,98.19
3900.00,98.19
3899.00,98.19
3898.00,98.20
3897.00,98.22
3896.00,98.25
3895.00,98.28
3894.00,98.30
3893.00,98.30
3892.00,98.28
3891.00,98.25
3890.00,98.24
3889.00,98.23
3888.00,98.24
3887.00,98.24
3886.00,98.24
3885.00,98.23
3884.00,98.22
3883.00,98.22
3882.00,98.22
3881.00,98.21
3880.00,98.21
3879.00,98.20
3878.00,98.20
3877.00,98.20
3876.00,98.20
3875.00,98.19
3874.00,98.16
3873.00,98.14
3872.00,98.14
3871.00,98.15
3870.00,98.17
3869.00,98.18
3868.00,98.18
3867.00,98.19
3866.00,98.20
3865.00,98.20
3864.00,98.18
3863.00,98.16
3862.00,98.15
3861.00,98.16
3860.00,98.17
3859.00,98.17
3858.00,98.16
3857.00,98.13
3856.00,98.12
3855.00,98.11
3854.00,98.12
3853.00,98.13
3852.00,98.14
3851.00,98.17
3850.00,98.21
3849.00,98.24
3848.00,98.27
3847.00,98.28
3846.00,98.28
3845.00,98.27
3844.00,98.25
3843.00,98.22
3842.00,98.20
3841.00,98.18
3840.00,98.19
3839.00,98.20
3838.00,98.21
3837.00,98.20
3836.00,98.19
3835.00,98.19
3834.00,98.20
3833.00,98.20
3832.00,98.21
3831.00,98.21
3830.00,98.21
3829.00,98.21
3828.00,98.20
3827.00,98.18
3826.00,98.16
3825.00,98.13
3824.00,98.13
3823.00,98.15
3822.00,98.19
3821.00,98.22
3820.00,98.23
3819.00,98.22
3818.00,98.21
3817.00,98.19
3816.00,98.17
3815.00,98.14
3814.00,98.13
3813.00,98.14
3812.00,98.14
3811.00,98.15
3810.00,98.15
3809.00,98.15
3808.00,98.16
3807.00,98.16
3806.00,98.16
3805.00,98.14
3804.00,98.12
3803.00,98.09
3802.00,98.07
3801.00,98.06
3800.00,98.06
3799.00,98.09
3798.00,98.13
3797.00,98.16
3796.00,98.17
3795.00,98.17
3794.00,98.16
3793.00,98.15
3792.00,98.15
3791.00,98.15
3790.00,98.15
3789.00,98.15
3788.00,98.14
3787.00,98.14
3786.00,98.14
3785.00,98.14
3784.00,98.15
3783.00,98.15
3782.00,98.15
3781.00,98.17
3780.00,98.19
3779.00,98.21
3778.00,98.22
3777.00,98.22
3776.00,98.21
3775.00,98.19
3774.00,98.18
3773.00,98.16
3772.00,98.16
3771.00,98.15
3770.00,98.14
3769.00,98.13
3768.00,98.13
3767.00,98.13
3766.00,98.14
3765.00,98.14
3764.00,98.15
3763.00,98.15
3762.00,98.15
3761.00,98.14
3760.00,98.12
3759.00,98.11
