Created as New Dataset,192 FMC American Viscose (Black)
cm-1,%T
4000.00,100.89
3999.00,100.91
3998.00,100.92
3997.00,100.91
3996.00,100.90
3995.00,100.89
3994.00,100.88
3993.00,100.87
3992.00,100.87
3991.00,100.86
3990.00,100.87
3989.00,100.88
3988.00,100.89
3987.00,100.90
3986.00,100.89
3985.00,100.87
3984.00,100.83
3983.00,100.79
3982.00,100.78
3981.00,100.79
3980.00,100.82
3979.00,100.85
3978.00,100.87
3977.00,100.87
3976.00,100.87
3975.00,100.87
3974.00,100.87
3973.00,100.88
3972.00,100.88
3971.00,100.88
3970.00,100.87
3969.00,100.86
3968.00,100.85
3967.00,100.84
3966.00,100.83
3965.00,100.82
3964.00,100.82
3963.00,100.82
3962.00,100.81
3961.00,100.82
3960.00,100.83
3959.00,100.85
3958.00,100.86
3957.00,100.86
3956.00,100.85
3955.00,100.84
3954.00,100.85
3953.00,100.86
3952.00,100.87
3951.00,100.88
3950.00,100.88
3949.00,100.88
3948.00,100.89
3947.00,100.88
3946.00,100.86
3945.00,100.84
3944.00,100.83
3943.00,100.82
3942.00,100.82
3941.00,100.82
3940.00,100.83
3939.00,100.84
3938.00,100.85
3937.00,100.86
3936.00,100.87
3935.00,100.87
3934.00,100.86
3933.00,100.84
3932.00,100.82
3931.00,100.82
3930.00,100.82
3929.00,100.83
3928.00,100.84
3927.00,100.85
3926.00,100.85
3925.00,100.84
3924.00,100.82
3923.00,100.78
3922.00,100.74
3921.00,100.72
3920.00,100.72
3919.00,100.72
3918.00,100.73
3917.00,100.74
3916.00,100.75
3915.00,100.77
3914.00,100.80
3913.00,100.83
3912.00,100.86
3911.00,100.88
3910.00,100.89
3909.00,100.88
3908.00,100.85
3907.00,100.82
3906.00,100.79
3905.00,100.76
3904.00,100.74
3903.00,100.72
3902.00,100.71
3901.00,100.72
3900.00,100.75
3899.00,100.77
3898.00,100.77
3897.00,100.77
3896.00,100.78
3895.00,100.79
3894.00,100.81
3893.00,100.84
3892.00,100.86
3891.00,100.86
3890.00,100.84
3889.00,100.81
3888.00,100.79
3887.00,100.80
3886.00,100.83
3885.00,100.85
3884.00,100.84
3883.00,100.81
3882.00,100.80
3881.00,100.80
3880.00,100.81
3879.00,100.81
3878.00,100.80
3877.00,100.79
3876.00,100.81
3875.00,100.83
3874.00,100.84
3873.00,100.81
3872.00,100.77
3871.00,100.75
3870.00,100.74
3869.00,100.74
3868.00,100.72
3867.00,100.72
3866.00,100.75
3865.00,100.80
3864.00,100.84
3863.00,100.84
3862.00,100.83
3861.00,100.82
3860.00,100.81
3859.00,100.80
3858.00,100.78
3857.00,100.75
3856.00,100.72
3855.00,100.72
3854.00,100.74
3853.00,100.75
3852.00,100.74
3851.00,100.74
3850.00,100.76
3849.00,100.79
