Created as New Dataset,195 FMC American Viscose (Blue)
cm-1,%T
4000.00,98.63
3999.00,98.64
3998.00,98.65
3997.00,98.64
3996.00,98.64
3995.00,98.63
3994.00,98.63
3993.00,98.64
3992.00,98.64
3991.00,98.64
3990.00,98.64
3989.00,98.63
3988.00,98.62
3987.00,98.61
3986.00,98.62
3985.00,98.62
3984.00,98.62
3983.00,98.62
3982.00,98.62
3981.00,98.62
3980.00,98.63
3979.00,98.64
3978.00,98.63
3977.00,98.61
3976.00,98.59
3975.00,98.57
3974.00,98.58
3973.00,98.60
3972.00,98.63
3971.00,98.64
3970.00,98.63
3969.00,98.62
3968.00,98.60
3967.00,98.59
3966.00,98.58
3965.00,98.58
3964.00,98.58
3963.00,98.58
3962.00,98.59
3961.00,98.61
3960.00,98.65
3959.00,98.68
3958.00,98.69
3957.00,98.68
3956.00,98.67
3955.00,98.66
3954.00,98.65
3953.00,98.65
3952.00,98.65
3951.00,98.64
3950.00,98.64
3949.00,98.63
3948.00,98.63
3947.00,98.63
3946.00,98.62
3945.00,98.62
3944.00,98.63
3943.00,98.65
3942.00,98.66
3941.00,98.66
3940.00,98.66
3939.00,98.66
3938.00,98.66
3937.00,98.66
3936.00,98.63
3935.00,98.60
3934.00,98.57
3933.00,98.56
3932.00,98.56
3931.00,98.58
3930.00,98.59
3929.00,98.59
3928.00,98.59
3927.00,98.59
3926.00,98.61
3925.00,98.63
3924.00,98.65
3923.00,98.66
3922.00,98.65
3921.00,98.65
3920.00,98.65
3919.00,98.65
3918.00,98.65
3917.00,98.65
3916.00,98.65
3915.00,98.65
3914.00,98.65
3913.00,98.66
3912.00,98.68
3911.00,98.70
3910.00,98.71
3909.00,98.70
3908.00,98.67
3907.00,98.65
3906.00,98.64
3905.00,98.63
3904.00,98.61
3903.00,98.60
3902.00,98.60
3901.00,98.61
3900.00,98.65
3899.00,98.67
3898.00,98.68
3897.00,98.68
3896.00,98.67
3895.00,98.67
3894.00,98.66
3893.00,98.67
3892.00,98.67
3891.00,98.67
3890.00,98.66
3889.00,98.65
3888.00,98.65
3887.00,98.65
3886.00,98.64
3885.00,98.62
3884.00,98.60
3883.00,98.59
3882.00,98.59
3881.00,98.62
3880.00,98.63
3879.00,98.62
3878.00,98.60
3877.00,98.58
3876.00,98.57
3875.00,98.58
3874.00,98.59
3873.00,98.59
3872.00,98.60
3871.00,98.60
3870.00,98.61
3869.00,98.60
3868.00,98.59
3867.00,98.58
3866.00,98.58
3865.00,98.59
3864.00,98.61
3863.00,98.61
3862.00,98.61
3861.00,98.61
3860.00,98.60
3859.00,98.59
3858.00,98.57
3857.00,98.56
3856.00,98.56
3855.00,98.56
3854.00,98.58
3853.00,98.59
3852.00,98.59
3851.00,98.60
3850.00,98.62
3849.00,98.63
3848.00,98.64
3847.00,98.64
3846.00,98.63
3845.00,98.61
3844.00,98.58
3843.00,98.55
3842.00,98.54
3841.00,98.53
3840.00,98.54
3839.00,98.55
3838.00,98.55
3837.00,98.54
3836.00,98.53
3835.00,98.54
3834.00,98.56
3833.00,98.59
3832.00,98.61
3831.00,98.61
3830.00,98.59
3829.00,98.56
3828.00,98.53
3827.00,98.52
3826.00,98.51
3825.00,98.50
3824.00,98.50
3823.00,98.51
3822.00,98.55
3821.00,98.57
3820.00,98.55
3819.00,98.51
3818.00,98.50
3817.00,98.53
3816.00,98.59
3815.00,98.65
3814.00,98.67
3813.00,98.68
3812.00,98.67
3811.00,98.64
3810.00,98.61
3809.00,98.58
3808.00,98.57
3807.00,98.57
3806.00,98.57
3805.00,98.55
3804.00,98.55
3803.00,98.56
3802.00,98.59
3801.00,98.60
3800.00,98.60
3799.00,98.61
3798.00,98.63
3797.00,98.67
3796.00,98.68
3795.00,98.68
3794.00,98.66
3793.00,98.65
3792.00,98.64
3791.00,98.64
3790.00,98.64
3789.00,98.64
3788.00,98.65
3787.00,98.66
3786.00,98.67
3785.00,98.67
3784.00,98.66
3783.00,98.65
3782.00,98.64
3781.00,98.62
3780.00,98.61
3779.00,98.59
3778.00,98.59
3777.00,98.59
3776.00,98.61
3775.00,98.61
3774.00,98.61
3773.00,98.60
3772.00,98.59
3771.00,98.58
3770.00,98.58
3769.00,98.56
3768.00,98.54
3767.00,98.53
3766.00,98.54
3765.00,98.55
3764.00,98.56
3763.00,98.56
3762.00,98.56
3761.00,98.55
3760.00,98.54
3759.00,98.53
3758.00,98.53
3757.00,98.53
3756.00,98.53
3755.00,98.53
3754.00,98.52
3753.00,98.52
3752.00,98.52
3751.00,98.52
3750.00,98.51
3749.00,98.50
3748.00,98.48
3747.00,98.45
3746.00,98.44
3745.00,98.44
3744.00,98.45
3743.00,98.46
3742.00,98.48
3741.00,98.51
3740.00,98.54
3739.00,98.58
3738.00,98.60
3737.00,98.60
3736.00,98.57
3735.00,98.52
3734.00,98.47
3733.00,98.45
3732.00,98.46
3731.00,98.50
3730.00,98.53
3729.00,98.56
3728.00,98.58
3727.00,98.58
3726.00,98.56
3725.00,98.53
3724.00,98.51
3723.00,98.50
3722.00,98.50
3721.00,98.50
3720.00,98.51
3719.00,98.52
3718.00,98.52
3717.00,98.52
3716.00,98.52
3715.00,98.52
3714.00,98.53
3713.00,98.53
3712.00,98.53
3711.00,98.52
3710.00,98.50
3709.00,98.49
3708.00,98.49
3707.00,98.49
3706.00,98.49
3705.00,98.49
3704.00,98.48
3703.00,98.48
3702.00,98.49
3701.00,98.50
3700.00,98.49
3699.00,98.48
3698.00,98.48
3697.00,98.48
3696.00,98.48
3695.00,98.46
3694.00,98.43
3693.00,98.40
3692.00,98.36
3691.00,98.35
3690.00,98.37
3689.00,98.41
3688.00,98.43
3687.00,98.43
3686.00,98.43
3685.00,98.44
3684.00,98.47
3683.00,98.50
3682.00,98.52
3681.00,98.51
3680.00,98.49
3679.00,98.46
3678.00,98.43
3677.00,98.42
3676.00,98.42
3675.00,98.40
3674.00,98.36
3673.00,98.32
3672.00,98.29
3671.00,98.29
3670.00,98.31
3669.00,98.33
3668.00,98.36
3667.00,98.38
3666.00,98.39
3665.00,98.38
3664.00,98.37
3663.00,98.36
3662.00,98.37
3661.00,98.37
3660.00,98.36
3659.00,98.34
3658.00,98.32
