Created as New Dataset,16.2 Bombyx mori
cm-1,%T
4000.00,97.43
3999.00,97.43
3998.00,97.44
3997.00,97.45
3996.00,97.45
3995.00,97.46
3994.00,97.46
3993.00,97.45
3992.00,97.44
3991.00,97.43
3990.00,97.42
3989.00,97.41
3988.00,97.41
3987.00,97.41
3986.00,97.42
3985.00,97.44
3984.00,97.45
3983.00,97.46
3982.00,97.46
3981.00,97.46
3980.00,97.45
3979.00,97.44
3978.00,97.44
3977.00,97.44
3976.00,97.43
3975.00,97.43
3974.00,97.43
3973.00,97.44
3972.00,97.45
3971.00,97.45
3970.00,97.45
3969.00,97.44
3968.00,97.43
3967.00,97.43
3966.00,97.44
3965.00,97.45
3964.00,97.47
3963.00,97.47
3962.00,97.48
3961.00,97.47
3960.00,97.46
3959.00,97.46
3958.00,97.46
3957.00,97.47
3956.00,97.48
3955.00,97.47
3954.00,97.45
3953.00,97.43
3952.00,97.42
3951.00,97.43
3950.00,97.45
3949.00,97.48
3948.00,97.50
3947.00,97.51
3946.00,97.50
3945.00,97.48
3944.00,97.46
3943.00,97.45
3942.00,97.45
3941.00,97.46
3940.00,97.47
3939.00,97.47
3938.00,97.47
3937.00,97.46
3936.00,97.45
3935.00,97.45
3934.00,97.46
3933.00,97.47
3932.00,97.47
3931.00,97.46
3930.00,97.45
3929.00,97.45
3928.00,97.46
3927.00,97.47
3926.00,97.48
3925.00,97.47
3924.00,97.46
3923.00,97.45
3922.00,97.43
3921.00,97.42
3920.00,97.41
3919.00,97.42
3918.00,97.43
3917.00,97.44
3916.00,97.46
3915.00,97.48
3914.00,97.48
3913.00,97.48
3912.00,97.48
3911.00,97.47
3910.00,97.46
3909.00,97.46
3908.00,97.46
3907.00,97.47
3906.00,97.49
3905.00,97.51
3904.00,97.53
3903.00,97.55
3902.00,97.56
3901.00,97.56
3900.00,97.55
3899.00,97.53
3898.00,97.51
3897.00,97.49
3896.00,97.47
3895.00,97.45
3894.00,97.44
3893.00,97.45
3892.00,97.47
3891.00,97.51
3890.00,97.53
3889.00,97.53
3888.00,97.51
3887.00,97.49
3886.00,97.47
3885.00,97.44
3884.00,97.43
3883.00,97.44
3882.00,97.47
3881.00,97.50
3880.00,97.51
3879.00,97.51
3878.00,97.49
3877.00,97.48
3876.00,97.48
3875.00,97.48
3874.00,97.46
3873.00,97.44
3872.00,97.43
3871.00,97.43
3870.00,97.43
3869.00,97.42
3868.00,97.42
3867.00,97.42
3866.00,97.44
3865.00,97.45
3864.00,97.44
3863.00,97.42
3862.00,97.40
3861.00,97.39
3860.00,97.39
3859.00,97.39
3858.00,97.38
3857.00,97.38
3856.00,97.39
3855.00,97.43
3854.00,97.48
3853.00,97.52
3852.00,97.52
3851.00,97.50
3850.00,97.48
3849.00,97.48
3848.00,97.49
3847.00,97.51
3846.00,97.51
3845.00,97.51
3844.00,97.48
3843.00,97.44
3842.00,97.40
3841.00,97.37
3840.00,97.37
3839.00,97.38
3838.00,97.41
3837.00,97.44
3836.00,97.46
3835.00,97.46
3834.00,97.44
3833.00,97.43
3832.00,97.43
3831.00,97.43
3830.00,97.43
3829.00,97.43
3828.00,97.44
3827.00,97.45
3826.00,97.45
3825.00,97.44
3824.00,97.42
3823.00,97.42
3822.00,97.43
3821.00,97.44
3820.00,97.43
3819.00,97.41
3818.00,97.40
3817.00,97.40
3816.00,97.40
3815.00,97.41
3814.00,97.42
3813.00,97.42
3812.00,97.42
3811.00,97.41
3810.00,97.40
3809.00,97.41
3808.00,97.42
3807.00,97.43
3806.00,97.41
3805.00,97.39
3804.00,97.37
3803.00,97.38
3802.00,97.38
3801.00,97.37
3800.00,97.34
3799.00,97.33
3798.00,97.34
3797.00,97.36
3796.00,97.39
3795.00,97.41
3794.00,97.41
3793.00,97.41
3792.00,97.41
3791.00,97.42
3790.00,97.43
3789.00,97.44
3788.00,97.43
3787.00,97.41
3786.00,97.40
3785.00,97.42
3784.00,97.44
3783.00,97.45
3782.00,97.45
3781.00,97.43
3780.00,97.40
3779.00,97.38
3778.00,97.39
3777.00,97.41
3776.00,97.44
3775.00,97.45
3774.00,97.44
3773.00,97.42
3772.00,97.41
3771.00,97.40
3770.00,97.38
3769.00,97.37
3768.00,97.35
3767.00,97.35
3766.00,97.37
3765.00,97.38
3764.00,97.39
3763.00,97.38
3762.00,97.38
3761.00,97.38
3760.00,97.37
3759.00,97.35
3758.00,97.33
3757.00,97.32
3756.00,97.32
3755.00,97.32
3754.00,97.31
3753.00,97.31
3752.00,97.30
3751.00,97.31
3750.00,97.34
3749.00,97.37
3748.00,97.38
3747.00,97.39
3746.00,97.41
3745.00,97.43
3744.00,97.45
3743.00,97.44
3742.00,97.43
3741.00,97.41
3740.00,97.39
3739.00,97.36
3738.00,97.31
3737.00,97.27
3736.00,97.25
3735.00,97.25
3734.00,97.27
3733.00,97.30
3732.00,97.33
3731.00,97.34
3730.00,97.34
3729.00,97.35
3728.00,97.37
3727.00,97.38
3726.00,97.37
3725.00,97.35
3724.00,97.33
3723.00,97.33
3722.00,97.33
3721.00,97.34
3720.00,97.34
3719.00,97.34
3718.00,97.34
3717.00,97.33
3716.00,97.32
3715.00,97.32
3714.00,97.31
3713.00,97.30
3712.00,97.27
3711.00,97.24
3710.00,97.23
3709.00,97.23
3708.00,97.23
3707.00,97.24
3706.00,97.24
3705.00,97.25
3704.00,97.27
3703.00,97.27
3702.00,97.28
3701.00,97.28
3700.00,97.28
3699.00,97.27
3698.00,97.26
3697.00,97.25
3696.00,97.24
3695.00,97.23
3694.00,97.22
3693.00,97.22
3692.00,97.21
3691.00,97.19
3690.00,97.18
3689.00,97.18
3688.00,97.21
3687.00,97.24
3686.00,97.27
3685.00,97.28
3684.00,97.29
3683.00,97.28
3682.00,97.27
3681.00,97.25
3680.00,97.23
3679.00,97.20
3678.00,97.16
3677.00,97.11
3676.00,97.07
3675.00,97.04
3674.00,97.03
3673.00,97.05
3672.00,97.09
3671.00,97.13
3670.00,97.16
3669.00,97.16
3668.00,97.15
