Created as New Dataset,16.3 Bombyx mori, yarn
cm-1,%T
4000.00,97.46
3999.00,97.45
3998.00,97.43
3997.00,97.41
3996.00,97.40
3995.00,97.41
3994.00,97.42
3993.00,97.43
3992.00,97.44
3991.00,97.45
3990.00,97.45
3989.00,97.45
3988.00,97.44
3987.00,97.44
3986.00,97.43
3985.00,97.43
3984.00,97.43
3983.00,97.45
3982.00,97.47
3981.00,97.48
3980.00,97.48
3979.00,97.48
3978.00,97.48
3977.00,97.48
3976.00,97.48
3975.00,97.49
3974.00,97.50
3973.00,97.50
3972.00,97.49
3971.00,97.49
3970.00,97.49
3969.00,97.49
3968.00,97.49
3967.00,97.48
3966.00,97.48
3965.00,97.46
3964.00,97.45
3963.00,97.43
3962.00,97.42
3961.00,97.43
3960.00,97.43
3959.00,97.45
3958.00,97.46
3957.00,97.47
3956.00,97.47
3955.00,97.47
3954.00,97.45
3953.00,97.44
3952.00,97.43
3951.00,97.44
3950.00,97.46
3949.00,97.47
3948.00,97.47
3947.00,97.46
3946.00,97.45
3945.00,97.46
3944.00,97.47
3943.00,97.49
3942.00,97.49
3941.00,97.48
3940.00,97.47
3939.00,97.46
3938.00,97.46
3937.00,97.46
3936.00,97.47
3935.00,97.48
3934.00,97.48
3933.00,97.46
3932.00,97.45
3931.00,97.45
3930.00,97.45
3929.00,97.45
3928.00,97.45
3927.00,97.45
3926.00,97.46
3925.00,97.47
3924.00,97.47
3923.00,97.47
3922.00,97.47
3921.00,97.46
3920.00,97.45
3919.00,97.45
3918.00,97.47
3917.00,97.49
3916.00,97.49
3915.00,97.47
3914.00,97.45
3913.00,97.44
3912.00,97.44
3911.00,97.45
3910.00,97.47
3909.00,97.49
3908.00,97.50
3907.00,97.49
3906.00,97.49
3905.00,97.49
3904.00,97.50
3903.00,97.52
3902.00,97.53
3901.00,97.54
3900.00,97.53
3899.00,97.51
3898.00,97.50
3897.00,97.50
3896.00,97.49
3895.00,97.48
3894.00,97.48
3893.00,97.48
3892.00,97.49
3891.00,97.50
3890.00,97.49
3889.00,97.47
3888.00,97.47
3887.00,97.50
3886.00,97.52
3885.00,97.52
3884.00,97.50
3883.00,97.47
3882.00,97.46
3881.00,97.47
3880.00,97.48
3879.00,97.47
3878.00,97.47
3877.00,97.47
3876.00,97.49
3875.00,97.51
3874.00,97.51
3873.00,97.49
3872.00,97.50
3871.00,97.52
3870.00,97.52
3869.00,97.50
3868.00,97.48
3867.00,97.48
3866.00,97.50
3865.00,97.52
3864.00,97.52
3863.00,97.52
3862.00,97.53
3861.00,97.55
3860.00,97.58
3859.00,97.59
3858.00,97.58
3857.00,97.56
3856.00,97.55
3855.00,97.56
3854.00,97.55
3853.00,97.51
3852.00,97.46
3851.00,97.45
3850.00,97.46
3849.00,97.48
3848.00,97.50
3847.00,97.50
3846.00,97.49
3845.00,97.50
3844.00,97.51
3843.00,97.54
3842.00,97.55
3841.00,97.57
3840.00,97.57
3839.00,97.56
3838.00,97.54
3837.00,97.53
3836.00,97.52
3835.00,97.53
3834.00,97.54
3833.00,97.56
3832.00,97.57
3831.00,97.55
3830.00,97.51
3829.00,97.47
3828.00,97.46
3827.00,97.46
3826.00,97.46
3825.00,97.44
3824.00,97.43
3823.00,97.44
3822.00,97.47
3821.00,97.48
3820.00,97.47
3819.00,97.46
3818.00,97.47
3817.00,97.48
3816.00,97.47
3815.00,97.44
3814.00,97.43
3813.00,97.42
3812.00,97.43
3811.00,97.42
3810.00,97.43
3809.00,97.46
3808.00,97.51
3807.00,97.54
3806.00,97.54
3805.00,97.51
3804.00,97.50
3803.00,97.52
3802.00,97.54
3801.00,97.53
3800.00,97.50
3799.00,97.48
3798.00,97.47
3797.00,97.46
3796.00,97.45
3795.00,97.44
3794.00,97.43
3793.00,97.43
3792.00,97.44
3791.00,97.45
3790.00,97.47
3789.00,97.47
3788.00,97.47
3787.00,97.46
3786.00,97.45
3785.00,97.44
3784.00,97.43
3783.00,97.42
3782.00,97.41
3781.00,97.41
3780.00,97.39
3779.00,97.37
3778.00,97.35
3777.00,97.35
3776.00,97.37
3775.00,97.39
3774.00,97.41
3773.00,97.42
3772.00,97.42
3771.00,97.41
3770.00,97.38
3769.00,97.35
3768.00,97.33
3767.00,97.34
3766.00,97.35
3765.00,97.36
3764.00,97.35
3763.00,97.34
3762.00,97.34
3761.00,97.35
3760.00,97.35
3759.00,97.35
3758.00,97.35
3757.00,97.35
3756.00,97.36
3755.00,97.38
3754.00,97.41
3753.00,97.44
3752.00,97.48
3751.00,97.51
3750.00,97.52
3749.00,97.49
3748.00,97.43
3747.00,97.38
3746.00,97.37
3745.00,97.37
3744.00,97.36
3743.00,97.35
3742.00,97.36
3741.00,97.39
3740.00,97.40
3739.00,97.39
3738.00,97.36
3737.00,97.33
3736.00,97.30
3735.00,97.28
3734.00,97.28
3733.00,97.31
3732.00,97.34
3731.00,97.36
3730.00,97.37
3729.00,97.37
3728.00,97.37
3727.00,97.35
3726.00,97.33
3725.00,97.31
3724.00,97.31
3723.00,97.32
3722.00,97.32
3721.00,97.31
3720.00,97.32
3719.00,97.33
3718.00,97.34
3717.00,97.34
3716.00,97.33
3715.00,97.33
3714.00,97.34
3713.00,97.34
3712.00,97.33
3711.00,97.32
3710.00,97.32
3709.00,97.33
3708.00,97.32
3707.00,97.30
3706.00,97.27
3705.00,97.25
3704.00,97.24
3703.00,97.25
3702.00,97.26
3701.00,97.27
3700.00,97.28
3699.00,97.29
3698.00,97.29
3697.00,97.30
3696.00,97.30
3695.00,97.29
3694.00,97.28
3693.00,97.26
3692.00,97.25
3691.00,97.26
3690.00,97.30
3689.00,97.33
3688.00,97.34
3687.00,97.32
3686.00,97.30
3685.00,97.27
3684.00,97.26
3683.00,97.25
3682.00,97.27
3681.00,97.28
3680.00,97.28
3679.00,97.25
3678.00,97.21
3677.00,97.22
3676.00,97.26
3675.00,97.29
3674.00,97.29
3673.00,97.27
3672.00,97.26
3671.00,97.26
3670.00,97.24
3669.00,97.21
3668.00,97.17
3667.00,97.14
3666.00,97.13
3665.00,97.13
3664.00,97.14
3663.00,97.14
3662.00,97.14
3661.00,97.12
3660.00,97.09
