Created as New Dataset,16.4 Dyed (red colour)
cm-1,%T
4000.00,99.29
3999.00,99.30
3998.00,99.30
3997.00,99.31
3996.00,99.31
3995.00,99.31
3994.00,99.31
3993.00,99.29
3992.00,99.27
3991.00,99.26
3990.00,99.27
3989.00,99.29
3988.00,99.31
3987.00,99.33
3986.00,99.33
3985.00,99.31
3984.00,99.29
3983.00,99.27
3982.00,99.26
3981.00,99.26
3980.00,99.26
3979.00,99.27
3978.00,99.28
3977.00,99.28
3976.00,99.28
3975.00,99.27
3974.00,99.27
3973.00,99.26
3972.00,99.25
3971.00,99.25
3970.00,99.25
3969.00,99.25
3968.00,99.26
3967.00,99.27
3966.00,99.28
3965.00,99.29
3964.00,99.31
3963.00,99.32
3962.00,99.33
3961.00,99.33
3960.00,99.34
3959.00,99.34
3958.00,99.35
3957.00,99.35
3956.00,99.35
3955.00,99.35
3954.00,99.34
3953.00,99.34
3952.00,99.32
3951.00,99.31
3950.00,99.29
3949.00,99.27
3948.00,99.27
3947.00,99.27
3946.00,99.29
3945.00,99.31
3944.00,99.32
3943.00,99.32
3942.00,99.32
3941.00,99.31
3940.00,99.31
3939.00,99.31
3938.00,99.31
3937.00,99.31
3936.00,99.32
3935.00,99.33
3934.00,99.35
3933.00,99.36
3932.00,99.37
3931.00,99.37
3930.00,99.37
3929.00,99.37
3928.00,99.36
3927.00,99.35
3926.00,99.34
3925.00,99.34
3924.00,99.34
3923.00,99.34
3922.00,99.35
3921.00,99.34
3920.00,99.34
3919.00,99.33
3918.00,99.33
3917.00,99.33
3916.00,99.33
3915.00,99.32
3914.00,99.32
3913.00,99.30
3912.00,99.30
3911.00,99.29
3910.00,99.28
3909.00,99.28
3908.00,99.28
3907.00,99.30
3906.00,99.34
3905.00,99.38
3904.00,99.41
3903.00,99.44
3902.00,99.45
3901.00,99.46
3900.00,99.46
3899.00,99.46
3898.00,99.46
3897.00,99.45
3896.00,99.43
3895.00,99.41
3894.00,99.39
3893.00,99.38
3892.00,99.38
3891.00,99.39
3890.00,99.41
3889.00,99.43
3888.00,99.45
3887.00,99.45
3886.00,99.43
3885.00,99.40
3884.00,99.38
3883.00,99.37
3882.00,99.38
3881.00,99.40
3880.00,99.41
3879.00,99.42
3878.00,99.42
3877.00,99.43
3876.00,99.44
3875.00,99.43
3874.00,99.41
3873.00,99.40
3872.00,99.40
3871.00,99.41
3870.00,99.42
3869.00,99.41
3868.00,99.40
3867.00,99.40
3866.00,99.39
3865.00,99.39
3864.00,99.38
3863.00,99.37
3862.00,99.38
3861.00,99.39
3860.00,99.39
3859.00,99.39
3858.00,99.38
3857.00,99.40
3856.00,99.44
3855.00,99.49
3854.00,99.51
3853.00,99.51
3852.00,99.51
3851.00,99.52
3850.00,99.50
3849.00,99.46
3848.00,99.40
3847.00,99.35
3846.00,99.31
3845.00,99.29
3844.00,99.29
3843.00,99.31
3842.00,99.35
3841.00,99.40
3840.00,99.44
3839.00,99.46
3838.00,99.45
3837.00,99.45
3836.00,99.45
3835.00,99.44
3834.00,99.43
3833.00,99.40
3832.00,99.37
3831.00,99.35
3830.00,99.35
3829.00,99.35
3828.00,99.35
3827.00,99.36
3826.00,99.36
3825.00,99.36
3824.00,99.36
3823.00,99.36
3822.00,99.34
3821.00,99.33
3820.00,99.34
3819.00,99.39
3818.00,99.45
3817.00,99.48
3816.00,99.46
3815.00,99.39
3814.00,99.32
3813.00,99.28
3812.00,99.28
3811.00,99.30
3810.00,99.32
3809.00,99.34
3808.00,99.33
3807.00,99.31
3806.00,99.29
3805.00,99.30
3804.00,99.32
3803.00,99.34
3802.00,99.34
3801.00,99.33
3800.00,99.33
3799.00,99.34
3798.00,99.35
3797.00,99.36
3796.00,99.35
3795.00,99.33
3794.00,99.30
3793.00,99.27
3792.00,99.25
3791.00,99.23
3790.00,99.21
3789.00,99.21
3788.00,99.21
3787.00,99.21
3786.00,99.22
3785.00,99.21
3784.00,99.21
3783.00,99.21
3782.00,99.22
3781.00,99.22
3780.00,99.22
3779.00,99.20
3778.00,99.19
3777.00,99.19
3776.00,99.20
3775.00,99.21
3774.00,99.21
3773.00,99.21
3772.00,99.22
3771.00,99.24
3770.00,99.25
3769.00,99.25
3768.00,99.25
3767.00,99.25
3766.00,99.24
3765.00,99.24
3764.00,99.24
3763.00,99.25
3762.00,99.26
3761.00,99.27
3760.00,99.25
3759.00,99.23
3758.00,99.21
3757.00,99.21
3756.00,99.23
3755.00,99.27
3754.00,99.31
3753.00,99.34
3752.00,99.33
3751.00,99.29
3750.00,99.27
3749.00,99.28
3748.00,99.30
3747.00,99.30
3746.00,99.29
3745.00,99.27
3744.00,99.27
3743.00,99.29
3742.00,99.32
3741.00,99.33
3740.00,99.31
3739.00,99.29
3738.00,99.28
3737.00,99.30
3736.00,99.32
3735.00,99.33
3734.00,99.33
3733.00,99.33
3732.00,99.32
3731.00,99.31
3730.00,99.30
3729.00,99.30
3728.00,99.30
3727.00,99.30
3726.00,99.29
3725.00,99.28
3724.00,99.27
3723.00,99.26
3722.00,99.26
3721.00,99.25
3720.00,99.24
3719.00,99.23
3718.00,99.22
3717.00,99.20
3716.00,99.19
3715.00,99.19
3714.00,99.21
3713.00,99.23
3712.00,99.22
3711.00,99.20
3710.00,99.18
3709.00,99.18
3708.00,99.19
3707.00,99.20
3706.00,99.20
3705.00,99.18
3704.00,99.15
3703.00,99.12
3702.00,99.09
3701.00,99.08
3700.00,99.09
3699.00,99.11
3698.00,99.13
3697.00,99.14
3696.00,99.14
3695.00,99.13
3694.00,99.14
3693.00,99.14
3692.00,99.14
3691.00,99.13
3690.00,99.11
3689.00,99.08
3688.00,99.07
3687.00,99.06
3686.00,99.05
3685.00,99.04
3684.00,99.02
3683.00,99.02
3682.00,99.03
3681.00,99.04
3680.00,99.06
3679.00,99.07
3678.00,99.07
3677.00,99.05
3676.00,99.01
3675.00,98.96
3674.00,98.94
3673.00,98.96
3672.00,98.99
3671.00,99.02
3670.00,99.03
3669.00,99.02
3668.00,98.99
3667.00,98.97
3666.00,98.95
3665.00,98.92
3664.00,98.89
3663.00,98.87
3662.00,98.86
3661.00,98.86
3660.00,98.87
3659.00,98.88
3658.00,98.88
3657.00,98.86
3656.00,98.84
3655.00,98.82
3654.00,98.83
3653.00,98.85
3652.00,98.88
3651.00,98.88
3650.00,98.85
3649.00,98.81
3648.00,98.78
3647.00,98.77
3646.00,98.78
3645.00,98.77
3644.00,98.74
3643.00,98.71
3642.00,98.68
3641.00,98.65
3640.00,98.64
3639.00,98.64
3638.00,98.65
3637.00,98.66
3636.00,98.65
3635.00,98.62
3634.00,98.59
3633.00,98.58
3632.00,98.59
3631.00,98.61
3630.00,98.61
3629.00,98.57
3628.00,98.52
3627.00,98.49
3626.00,98.49
3625.00,98.50
3624.00,98.52
3623.00,98.53
3622.00,98.54
3621.00,98.54
3620.00,98.53
3619.00,98.51
3618.00,98.49
3617.00,98.47
3616.00,98.45
3615.00,98.43
3614.00,98.40
3613.00,98.39
3612.00,98.37
3611.00,98.36
3610.00,98.34
3609.00,98.31
3608.00,98.27
3607.00,98.24
3606.00,98.21
3605.00,98.19
3604.00,98.17
3603.00,98.15
3602.00,98.14
3601.00,98.13
3600.00,98.14
3599.00,98.14
3598.00,98.13
3597.00,98.12
3596.00,98.10
3595.00,98.10
3594.00,98.08
3593.00,98.06
3592.00,98.04
3591.00,98.02
3590.00,98.01
3589.00,98.01
3588.00,97.99
3587.00,97.96
3586.00,97.94
3585.00,97.92
3584.00,97.91
3583.00,97.90
3582.00,97.88
3581.00,97.85
3580.00,97.83
3579.00,97.80
3578.00,97.77
3577.00,97.75
3576.00,97.73
3575.00,97.71
3574.00,97.70
3573.00,97.69
3572.00,97.68
3571.00,97.68
3570.00,97.69
3569.00,97.69
3568.00,97.68
3567.00,97.66
3566.00,97.64
3565.00,97.62
3564.00,97.60
3563.00,97.56
3562.00,97.50
3561.00,97.45
3560.00,97.42
3559.00,97.42
3558.00,97.42
3557.00,97.41
3556.00,97.38
3555.00,97.34
3554.00,97.31
3553.00,97.30
3552.00,97.30
3551.00,97.32
3550.00,97.33
3549.00,97.33
3548.00,97.29
3547.00,97.24
3546.00,97.19
3545.00,97.16
3544.00,97.15
3543.00,97.15
3542.00,97.15
3541.00,97.13
3540.00,97.09
3539.00,97.05
3538.00,97.01
3537.00,96.98
3536.00,96.96
3535.00,96.94
3534.00,96.91
3533.00,96.88
3532.00,96.85
3531.00,96.82
3530.00,96.80
3529.00,96.79
3528.00,96.79
3527.00,96.80
3526.00,96.82
3525.00,96.83
3524.00,96.82
3523.00,96.81
3522.00,96.78
3521.00,96.76
3520.00,96.74
3519.00,96.72
3518.00,96.68
3517.00,96.65
3516.00,96.62
3515.00,96.60
3514.00,96.59
3513.00,96.60
3512.00,96.62
3511.00,96.63
3510.00,96.63
3509.00,96.62
3508.00,96.60
3507.00,96.58
3506.00,96.55
3505.00,96.51
3504.00,96.47
3503.00,96.43
3502.00,96.41
3501.00,96.39
3500.00,96.37
3499.00,96.36
3498.00,96.35
3497.00,96.36
3496.00,96.36
3495.00,96.34
3494.00,96.32
3493.00,96.30
3492.00,96.29
3491.00,96.30
3490.00,96.31
3489.00,96.31
3488.00,96.30
3487.00,96.28
3486.00,96.27
3485.00,96.25
3484.00,96.24
3483.00,96.22
3482.00,96.20
3481.00,96.17
3480.00,96.14
3479.00,96.11
3478.00,96.10
