Created as New Dataset,17.1 Raw, thrown
cm-1,%T
4000.00,100.34
3999.00,100.34
3998.00,100.33
3997.00,100.33
3996.00,100.33
3995.00,100.33
3994.00,100.33
3993.00,100.33
3992.00,100.33
3991.00,100.33
3990.00,100.33
3989.00,100.33
3988.00,100.33
3987.00,100.31
3986.00,100.30
3985.00,100.29
3984.00,100.29
3983.00,100.29
3982.00,100.29
3981.00,100.29
3980.00,100.29
3979.00,100.30
3978.00,100.31
3977.00,100.31
3976.00,100.32
3975.00,100.32
3974.00,100.32
3973.00,100.32
3972.00,100.32
3971.00,100.32
3970.00,100.32
3969.00,100.32
3968.00,100.32
3967.00,100.33
3966.00,100.33
3965.00,100.34
3964.00,100.34
3963.00,100.34
3962.00,100.34
3961.00,100.34
3960.00,100.33
3959.00,100.33
3958.00,100.33
3957.00,100.33
3956.00,100.33
3955.00,100.33
3954.00,100.32
3953.00,100.31
3952.00,100.31
3951.00,100.31
3950.00,100.32
3949.00,100.33
3948.00,100.34
3947.00,100.35
3946.00,100.35
3945.00,100.35
3944.00,100.35
3943.00,100.34
3942.00,100.33
3941.00,100.31
3940.00,100.30
3939.00,100.30
3938.00,100.29
3937.00,100.29
3936.00,100.29
3935.00,100.29
3934.00,100.28
3933.00,100.27
3932.00,100.26
3931.00,100.26
3930.00,100.27
3929.00,100.28
3928.00,100.28
3927.00,100.28
3926.00,100.27
3925.00,100.26
3924.00,100.26
3923.00,100.26
3922.00,100.26
3921.00,100.26
3920.00,100.26
3919.00,100.26
3918.00,100.26
3917.00,100.27
3916.00,100.29
3915.00,100.31
3914.00,100.32
3913.00,100.33
3912.00,100.33
3911.00,100.33
3910.00,100.34
3909.00,100.35
3908.00,100.35
3907.00,100.35
3906.00,100.33
3905.00,100.31
3904.00,100.29
3903.00,100.28
3902.00,100.29
3901.00,100.31
3900.00,100.33
3899.00,100.34
3898.00,100.34
3897.00,100.32
3896.00,100.30
3895.00,100.28
3894.00,100.26
3893.00,100.25
3892.00,100.26
3891.00,100.28
3890.00,100.29
3889.00,100.29
3888.00,100.29
3887.00,100.29
3886.00,100.30
3885.00,100.30
3884.00,100.29
3883.00,100.28
3882.00,100.27
3881.00,100.27
3880.00,100.27
3879.00,100.29
3878.00,100.30
3877.00,100.30
3876.00,100.30
3875.00,100.29
3874.00,100.29
3873.00,100.27
3872.00,100.26
3871.00,100.26
3870.00,100.27
3869.00,100.29
3868.00,100.31
3867.00,100.31
3866.00,100.31
3865.00,100.30
3864.00,100.28
3863.00,100.27
3862.00,100.25
3861.00,100.26
3860.00,100.27
3859.00,100.28
3858.00,100.29
3857.00,100.29
3856.00,100.28
3855.00,100.29
3854.00,100.31
3853.00,100.31
3852.00,100.30
3851.00,100.28
3850.00,100.27
3849.00,100.26
3848.00,100.27
3847.00,100.28
3846.00,100.29
3845.00,100.29
3844.00,100.29
3843.00,100.29
3842.00,100.29
3841.00,100.29
3840.00,100.28
3839.00,100.27
3838.00,100.26
3837.00,100.25
3836.00,100.25
3835.00,100.25
3834.00,100.26
3833.00,100.27
3832.00,100.28
3831.00,100.28
3830.00,100.27
3829.00,100.26
3828.00,100.25
3827.00,100.25
3826.00,100.25
3825.00,100.24
3824.00,100.22
3823.00,100.21
3822.00,100.21
3821.00,100.21
3820.00,100.20
3819.00,100.20
3818.00,100.20
3817.00,100.20
3816.00,100.22
3815.00,100.24
3814.00,100.25
3813.00,100.26
3812.00,100.26
3811.00,100.26
3810.00,100.25
3809.00,100.23
3808.00,100.22
3807.00,100.21
3806.00,100.21
3805.00,100.22
3804.00,100.23
3803.00,100.23
3802.00,100.22
3801.00,100.20
3800.00,100.20
3799.00,100.20
3798.00,100.22
3797.00,100.24
3796.00,100.25
3795.00,100.25
3794.00,100.25
3793.00,100.26
3792.00,100.26
3791.00,100.26
3790.00,100.27
3789.00,100.27
3788.00,100.27
3787.00,100.26
3786.00,100.26
3785.00,100.25
3784.00,100.25
3783.00,100.24
3782.00,100.23
3781.00,100.21
3780.00,100.20
3779.00,100.19
3778.00,100.18
3777.00,100.19
3776.00,100.20
3775.00,100.21
3774.00,100.20
3773.00,100.18
3772.00,100.17
3771.00,100.16
3770.00,100.17
3769.00,100.18
3768.00,100.18
3767.00,100.18
3766.00,100.18
3765.00,100.18
3764.00,100.19
3763.00,100.19
3762.00,100.18
3761.00,100.17
3760.00,100.15
3759.00,100.13
3758.00,100.12
3757.00,100.12
3756.00,100.13
3755.00,100.14
3754.00,100.16
3753.00,100.15
3752.00,100.14
3751.00,100.11
3750.00,100.08
3749.00,100.07
3748.00,100.06
3747.00,100.06
3746.00,100.07
3745.00,100.09
3744.00,100.11
3743.00,100.14
3742.00,100.16
3741.00,100.17
3740.00,100.17
3739.00,100.17
3738.00,100.15
3737.00,100.13
3736.00,100.10
3735.00,100.07
3734.00,100.04
3733.00,100.02
3732.00,100.02
3731.00,100.05
3730.00,100.08
3729.00,100.10
3728.00,100.12
3727.00,100.11
3726.00,100.11
3725.00,100.10
3724.00,100.09
3723.00,100.09
3722.00,100.09
3721.00,100.10
3720.00,100.11
3719.00,100.12
3718.00,100.13
3717.00,100.13
3716.00,100.13
3715.00,100.13
3714.00,100.12
3713.00,100.12
3712.00,100.10
3711.00,100.08
3710.00,100.07
3709.00,100.06
3708.00,100.06
3707.00,100.07
3706.00,100.08
3705.00,100.08
3704.00,100.08
3703.00,100.08
3702.00,100.07
3701.00,100.06
3700.00,100.05
3699.00,100.06
3698.00,100.08
3697.00,100.09
3696.00,100.09
3695.00,100.06
3694.00,100.04
3693.00,100.02
3692.00,100.02
3691.00,100.04
3690.00,100.07
3689.00,100.10
3688.00,100.12
3687.00,100.12
3686.00,100.12
3685.00,100.10
3684.00,100.09
3683.00,100.08
3682.00,100.07
3681.00,100.07
3680.00,100.07
3679.00,100.06
3678.00,100.05
3677.00,100.05
3676.00,100.04
3675.00,100.03
3674.00,100.01
3673.00,99.99
3672.00,99.97
3671.00,99.96
3670.00,99.94
3669.00,99.93
3668.00,99.94
3667.00,99.96
3666.00,99.97
3665.00,99.97
3664.00,99.96
3663.00,99.95
3662.00,99.94
3661.00,99.95
3660.00,99.96
3659.00,99.97
3658.00,99.97
3657.00,99.96
3656.00,99.95
3655.00,99.93
3654.00,99.91
3653.00,99.88
3652.00,99.86
3651.00,99.85
3650.00,99.84
3649.00,99.84
3648.00,99.85
3647.00,99.86
3646.00,99.86
3645.00,99.85
3644.00,99.84
3643.00,99.83
3642.00,99.82
3641.00,99.83
3640.00,99.84
3639.00,99.84
3638.00,99.83
3637.00,99.81
3636.00,99.79
3635.00,99.78
