Created as New Dataset,17.4 Tussah frrom India
cm-1,%T
4000.00,102.20
3999.00,102.20
3998.00,102.19
3997.00,102.19
3996.00,102.19
3995.00,102.19
3994.00,102.19
3993.00,102.20
3992.00,102.20
3991.00,102.22
3990.00,102.23
3989.00,102.24
3988.00,102.23
3987.00,102.22
3986.00,102.19
3985.00,102.18
3984.00,102.18
3983.00,102.18
3982.00,102.18
3981.00,102.17
3980.00,102.16
3979.00,102.15
3978.00,102.15
3977.00,102.16
3976.00,102.18
3975.00,102.18
3974.00,102.19
3973.00,102.19
3972.00,102.20
3971.00,102.20
3970.00,102.19
3969.00,102.17
3968.00,102.15
3967.00,102.15
3966.00,102.16
3965.00,102.17
3964.00,102.18
3963.00,102.19
3962.00,102.20
3961.00,102.20
3960.00,102.20
3959.00,102.21
3958.00,102.21
3957.00,102.22
3956.00,102.22
3955.00,102.21
3954.00,102.20
3953.00,102.19
3952.00,102.18
3951.00,102.17
3950.00,102.17
3949.00,102.16
3948.00,102.16
3947.00,102.15
3946.00,102.15
3945.00,102.16
3944.00,102.17
3943.00,102.18
3942.00,102.18
3941.00,102.17
3940.00,102.16
3939.00,102.15
3938.00,102.14
3937.00,102.14
3936.00,102.13
3935.00,102.13
3934.00,102.12
3933.00,102.12
3932.00,102.12
3931.00,102.12
3930.00,102.11
3929.00,102.11
3928.00,102.10
3927.00,102.10
3926.00,102.09
3925.00,102.08
3924.00,102.07
3923.00,102.06
3922.00,102.05
3921.00,102.05
3920.00,102.07
3919.00,102.09
3918.00,102.12
3917.00,102.15
3916.00,102.18
3915.00,102.19
3914.00,102.20
3913.00,102.20
3912.00,102.20
3911.00,102.19
3910.00,102.18
3909.00,102.18
3908.00,102.17
3907.00,102.17
3906.00,102.16
3905.00,102.15
3904.00,102.14
3903.00,102.14
3902.00,102.15
3901.00,102.16
3900.00,102.17
3899.00,102.17
3898.00,102.17
3897.00,102.17
3896.00,102.17
3895.00,102.16
3894.00,102.14
3893.00,102.12
3892.00,102.11
3891.00,102.12
3890.00,102.14
3889.00,102.15
3888.00,102.14
3887.00,102.13
3886.00,102.12
3885.00,102.11
3884.00,102.11
3883.00,102.11
3882.00,102.11
3881.00,102.10
3880.00,102.09
3879.00,102.09
3878.00,102.09
3877.00,102.10
3876.00,102.10
3875.00,102.10
3874.00,102.09
3873.00,102.09
3872.00,102.09
3871.00,102.10
3870.00,102.13
3869.00,102.17
3868.00,102.20
3867.00,102.20
3866.00,102.19
3865.00,102.17
3864.00,102.14
3863.00,102.12
3862.00,102.11
3861.00,102.10
3860.00,102.11
3859.00,102.12
3858.00,102.13
3857.00,102.15
3856.00,102.18
3855.00,102.21
3854.00,102.23
3853.00,102.23
3852.00,102.23
3851.00,102.21
3850.00,102.19
3849.00,102.17
3848.00,102.16
3847.00,102.16
3846.00,102.17
3845.00,102.16
3844.00,102.16
3843.00,102.15
3842.00,102.15
3841.00,102.15
3840.00,102.15
3839.00,102.14
3838.00,102.14
3837.00,102.14
3836.00,102.14
3835.00,102.14
3834.00,102.14
3833.00,102.14
3832.00,102.15
3831.00,102.14
3830.00,102.13
3829.00,102.11
3828.00,102.09
3827.00,102.07
3826.00,102.07
3825.00,102.08
3824.00,102.09
3823.00,102.09
3822.00,102.08
3821.00,102.05
3820.00,102.03
3819.00,102.03
3818.00,102.05
3817.00,102.08
3816.00,102.11
3815.00,102.15
3814.00,102.17
3813.00,102.18
3812.00,102.17
3811.00,102.17
3810.00,102.16
3809.00,102.14
3808.00,102.13
3807.00,102.12
3806.00,102.13
3805.00,102.15
3804.00,102.16
3803.00,102.14
3802.00,102.10
3801.00,102.07
3800.00,102.08
3799.00,102.10
3798.00,102.13
3797.00,102.14
3796.00,102.15
3795.00,102.14
3794.00,102.14
3793.00,102.12
3792.00,102.11
3791.00,102.10
3790.00,102.09
3789.00,102.10
3788.00,102.11
3787.00,102.12
3786.00,102.13
3785.00,102.13
3784.00,102.12
3783.00,102.10
3782.00,102.08
3781.00,102.05
3780.00,102.03
3779.00,102.02
3778.00,102.02
3777.00,102.03
3776.00,102.05
3775.00,102.06
3774.00,102.06
3773.00,102.05
3772.00,102.04
3771.00,102.05
3770.00,102.06
3769.00,102.07
3768.00,102.06
3767.00,102.04
3766.00,102.02
3765.00,102.01
3764.00,102.02
3763.00,102.04
3762.00,102.05
3761.00,102.05
3760.00,102.03
3759.00,101.99
3758.00,101.96
3757.00,101.95
3756.00,101.97
3755.00,101.99
3754.00,102.01
3753.00,102.01
3752.00,102.00
3751.00,101.99
3750.00,101.98
3749.00,101.99
3748.00,102.01
3747.00,102.02
3746.00,102.01
3745.00,102.00
3744.00,102.00
3743.00,102.02
3742.00,102.05
3741.00,102.07
3740.00,102.07
3739.00,102.06
3738.00,102.03
3737.00,102.01
3736.00,101.98
3735.00,101.98
3734.00,101.96
3733.00,101.94
3732.00,101.91
3731.00,101.90
3730.00,101.91
3729.00,101.94
3728.00,101.97
3727.00,101.98
3726.00,101.97
3725.00,101.96
3724.00,101.94
3723.00,101.93
3722.00,101.94
3721.00,101.96
3720.00,101.98
3719.00,102.00
3718.00,102.02
3717.00,102.04
3716.00,102.04
3715.00,102.03
3714.00,102.02
3713.00,102.01
3712.00,102.00
3711.00,101.98
3710.00,101.97
3709.00,101.95
3708.00,101.93
3707.00,101.92
3706.00,101.92
3705.00,101.93
3704.00,101.94
