Created as New Dataset,18.1 Wild, two colors,m from India (light)
cm-1,%T
4000.00,101.28
3999.00,101.29
3998.00,101.29
3997.00,101.28
3996.00,101.28
3995.00,101.28
3994.00,101.29
3993.00,101.29
3992.00,101.30
3991.00,101.29
3990.00,101.28
3989.00,101.26
3988.00,101.24
3987.00,101.21
3986.00,101.20
3985.00,101.20
3984.00,101.21
3983.00,101.24
3982.00,101.26
3981.00,101.28
3980.00,101.27
3979.00,101.25
3978.00,101.22
3977.00,101.20
3976.00,101.19
3975.00,101.19
3974.00,101.19
3973.00,101.20
3972.00,101.20
3971.00,101.19
3970.00,101.20
3969.00,101.21
3968.00,101.23
3967.00,101.24
3966.00,101.25
3965.00,101.25
3964.00,101.24
3963.00,101.23
3962.00,101.24
3961.00,101.26
3960.00,101.27
3959.00,101.27
3958.00,101.25
3957.00,101.22
3956.00,101.20
3955.00,101.20
3954.00,101.22
3953.00,101.24
3952.00,101.26
3951.00,101.28
3950.00,101.29
3949.00,101.30
3948.00,101.30
3947.00,101.30
3946.00,101.29
3945.00,101.28
3944.00,101.28
3943.00,101.27
3942.00,101.27
3941.00,101.27
3940.00,101.29
3939.00,101.31
3938.00,101.32
3937.00,101.32
3936.00,101.31
3935.00,101.28
3934.00,101.27
3933.00,101.25
3932.00,101.24
3931.00,101.22
3930.00,101.20
3929.00,101.18
3928.00,101.17
3927.00,101.17
3926.00,101.18
3925.00,101.20
3924.00,101.20
3923.00,101.20
3922.00,101.19
3921.00,101.19
3920.00,101.18
3919.00,101.18
3918.00,101.19
3917.00,101.19
3916.00,101.19
3915.00,101.19
3914.00,101.20
3913.00,101.21
3912.00,101.22
3911.00,101.21
3910.00,101.19
3909.00,101.17
3908.00,101.15
3907.00,101.14
3906.00,101.16
3905.00,101.18
3904.00,101.20
3903.00,101.20
3902.00,101.18
3901.00,101.17
3900.00,101.15
3899.00,101.15
3898.00,101.14
3897.00,101.13
3896.00,101.13
3895.00,101.13
3894.00,101.15
3893.00,101.17
3892.00,101.18
3891.00,101.18
3890.00,101.17
3889.00,101.16
3888.00,101.16
3887.00,101.17
3886.00,101.18
3885.00,101.17
3884.00,101.16
3883.00,101.16
3882.00,101.18
3881.00,101.20
3880.00,101.19
3879.00,101.17
3878.00,101.15
3877.00,101.13
3876.00,101.13
3875.00,101.13
3874.00,101.10
3873.00,101.06
3872.00,101.03
3871.00,101.02
3870.00,101.04
3869.00,101.06
3868.00,101.08
3867.00,101.09
3866.00,101.11
3865.00,101.12
3864.00,101.13
3863.00,101.13
3862.00,101.13
3861.00,101.12
3860.00,101.11
3859.00,101.10
3858.00,101.08
3857.00,101.06
3856.00,101.04
3855.00,101.02
3854.00,101.01
3853.00,101.00
3852.00,101.02
3851.00,101.06
3850.00,101.12
3849.00,101.16
3848.00,101.19
3847.00,101.19
3846.00,101.17
3845.00,101.14
3844.00,101.10
