Created as New Dataset,18.1 Wild, two colors from India (dark)
cm-1,%T
4000.00,103.17
3999.00,103.18
3998.00,103.20
3997.00,103.21
3996.00,103.21
3995.00,103.21
3994.00,103.20
3993.00,103.20
3992.00,103.20
3991.00,103.20
3990.00,103.20
3989.00,103.18
3988.00,103.17
3987.00,103.16
3986.00,103.15
3985.00,103.14
3984.00,103.13
3983.00,103.13
3982.00,103.13
3981.00,103.13
3980.00,103.13
3979.00,103.14
3978.00,103.13
3977.00,103.14
3976.00,103.15
3975.00,103.17
3974.00,103.18
3973.00,103.18
3972.00,103.17
3971.00,103.16
3970.00,103.15
3969.00,103.15
3968.00,103.15
3967.00,103.16
3966.00,103.17
3965.00,103.18
3964.00,103.18
3963.00,103.18
3962.00,103.18
3961.00,103.18
3960.00,103.19
3959.00,103.20
3958.00,103.21
3957.00,103.22
3956.00,103.23
3955.00,103.22
3954.00,103.21
3953.00,103.19
3952.00,103.17
3951.00,103.15
3950.00,103.13
3949.00,103.13
3948.00,103.13
3947.00,103.13
3946.00,103.13
3945.00,103.13
3944.00,103.14
3943.00,103.14
3942.00,103.14
3941.00,103.14
3940.00,103.15
3939.00,103.16
3938.00,103.18
3937.00,103.19
3936.00,103.21
3935.00,103.21
3934.00,103.21
3933.00,103.18
3932.00,103.16
3931.00,103.14
3930.00,103.14
3929.00,103.15
3928.00,103.16
3927.00,103.16
3926.00,103.14
3925.00,103.12
3924.00,103.11
3923.00,103.10
3922.00,103.11
3921.00,103.13
3920.00,103.14
3919.00,103.15
3918.00,103.14
3917.00,103.13
3916.00,103.11
3915.00,103.09
3914.00,103.08
3913.00,103.08
3912.00,103.08
3911.00,103.09
3910.00,103.10
3909.00,103.10
3908.00,103.11
3907.00,103.12
3906.00,103.13
3905.00,103.13
3904.00,103.12
3903.00,103.13
3902.00,103.14
3901.00,103.15
3900.00,103.16
3899.00,103.16
3898.00,103.14
3897.00,103.13
3896.00,103.12
3895.00,103.12
3894.00,103.13
3893.00,103.13
3892.00,103.13
3891.00,103.12
3890.00,103.12
3889.00,103.11
3888.00,103.12
3887.00,103.12
3886.00,103.11
3885.00,103.10
3884.00,103.10
3883.00,103.13
3882.00,103.16
3881.00,103.19
3880.00,103.21
3879.00,103.20
3878.00,103.18
3877.00,103.15
3876.00,103.14
3875.00,103.13
3874.00,103.12
3873.00,103.11
3872.00,103.09
3871.00,103.08
3870.00,103.08
3869.00,103.09
3868.00,103.10
3867.00,103.12
3866.00,103.14
3865.00,103.15
3864.00,103.14
3863.00,103.13
3862.00,103.12
3861.00,103.11
3860.00,103.09
3859.00,103.07
3858.00,103.05
3857.00,103.03
3856.00,103.02
3855.00,103.04
3854.00,103.06
3853.00,103.07
3852.00,103.08
3851.00,103.10
3850.00,103.13
3849.00,103.16
3848.00,103.18
3847.00,103.19
3846.00,103.18
3845.00,103.17
3844.00,103.15
3843.00,103.14
3842.00,103.13
3841.00,103.12
3840.00,103.11
3839.00,103.10
3838.00,103.08
3837.00,103.08
3836.00,103.07
3835.00,103.06
3834.00,103.06
3833.00,103.06
3832.00,103.06
3831.00,103.07
3830.00,103.08
3829.00,103.09
3828.00,103.10
3827.00,103.11
3826.00,103.12
3825.00,103.11
3824.00,103.10
3823.00,103.10
3822.00,103.09
3821.00,103.09
3820.00,103.07
3819.00,103.05
3818.00,103.04
3817.00,103.04
3816.00,103.05
3815.00,103.06
3814.00,103.08
3813.00,103.09
3812.00,103.11
3811.00,103.13
3810.00,103.13
3809.00,103.13
3808.00,103.13
3807.00,103.13
3806.00,103.11
3805.00,103.09
3804.00,103.07
3803.00,103.08
3802.00,103.10
3801.00,103.11
3800.00,103.11
3799.00,103.11
3798.00,103.11
3797.00,103.11
3796.00,103.11
3795.00,103.10
3794.00,103.10
3793.00,103.09
3792.00,103.09
3791.00,103.09
3790.00,103.08
3789.00,103.08
3788.00,103.08
3787.00,103.09
3786.00,103.10
3785.00,103.10
3784.00,103.09
3783.00,103.07
3782.00,103.06
3781.00,103.06
3780.00,103.07
3779.00,103.08
3778.00,103.09
3777.00,103.09
3776.00,103.09
3775.00,103.09
3774.00,103.07
3773.00,103.04
3772.00,103.02
3771.00,103.02
3770.00,103.03
3769.00,103.05
3768.00,103.06
3767.00,103.08
3766.00,103.10
3765.00,103.10
3764.00,103.09
3763.00,103.07
3762.00,103.06
3761.00,103.07
3760.00,103.08
3759.00,103.08
3758.00,103.06
3757.00,103.03
3756.00,103.01
3755.00,103.00
3754.00,103.02
3753.00,103.05
3752.00,103.07
3751.00,103.07
3750.00,103.07
3749.00,103.06
3748.00,103.03
3747.00,102.98
3746.00,102.94
3745.00,102.93
3744.00,102.95
3743.00,102.98
3742.00,103.02
3741.00,103.06
3740.00,103.09
3739.00,103.11
3738.00,103.13
3737.00,103.13
3736.00,103.11
3735.00,103.06
3734.00,103.02
3733.00,103.01
3732.00,103.03
3731.00,103.07
3730.00,103.10
3729.00,103.11
3728.00,103.11
3727.00,103.10
3726.00,103.11
3725.00,103.14
3724.00,103.15
3723.00,103.14
3722.00,103.11
3721.00,103.08
3720.00,103.08
3719.00,103.10
3718.00,103.12
3717.00,103.13
3716.00,103.12
3715.00,103.09
3714.00,103.07
3713.00,103.08
3712.00,103.10
3711.00,103.13
3710.00,103.14
3709.00,103.14
3708.00,103.13
3707.00,103.11
3706.00,103.09
3705.00,103.06
3704.00,103.04
3703.00,103.02
3702.00,103.01
3701.00,103.00
3700.00,102.99
3699.00,103.00
3698.00,103.01
3697.00,103.02
3696.00,103.04
3695.00,103.06
3694.00,103.07
3693.00,103.08
3692.00,103.07
3691.00,103.06
3690.00,103.04
3689.00,103.03
3688.00,103.02
3687.00,103.01
3686.00,103.01
3685.00,103.00
3684.00,103.00
3683.00,102.99
3682.00,102.98
3681.00,102.98
3680.00,102.98
3679.00,102.98
3678.00,102.96
3677.00,102.96
3676.00,102.97
3675.00,102.97
3674.00,102.97
3673.00,102.96
3672.00,102.95
3671.00,102.95
3670.00,102.95
3669.00,102.93
3668.00,102.91
3667.00,102.90
3666.00,102.90
3665.00,102.91
3664.00,102.93
3663.00,102.94
3662.00,102.94
3661.00,102.93
3660.00,102.91
3659.00,102.87
3658.00,102.83
3657.00,102.80
3656.00,102.79
3655.00,102.79
3654.00,102.80
3653.00,102.81
3652.00,102.84
3651.00,102.87
3650.00,102.88
3649.00,102.87
3648.00,102.83
3647.00,102.79
3646.00,102.77
3645.00,102.76
3644.00,102.76
3643.00,102.78
3642.00,102.79
3641.00,102.79
3640.00,102.78
3639.00,102.76
3638.00,102.75
3637.00,102.74
3636.00,102.73
3635.00,102.72
3634.00,102.72
3633.00,102.70
3632.00,102.69
3631.00,102.67
3630.00,102.64
3629.00,102.61
3628.00,102.57
3627.00,102.54
3626.00,102.52
3625.00,102.50
3624.00,102.50
3623.00,102.50
3622.00,102.51
3621.00,102.52
3620.00,102.52
3619.00,102.50
3618.00,102.50
3617.00,102.52
3616.00,102.55
3615.00,102.57
3614.00,102.55
3613.00,102.51
3612.00,102.47
3611.00,102.44
3610.00,102.44
3609.00,102.45
3608.00,102.46
3607.00,102.45
3606.00,102.43
3605.00,102.39
3604.00,102.36
3603.00,102.34
3602.00,102.34
3601.00,102.34
3600.00,102.33
3599.00,102.30
3598.00,102.27
3597.00,102.25
3596.00,102.23
3595.00,102.23
3594.00,102.22
3593.00,102.22
3592.00,102.21
3591.00,102.22
3590.00,102.22
3589.00,102.21
3588.00,102.20
3587.00,102.19
3586.00,102.19
3585.00,102.19
3584.00,102.20
3583.00,102.20
3582.00,102.19
3581.00,102.16
3580.00,102.14
3579.00,102.12
3578.00,102.10
3577.00,102.10
3576.00,102.10
3575.00,102.10
3574.00,102.11
3573.00,102.11
3572.00,102.11
3571.00,102.10
3570.00,102.08
3569.00,102.06
3568.00,102.05
3567.00,102.03
3566.00,102.00
3565.00,101.98
3564.00,101.96
3563.00,101.95
3562.00,101.93
3561.00,101.92
3560.00,101.90
3559.00,101.90
3558.00,101.89
3557.00,101.88
3556.00,101.86
3555.00,101.83
3554.00,101.81
3553.00,101.79
3552.00,101.78
3551.00,101.78
3550.00,101.78
3549.00,101.78
3548.00,101.78
3547.00,101.79
3546.00,101.78
3545.00,101.75
3544.00,101.69
3543.00,101.64
3542.00,101.59
3541.00,101.58
3540.00,101.59
3539.00,101.62
3538.00,101.65
3537.00,101.65
3536.00,101.62
3535.00,101.57
3534.00,101.53
3533.00,101.50
3532.00,101.51
3531.00,101.53
3530.00,101.55
3529.00,101.55
3528.00,101.53
3527.00,101.50
3526.00,101.47
3525.00,101.44
3524.00,101.43
3523.00,101.43
3522.00,101.42
3521.00,101.41
3520.00,101.38
3519.00,101.36
3518.00,101.34
3517.00,101.34
3516.00,101.34
3515.00,101.34
