Created as New Dataset,17.3 Tussah wild blended with camel hair
cm-1,%T
4000.00,99.50
3999.00,99.52
3998.00,99.54
3997.00,99.56
3996.00,99.58
3995.00,99.60
3994.00,99.60
3993.00,99.60
3992.00,99.60
3991.00,99.61
3990.00,99.61
3989.00,99.62
3988.00,99.61
3987.00,99.60
3986.00,99.59
3985.00,99.59
3984.00,99.59
3983.00,99.59
3982.00,99.58
3981.00,99.57
3980.00,99.56
3979.00,99.56
3978.00,99.57
3977.00,99.58
3976.00,99.58
3975.00,99.57
3974.00,99.57
3973.00,99.57
3972.00,99.57
3971.00,99.57
3970.00,99.57
3969.00,99.58
3968.00,99.59
3967.00,99.60
3966.00,99.62
3965.00,99.64
3964.00,99.65
3963.00,99.64
3962.00,99.62
3961.00,99.60
3960.00,99.59
3959.00,99.57
3958.00,99.56
3957.00,99.55
3956.00,99.54
3955.00,99.53
3954.00,99.54
3953.00,99.54
3952.00,99.56
3951.00,99.58
3950.00,99.60
3949.00,99.63
3948.00,99.64
3947.00,99.64
3946.00,99.63
3945.00,99.60
3944.00,99.57
3943.00,99.54
3942.00,99.53
3941.00,99.54
3940.00,99.56
3939.00,99.57
3938.00,99.57
3937.00,99.56
3936.00,99.57
3935.00,99.59
3934.00,99.63
3933.00,99.66
3932.00,99.66
3931.00,99.63
3930.00,99.60
3929.00,99.58
3928.00,99.58
3927.00,99.58
3926.00,99.59
3925.00,99.58
3924.00,99.57
3923.00,99.55
3922.00,99.55
3921.00,99.55
3920.00,99.56
3919.00,99.57
3918.00,99.57
3917.00,99.56
3916.00,99.55
3915.00,99.55
3914.00,99.56
3913.00,99.57
3912.00,99.57
3911.00,99.57
3910.00,99.57
3909.00,99.56
3908.00,99.57
3907.00,99.58
3906.00,99.58
3905.00,99.59
3904.00,99.59
3903.00,99.61
3902.00,99.64
3901.00,99.65
3900.00,99.65
3899.00,99.63
3898.00,99.60
3897.00,99.59
3896.00,99.58
3895.00,99.59
3894.00,99.59
3893.00,99.60
3892.00,99.59
3891.00,99.59
3890.00,99.60
3889.00,99.62
3888.00,99.63
3887.00,99.62
3886.00,99.60
3885.00,99.59
3884.00,99.61
3883.00,99.63
3882.00,99.64
3881.00,99.64
3880.00,99.61
3879.00,99.60
3878.00,99.60
3877.00,99.61
3876.00,99.61
3875.00,99.61
3874.00,99.60
3873.00,99.62
3872.00,99.65
3871.00,99.66
3870.00,99.64
