Created as New Dataset,Puma stretch viscose (Pink)
cm-1,%T
4000.00,97.51
3999.00,97.50
3998.00,97.49
3997.00,97.48
3996.00,97.46
3995.00,97.44
3994.00,97.43
3993.00,97.43
3992.00,97.45
3991.00,97.48
3990.00,97.50
3989.00,97.51
3988.00,97.50
3987.00,97.49
3986.00,97.47
3985.00,97.46
3984.00,97.44
3983.00,97.43
3982.00,97.42
3981.00,97.41
3980.00,97.40
3979.00,97.39
3978.00,97.39
3977.00,97.39
3976.00,97.40
3975.00,97.42
3974.00,97.44
3973.00,97.45
3972.00,97.44
3971.00,97.43
3970.00,97.42
3969.00,97.41
3968.00,97.42
3967.00,97.42
3966.00,97.43
3965.00,97.43
3964.00,97.45
3963.00,97.47
3962.00,97.49
3961.00,97.50
3960.00,97.50
3959.00,97.50
3958.00,97.50
3957.00,97.52
3956.00,97.54
3955.00,97.54
3954.00,97.54
3953.00,97.52
3952.00,97.49
3951.00,97.47
3950.00,97.45
3949.00,97.45
3948.00,97.45
3947.00,97.45
3946.00,97.46
3945.00,97.46
3944.00,97.45
3943.00,97.45
3942.00,97.45
3941.00,97.46
3940.00,97.46
3939.00,97.46
3938.00,97.45
3937.00,97.44
3936.00,97.43
3935.00,97.42
3934.00,97.42
3933.00,97.42
3932.00,97.43
3931.00,97.44
3930.00,97.46
3929.00,97.47
3928.00,97.47
3927.00,97.46
3926.00,97.45
3925.00,97.45
3924.00,97.44
3923.00,97.44
3922.00,97.44
3921.00,97.45
3920.00,97.46
3919.00,97.47
3918.00,97.48
3917.00,97.48
3916.00,97.47
3915.00,97.47
3914.00,97.48
3913.00,97.49
3912.00,97.49
3911.00,97.48
3910.00,97.46
3909.00,97.44
3908.00,97.43
3907.00,97.44
3906.00,97.47
3905.00,97.50
3904.00,97.51
3903.00,97.49
3902.00,97.48
3901.00,97.50
3900.00,97.52
3899.00,97.53
3898.00,97.53
3897.00,97.52
3896.00,97.50
3895.00,97.49
3894.00,97.49
3893.00,97.50
3892.00,97.51
3891.00,97.52
3890.00,97.53
3889.00,97.54
3888.00,97.55
3887.00,97.54
3886.00,97.52
3885.00,97.50
3884.00,97.49
3883.00,97.51
3882.00,97.54
3881.00,97.55
3880.00,97.54
3879.00,97.51
3878.00,97.49
3877.00,97.48
3876.00,97.48
3875.00,97.47
3874.00,97.46
3873.00,97.46
3872.00,97.48
3871.00,97.51
3870.00,97.52
3869.00,97.52
3868.00,97.52
3867.00,97.53
3866.00,97.56
3865.00,97.56
3864.00,97.55
3863.00,97.52
3862.00,97.50
3861.00,97.49
3860.00,97.48
3859.00,97.47
3858.00,97.48
3857.00,97.50
3856.00,97.53
3855.00,97.54
3854.00,97.54
3853.00,97.53
3852.00,97.52
3851.00,97.54
3850.00,97.56
3849.00,97.57
3848.00,97.55
3847.00,97.53
3846.00,97.52
3845.00,97.51
3844.00,97.50
3843.00,97.48
3842.00,97.45
3841.00,97.44
3840.00,97.44
3839.00,97.45
3838.00,97.46
3837.00,97.47
3836.00,97.48
3835.00,97.49
3834.00,97.49
3833.00,97.49
3832.00,97.48
3831.00,97.48
3830.00,97.49
3829.00,97.50
3828.00,97.49
3827.00,97.46
3826.00,97.42
3825.00,97.40
3824.00,97.40
3823.00,97.42
3822.00,97.44
3821.00,97.44
3820.00,97.43
3819.00,97.43
3818.00,97.44
3817.00,97.45
3816.00,97.45
3815.00,97.45
3814.00,97.46
3813.00,97.48
3812.00,97.49
3811.00,97.49
3810.00,97.48
3809.00,97.48
3808.00,97.47
3807.00,97.46
3806.00,97.45
3805.00,97.45
3804.00,97.46
3803.00,97.44
3802.00,97.40
3801.00,97.36
3800.00,97.36
3799.00,97.40
3798.00,97.46
3797.00,97.50
3796.00,97.51
3795.00,97.50
3794.00,97.49
3793.00,97.48
3792.00,97.47
3791.00,97.45
3790.00,97.43
3789.00,97.42
3788.00,97.43
3787.00,97.44
3786.00,97.44
3785.00,97.43
3784.00,97.41
3783.00,97.39
3782.00,97.38
3781.00,97.38
3780.00,97.38
3779.00,97.37
3778.00,97.35
3777.00,97.34
3776.00,97.35
3775.00,97.36
3774.00,97.37
3773.00,97.37
3772.00,97.36
3771.00,97.35
3770.00,97.34
3769.00,97.34
3768.00,97.34
3767.00,97.35
3766.00,97.35
3765.00,97.34
3764.00,97.33
3763.00,97.32
3762.00,97.32
3761.00,97.34
3760.00,97.36
3759.00,97.38
3758.00,97.38
3757.00,97.37
3756.00,97.36
3755.00,97.37
3754.00,97.38
3753.00,97.39
3752.00,97.40
3751.00,97.40
3750.00,97.38
3749.00,97.37
3748.00,97.36
3747.00,97.36
3746.00,97.36
3745.00,97.37
3744.00,97.40
3743.00,97.44
3742.00,97.48
3741.00,97.50
3740.00,97.46
3739.00,97.39
3738.00,97.34
3737.00,97.31
3736.00,97.32
3735.00,97.34
3734.00,97.37
3733.00,97.39
3732.00,97.39
3731.00,97.38
3730.00,97.36
3729.00,97.33
3728.00,97.30
3727.00,97.27
3726.00,97.25
3725.00,97.25
3724.00,97.27
3723.00,97.29
3722.00,97.29
3721.00,97.28
3720.00,97.27
3719.00,97.27
3718.00,97.28
3717.00,97.29
3716.00,97.29
3715.00,97.29
3714.00,97.28
3713.00,97.27
3712.00,97.27
3711.00,97.27
3710.00,97.27
3709.00,97.25
3708.00,97.23
3707.00,97.21
3706.00,97.19
3705.00,97.18
3704.00,97.18
3703.00,97.18
3702.00,97.18
3701.00,97.19
3700.00,97.20
3699.00,97.21
3698.00,97.22
3697.00,97.21
3696.00,97.20
3695.00,97.19
3694.00,97.19
3693.00,97.19
3692.00,97.19
3691.00,97.19
3690.00,97.20
3689.00,97.20
3688.00,97.22
3687.00,97.25
3686.00,97.27
3685.00,97.28
3684.00,97.25
3683.00,97.22
3682.00,97.18
3681.00,97.17
3680.00,97.17
3679.00,97.18
3678.00,97.19
3677.00,97.19
3676.00,97.18
3675.00,97.17
3674.00,97.16
3673.00,97.19
3672.00,97.22
3671.00,97.23
3670.00,97.20
3669.00,97.16
3668.00,97.14
3667.00,97.15
3666.00,97.17
3665.00,97.17
3664.00,97.16
3663.00,97.15
3662.00,97.14
3661.00,97.12
3660.00,97.11
3659.00,97.09
3658.00,97.08
3657.00,97.09
3656.00,97.09
3655.00,97.09
3654.00,97.09
3653.00,97.08
3652.00,97.07
3651.00,97.07
3650.00,97.06
3649.00,97.06
3648.00,97.03
3647.00,97.01
3646.00,96.99
3645.00,97.00
3644.00,97.01
3643.00,97.02
3642.00,97.02
3641.00,96.99
3640.00,96.97
3639.00,96.95
3638.00,96.94
3637.00,96.92
3636.00,96.91
3635.00,96.88
3634.00,96.86
3633.00,96.85
3632.00,96.87
3631.00,96.91
3630.00,96.93
3629.00,96.92
3628.00,96.88
3627.00,96.85
3626.00,96.85
3625.00,96.86
3624.00,96.86
3623.00,96.84
3622.00,96.82
3621.00,96.78
3620.00,96.74
3619.00,96.69
3618.00,96.64
3617.00,96.62
3616.00,96.62
3615.00,96.63
3614.00,96.64
3613.00,96.63
3612.00,96.61
3611.00,96.61
3610.00,96.61
3609.00,96.60
3608.00,96.58
3607.00,96.54
3606.00,96.51
3605.00,96.50
3604.00,96.48
3603.00,96.46
3602.00,96.42
3601.00,96.39
3600.00,96.36
3599.00,96.36
3598.00,96.36
