Created as New Dataset,13.4 Red Wool Shetland sheep
cm-1,%T
4000.00,98.39
3999.00,98.39
3998.00,98.39
3997.00,98.40
3996.00,98.40
3995.00,98.40
3994.00,98.39
3993.00,98.38
3992.00,98.36
3991.00,98.36
3990.00,98.36
3989.00,98.38
3988.00,98.41
3987.00,98.42
3986.00,98.42
3985.00,98.42
3984.00,98.41
3983.00,98.41
3982.00,98.42
3981.00,98.43
3980.00,98.44
3979.00,98.44
3978.00,98.44
3977.00,98.43
3976.00,98.43
3975.00,98.42
3974.00,98.41
3973.00,98.41
3972.00,98.41
3971.00,98.41
3970.00,98.41
3969.00,98.41
3968.00,98.41
3967.00,98.41
3966.00,98.41
3965.00,98.41
3964.00,98.40
3963.00,98.40
3962.00,98.40
3961.00,98.42
3960.00,98.43
3959.00,98.44
3958.00,98.44
3957.00,98.43
3956.00,98.41
3955.00,98.39
3954.00,98.36
3953.00,98.35
3952.00,98.35
3951.00,98.38
3950.00,98.40
3949.00,98.41
3948.00,98.41
3947.00,98.39
3946.00,98.37
3945.00,98.36
3944.00,98.37
3943.00,98.39
3942.00,98.42
3941.00,98.45
3940.00,98.47
3939.00,98.49
3938.00,98.48
3937.00,98.46
3936.00,98.43
3935.00,98.40
3934.00,98.38
3933.00,98.36
3932.00,98.35
3931.00,98.35
3930.00,98.35
3929.00,98.35
3928.00,98.36
3927.00,98.37
3926.00,98.38
3925.00,98.40
3924.00,98.41
3923.00,98.41
3922.00,98.41
3921.00,98.41
3920.00,98.40
3919.00,98.40
3918.00,98.40
3917.00,98.40
3916.00,98.39
3915.00,98.39
3914.00,98.39
3913.00,98.40
3912.00,98.42
3911.00,98.43
3910.00,98.44
3909.00,98.43
3908.00,98.41
3907.00,98.40
3906.00,98.39
3905.00,98.39
3904.00,98.38
3903.00,98.37
3902.00,98.36
3901.00,98.36
3900.00,98.36
3899.00,98.37
3898.00,98.37
3897.00,98.37
3896.00,98.37
3895.00,98.38
3894.00,98.38
3893.00,98.40
3892.00,98.41
3891.00,98.41
3890.00,98.40
3889.00,98.38
3888.00,98.37
3887.00,98.38
3886.00,98.39
3885.00,98.40
3884.00,98.38
3883.00,98.36
3882.00,98.36
3881.00,98.38
3880.00,98.39
3879.00,98.39
3878.00,98.38
3877.00,98.37
3876.00,98.37
3875.00,98.38
3874.00,98.37
3873.00,98.35
3872.00,98.35
3871.00,98.38
3870.00,98.42
3869.00,98.44
3868.00,98.43
3867.00,98.41
3866.00,98.41
3865.00,98.43
3864.00,98.46
3863.00,98.46
3862.00,98.45
3861.00,98.43
3860.00,98.39
3859.00,98.36
3858.00,98.34
3857.00,98.33
3856.00,98.34
3855.00,98.37
3854.00,98.40
3853.00,98.38
3852.00,98.35
3851.00,98.33
3850.00,98.33
3849.00,98.36
3848.00,98.38
3847.00,98.38
3846.00,98.38
3845.00,98.37
3844.00,98.35
3843.00,98.34
3842.00,98.33
3841.00,98.32
3840.00,98.33
3839.00,98.35
3838.00,98.35
3837.00,98.35
3836.00,98.34
3835.00,98.35
3834.00,98.35
3833.00,98.36
3832.00,98.36
3831.00,98.36
3830.00,98.35
3829.00,98.35
3828.00,98.36
3827.00,98.36
3826.00,98.36
3825.00,98.34
3824.00,98.31
3823.00,98.31
3822.00,98.32
3821.00,98.33
3820.00,98.33
3819.00,98.32
3818.00,98.33
3817.00,98.36
3816.00,98.39
3815.00,98.40
3814.00,98.39
3813.00,98.40
3812.00,98.41
3811.00,98.43
3810.00,98.42
3809.00,98.40
3808.00,98.37
3807.00,98.35
3806.00,98.34
3805.00,98.33
3804.00,98.34
3803.00,98.36
3802.00,98.37
3801.00,98.36
3800.00,98.32
3799.00,98.27
3798.00,98.25
3797.00,98.27
3796.00,98.31
3795.00,98.34
3794.00,98.37
3793.00,98.39
3792.00,98.41
3791.00,98.42
3790.00,98.42
3789.00,98.40
3788.00,98.39
3787.00,98.38
3786.00,98.38
3785.00,98.40
3784.00,98.43
3783.00,98.45
3782.00,98.45
3781.00,98.44
3780.00,98.43
3779.00,98.40
3778.00,98.37
3777.00,98.34
3776.00,98.34
3775.00,98.36
3774.00,98.37
3773.00,98.38
3772.00,98.38
3771.00,98.36
3770.00,98.35
3769.00,98.32
3768.00,98.30
3767.00,98.28
3766.00,98.28
3765.00,98.29
3764.00,98.28
3763.00,98.28
3762.00,98.28
3761.00,98.29
3760.00,98.30
3759.00,98.30
3758.00,98.30
3757.00,98.30
3756.00,98.30
3755.00,98.29
3754.00,98.29
3753.00,98.28
3752.00,98.26
3751.00,98.25
3750.00,98.25
3749.00,98.24
3748.00,98.22
3747.00,98.19
3746.00,98.19
3745.00,98.20
3744.00,98.19
3743.00,98.17
3742.00,98.15
3741.00,98.16
3740.00,98.17
3739.00,98.17
3738.00,98.15
3737.00,98.12
3736.00,98.10
3735.00,98.09
3734.00,98.08
3733.00,98.09
3732.00,98.11
3731.00,98.12
3730.00,98.12
3729.00,98.13
3728.00,98.16
3727.00,98.19
3726.00,98.20
3725.00,98.20
3724.00,98.19
3723.00,98.18
3722.00,98.19
3721.00,98.19
3720.00,98.20
3719.00,98.21
3718.00,98.22
3717.00,98.21
3716.00,98.18
3715.00,98.13
3714.00,98.11
3713.00,98.10
3712.00,98.12
3711.00,98.13
3710.00,98.12
3709.00,98.12
3708.00,98.14
3707.00,98.17
3706.00,98.19
3705.00,98.19
3704.00,98.18
3703.00,98.15
3702.00,98.13
3701.00,98.11
3700.00,98.10
3699.00,98.09
3698.00,98.09
3697.00,98.08
3696.00,98.09
3695.00,98.11
3694.00,98.13
3693.00,98.13
3692.00,98.11
3691.00,98.06
3690.00,98.00
3689.00,97.96
3688.00,97.96
3687.00,97.98
3686.00,98.01
3685.00,98.04
3684.00,98.06
3683.00,98.07
3682.00,98.06
3681.00,98.05
3680.00,98.04
3679.00,98.03
3678.00,98.01
3677.00,97.98
3676.00,97.92
3675.00,97.85
3674.00,97.79
3673.00,97.74
3672.00,97.73
3671.00,97.73
3670.00,97.73
3669.00,97.72
3668.00,97.70
3667.00,97.69
3666.00,97.70
3665.00,97.71
3664.00,97.72
3663.00,97.72
3662.00,97.72
3661.00,97.72
3660.00,97.70
3659.00,97.67
3658.00,97.63
3657.00,97.61
3656.00,97.60
3655.00,97.60
3654.00,97.60
3653.00,97.58
3652.00,97.54
3651.00,97.47
3650.00,97.40
3649.00,97.33
3648.00,97.28
3647.00,97.25
3646.00,97.24
3645.00,97.23
3644.00,97.23
3643.00,97.22
3642.00,97.21
3641.00,97.20
3640.00,97.19
3639.00,97.18
3638.00,97.17
3637.00,97.15
3636.00,97.12
3635.00,97.08
3634.00,97.04
3633.00,96.99
3632.00,96.93
3631.00,96.88
3630.00,96.86
3629.00,96.84
3628.00,96.82
3627.00,96.79
3626.00,96.77
3625.00,96.75
3624.00,96.73
3623.00,96.72
3622.00,96.70
3621.00,96.68
3620.00,96.65
3619.00,96.60
3618.00,96.56
3617.00,96.53
3616.00,96.51
3615.00,96.48
3614.00,96.44
3613.00,96.38
3612.00,96.31
3611.00,96.25
3610.00,96.24
3609.00,96.25
3608.00,96.27
3607.00,96.27
3606.00,96.26
3605.00,96.23
3604.00,96.20
3603.00,96.17
3602.00,96.13
3601.00,96.10
3600.00,96.08
3599.00,96.05
3598.00,96.02
3597.00,95.99
3596.00,95.95
3595.00,95.91
3594.00,95.86
3593.00,95.81
3592.00,95.78
3591.00,95.76
3590.00,95.73
3589.00,95.70
3588.00,95.67
3587.00,95.63
3586.00,95.60
3585.00,95.57
3584.00,95.55
3583.00,95.53
3582.00,95.51
3581.00,95.51
3580.00,95.49
3579.00,95.47
3578.00,95.44
3577.00,95.41
3576.00,95.37
3575.00,95.33
3574.00,95.30
3573.00,95.27
3572.00,95.24
3571.00,95.19
3570.00,95.13
3569.00,95.06
3568.00,94.99
3567.00,94.92
3566.00,94.86
3565.00,94.81
3564.00,94.79
3563.00,94.79
3562.00,94.81
3561.00,94.83
3560.00,94.84
3559.00,94.81
3558.00,94.76
3557.00,94.70
3556.00,94.64
3555.00,94.59
3554.00,94.57
3553.00,94.56
3552.00,94.55
3551.00,94.51
3550.00,94.47
3549.00,94.42
3548.00,94.38
3547.00,94.36
3546.00,94.34
3545.00,94.32
3544.00,94.29
3543.00,94.25
3542.00,94.22
3541.00,94.19
3540.00,94.17
3539.00,94.14
3538.00,94.11
3537.00,94.07
3536.00,94.02
3535.00,93.96
3534.00,93.90
3533.00,93.85
3532.00,93.81
3531.00,93.77
3530.00,93.75
3529.00,93.73
3528.00,93.70
3527.00,93.66
3526.00,93.62
3525.00,93.59
3524.00,93.58
3523.00,93.57
3522.00,93.56
3521.00,93.54
3520.00,93.51
3519.00,93.48
3518.00,93.45
3517.00,93.41
3516.00,93.38
3515.00,93.36
3514.00,93.34
3513.00,93.30
3512.00,93.26
3511.00,93.22
3510.00,93.18
3509.00,93.14
3508.00,93.12
3507.00,93.11
3506.00,93.10
3505.00,93.08
3504.00,93.05
3503.00,93.01
3502.00,92.98
3501.00,92.96
3500.00,92.95
3499.00,92.92
3498.00,92.86
3497.00,92.80
3496.00,92.74
3495.00,92.71
3494.00,92.71
3493.00,92.71
3492.00,92.71
3491.00,92.70
3490.00,92.67
3489.00,92.64
3488.00,92.61
3487.00,92.59
3486.00,92.56
3485.00,92.54
3484.00,92.51
3483.00,92.48
3482.00,92.45
3481.00,92.43
3480.00,92.40
3479.00,92.37
3478.00,92.34
3477.00,92.30
3476.00,92.26
3475.00,92.23
3474.00,92.21
3473.00,92.19
3472.00,92.17
3471.00,92.15
3470.00,92.11
3469.00,92.08
3468.00,92.05
3467.00,92.02
3466.00,91.99
3465.00,91.96
3464.00,91.94
3463.00,91.92
3462.00,91.89
3461.00,91.85
3460.00,91.81
3459.00,91.77
3458.00,91.73
3457.00,91.71
3456.00,91.69
3455.00,91.68
3454.00,91.67
3453.00,91.66
3452.00,91.65
3451.00,91.63
3450.00,91.62
3449.00,91.60
3448.00,91.58
3447.00,91.55
3446.00,91.51
3445.00,91.48
3444.00,91.45
3443.00,91.43
3442.00,91.43
3441.00,91.42
3440.00,91.41
3439.00,91.39
3438.00,91.37
3437.00,91.33
3436.00,91.28
3435.00,91.24
3434.00,91.21
3433.00,91.18
3432.00,91.15
3431.00,91.11
3430.00,91.07
3429.00,91.04
3428.00,91.01
3427.00,91.00
3426.00,90.97
3425.00,90.94
3424.00,90.89
3423.00,90.86
3422.00,90.83
3421.00,90.80
3420.00,90.79
3419.00,90.77
3418.00,90.74
3417.00,90.71
3416.00,90.68
3415.00,90.65
3414.00,90.61
3413.00,90.59
3412.00,90.58
3411.00,90.57
3410.00,90.55
3409.00,90.52
3408.00,90.50
3407.00,90.48
3406.00,90.45
3405.00,90.43
3404.00,90.39
3403.00,90.37
3402.00,90.34
3401.00,90.32
3400.00,90.29
3399.00,90.24
3398.00,90.18
3397.00,90.13
3396.00,90.09
3395.00,90.08
3394.00,90.07
3393.00,90.06
3392.00,90.04
3391.00,90.01
3390.00,89.97
3389.00,89.95
