Created as New Dataset,14.1 Red Wool Suffolk sheep
cm-1,%T
4000.00,101.04
3999.00,101.03
3998.00,101.02
3997.00,101.01
3996.00,101.00
3995.00,101.01
3994.00,101.01
3993.00,101.02
3992.00,101.01
3991.00,101.00
3990.00,101.01
3989.00,101.02
3988.00,101.04
3987.00,101.05
3986.00,101.05
3985.00,101.04
3984.00,101.03
3983.00,101.03
3982.00,101.02
3981.00,101.02
3980.00,101.02
3979.00,101.00
3978.00,100.98
3977.00,100.97
3976.00,100.96
3975.00,100.96
3974.00,100.97
3973.00,100.98
3972.00,100.98
3971.00,100.99
3970.00,100.99
3969.00,101.00
3968.00,101.01
3967.00,101.01
3966.00,100.99
3965.00,100.98
3964.00,100.98
3963.00,100.98
3962.00,100.99
3961.00,101.00
3960.00,101.01
3959.00,101.00
3958.00,101.00
3957.00,101.00
3956.00,100.99
3955.00,100.99
3954.00,101.00
3953.00,101.00
3952.00,101.01
3951.00,101.00
3950.00,100.99
3949.00,100.98
3948.00,100.97
3947.00,100.97
3946.00,100.95
3945.00,100.95
3944.00,100.95
3943.00,100.97
3942.00,100.98
3941.00,100.98
3940.00,100.97
3939.00,100.97
3938.00,100.97
3937.00,100.98
3936.00,100.99
3935.00,100.98
3934.00,100.98
3933.00,100.98
3932.00,100.97
3931.00,100.95
3930.00,100.93
3929.00,100.90
3928.00,100.87
3927.00,100.87
3926.00,100.87
3925.00,100.89
3924.00,100.90
3923.00,100.89
3922.00,100.89
3921.00,100.88
3920.00,100.88
3919.00,100.87
3918.00,100.88
3917.00,100.91
3916.00,100.95
3915.00,100.99
3914.00,101.01
3913.00,101.01
3912.00,101.00
3911.00,100.98
3910.00,100.96
3909.00,100.93
3908.00,100.91
3907.00,100.89
3906.00,100.89
3905.00,100.90
3904.00,100.89
3903.00,100.86
3902.00,100.82
3901.00,100.81
3900.00,100.84
3899.00,100.87
3898.00,100.88
3897.00,100.88
3896.00,100.88
3895.00,100.89
3894.00,100.90
3893.00,100.93
3892.00,100.97
3891.00,100.99
3890.00,100.98
3889.00,100.93
3888.00,100.87
3887.00,100.86
3886.00,100.89
3885.00,100.90
3884.00,100.87
3883.00,100.83
3882.00,100.81
3881.00,100.84
3880.00,100.87
3879.00,100.87
3878.00,100.85
3877.00,100.83
3876.00,100.85
3875.00,100.90
3874.00,100.93
3873.00,100.91
3872.00,100.87
3871.00,100.85
3870.00,100.87
3869.00,100.85
3868.00,100.79
3867.00,100.73
3866.00,100.73
3865.00,100.77
3864.00,100.80
3863.00,100.81
3862.00,100.82
3861.00,100.85
3860.00,100.89
3859.00,100.94
3858.00,100.98
3857.00,100.98
3856.00,100.95
3855.00,100.95
3854.00,100.96
3853.00,100.95
3852.00,100.92
3851.00,100.90
3850.00,100.89
3849.00,100.89
3848.00,100.89
3847.00,100.87
3846.00,100.86
3845.00,100.86
3844.00,100.87
3843.00,100.87
3842.00,100.86
3841.00,100.84
3840.00,100.83
3839.00,100.84
3838.00,100.84
3837.00,100.84
3836.00,100.82
3835.00,100.80
3834.00,100.79
3833.00,100.81
3832.00,100.84
3831.00,100.86
3830.00,100.86
3829.00,100.84
3828.00,100.85
3827.00,100.89
3826.00,100.92
3825.00,100.91
3824.00,100.86
3823.00,100.83
3822.00,100.85
3821.00,100.87
3820.00,100.85
3819.00,100.80
3818.00,100.76
3817.00,100.80
3816.00,100.86
3815.00,100.88
3814.00,100.86
3813.00,100.84
3812.00,100.85
3811.00,100.87
3810.00,100.88
3809.00,100.88
3808.00,100.90
3807.00,100.93
3806.00,100.92
3805.00,100.85
3804.00,100.78
3803.00,100.77
3802.00,100.83
3801.00,100.88
3800.00,100.87
3799.00,100.83
3798.00,100.81
3797.00,100.82
3796.00,100.83
3795.00,100.83
3794.00,100.83
3793.00,100.84
3792.00,100.86
3791.00,100.86
3790.00,100.85
3789.00,100.84
3788.00,100.82
3787.00,100.82
3786.00,100.83
3785.00,100.84
3784.00,100.84
3783.00,100.82
3782.00,100.81
3781.00,100.81
3780.00,100.82
3779.00,100.82
3778.00,100.82
3777.00,100.82
3776.00,100.85
3775.00,100.88
3774.00,100.89
3773.00,100.86
3772.00,100.83
3771.00,100.82
3770.00,100.83
3769.00,100.83
3768.00,100.81
3767.00,100.79
3766.00,100.80
3765.00,100.81
3764.00,100.79
3763.00,100.75
3762.00,100.73
3761.00,100.74
3760.00,100.77
3759.00,100.80
3758.00,100.83
3757.00,100.84
3756.00,100.83
3755.00,100.81
3754.00,100.79
3753.00,100.79
3752.00,100.79
3751.00,100.76
3750.00,100.72
3749.00,100.67
3748.00,100.60
3747.00,100.54
3746.00,100.55
3745.00,100.67
3744.00,100.78
3743.00,100.80
3742.00,100.77
3741.00,100.75
3740.00,100.76
3739.00,100.75
3738.00,100.74
3737.00,100.72
3736.00,100.71
3735.00,100.69
3734.00,100.66
3733.00,100.65
3732.00,100.66
3731.00,100.67
3730.00,100.67
3729.00,100.67
3728.00,100.68
3727.00,100.70
3726.00,100.70
3725.00,100.67
3724.00,100.65
3723.00,100.66
3722.00,100.66
3721.00,100.66
3720.00,100.64
3719.00,100.63
3718.00,100.65
3717.00,100.68
3716.00,100.71
3715.00,100.74
3714.00,100.77
3713.00,100.78
3712.00,100.75
3711.00,100.69
3710.00,100.64
3709.00,100.63
3708.00,100.64
3707.00,100.66
3706.00,100.65
3705.00,100.63
3704.00,100.60
3703.00,100.58
3702.00,100.57
3701.00,100.55
