Created as New Dataset,14.2 Red Wool Targhee sheep
cm-1,%T
4000.00,99.56
3999.00,99.57
3998.00,99.58
3997.00,99.58
3996.00,99.57
3995.00,99.55
3994.00,99.54
3993.00,99.55
3992.00,99.56
3991.00,99.58
3990.00,99.59
3989.00,99.61
3988.00,99.61
3987.00,99.62
3986.00,99.63
3985.00,99.64
3984.00,99.63
3983.00,99.62
3982.00,99.59
3981.00,99.57
3980.00,99.55
3979.00,99.55
3978.00,99.56
3977.00,99.58
3976.00,99.60
3975.00,99.61
3974.00,99.61
3973.00,99.61
3972.00,99.60
3971.00,99.58
3970.00,99.56
3969.00,99.55
3968.00,99.54
3967.00,99.55
3966.00,99.57
3965.00,99.61
3964.00,99.65
3963.00,99.68
3962.00,99.69
3961.00,99.68
3960.00,99.65
3959.00,99.61
3958.00,99.58
3957.00,99.57
3956.00,99.57
3955.00,99.59
3954.00,99.61
3953.00,99.62
3952.00,99.60
3951.00,99.57
3950.00,99.55
3949.00,99.55
3948.00,99.55
3947.00,99.56
3946.00,99.57
3945.00,99.57
3944.00,99.58
3943.00,99.59
3942.00,99.61
3941.00,99.62
3940.00,99.62
3939.00,99.63
3938.00,99.62
3937.00,99.62
3936.00,99.60
3935.00,99.59
3934.00,99.58
3933.00,99.58
3932.00,99.57
3931.00,99.57
3930.00,99.57
3929.00,99.57
3928.00,99.58
3927.00,99.59
3926.00,99.61
3925.00,99.61
3924.00,99.60
3923.00,99.59
3922.00,99.57
3921.00,99.57
3920.00,99.57
3919.00,99.58
3918.00,99.57
3917.00,99.57
3916.00,99.56
3915.00,99.57
3914.00,99.59
3913.00,99.61
3912.00,99.64
3911.00,99.65
3910.00,99.64
3909.00,99.61
3908.00,99.58
3907.00,99.55
3906.00,99.52
3905.00,99.51
3904.00,99.50
3903.00,99.49
3902.00,99.48
3901.00,99.48
3900.00,99.50
3899.00,99.53
3898.00,99.55
3897.00,99.56
3896.00,99.56
3895.00,99.54
3894.00,99.52
3893.00,99.51
3892.00,99.51
3891.00,99.51
3890.00,99.50
3889.00,99.47
3888.00,99.45
3887.00,99.44
3886.00,99.46
3885.00,99.47
3884.00,99.46
3883.00,99.44
3882.00,99.44
3881.00,99.47
3880.00,99.50
3879.00,99.51
3878.00,99.51
3877.00,99.50
3876.00,99.49
3875.00,99.48
3874.00,99.47
3873.00,99.44
3872.00,99.43
3871.00,99.46
3870.00,99.52
3869.00,99.55
3868.00,99.53
3867.00,99.51
3866.00,99.51
3865.00,99.53
3864.00,99.55
3863.00,99.55
3862.00,99.54
3861.00,99.53
3860.00,99.53
3859.00,99.52
3858.00,99.52
3857.00,99.50
3856.00,99.49
3855.00,99.52
3854.00,99.55
3853.00,99.55
3852.00,99.52
3851.00,99.49
3850.00,99.47
3849.00,99.48
3848.00,99.49
3847.00,99.51
3846.00,99.52
3845.00,99.52
3844.00,99.51
3843.00,99.49
3842.00,99.47
3841.00,99.44
3840.00,99.42
3839.00,99.41
3838.00,99.40
3837.00,99.41
3836.00,99.41
3835.00,99.43
3834.00,99.44
3833.00,99.46
3832.00,99.49
3831.00,99.50
3830.00,99.51
3829.00,99.50
3828.00,99.49
3827.00,99.49
3826.00,99.49
3825.00,99.45
3824.00,99.40
3823.00,99.38
3822.00,99.39
3821.00,99.44
3820.00,99.47
