Created as New Dataset,14.3 Red Wool sheep crepe
cm-1,%T
4000.00,97.51
3999.00,97.53
3998.00,97.55
3997.00,97.56
3996.00,97.56
3995.00,97.54
3994.00,97.54
3993.00,97.54
3992.00,97.55
3991.00,97.57
3990.00,97.57
3989.00,97.55
3988.00,97.53
3987.00,97.52
3986.00,97.52
3985.00,97.53
3984.00,97.53
3983.00,97.51
3982.00,97.49
3981.00,97.47
3980.00,97.47
3979.00,97.47
3978.00,97.48
3977.00,97.50
3976.00,97.50
3975.00,97.51
3974.00,97.52
3973.00,97.53
3972.00,97.52
3971.00,97.51
3970.00,97.50
3969.00,97.48
3968.00,97.48
3967.00,97.49
3966.00,97.50
3965.00,97.52
3964.00,97.54
3963.00,97.55
3962.00,97.55
3961.00,97.54
3960.00,97.53
3959.00,97.53
3958.00,97.52
3957.00,97.52
3956.00,97.52
3955.00,97.53
3954.00,97.53
3953.00,97.53
3952.00,97.52
3951.00,97.51
3950.00,97.49
3949.00,97.49
3948.00,97.50
3947.00,97.51
3946.00,97.51
3945.00,97.51
3944.00,97.51
3943.00,97.52
3942.00,97.52
3941.00,97.51
3940.00,97.51
3939.00,97.50
3938.00,97.50
3937.00,97.50
3936.00,97.49
3935.00,97.48
3934.00,97.48
3933.00,97.48
3932.00,97.47
3931.00,97.46
3930.00,97.45
3929.00,97.45
3928.00,97.45
3927.00,97.46
3926.00,97.47
3925.00,97.48
3924.00,97.47
3923.00,97.45
3922.00,97.44
3921.00,97.45
3920.00,97.47
3919.00,97.49
3918.00,97.50
3917.00,97.49
3916.00,97.47
3915.00,97.46
3914.00,97.47
3913.00,97.50
3912.00,97.54
3911.00,97.57
3910.00,97.58
3909.00,97.56
3908.00,97.53
3907.00,97.49
3906.00,97.45
3905.00,97.43
3904.00,97.40
3903.00,97.37
3902.00,97.33
3901.00,97.33
3900.00,97.35
3899.00,97.38
3898.00,97.40
3897.00,97.42
3896.00,97.42
3895.00,97.41
3894.00,97.40
3893.00,97.41
3892.00,97.42
3891.00,97.43
3890.00,97.43
3889.00,97.40
3888.00,97.38
3887.00,97.39
3886.00,97.41
3885.00,97.41
3884.00,97.39
3883.00,97.37
3882.00,97.37
3881.00,97.40
3880.00,97.42
3879.00,97.42
3878.00,97.40
3877.00,97.38
3876.00,97.38
3875.00,97.40
3874.00,97.39
3873.00,97.36
3872.00,97.34
3871.00,97.35
3870.00,97.38
3869.00,97.39
3868.00,97.37
3867.00,97.36
3866.00,97.38
3865.00,97.42
3864.00,97.43
3863.00,97.42
3862.00,97.41
3861.00,97.41
3860.00,97.42
3859.00,97.42
3858.00,97.41
3857.00,97.37
3856.00,97.32
3855.00,97.31
3854.00,97.31
3853.00,97.31
3852.00,97.29
3851.00,97.29
3850.00,97.31
3849.00,97.34
3848.00,97.37
3847.00,97.39
3846.00,97.41
3845.00,97.42
3844.00,97.40
3843.00,97.36
3842.00,97.31
3841.00,97.26
3840.00,97.26
3839.00,97.29
3838.00,97.31
3837.00,97.33
3836.00,97.33
3835.00,97.32
3834.00,97.33
3833.00,97.35
3832.00,97.37
3831.00,97.37
3830.00,97.37
3829.00,97.37
3828.00,97.37
3827.00,97.38
3826.00,97.38
3825.00,97.35
3824.00,97.30
3823.00,97.29
3822.00,97.33
3821.00,97.37
3820.00,97.38
3819.00,97.36
3818.00,97.34
3817.00,97.36
3816.00,97.39
3815.00,97.40
3814.00,97.38
3813.00,97.38
3812.00,97.39
3811.00,97.40
3810.00,97.40
3809.00,97.41
3808.00,97.42
3807.00,97.43
3806.00,97.40
3805.00,97.34
3804.00,97.28
3803.00,97.27
3802.00,97.30
3801.00,97.31
3800.00,97.29
3799.00,97.28
3798.00,97.30
3797.00,97.34
3796.00,97.37
3795.00,97.37
3794.00,97.35
3793.00,97.34
3792.00,97.35
3791.00,97.37
3790.00,97.39
3789.00,97.39
3788.00,97.39
3787.00,97.37
3786.00,97.37
3785.00,97.37
3784.00,97.37
3783.00,97.36
3782.00,97.35
3781.00,97.34
3780.00,97.34
3779.00,97.35
3778.00,97.36
3777.00,97.37
3776.00,97.38
3775.00,97.39
3774.00,97.38
3773.00,97.35
3772.00,97.34
3771.00,97.34
3770.00,97.33
3769.00,97.31
3768.00,97.28
3767.00,97.28
3766.00,97.29
3765.00,97.32
3764.00,97.32
3763.00,97.31
3762.00,97.31
3761.00,97.33
3760.00,97.35
3759.00,97.35
3758.00,97.33
3757.00,97.29
3756.00,97.25
3755.00,97.21
3754.00,97.18
3753.00,97.18
3752.00,97.17
3751.00,97.17
3750.00,97.16
3749.00,97.16
3748.00,97.16
3747.00,97.15
3746.00,97.17
3745.00,97.20
3744.00,97.19
3743.00,97.15
3742.00,97.13
3741.00,97.15
3740.00,97.18
3739.00,97.20
3738.00,97.19
3737.00,97.18
3736.00,97.17
3735.00,97.16
3734.00,97.16
3733.00,97.19
3732.00,97.22
3731.00,97.25
3730.00,97.25
3729.00,97.24
3728.00,97.23
3727.00,97.24
3726.00,97.24
3725.00,97.22
3724.00,97.21
3723.00,97.21
3722.00,97.22
3721.00,97.22
3720.00,97.22
3719.00,97.22
3718.00,97.22
3717.00,97.22
3716.00,97.22
3715.00,97.21
3714.00,97.20
3713.00,97.19
3712.00,97.15
3711.00,97.11
3710.00,97.09
3709.00,97.09
3708.00,97.11
3707.00,97.14
3706.00,97.16
3705.00,97.19
3704.00,97.20
3703.00,97.21
3702.00,97.19
3701.00,97.16
3700.00,97.13
3699.00,97.11
3698.00,97.12
3697.00,97.14
3696.00,97.14
3695.00,97.13
3694.00,97.10
3693.00,97.08
3692.00,97.06
3691.00,97.06
3690.00,97.06
3689.00,97.06
3688.00,97.04
3687.00,97.04
3686.00,97.04
3685.00,97.06
3684.00,97.09
3683.00,97.10
3682.00,97.10
3681.00,97.08
3680.00,97.04
3679.00,96.98
3678.00,96.92
3677.00,96.89
3676.00,96.88
3675.00,96.86
3674.00,96.80
3673.00,96.75
3672.00,96.73
3671.00,96.78
3670.00,96.84
3669.00,96.88
3668.00,96.88
3667.00,96.87
3666.00,96.85
3665.00,96.83
3664.00,96.82
3663.00,96.82
3662.00,96.82
3661.00,96.82
3660.00,96.80
3659.00,96.77
3658.00,96.74
3657.00,96.71
3656.00,96.67
3655.00,96.61
3654.00,96.55
3653.00,96.48
3652.00,96.43
3651.00,96.40
3650.00,96.35
3649.00,96.30
3648.00,96.26
3647.00,96.26
3646.00,96.27
3645.00,96.30
3644.00,96.33
3643.00,96.35
3642.00,96.38
3641.00,96.38
3640.00,96.39
3639.00,96.38
3638.00,96.37
3637.00,96.34
3636.00,96.28
3635.00,96.22
3634.00,96.16
3633.00,96.10
3632.00,96.03
3631.00,95.98
3630.00,95.93
3629.00,95.89
3628.00,95.85
3627.00,95.83
3626.00,95.83
3625.00,95.85
3624.00,95.86
3623.00,95.84
3622.00,95.78
3621.00,95.72
3620.00,95.67
3619.00,95.63
3618.00,95.61
3617.00,95.59
3616.00,95.57
3615.00,95.54
3614.00,95.50
3613.00,95.47
3612.00,95.45
3611.00,95.45
3610.00,95.46
3609.00,95.47
3608.00,95.45
3607.00,95.41
3606.00,95.35
3605.00,95.29
3604.00,95.24
3603.00,95.20
3602.00,95.18
3601.00,95.16
3600.00,95.13
3599.00,95.10
3598.00,95.06
