Created as New Dataset,14.4 Red Wool Sheep felt handmade
cm-1,%T
4000.00,97.20
3999.00,97.22
3998.00,97.23
3997.00,97.24
3996.00,97.24
3995.00,97.24
3994.00,97.25
3993.00,97.26
3992.00,97.27
3991.00,97.27
3990.00,97.27
3989.00,97.26
3988.00,97.26
3987.00,97.25
3986.00,97.25
3985.00,97.25
3984.00,97.25
3983.00,97.24
3982.00,97.23
3981.00,97.22
3980.00,97.23
3979.00,97.24
3978.00,97.26
3977.00,97.28
3976.00,97.27
3975.00,97.26
3974.00,97.25
3973.00,97.24
3972.00,97.22
3971.00,97.21
3970.00,97.20
3969.00,97.20
3968.00,97.21
3967.00,97.23
3966.00,97.24
3965.00,97.24
3964.00,97.22
3963.00,97.21
3962.00,97.19
3961.00,97.19
3960.00,97.20
3959.00,97.22
3958.00,97.24
3957.00,97.25
3956.00,97.25
3955.00,97.25
3954.00,97.24
3953.00,97.25
3952.00,97.25
3951.00,97.24
3950.00,97.22
3949.00,97.21
3948.00,97.21
3947.00,97.22
3946.00,97.22
3945.00,97.21
3944.00,97.21
3943.00,97.22
3942.00,97.24
3941.00,97.25
3940.00,97.25
3939.00,97.23
3938.00,97.22
3937.00,97.20
3936.00,97.21
3935.00,97.21
3934.00,97.22
3933.00,97.21
3932.00,97.19
3931.00,97.16
3930.00,97.15
3929.00,97.15
3928.00,97.16
3927.00,97.17
3926.00,97.18
3925.00,97.19
3924.00,97.20
3923.00,97.20
3922.00,97.21
3921.00,97.23
3920.00,97.24
3919.00,97.24
3918.00,97.23
3917.00,97.22
3916.00,97.21
3915.00,97.21
3914.00,97.22
3913.00,97.23
3912.00,97.23
3911.00,97.23
3910.00,97.23
3909.00,97.24
3908.00,97.24
3907.00,97.24
3906.00,97.24
3905.00,97.23
3904.00,97.22
3903.00,97.22
3902.00,97.21
3901.00,97.20
3900.00,97.20
3899.00,97.20
3898.00,97.21
3897.00,97.20
3896.00,97.19
3895.00,97.18
3894.00,97.18
3893.00,97.20
3892.00,97.23
3891.00,97.26
3890.00,97.28
3889.00,97.28
3888.00,97.28
3887.00,97.28
3886.00,97.28
3885.00,97.28
3884.00,97.27
3883.00,97.26
3882.00,97.26
3881.00,97.26
3880.00,97.27
3879.00,97.27
3878.00,97.27
3877.00,97.27
3876.00,97.29
3875.00,97.30
3874.00,97.31
3873.00,97.30
3872.00,97.29
3871.00,97.30
3870.00,97.31
3869.00,97.31
3868.00,97.28
3867.00,97.25
3866.00,97.24
3865.00,97.23
3864.00,97.22
3863.00,97.22
3862.00,97.22
3861.00,97.23
3860.00,97.25
3859.00,97.27
3858.00,97.29
3857.00,97.31
3856.00,97.32
3855.00,97.32
3854.00,97.32
3853.00,97.32
3852.00,97.30
3851.00,97.27
3850.00,97.24
3849.00,97.23
3848.00,97.22
3847.00,97.22
3846.00,97.22
3845.00,97.23
3844.00,97.23
3843.00,97.23
3842.00,97.23
3841.00,97.24
3840.00,97.24
3839.00,97.24
3838.00,97.24
3837.00,97.25
3836.00,97.28
3835.00,97.32
3834.00,97.35
3833.00,97.35
3832.00,97.31
3831.00,97.27
3830.00,97.22
3829.00,97.21
3828.00,97.22
3827.00,97.24
3826.00,97.27
3825.00,97.28
3824.00,97.28
3823.00,97.29
3822.00,97.32
3821.00,97.33
3820.00,97.31
3819.00,97.27
3818.00,97.23
3817.00,97.20
3816.00,97.19
3815.00,97.19
3814.00,97.20
3813.00,97.22
3812.00,97.24
3811.00,97.25
3810.00,97.24
3809.00,97.23
3808.00,97.23
3807.00,97.25
3806.00,97.27
3805.00,97.28
3804.00,97.28
3803.00,97.28
3802.00,97.28
3801.00,97.27
3800.00,97.26
3799.00,97.25
3798.00,97.25
3797.00,97.25
3796.00,97.26
3795.00,97.25
3794.00,97.24
3793.00,97.23
3792.00,97.23
3791.00,97.24
3790.00,97.24
3789.00,97.24
3788.00,97.23
3787.00,97.21
3786.00,97.20
3785.00,97.20
3784.00,97.21
3783.00,97.22
3782.00,97.23
3781.00,97.23
3780.00,97.24
3779.00,97.23
3778.00,97.23
3777.00,97.23
3776.00,97.24
3775.00,97.25
3774.00,97.25
3773.00,97.24
3772.00,97.23
3771.00,97.21
3770.00,97.18
3769.00,97.15
3768.00,97.13
3767.00,97.14
3766.00,97.16
3765.00,97.18
3764.00,97.16
3763.00,97.13
3762.00,97.12
3761.00,97.13
3760.00,97.15
3759.00,97.17
3758.00,97.19
3757.00,97.21
3756.00,97.23
3755.00,97.25
3754.00,97.28
3753.00,97.29
3752.00,97.28
3751.00,97.26
3750.00,97.24
3749.00,97.22
3748.00,97.20
3747.00,97.19
3746.00,97.20
3745.00,97.21
3744.00,97.20
3743.00,97.17
3742.00,97.15
3741.00,97.14
3740.00,97.15
3739.00,97.16
3738.00,97.16
3737.00,97.17
3736.00,97.18
3735.00,97.18
3734.00,97.16
3733.00,97.15
3732.00,97.14
3731.00,97.14
3730.00,97.13
3729.00,97.10
3728.00,97.08
3727.00,97.07
3726.00,97.08
3725.00,97.08
3724.00,97.09
3723.00,97.10
3722.00,97.10
3721.00,97.11
3720.00,97.10
3719.00,97.07
3718.00,97.05
3717.00,97.03
3716.00,97.01
3715.00,97.01
3714.00,97.02
3713.00,97.04
3712.00,97.06
3711.00,97.08
3710.00,97.09
3709.00,97.09
3708.00,97.09
3707.00,97.07
3706.00,97.05
3705.00,97.02
3704.00,97.01
3703.00,97.01
3702.00,97.03
3701.00,97.04
3700.00,97.05
3699.00,97.05
3698.00,97.05
3697.00,97.04
3696.00,97.03
3695.00,97.01
3694.00,97.01
3693.00,97.02
3692.00,97.04
3691.00,97.07
3690.00,97.07
3689.00,97.04
3688.00,97.01
3687.00,96.98
3686.00,96.96
3685.00,96.96
3684.00,96.96
3683.00,96.95
3682.00,96.95
3681.00,96.95
3680.00,96.97
3679.00,96.98
3678.00,96.96
3677.00,96.91
3676.00,96.84
3675.00,96.79
3674.00,96.77
3673.00,96.78
3672.00,96.78
3671.00,96.77
3670.00,96.77
3669.00,96.76
3668.00,96.76
3667.00,96.76
3666.00,96.77
3665.00,96.77
3664.00,96.77
3663.00,96.76
3662.00,96.74
3661.00,96.72
3660.00,96.69
3659.00,96.67
3658.00,96.67
3657.00,96.68
3656.00,96.67
3655.00,96.63
3654.00,96.58
3653.00,96.53
3652.00,96.48
3651.00,96.46
