Created as New Dataset,15.1 Red Wool sheep natural black roving
cm-1,%T
4000.00,101.50
3999.00,101.50
3998.00,101.49
3997.00,101.49
3996.00,101.49
3995.00,101.49
3994.00,101.49
3993.00,101.49
3992.00,101.50
3991.00,101.51
3990.00,101.51
3989.00,101.50
3988.00,101.49
3987.00,101.47
3986.00,101.46
3985.00,101.47
3984.00,101.47
3983.00,101.49
3982.00,101.50
3981.00,101.52
3980.00,101.52
3979.00,101.53
3978.00,101.52
3977.00,101.51
3976.00,101.49
3975.00,101.48
3974.00,101.46
3973.00,101.45
3972.00,101.45
3971.00,101.44
3970.00,101.44
3969.00,101.44
3968.00,101.45
3967.00,101.46
3966.00,101.47
3965.00,101.48
3964.00,101.49
3963.00,101.50
3962.00,101.50
3961.00,101.50
3960.00,101.49
3959.00,101.49
3958.00,101.48
3957.00,101.48
3956.00,101.48
3955.00,101.48
3954.00,101.48
3953.00,101.48
3952.00,101.47
3951.00,101.47
3950.00,101.47
3949.00,101.47
3948.00,101.48
3947.00,101.49
3946.00,101.47
3945.00,101.45
3944.00,101.45
3943.00,101.46
3942.00,101.48
3941.00,101.49
3940.00,101.48
3939.00,101.47
3938.00,101.47
3937.00,101.47
3936.00,101.48
3935.00,101.50
3934.00,101.52
3933.00,101.53
3932.00,101.53
3931.00,101.51
3930.00,101.47
3929.00,101.44
3928.00,101.42
3927.00,101.40
3926.00,101.41
3925.00,101.43
3924.00,101.44
3923.00,101.45
3922.00,101.45
3921.00,101.46
3920.00,101.47
3919.00,101.48
3918.00,101.46
3917.00,101.45
3916.00,101.44
3915.00,101.44
3914.00,101.45
3913.00,101.46
3912.00,101.48
3911.00,101.49
3910.00,101.49
3909.00,101.48
3908.00,101.47
3907.00,101.45
3906.00,101.44
3905.00,101.46
3904.00,101.48
3903.00,101.49
3902.00,101.46
3901.00,101.42
3900.00,101.40
3899.00,101.41
3898.00,101.43
3897.00,101.46
3896.00,101.49
3895.00,101.50
3894.00,101.49
3893.00,101.47
3892.00,101.47
3891.00,101.48
3890.00,101.47
3889.00,101.43
3888.00,101.38
3887.00,101.36
3886.00,101.40
3885.00,101.43
3884.00,101.40
3883.00,101.35
3882.00,101.32
3881.00,101.34
3880.00,101.39
3879.00,101.42
3878.00,101.41
3877.00,101.38
3876.00,101.38
3875.00,101.41
3874.00,101.42
3873.00,101.39
3872.00,101.33
3871.00,101.32
3870.00,101.37
3869.00,101.40
3868.00,101.36
3867.00,101.29
3866.00,101.26
3865.00,101.29
3864.00,101.32
3863.00,101.32
3862.00,101.31
3861.00,101.33
3860.00,101.37
3859.00,101.40
3858.00,101.40
3857.00,101.38
3856.00,101.35
3855.00,101.34
3854.00,101.34
3853.00,101.31
3852.00,101.26
3851.00,101.23
3850.00,101.25
3849.00,101.31
3848.00,101.38
3847.00,101.43
3846.00,101.44
3845.00,101.44
3844.00,101.43
3843.00,101.43
3842.00,101.41
3841.00,101.37
3840.00,101.34
3839.00,101.32
3838.00,101.33
3837.00,101.34
3836.00,101.34
3835.00,101.34
3834.00,101.34
3833.00,101.36
3832.00,101.40
3831.00,101.43
3830.00,101.44
3829.00,101.41
3828.00,101.38
3827.00,101.38
3826.00,101.40
3825.00,101.39
3824.00,101.33
3823.00,101.26
3822.00,101.25
3821.00,101.28
3820.00,101.29
3819.00,101.25
3818.00,101.20
3817.00,101.21
3816.00,101.28
3815.00,101.34
3814.00,101.36
3813.00,101.36
3812.00,101.38
3811.00,101.40
3810.00,101.40
3809.00,101.38
3808.00,101.39
3807.00,101.44
3806.00,101.46
3805.00,101.42
3804.00,101.32
3803.00,101.26
3802.00,101.28
3801.00,101.34
3800.00,101.35
3799.00,101.33
3798.00,101.31
3797.00,101.33
3796.00,101.36
3795.00,101.38
3794.00,101.38
3793.00,101.38
3792.00,101.39
3791.00,101.40
3790.00,101.40
3789.00,101.40
3788.00,101.39
3787.00,101.38
3786.00,101.38
3785.00,101.39
3784.00,101.39
3783.00,101.38
3782.00,101.36
3781.00,101.34
3780.00,101.33
3779.00,101.34
3778.00,101.35
3777.00,101.35
3776.00,101.36
3775.00,101.38
3774.00,101.39
3773.00,101.38
3772.00,101.36
3771.00,101.36
3770.00,101.38
3769.00,101.37
3768.00,101.34
3767.00,101.29
3766.00,101.29
3765.00,101.32
3764.00,101.34
3763.00,101.34
3762.00,101.32
3761.00,101.32
3760.00,101.33
3759.00,101.34
3758.00,101.34
3757.00,101.35
3756.00,101.35
3755.00,101.33
3754.00,101.31
3753.00,101.29
3752.00,101.27
3751.00,101.22
3750.00,101.18
3749.00,101.16
3748.00,101.13
3747.00,101.08
3746.00,101.07
3745.00,101.15
3744.00,101.25
3743.00,101.28
3742.00,101.25
3741.00,101.23
3740.00,101.25
3739.00,101.28
3738.00,101.29
3737.00,101.29
3736.00,101.28
3735.00,101.23
3734.00,101.18
3733.00,101.17
3732.00,101.22
3731.00,101.29
3730.00,101.32
3729.00,101.31
3728.00,101.31
3727.00,101.33
3726.00,101.33
3725.00,101.29
3724.00,101.25
3723.00,101.22
3722.00,101.22
3721.00,101.24
3720.00,101.25
3719.00,101.26
3718.00,101.28
3717.00,101.29
3716.00,101.29
3715.00,101.28
3714.00,101.28
3713.00,101.28
3712.00,101.28
3711.00,101.25
3710.00,101.22
3709.00,101.20
3708.00,101.20
3707.00,101.21
3706.00,101.23
3705.00,101.23
3704.00,101.22
3703.00,101.23
3702.00,101.25
3701.00,101.28
3700.00,101.28
3699.00,101.27
3698.00,101.26
3697.00,101.26
3696.00,101.26
3695.00,101.26
3694.00,101.24
3693.00,101.22
3692.00,101.19
3691.00,101.12
3690.00,101.04
3689.00,101.00
3688.00,101.01
3687.00,101.04
3686.00,101.06
3685.00,101.09
3684.00,101.12
3683.00,101.15
3682.00,101.14
3681.00,101.12
3680.00,101.10
3679.00,101.07
3678.00,101.02
3677.00,101.00
3676.00,101.03
3675.00,101.08
3674.00,101.08
3673.00,101.01
3672.00,100.96
3671.00,100.97
3670.00,101.00
3669.00,101.02
3668.00,101.00
3667.00,100.98
3666.00,100.98
3665.00,101.00
3664.00,101.00
3663.00,100.99
3662.00,100.99
3661.00,100.99
3660.00,100.99
3659.00,100.97
3658.00,100.94
3657.00,100.92
3656.00,100.92
3655.00,100.90
3654.00,100.86
3653.00,100.80
3652.00,100.78
3651.00,100.79
3650.00,100.79
3649.00,100.74
3648.00,100.69
3647.00,100.67
3646.00,100.68
3645.00,100.70
3644.00,100.70
3643.00,100.70
3642.00,100.70
3641.00,100.69
3640.00,100.68
3639.00,100.69
3638.00,100.71
3637.00,100.74
3636.00,100.75
3635.00,100.75
3634.00,100.74
3633.00,100.71
3632.00,100.63
3631.00,100.55
3630.00,100.52
3629.00,100.52
3628.00,100.52
3627.00,100.50
3626.00,100.47
3625.00,100.44
3624.00,100.42
3623.00,100.39
3622.00,100.33
3621.00,100.27
3620.00,100.24
3619.00,100.24
3618.00,100.23
3617.00,100.22
3616.00,100.19
3615.00,100.17
3614.00,100.16
3613.00,100.16
3612.00,100.14
3611.00,100.11
3610.00,100.09
3609.00,100.09
3608.00,100.10
3607.00,100.09
3606.00,100.08
3605.00,100.07
3604.00,100.06
3603.00,100.05
3602.00,100.03
3601.00,99.99
3600.00,99.95
3599.00,99.91
3598.00,99.89
3597.00,99.89
3596.00,99.89
3595.00,99.89
3594.00,99.87
3593.00,99.85
3592.00,99.83
3591.00,99.80
3590.00,99.77
3589.00,99.73
3588.00,99.68
3587.00,99.65
3586.00,99.62
3585.00,99.61
3584.00,99.61
3583.00,99.62
3582.00,99.63
3581.00,99.62
3580.00,99.61
3579.00,99.60
3578.00,99.60
3577.00,99.59
3576.00,99.58
3575.00,99.55
3574.00,99.52
3573.00,99.49
3572.00,99.46
3571.00,99.43
3570.00,99.40
3569.00,99.36
3568.00,99.31
3567.00,99.26
3566.00,99.21
3565.00,99.19
3564.00,99.19
3563.00,99.20
3562.00,99.20
3561.00,99.18
3560.00,99.16
3559.00,99.14
3558.00,99.14
3557.00,99.14
3556.00,99.14
3555.00,99.11
3554.00,99.07
3553.00,99.04
3552.00,99.01
3551.00,99.00
3550.00,98.99
3549.00,98.98
3548.00,98.96
3547.00,98.94
3546.00,98.91
3545.00,98.87
3544.00,98.84
3543.00,98.80
3542.00,98.77
3541.00,98.75
3540.00,98.74
3539.00,98.74
3538.00,98.75
3537.00,98.76
3536.00,98.76
3535.00,98.75
3534.00,98.72
3533.00,98.67
3532.00,98.62
3531.00,98.59
3530.00,98.57
3529.00,98.56
3528.00,98.55
3527.00,98.52
3526.00,98.48
3525.00,98.44
3524.00,98.42
3523.00,98.40
3522.00,98.38
3521.00,98.35
3520.00,98.31
3519.00,98.29
3518.00,98.29
3517.00,98.27
3516.00,98.25
3515.00,98.23
3514.00,98.23
3513.00,98.23
3512.00,98.24
3511.00,98.24
3510.00,98.21
3509.00,98.17
3508.00,98.13
3507.00,98.10
3506.00,98.08
3505.00,98.06
3504.00,98.04
3503.00,98.01
3502.00,98.00
3501.00,98.00
3500.00,97.99
3499.00,97.99
3498.00,97.97
3497.00,97.95
3496.00,97.93
3495.00,97.91
3494.00,97.91
3493.00,97.89
3492.00,97.88
3491.00,97.85
3490.00,97.82
3489.00,97.78
3488.00,97.74
3487.00,97.70
3486.00,97.67
3485.00,97.67
3484.00,97.69
3483.00,97.70
3482.00,97.69
3481.00,97.67
3480.00,97.63
3479.00,97.60
3478.00,97.56
3477.00,97.53
3476.00,97.52
3475.00,97.53
3474.00,97.55
3473.00,97.58
3472.00,97.59
3471.00,97.58
3470.00,97.54
3469.00,97.49
3468.00,97.46
3467.00,97.44
3466.00,97.43
3465.00,97.40
3464.00,97.36
3463.00,97.32
3462.00,97.28
3461.00,97.25
3460.00,97.24
3459.00,97.24
3458.00,97.25
3457.00,97.26
3456.00,97.26
3455.00,97.25
3454.00,97.24
3453.00,97.23
3452.00,97.22
3451.00,97.20
3450.00,97.17
3449.00,97.13
3448.00,97.08
3447.00,97.04
3446.00,97.01
3445.00,97.01
3444.00,97.01
3443.00,97.03
3442.00,97.04
3441.00,97.03
3440.00,97.00
3439.00,96.96
3438.00,96.92
3437.00,96.89
3436.00,96.87
3435.00,96.85
3434.00,96.85
3433.00,96.85
3432.00,96.84
3431.00,96.81
3430.00,96.77
3429.00,96.73
3428.00,96.71
3427.00,96.69
3426.00,96.68
3425.00,96.66
3424.00,96.64
3423.00,96.62
3422.00,96.60
3421.00,96.57
3420.00,96.54
3419.00,96.52
3418.00,96.51
3417.00,96.49
3416.00,96.49
3415.00,96.49
3414.00,96.49
3413.00,96.49
3412.00,96.48
3411.00,96.46
3410.00,96.43
3409.00,96.39
3408.00,96.37
3407.00,96.36
3406.00,96.36
3405.00,96.36
3404.00,96.35
3403.00,96.33
3402.00,96.30
3401.00,96.28
3400.00,96.27
3399.00,96.26
3398.00,96.23
3397.00,96.20
3396.00,96.16
3395.00,96.13
3394.00,96.12
3393.00,96.12
3392.00,96.11
3391.00,96.08
3390.00,96.05
3389.00,96.03
3388.00,96.03
3387.00,96.04
3386.00,96.04
3385.00,96.05
3384.00,96.05
3383.00,96.04
3382.00,96.04
3381.00,96.02
3380.00,95.99
3379.00,95.94
3378.00,95.88
3377.00,95.84
3376.00,95.81
3375.00,95.81
3374.00,95.82
3373.00,95.82
3372.00,95.81
3371.00,95.78
3370.00,95.74
3369.00,95.71
3368.00,95.69
3367.00,95.67
3366.00,95.64
3365.00,95.61
3364.00,95.57
3363.00,95.54
3362.00,95.53
3361.00,95.52
3360.00,95.52
3359.00,95.52
3358.00,95.51
3357.00,95.49
3356.00,95.46
3355.00,95.44
3354.00,95.43
3353.00,95.42
3352.00,95.41
3351.00,95.38
3350.00,95.35
3349.00,95.32
3348.00,95.28
3347.00,95.25
3346.00,95.21
3345.00,95.18
3344.00,95.17
3343.00,95.16
3342.00,95.14
3341.00,95.13
3340.00,95.12
3339.00,95.10
3338.00,95.07
3337.00,95.05
3336.00,95.02
3335.00,95.00
3334.00,94.97
3333.00,94.95
3332.00,94.92
3331.00,94.90
3330.00,94.87
3329.00,94.84
3328.00,94.80
3327.00,94.78
3326.00,94.76
3325.00,94.75
3324.00,94.73
3323.00,94.71
3322.00,94.68
3321.00,94.65
3320.00,94.63
3319.00,94.62
3318.00,94.61
3317.00,94.59
3316.00,94.56
3315.00,94.52
3314.00,94.49
3313.00,94.45
3312.00,94.42
3311.00,94.40
3310.00,94.39
3309.00,94.38
3308.00,94.36
3307.00,94.31
3306.00,94.25
3305.00,94.20
3304.00,94.16
3303.00,94.15
3302.00,94.14
3301.00,94.12
3300.00,94.10
3299.00,94.08
3298.00,94.07
3297.00,94.06
3296.00,94.05
3295.00,94.04
3294.00,94.03
3293.00,94.03
3292.00,94.01
3291.00,93.99
3290.00,93.96
3289.00,93.94
3288.00,93.92
3287.00,93.90
3286.00,93.88
3285.00,93.85
3284.00,93.84
3283.00,93.82
3282.00,93.81
3281.00,93.79
3280.00,93.77
3279.00,93.75
3278.00,93.73
3277.00,93.73
3276.00,93.74
3275.00,93.76
3274.00,93.79
3273.00,93.82
3272.00,93.84
3271.00,93.85
3270.00,93.85
3269.00,93.85
3268.00,93.86
3267.00,93.87
3266.00,93.89
3265.00,93.89
3264.00,93.90
3263.00,93.90
3262.00,93.92
3261.00,93.94
3260.00,93.96
3259.00,93.99
3258.00,94.02
3257.00,94.05
3256.00,94.08
3255.00,94.10
3254.00,94.11
3253.00,94.12
3252.00,94.14
3251.00,94.16
3250.00,94.18
3249.00,94.21
3248.00,94.23
3247.00,94.25
3246.00,94.27
3245.00,94.29
