Created as New Dataset,15.2 Red Wool sheep scoured
cm-1,%T
4000.00,99.69
3999.00,99.68
3998.00,99.68
3997.00,99.67
3996.00,99.68
3995.00,99.70
3994.00,99.72
3993.00,99.73
3992.00,99.72
3991.00,99.69
3990.00,99.65
3989.00,99.64
3988.00,99.64
3987.00,99.65
3986.00,99.67
3985.00,99.69
3984.00,99.72
3983.00,99.74
3982.00,99.74
3981.00,99.73
3980.00,99.72
3979.00,99.71
3978.00,99.71
3977.00,99.73
3976.00,99.73
3975.00,99.73
3974.00,99.71
3973.00,99.68
3972.00,99.66
3971.00,99.66
3970.00,99.66
3969.00,99.67
3968.00,99.68
3967.00,99.68
3966.00,99.68
3965.00,99.68
3964.00,99.68
3963.00,99.68
3962.00,99.67
3961.00,99.65
3960.00,99.64
3959.00,99.62
3958.00,99.62
3957.00,99.63
3956.00,99.66
3955.00,99.69
3954.00,99.70
3953.00,99.70
3952.00,99.67
3951.00,99.65
3950.00,99.63
3949.00,99.64
3948.00,99.65
3947.00,99.66
3946.00,99.66
3945.00,99.66
3944.00,99.65
3943.00,99.65
3942.00,99.65
3941.00,99.65
3940.00,99.65
3939.00,99.65
3938.00,99.65
3937.00,99.65
3936.00,99.64
3935.00,99.64
3934.00,99.62
3933.00,99.61
3932.00,99.60
3931.00,99.60
3930.00,99.61
3929.00,99.62
3928.00,99.63
3927.00,99.64
3926.00,99.65
3925.00,99.66
3924.00,99.67
3923.00,99.67
3922.00,99.67
3921.00,99.66
3920.00,99.65
3919.00,99.64
3918.00,99.64
3917.00,99.64
3916.00,99.64
3915.00,99.65
3914.00,99.65
3913.00,99.66
3912.00,99.65
3911.00,99.65
3910.00,99.64
3909.00,99.62
3908.00,99.62
3907.00,99.62
3906.00,99.64
3905.00,99.67
3904.00,99.70
3903.00,99.70
3902.00,99.68
3901.00,99.65
3900.00,99.62
3899.00,99.60
3898.00,99.60
3897.00,99.61
3896.00,99.61
3895.00,99.62
3894.00,99.64
3893.00,99.65
3892.00,99.66
3891.00,99.66
3890.00,99.66
3889.00,99.64
3888.00,99.63
3887.00,99.61
3886.00,99.60
3885.00,99.59
3884.00,99.58
3883.00,99.58
3882.00,99.59
3881.00,99.59
3880.00,99.60
3879.00,99.61
3878.00,99.61
3877.00,99.61
3876.00,99.61
3875.00,99.59
3874.00,99.58
3873.00,99.57
3872.00,99.58
3871.00,99.60
3870.00,99.61
3869.00,99.61
3868.00,99.59
3867.00,99.57
3866.00,99.56
3865.00,99.57
3864.00,99.58
3863.00,99.60
3862.00,99.61
3861.00,99.61
3860.00,99.62
3859.00,99.62
3858.00,99.62
3857.00,99.62
3856.00,99.61
3855.00,99.59
3854.00,99.56
3853.00,99.54
3852.00,99.54
3851.00,99.54
3850.00,99.55
3849.00,99.55
3848.00,99.56
3847.00,99.57
3846.00,99.58
3845.00,99.58
3844.00,99.59
3843.00,99.59
3842.00,99.60
3841.00,99.60
3840.00,99.60
3839.00,99.59
3838.00,99.60
3837.00,99.62
3836.00,99.63
3835.00,99.63
3834.00,99.62
3833.00,99.60
3832.00,99.58
3831.00,99.56
3830.00,99.55
3829.00,99.54
3828.00,99.53
3827.00,99.52
3826.00,99.52
3825.00,99.52
3824.00,99.52
3823.00,99.54
3822.00,99.56
3821.00,99.56
3820.00,99.56
3819.00,99.56
3818.00,99.57
3817.00,99.59
3816.00,99.60
3815.00,99.60
3814.00,99.59
3813.00,99.57
3812.00,99.55
3811.00,99.52
3810.00,99.50
3809.00,99.48
3808.00,99.49
3807.00,99.51
3806.00,99.54
3805.00,99.57
3804.00,99.58
3803.00,99.60
3802.00,99.61
3801.00,99.61
3800.00,99.60
3799.00,99.59
3798.00,99.58
3797.00,99.57
3796.00,99.57
3795.00,99.57
3794.00,99.56
3793.00,99.55
3792.00,99.54
3791.00,99.54
3790.00,99.55
3789.00,99.55
3788.00,99.55
3787.00,99.55
3786.00,99.54
3785.00,99.53
3784.00,99.53
3783.00,99.54
3782.00,99.53
3781.00,99.52
3780.00,99.52
3779.00,99.53
3778.00,99.54
3777.00,99.55
3776.00,99.55
3775.00,99.55
3774.00,99.55
3773.00,99.55
3772.00,99.55
3771.00,99.54
3770.00,99.53
3769.00,99.51
