Created as New Dataset,15.3 Red Wool sheep very fine
cm-1,%T
4000.00,96.97
3999.00,96.94
3998.00,96.92
3997.00,96.92
3996.00,96.93
3995.00,96.95
3994.00,96.96
3993.00,96.97
3992.00,96.97
3991.00,96.98
3990.00,96.99
3989.00,97.01
3988.00,97.02
3987.00,97.02
3986.00,97.00
3985.00,96.98
3984.00,96.97
3983.00,96.97
3982.00,96.99
3981.00,97.00
3980.00,97.00
3979.00,96.98
3978.00,96.96
3977.00,96.93
3976.00,96.91
3975.00,96.88
3974.00,96.87
3973.00,96.87
3972.00,96.89
3971.00,96.91
3970.00,96.93
3969.00,96.95
3968.00,96.95
3967.00,96.95
3966.00,96.95
3965.00,96.95
3964.00,96.94
3963.00,96.93
3962.00,96.92
3961.00,96.92
3960.00,96.93
3959.00,96.94
3958.00,96.95
3957.00,96.96
3956.00,96.96
3955.00,96.96
3954.00,96.94
3953.00,96.91
3952.00,96.89
3951.00,96.90
3950.00,96.92
3949.00,96.96
3948.00,96.98
3947.00,96.97
3946.00,96.94
3945.00,96.91
3944.00,96.91
3943.00,96.93
3942.00,96.96
3941.00,96.97
3940.00,96.97
3939.00,96.97
3938.00,96.97
3937.00,96.98
3936.00,96.98
3935.00,96.98
3934.00,96.97
3933.00,96.96
3932.00,96.95
3931.00,96.94
3930.00,96.89
3929.00,96.89
3928.00,96.88
3927.00,96.87
3926.00,96.87
3925.00,96.89
3924.00,96.91
3923.00,96.93
3922.00,96.92
3921.00,96.91
3920.00,96.90
3919.00,96.89
3918.00,96.89
3917.00,96.91
3916.00,96.92
3915.00,96.92
3914.00,96.93
3913.00,96.96
3912.00,97.00
3911.00,97.04
3910.00,97.07
3909.00,97.05
3908.00,97.00
3907.00,96.92
3906.00,96.86
3905.00,96.84
3904.00,96.84
3903.00,96.84
3902.00,96.83
3901.00,96.82
3900.00,96.83
3899.00,96.85
3898.00,96.89
3897.00,96.92
3896.00,96.93
3895.00,96.94
3894.00,96.93
3893.00,96.92
3892.00,96.92
3891.00,96.93
3890.00,96.92
3889.00,96.90
3888.00,96.88
3887.00,96.89
3886.00,96.93
3885.00,96.95
3884.00,96.94
3883.00,96.90
3882.00,96.88
3881.00,96.88
3880.00,96.90
3879.00,96.89
3878.00,96.87
3877.00,96.85
3876.00,96.85
3875.00,96.87
3874.00,96.88
3873.00,96.86
3872.00,96.82
3871.00,96.82
3870.00,96.85
3869.00,96.86
3868.00,96.85
3867.00,96.82
3866.00,96.83
3865.00,96.86
3864.00,96.89
3863.00,96.90
3862.00,96.90
3861.00,96.90
3860.00,96.91
3859.00,96.92
3858.00,96.91
3857.00,96.88
3856.00,96.85
3855.00,96.83
3854.00,96.83
3853.00,96.80
