Created as New Dataset,15.4 Red Wool sheep with much darker fibres natural
cm-1,%T
4000.00,100.30
3999.00,100.30
3998.00,100.29
3997.00,100.29
3996.00,100.28
3995.00,100.28
3994.00,100.29
3993.00,100.30
3992.00,100.31
3991.00,100.33
3990.00,100.34
3989.00,100.34
3988.00,100.33
3987.00,100.32
3986.00,100.32
3985.00,100.32
3984.00,100.33
3983.00,100.33
3982.00,100.32
3981.00,100.31
3980.00,100.31
3979.00,100.31
3978.00,100.31
3977.00,100.32
3976.00,100.33
3975.00,100.33
3974.00,100.33
3973.00,100.32
3972.00,100.31
3971.00,100.30
3970.00,100.29
3969.00,100.29
3968.00,100.30
3967.00,100.31
3966.00,100.33
3965.00,100.34
3964.00,100.35
3963.00,100.36
3962.00,100.38
3961.00,100.39
3960.00,100.38
3959.00,100.37
3958.00,100.35
3957.00,100.33
3956.00,100.32
3955.00,100.33
3954.00,100.34
3953.00,100.37
3952.00,100.38
3951.00,100.39
3950.00,100.39
3949.00,100.39
3948.00,100.39
3947.00,100.40
3946.00,100.42
3945.00,100.43
3944.00,100.43
3943.00,100.44
3942.00,100.44
3941.00,100.44
3940.00,100.44
3939.00,100.42
3938.00,100.40
3937.00,100.39
3936.00,100.39
3935.00,100.40
3934.00,100.42
3933.00,100.43
3932.00,100.43
3931.00,100.43
3930.00,100.41
3929.00,100.40
3928.00,100.38
3927.00,100.38
3926.00,100.38
3925.00,100.39
3924.00,100.41
3923.00,100.42
3922.00,100.44
3921.00,100.45
3920.00,100.45
3919.00,100.44
3918.00,100.42
3917.00,100.40
3916.00,100.38
3915.00,100.38
3914.00,100.38
3913.00,100.39
3912.00,100.38
3911.00,100.35
3910.00,100.33
3909.00,100.33
3908.00,100.36
3907.00,100.41
3906.00,100.48
3905.00,100.53
3904.00,100.58
3903.00,100.61
3902.00,100.63
3901.00,100.63
3900.00,100.59
3899.00,100.53
3898.00,100.48
3897.00,100.45
3896.00,100.46
3895.00,100.48
3894.00,100.52
3893.00,100.54
3892.00,100.52
3891.00,100.48
3890.00,100.47
3889.00,100.49
3888.00,100.53
3887.00,100.54
3886.00,100.53
3885.00,100.51
3884.00,100.52
3883.00,100.55
3882.00,100.56
3881.00,100.53
3880.00,100.48
3879.00,100.46
3878.00,100.47
3877.00,100.48
3876.00,100.48
3875.00,100.46
3874.00,100.46
3873.00,100.51
3872.00,100.57
3871.00,100.61
3870.00,100.60
3869.00,100.57
3868.00,100.57
3867.00,100.58
3866.00,100.57
3865.00,100.55
3864.00,100.53
3863.00,100.52
3862.00,100.53
3861.00,100.53
3860.00,100.53
3859.00,100.55
3858.00,100.60
3857.00,100.70
3856.00,100.83
3855.00,100.92
3854.00,100.91
3853.00,100.83
3852.00,100.79
3851.00,100.76
3850.00,100.68
3849.00,100.55
3848.00,100.46
3847.00,100.43
3846.00,100.44
3845.00,100.47
3844.00,100.50
3843.00,100.53
3842.00,100.56
3841.00,100.60
3840.00,100.64
3839.00,100.66
3838.00,100.66
3837.00,100.65
3836.00,100.66
3835.00,100.66
3834.00,100.65
3833.00,100.62
3832.00,100.57
3831.00,100.52
3830.00,100.49
3829.00,100.49
3828.00,100.49
3827.00,100.49
3826.00,100.50
3825.00,100.53
3824.00,100.58
3823.00,100.63
3822.00,100.64
3821.00,100.63
3820.00,100.63
3819.00,100.66
3818.00,100.67
3817.00,100.63
3816.00,100.55
3815.00,100.49
3814.00,100.46
3813.00,100.45
3812.00,100.43
3811.00,100.42
3810.00,100.45
3809.00,100.49
3808.00,100.52
3807.00,100.53
3806.00,100.54
3805.00,100.58
3804.00,100.62
3803.00,100.63
3802.00,100.59
3801.00,100.54
3800.00,100.53
3799.00,100.55
3798.00,100.54
3797.00,100.49
3796.00,100.43
3795.00,100.39
3794.00,100.38
3793.00,100.39
3792.00,100.40
3791.00,100.38
3790.00,100.35
3789.00,100.33
3788.00,100.32
3787.00,100.33
3786.00,100.34
3785.00,100.35
3784.00,100.37
3783.00,100.40
3782.00,100.44
3781.00,100.47
3780.00,100.48
3779.00,100.46
3778.00,100.45
3777.00,100.43
3776.00,100.41
3775.00,100.39
3774.00,100.37
3773.00,100.36
3772.00,100.37
3771.00,100.38
3770.00,100.39
3769.00,100.41
3768.00,100.45
3767.00,100.49
3766.00,100.49
3765.00,100.47
3764.00,100.45
3763.00,100.44
3762.00,100.45
3761.00,100.46
3760.00,100.44
3759.00,100.41
3758.00,100.40
3757.00,100.42
3756.00,100.48
3755.00,100.56
3754.00,100.65
3753.00,100.74
3752.00,100.80
3751.00,100.79
3750.00,100.76
3749.00,100.76
3748.00,100.79
3747.00,100.82
3746.00,100.82
3745.00,100.75
3744.00,100.64
3743.00,100.60
3742.00,100.62
3741.00,100.63
3740.00,100.60
3739.00,100.59
3738.00,100.61
3737.00,100.63
3736.00,100.63
3735.00,100.64
3734.00,100.64
3733.00,100.63
3732.00,100.60
3731.00,100.54
3730.00,100.50
3729.00,100.46
3728.00,100.44
3727.00,100.43
3726.00,100.43
3725.00,100.44
3724.00,100.45
3723.00,100.45
3722.00,100.42
3721.00,100.40
3720.00,100.37
3719.00,100.35
3718.00,100.33
3717.00,100.33
3716.00,100.35
3715.00,100.38
3714.00,100.43
3713.00,100.47
3712.00,100.48
3711.00,100.49
3710.00,100.49
3709.00,100.48
3708.00,100.45
3707.00,100.40
3706.00,100.36
3705.00,100.34
3704.00,100.32
3703.00,100.30
3702.00,100.29
3701.00,100.28
3700.00,100.28
3699.00,100.29
3698.00,100.29
3697.00,100.30
3696.00,100.30
3695.00,100.33
3694.00,100.37
