Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
4000.00,100.44
3999.00,100.42
3998.00,100.41
3997.00,100.40
3996.00,100.40
3995.00,100.40
3994.00,100.41
3993.00,100.42
3992.00,100.43
3991.00,100.43
3990.00,100.43
3989.00,100.43
3988.00,100.43
3987.00,100.44
3986.00,100.45
3985.00,100.46
3984.00,100.45
3983.00,100.43
3982.00,100.39
3981.00,100.36
3980.00,100.33
3979.00,100.33
3978.00,100.34
3977.00,100.37
3976.00,100.39
3975.00,100.40
3974.00,100.40
3973.00,100.40
3972.00,100.41
3971.00,100.43
3970.00,100.43
3969.00,100.43
3968.00,100.43
3967.00,100.44
3966.00,100.45
3965.00,100.46
3964.00,100.46
3963.00,100.46
3962.00,100.44
3961.00,100.43
3960.00,100.42
3959.00,100.42
3958.00,100.43
3957.00,100.45
3956.00,100.46
3955.00,100.46
3954.00,100.44
3953.00,100.42
3952.00,100.40
3951.00,100.38
3950.00,100.37
3949.00,100.38
3948.00,100.39
3947.00,100.40
3946.00,100.40
3945.00,100.39
3944.00,100.40
3943.00,100.41
3942.00,100.42
3941.00,100.41
3940.00,100.40
3939.00,100.40
3938.00,100.41
3937.00,100.42
3936.00,100.42
3935.00,100.41
3934.00,100.40
3933.00,100.40
3932.00,100.40
3931.00,100.41
3930.00,100.41
3929.00,100.42
3928.00,100.42
3927.00,100.42
3926.00,100.42
3925.00,100.43
3924.00,100.43
3923.00,100.42
3922.00,100.40
3921.00,100.39
3920.00,100.40
3919.00,100.40
3918.00,100.40
3917.00,100.39
3916.00,100.38
3915.00,100.38
3914.00,100.38
3913.00,100.38
3912.00,100.39
3911.00,100.40
3910.00,100.40
3909.00,100.39
3908.00,100.37
3907.00,100.34
3906.00,100.31
3905.00,100.29
3904.00,100.27
3903.00,100.25
3902.00,100.22
3901.00,100.18
3900.00,100.17
3899.00,100.21
3898.00,100.26
3897.00,100.30
3896.00,100.31
3895.00,100.31
3894.00,100.29
3893.00,100.27
3892.00,100.26
3891.00,100.28
3890.00,100.30
3889.00,100.27
3888.00,100.23
3887.00,100.22
3886.00,100.28
3885.00,100.34
3884.00,100.33
3883.00,100.24
3882.00,100.17
3881.00,100.17
3880.00,100.23
3879.00,100.29
3878.00,100.30
3877.00,100.28
3876.00,100.28
3875.00,100.32
3874.00,100.36
3873.00,100.35
3872.00,100.29
3871.00,100.23
3870.00,100.24
3869.00,100.27
3868.00,100.24
3867.00,100.15
3866.00,100.11
3865.00,100.15
3864.00,100.20
3863.00,100.21
3862.00,100.20
3861.00,100.20
3860.00,100.22
3859.00,100.24
3858.00,100.24
3857.00,100.22
3856.00,100.20
3855.00,100.19
3854.00,100.19
3853.00,100.20
3852.00,100.20
3851.00,100.19
3850.00,100.19
3849.00,100.23
3848.00,100.27
3847.00,100.31
3846.00,100.31
3845.00,100.29
3844.00,100.26
3843.00,100.24
3842.00,100.20
3841.00,100.16
3840.00,100.13
3839.00,100.11
3838.00,100.10
3837.00,100.10
3836.00,100.10
3835.00,100.09
3834.00,100.10
3833.00,100.12
3832.00,100.17
3831.00,100.21
3830.00,100.24
3829.00,100.23
3828.00,100.24
3827.00,100.28
3826.00,100.33
3825.00,100.32
3824.00,100.24
3823.00,100.14
3822.00,100.10
3821.00,100.14
3820.00,100.19
3819.00,100.16
3818.00,100.10
3817.00,100.10
3816.00,100.17
3815.00,100.26
3814.00,100.27
3813.00,100.25
3812.00,100.24
3811.00,100.26
3810.00,100.26
3809.00,100.24
3808.00,100.23
3807.00,100.26
3806.00,100.28
3805.00,100.22
3804.00,100.10
3803.00,100.03
3802.00,100.07
3801.00,100.17
3800.00,100.22
3799.00,100.18
3798.00,100.12
3797.00,100.13
3796.00,100.18
3795.00,100.23
3794.00,100.23
3793.00,100.23
3792.00,100.23
3791.00,100.24
3790.00,100.25
3789.00,100.24
3788.00,100.24
3787.00,100.23
3786.00,100.23
3785.00,100.23
3784.00,100.24
3783.00,100.24
3782.00,100.22
3781.00,100.21
3780.00,100.22
3779.00,100.24
3778.00,100.24
3777.00,100.21
3776.00,100.19
3775.00,100.21
3774.00,100.24
3773.00,100.26
3772.00,100.26
3771.00,100.26
3770.00,100.28
3769.00,100.28
3768.00,100.26
3767.00,100.22
3766.00,100.21
3765.00,100.23
3764.00,100.23
3763.00,100.20
3762.00,100.16
3761.00,100.16
3760.00,100.18
3759.00,100.19
3758.00,100.17
3757.00,100.15
3756.00,100.14
3755.00,100.13
3754.00,100.14
3753.00,100.17
3752.00,100.20
3751.00,100.17
3750.00,100.12
3749.00,100.09
3748.00,100.03
3747.00,99.93
3746.00,99.86
3745.00,99.92
3744.00,100.07
3743.00,100.16
3742.00,100.15
3741.00,100.11
3740.00,100.11
3739.00,100.12
3738.00,100.12
3737.00,100.08
3736.00,100.02
3735.00,99.95
3734.00,99.87
3733.00,99.86
3732.00,99.95
3731.00,100.06
3730.00,100.12
3729.00,100.12
3728.00,100.11
3727.00,100.13
3726.00,100.15
3725.00,100.15
3724.00,100.12
3723.00,100.11
3722.00,100.11
3721.00,100.11
3720.00,100.10
3719.00,100.09
3718.00,100.10
3717.00,100.13
3716.00,100.14
3715.00,100.13
3714.00,100.12
3713.00,100.12
3712.00,100.10
3711.00,100.05
3710.00,100.00
3709.00,99.98
3708.00,99.99
3707.00,100.03
3706.00,100.05
3705.00,100.05
3704.00,100.04
3703.00,100.03
3702.00,100.05
3701.00,100.07
3700.00,100.08
3699.00,100.06
3698.00,100.03
3697.00,100.03
3696.00,100.05
3695.00,100.06
3694.00,100.06
3693.00,100.04
3692.00,100.01
3691.00,99.94
3690.00,99.86
3689.00,99.84
3688.00,99.88
3687.00,99.93
3686.00,99.94
3685.00,99.92
3684.00,99.92
3683.00,99.93
3682.00,99.95
3681.00,99.97
3680.00,100.00
3679.00,100.00
3678.00,99.94
3677.00,99.84
3676.00,99.77
3675.00,99.75
3674.00,99.73
3673.00,99.66
3672.00,99.60
3671.00,99.61
3670.00,99.69
3669.00,99.76
3668.00,99.79
3667.00,99.81
3666.00,99.83
3665.00,99.85
3664.00,99.87
3663.00,99.88
3662.00,99.87
3661.00,99.85
3660.00,99.82
3659.00,99.78
3658.00,99.73
3657.00,99.71
3656.00,99.72
3655.00,99.71
3654.00,99.64
3653.00,99.54
3652.00,99.48
3651.00,99.48
3650.00,99.46
